,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,prices,streets,cities,floors,sizes,terraces,floors_in_building,parkings,aircondition,bars,elevators,water_headers,accessibility,shelters,storages,tadiran,furnitures,status,time_enter,sea_view,sukka,construction_evacuation,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,0,0,0,0,0,0,0,885000.0,אברבנאל 38,1,2,76,0,4,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3,1,0,0,0,297000.0,383000.0,388000.0,430802.0,493333.0,547486.0,545000.0,575085.0,615000.0,550000.0,615000.0,606600.0,643750.0,674728
1,1,1,1,1,1,1,1,630000.0,אברהם אבינו,2,2,50,0,2,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3,2,0,0,0,337185.0,405391.0,418124.0,468264.0,532066.0,584541.0,624583.0,665840.0,672999.0,645511.0,716635.0,690111.0,712973.0,692500
2,2,2,2,2,2,2,2,735000.0,אברהם אבינו,2,2,65,0,3,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0,337185.0,405391.0,418124.0,468264.0,532066.0,584541.0,624583.0,665840.0,672999.0,645511.0,716635.0,690111.0,712973.0,692500
3,3,3,3,3,3,3,3,760842.0,אברהם אבינו,2,3,57,0,3,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2,2,0,0,0,337185.0,405391.0,418124.0,468264.0,532066.0,584541.0,624583.0,665840.0,672999.0,645511.0,716635.0,690111.0,712973.0,692500
4,4,4,4,4,4,4,4,650000.0,אברהם אבינו,2,3,65,0,3,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0,337185.0,405391.0,418124.0,468264.0,532066.0,584541.0,624583.0,665840.0,672999.0,645511.0,716635.0,690111.0,712973.0,692500
5,5,5,5,5,5,5,5,665000.0,אברהם אבינו,2,3,58,0,3,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3,1,0,0,0,337185.0,405391.0,418124.0,468264.0,532066.0,584541.0,624583.0,665840.0,672999.0,645511.0,716635.0,690111.0,712973.0,692500
6,6,6,6,6,6,6,6,895000.0,אברהם אבינו,2,2,67,0,2,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3,2,0,0,0,337185.0,405391.0,418124.0,468264.0,532066.0,584541.0,624583.0,665840.0,672999.0,645511.0,716635.0,690111.0,712973.0,692500
7,7,7,7,7,7,7,7,670000.0,אברהם אבינו,2,3,50,0,3,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3,2,0,0,0,337185.0,405391.0,418124.0,468264.0,532066.0,584541.0,624583.0,665840.0,672999.0,645511.0,716635.0,690111.0,712973.0,692500
8,8,8,8,8,8,8,8,770000.0,אברהם אבינו,2,3,50,0,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,2,0,0,0,337185.0,405391.0,418124.0,468264.0,532066.0,584541.0,624583.0,665840.0,672999.0,645511.0,716635.0,690111.0,712973.0,692500
9,9,10,10,10,10,10,10,715000.0,אברהם אבינו,2,2,80,0,3,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,0,337185.0,405391.0,418124.0,468264.0,532066.0,584541.0,624583.0,665840.0,672999.0,645511.0,716635.0,690111.0,712973.0,692500
10,10,11,11,11,11,11,11,749000.0,אברהם אבינו,2,1,64,0,4,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0,0,337185.0,405391.0,418124.0,468264.0,532066.0,584541.0,624583.0,665840.0,672999.0,645511.0,716635.0,690111.0,712973.0,692500
11,11,12,12,12,12,12,12,690000.0,אברהם אבינו 40,2,1,44,0,3,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,2,0,0,0,260000.0,358500.0,415000.0,457500.0,425000.0,471652.0,533433.0,562879.0,563493.0,595000.0,650000.0,565500.0,630000.0,530000
12,12,13,13,13,13,13,13,699000.0,אברהם אבינו 40,3,1,44,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,2,0,0,0,260000.0,358500.0,415000.0,457500.0,425000.0,471652.0,533433.0,562879.0,563493.0,595000.0,650000.0,565500.0,630000.0,530000
13,13,14,14,14,14,14,14,635000.0,אברהם אבינו 40,2,2,44,0,2,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2,2,0,0,0,260000.0,358500.0,415000.0,457500.0,425000.0,471652.0,533433.0,562879.0,563493.0,595000.0,650000.0,565500.0,630000.0,530000
14,14,15,15,15,15,15,15,629999.0,אברהם אבינו 49,2,2,40,0,2,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3,2,0,0,0,259356.0,265908.0,302500.0,344126.0,526250.0,584016.0,570000.0,637000.0,631345.0,647500.0,680098.0,687442.0,670800.0,580000
