,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,prices,streets,cities,floors,sizes,terraces,floors_in_building,parkings,aircondition,bars,elevators,water_headers,accessibility,shelters,storages,tadiran,furnitures,status,time_enter,sea_view,sukka,construction_evacuation,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,0,0,0,0,0,0,0,1900000.0,אברבנאל,1,1,75,1,6,2,1,1,1,1,0,1,0,1,0,4,1,0,0,0,863625.0,952996.0,922727.0,1004300.0,1056933.0,1284214.0,1343500.0,1449984.0,1482400.0,1309154.0,1556701.0,1849698.0,1796165.0,1800000
1,1,1,1,1,1,1,1,2100000.0,אברבנאל 58,2,2,85,1,4,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,813531.0,781481.0,910909.0,1061771.0,1104853.0,1119579.0,1274217.0,1427671.0,1290000.0,1330041.0,1323841.0,1321334.0,1521317.0,1912293
2,2,2,2,2,2,2,2,1950000.0,אברבנאל 97,1,1,75,2,5,2,1,1,1,1,1,1,0,1,0,0,1,0,0,2,863625.0,952996.0,922727.0,1004300.0,1056933.0,1284214.0,1343500.0,1449984.0,1482400.0,1309154.0,1556701.0,1849698.0,1796165.0,1800000
3,3,3,3,3,3,3,3,2130000.0,אלישע,3,2,75,1,4,2,1,1,1,1,1,1,0,0,0,2,0,0,0,0,1332496.0,1280000.0,1192500.0,1389999.0,1446399.0,1377500.0,1450000.0,1638500.0,1852500.0,1625000.0,1575000.0,1800000.0,2206000.0,2772938
4,4,4,4,4,4,4,4,1800000.0,בורוכוב 10,1,2,64,0,3,0,1,1,0,1,0,0,0,1,0,2,2,0,0,0,880000.0,994639.0,955453.0,1113693.0,1090000.0,1104528.0,1257087.0,1408478.0,1375000.0,1417679.0,1405000.0,1402340.0,1614583.0,2029528
5,5,5,5,5,5,5,5,2050000.0,בורוכוב 24,1,1,52,0,3,0,1,0,0,1,0,0,0,1,0,3,1,0,0,0,826116.0,793570.0,925000.0,1090000.0,1134228.0,1149345.0,1308095.0,1465629.0,1644876.0,1450000.0,1443241.0,1560000.0,1805000.0,2268882
6,6,6,6,6,6,6,6,2580000.0,ביאליק 15,1,2,44,1,2,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,785927.0,754964.0,880000.0,1025743.0,1067363.0,1080000.0,1229172.0,1377201.0,1545634.0,1593610.0,1586181.0,1583178.0,1650000.0,2074047
7,7,7,7,7,7,7,7,1750000.0,ביאליק 5,1,2,75,1,4,0,1,0,0,0,0,0,0,1,0,2,1,0,1,0,869166.0,929000.0,899700.0,1015600.0,1046666.0,1075277.0,1280000.0,967500.0,1379000.0,1520000.0,1467500.0,1433750.0,1641071.0,2062823
8,8,8,8,8,8,8,8,1920000.0,בנימין אברהם 10,1,1,80,0,2,0,1,0,0,1,0,0,0,0,0,2,1,0,0,0,863000.0,865000.0,848624.0,906000.0,962876.0,995333.0,1213333.0,1295000.0,1407500.0,1407500.0,1400000.0,1315833.0,1600000.0,2011197
9,9,9,9,9,9,9,9,2600000.0,ברק בני,4,1,100,1,4,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,1016000.0,1160213.0,1045899.0,1307497.0,1450000.0,1304674.0,1975000.0,1657222.0,1859901.0,1917632.0,1493333.0,1490505.0,1716092.0,2157125
10,10,10,10,10,10,10,10,1790000.0,ברק בני,4,0,65,0,4,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,1016000.0,1160213.0,1045899.0,1307497.0,1450000.0,1304674.0,1975000.0,1657222.0,1859901.0,1917632.0,1493333.0,1490505.0,1716092.0,2157125
11,11,11,11,11,11,11,11,2200000.0,ברק בני,4,2,70,0,2,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,1016000.0,1160213.0,1045899.0,1307497.0,1450000.0,1304674.0,1975000.0,1657222.0,1859901.0,1917632.0,1493333.0,1490505.0,1716092.0,2157125
12,12,12,12,12,12,12,12,2231111.0,ברק בני,4,2,68,1,6,0,0,0,1,0,0,1,0,0,0,4,1,0,1,0,1016000.0,1160213.0,1045899.0,1307497.0,1450000.0,1304674.0,1975000.0,1657222.0,1859901.0,1917632.0,1493333.0,1490505.0,1716092.0,2157125
13,13,13,13,13,13,13,13,2350000.0,ברק בני,4,4,82,0,6,0,1,1,1,1,0,1,0,0,0,4,2,0,0,0,1016000.0,1160213.0,1045899.0,1307497.0,1450000.0,1304674.0,1975000.0,1657222.0,1859901.0,1917632.0,1493333.0,1490505.0,1716092.0,2157125
14,14,15,15,15,15,15,15,2550000.0,דוד בן אברהם,6,2,0,0,4,3,1,1,1,0,0,1,1,0,0,3,1,0,0,0,1132003.0,1087406.0,1267500.0,1477420.0,1475433.0,1472500.0,1561250.0,1469999.0,1720000.0,1200000.0,1194406.0,2040000.0,2400000.0,3016796
15,15,16,16,16,16,16,16,1919999.0,דרך גוריון בן,7,4,90,1,4,0,1,1,0,0,0,0,0,1,0,1,2,0,0,0,798959.0,767483.0,894592.0,930892.0,943300.0,1073591.0,1202885.0,1350000.0,1515106.0,1562134.0,1554852.0,1551908.0,1786788.0,2245989
