,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,prices,streets,cities,floors,sizes,terraces,floors_in_building,parkings,aircondition,bars,elevators,water_headers,accessibility,shelters,storages,tadiran,furnitures,status,time_enter,sea_view,sukka,construction_evacuation,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,0,0,0,0,0,0,0,1250000.0,אברבנאל,1,0,70,0,2,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,1,0,0,0,635649.0,737500.0,855670.0,902451.0,690000.0,760478.0,913780.0,855658.0,580000.0,562375.0,683344.0,800000.0,895250.0,1050445
1,1,4,4,4,4,4,4,1250000.0,אורן 35,3,6,57,0,1,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3,2,1,0,0,650000.0,782629.0,908030.0,957674.0,960000.0,1150000.0,946000.0,1075000.0,1144739.0,1109953.0,890000.0,772500.0,875356.0,1270000
2,2,5,5,5,5,5,5,1030000.0,אחוה,4,4,65,2,4,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2,1,0,0,0,400000.0,463333.0,451752.0,471000.0,616468.0,623750.0,757500.0,820000.0,694000.0,710000.0,862724.0,644333.0,867500.0,1005000
3,3,7,7,7,7,7,7,829000.0,אחוה,4,4,65,0,0,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,0,400000.0,463333.0,451752.0,471000.0,616468.0,623750.0,757500.0,820000.0,694000.0,710000.0,862724.0,644333.0,867500.0,1005000
4,4,12,12,12,12,12,12,1150000.0,אינטרנשיונל,7,4,75,1,4,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,2,0,0,0,475000.0,520000.0,530000.0,600000.0,723333.0,797216.0,957924.0,850000.0,905143.0,860000.0,1015000.0,911250.0,1301333.0,1650000
5,5,13,13,13,13,13,13,1490000.0,אצל,8,2,85,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,311825.0,361790.0,555000.0,585343.0,585000.0,718000.0,862739.0,807863.0,860272.0,1060000.0,1288010.0,900000.0,1115000.0,1308289
6,6,16,16,16,16,16,16,1250000.0,ארלוזורוב 81,8,1,70,1,4,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2,2,0,0,0,731695.0,405060.0,423827.0,494108.0,610714.0,573427.0,619200.0,593181.0,1019375.0,618333.0,750000.0,750066.0,824651.0,890000
7,7,21,21,21,21,21,21,960000.0,בצלאל,12,1,60,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,0,0,0,360000.0,410000.0,474500.0,500441.0,472500.0,850000.0,1021348.0,412000.0,600000.0,581767.0,852000.0,904000.0,935375.0,1077000
8,8,22,22,22,22,22,22,1100000.0,בצלאל,12,1,90,1,3,0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3,0,0,0,0,360000.0,410000.0,474500.0,500441.0,472500.0,850000.0,1021348.0,412000.0,600000.0,581767.0,852000.0,904000.0,935375.0,1077000
9,9,25,25,25,25,25,25,1220000.0,ברנר 13,7,1,48,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,4,510674.0,592500.0,687436.0,725019.0,767494.0,845887.0,1016406.0,951756.0,1013500.0,982702.0,803000.0,970000.0,1112500.0,1305356
