,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,prices,streets,cities,floors,sizes,terraces,floors_in_building,parkings,aircondition,bars,elevators,water_headers,accessibility,shelters,storages,tadiran,furnitures,status,time_enter,sea_view,sukka,construction_evacuation,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,0,2,2,2,2,2,2,1890000.0,אורים,1,6,0,0,0,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1131755.0,1100000.0,1055000.0,1174152.0,1251795.0,1270000.0,1350000.0,1650000.0,1430000.0,1427500.0,1427598.0,1561000.0,1883000.0,1817919
1,1,3,3,3,3,3,3,2370000.0,אפעל,3,3,78,1,7,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4,2,0,0,0,1033294.0,1004302.0,1117729.0,1191642.0,1303040.0,1538711.0,1552570.0,1617795.0,1665883.0,1665999.0,1716833.0,1888570.0,1777333.0,1778000
2,2,7,7,7,7,7,7,2020000.0,ארגוב,1,3,67,0,3,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1,0,0,0,671531.0,652689.0,726405.0,774441.0,846838.0,1000000.0,1180862.0,1191497.0,1241552.0,1278456.0,1278544.0,1406438.0,1531866.0,1478921
3,3,8,8,8,8,8,8,2090000.0,ארגוב 5,1,1,70,0,3,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3,1,0,0,0,671531.0,652689.0,726405.0,774441.0,846838.0,1000000.0,1180862.0,1191497.0,1241552.0,1278456.0,1278544.0,1406438.0,1531866.0,1478921
4,4,11,11,11,11,11,11,1850000.0,בזל 5,6,4,53,0,4,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0,0,732090.0,711549.0,791913.0,844281.0,923207.0,1090181.0,1100000.0,1109906.0,1000000.0,1029724.0,1029795.0,1132806.0,1233831.0,1191187
5,5,12,12,12,12,12,12,2050000.0,בילו,5,2,68,1,2,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0,0,890000.0,1090000.0,1059416.0,1179067.0,1253333.0,1295000.0,1522500.0,1536212.0,1565333.0,1205700.0,1261666.0,1511500.0,1524714.0,1472016
6,6,14,14,14,14,14,14,2185000.0,ברקן 14,4,1,82,1,6,1,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2,2,0,0,0,1085470.0,1055014.0,1174169.0,1251814.0,1368837.0,1616408.0,1630966.0,1699484.0,1750000.0,1650000.0,1650114.0,1815177.0,1977057.0,1908725
7,7,15,15,15,15,15,15,1990000.0,גוריון בן,7,5,75,0,6,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3,2,0,0,0,965000.0,975000.0,950000.0,1160000.0,1225000.0,1235000.0,1347500.0,1204819.0,1195000.0,1275800.0,1580000.0,1560166.0,1940833.0,1890000
8,8,16,16,16,16,16,16,1790000.0,גוריון בן,7,5,70,0,6,1,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3,2,0,0,0,965000.0,975000.0,950000.0,1160000.0,1225000.0,1235000.0,1347500.0,1204819.0,1195000.0,1275800.0,1580000.0,1560166.0,1940833.0,1890000
9,9,17,17,17,17,17,17,1990000.0,גוריון בן,7,2,70,1,6,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3,0,0,0,0,965000.0,975000.0,950000.0,1160000.0,1225000.0,1235000.0,1347500.0,1204819.0,1195000.0,1275800.0,1580000.0,1560166.0,1940833.0,1890000
10,10,18,18,18,18,18,18,2050000.0,גוריון בן,6,5,60,0,6,1,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2,2,0,0,0,965000.0,975000.0,950000.0,1160000.0,1225000.0,1235000.0,1347500.0,1204819.0,1195000.0,1275800.0,1580000.0,1560166.0,1940833.0,1890000
11,11,19,19,19,19,19,19,2090000.0,גוריון בן 26,7,2,64,1,5,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0,1,0,0,0,908460.0,882970.0,982694.0,1047677.0,1145617.0,1352816.0,1365000.0,1377293.0,1435153.0,1353000.0,1550000.0,1485000.0,1617434.0,1561531
12,12,20,20,20,20,20,20,1890000.0,גוריון בן 36,7,5,64,1,7,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3,1,0,0,0,878236.0,853594.0,950000.0,1160000.0,1236707.0,1235000.0,1330000.0,1341978.0,750000.0,812500.0,812556.0,1683333.0,1862500.0,1798127
13,13,21,21,21,21,21,21,1690000.0,הבעשט,1,3,70,0,3,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0,0,952110.0,925396.0,1029912.0,1098018.0,1200664.0,1417820.0,1430590.0,1490690.0,1535000.0,1580626.0,1580735.0,1738858.0,1893932.0,1828473
14,14,22,22,22,22,22,22,1595000.0,הבעשט,1,3,75,0,3,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2,1,0,0,0,952110.0,925396.0,1029912.0,1098018.0,1200664.0,1417820.0,1430590.0,1490690.0,1535000.0,1580626.0,1580735.0,1738858.0,1893932.0,1828473
15,15,23,23,23,23,23,23,1790000.0,הבעשט,1,2,82,1,3,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1,0,0,0,952110.0,925396.0,1029912.0,1098018.0,1200664.0,1417820.0,1430590.0,1490690.0,1535000.0,1580626.0,1580735.0,1738858.0,1893932.0,1828473
16,16,24,24,24,24,24,24,1870000.0,הבעשט 16,1,2,70,0,3,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0,0,952110.0,925396.0,1029912.0,1098018.0,1200664.0,1417820.0,1430590.0,1490690.0,1535000.0,1580626.0,1580735.0,1738858.0,1893932.0,1828473
17,17,27,27,27,27,27,27,1850000.0,הברוש,9,2,85,0,2,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,2,0,0,0,828253.0,805014.0,895934.0,955180.0,1044473.0,1233379.0,1244488.0,1296770.0,1335316.0,1335409.0,1468992.0,1600000.0,1742690.0,1682458
18,18,28,28,28,28,28,28,1826764.0,הגרא,1,3,65,0,3,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2,1,0,0,0,850000.0,936666.0,793000.0,882562.0,1000000.0,1022000.0,1200000.0,1210807.0,1305833.0,1122462.0,1098192.0,1284454.0,1321250.0,1275584
19,19,29,29,29,29,29,29,1826764.0,הגרא,1,3,70,0,3,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3,2,0,0,0,850000.0,936666.0,793000.0,882562.0,1000000.0,1022000.0,1200000.0,1210807.0,1305833.0,1122462.0,1098192.0,1284454.0,1321250.0,1275584
20,20,30,30,30,30,30,30,1795000.0,הגרא,1,4,67,0,4,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,0,0,0,850000.0,936666.0,793000.0,882562.0,1000000.0,1022000.0,1200000.0,1210807.0,1305833.0,1122462.0,1098192.0,1284454.0,1321250.0,1275584
21,21,31,31,31,31,31,31,1690000.0,הגרא,1,3,75,0,3,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,1,0,0,0,850000.0,936666.0,793000.0,882562.0,1000000.0,1022000.0,1200000.0,1210807.0,1305833.0,1122462.0,1098192.0,1284454.0,1321250.0,1275584
22,22,32,32,32,32,32,32,1795000.0,הגרא,1,2,65,0,4,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3,2,0,0,0,850000.0,936666.0,793000.0,882562.0,1000000.0,1022000.0,1200000.0,1210807.0,1305833.0,1122462.0,1098192.0,1284454.0,1321250.0,1275584
23,23,34,34,34,34,34,34,1820000.0,הגרא 25,1,2,75,0,4,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3,2,0,0,0,850000.0,936666.0,793000.0,882562.0,1000000.0,1022000.0,1200000.0,1210807.0,1305833.0,1122462.0,1098192.0,1284454.0,1321250.0,1275584
24,24,35,35,35,35,35,35,1750000.0,הגרא 34,1,3,75,0,3,3,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3,1,0,0,0,850000.0,936666.0,793000.0,882562.0,1000000.0,1022000.0,1200000.0,1210807.0,1305833.0,1122462.0,1098192.0,1284454.0,1321250.0,1275584
25,25,36,36,36,36,36,36,1720000.0,הגרא 8,1,3,66,0,3,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1,0,0,0,683307.0,664135.0,739144.0,788022.0,861689.0,1017537.0,1026702.0,1069835.0,1101636.0,1101713.0,1211919.0,1320000.0,1437719.0,1388028
26,26,37,37,37,37,37,37,2177727.0,ההגנה,2,1,90,0,3,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2,1,0,0,0,920000.0,1125000.0,945000.0,1051729.0,1122500.0,1200000.0,1417034.0,1325301.0,1380977.0,1361250.0,1445000.0,1570000.0,1742000.0,1681792
27,27,41,41,41,41,41,41,1750000.0,הוז דב,4,3,72,0,3,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2,0,0,0,0,845000.0,820000.0,796991.0,913439.0,973842.0,1040000.0,1228096.0,1100000.0,1280000.0,1303916.0,1126142.0,1220518.0,1419000.0,1369956
28,28,42,42,42,42,42,42,1790000.0,הוז דב,4,2,66,0,3,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1,0,0,0,845000.0,820000.0,796991.0,913439.0,973842.0,1040000.0,1228096.0,1100000.0,1280000.0,1303916.0,1126142.0,1220518.0,1419000.0,1369956
