,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,prices,streets,cities,floors,sizes,terraces,floors_in_building,parkings,aircondition,bars,elevators,water_headers,accessibility,shelters,storages,tadiran,furnitures,status,time_enter,sea_view,sukka,construction_evacuation,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,0,0,0,0,0,0,0,2000000.0,בארי 1,1,6,70,0,6,0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3,2,0,0,0,642350.0,550332.0,986466.0,1090728.0,1136256.0,1146373.0,1120000.0,1230000.0,1070562.0,1193274.0,1280121.0,1359048.0,1609872.0,1733960
1,1,1,1,1,1,1,1,2390000.0,בארי 34,1,0,78,0,5,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3,1,0,0,0,1027141.0,880000.0,753937.0,1351425.0,1494259.0,1556629.0,1570488.0,1534357.0,1335467.0,1488543.0,1596879.0,1695336.0,2008225.0,2163018
2,2,2,2,2,2,2,2,2350000.0,ביאליק,2,3,90,0,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,990000.0,586666.0,1050000.0,1882115.0,2081039.0,2167902.0,2187204.0,2136885.0,1650000.0,1839129.0,1972981.0,1879166.0,1870000.0,2014139
3,3,3,3,3,3,3,3,1780000.0,בלפור 1,3,1,39,1,3,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0,0,622456.0,533288.0,955915.0,1056948.0,1101066.0,1110870.0,1085314.0,944632.0,1052910.0,1129542.0,1199186.0,1420507.0,1530000.0,1647932
4,4,4,4,4,4,4,4,2000000.0,בן אבי 39,4,2,90,0,8,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0,0,689035.0,590329.0,1058160.0,1170000.0,1293659.0,1150000.0,1515000.0,1480146.0,1288283.0,1200000.0,1287336.0,1495000.0,1770915.0,1907416
5,5,5,5,5,5,5,5,2190000.0,בנימין 48,4,1,48,0,4,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1,0,0,0,945436.0,810000.0,693965.0,1243926.0,1375398.0,1432807.0,1100000.0,1212500.0,1055330.0,1176296.0,1350000.0,1470000.0,1741301.0,1875520
6,6,6,6,6,6,6,6,2050000.0,בנימין 57,4,4,68,0,7,0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2,1,0,0,0,669595.0,573674.0,1028306.0,1136990.0,1184449.0,1194996.0,1167505.0,1016169.0,1132647.0,1215082.0,1290000.0,1369536.0,1650000.0,1777181
7,7,7,7,7,7,7,7,2600000.0,בנימין 80,5,1,80,3,9,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2,1,0,0,0,701110.0,600674.0,1076703.0,1190502.0,1240195.0,1251238.0,1222453.0,1063994.0,1185954.0,1272269.0,1350713.0,1600000.0,1895294.0,2041382
8,8,8,8,8,8,8,8,2750000.0,בנימין בני,6,2,100,1,4,1,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2,1,1,0,0,800930.0,686195.0,1229999.0,1360000.0,1444000.0,1504273.0,1410546.0,1378095.0,1755000.0,1956165.0,2098535.0,1770000.0,2096669.0,2258279
9,9,11,11,11,11,11,11,1830000.0,גבע,4,5,85,0,7,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3,1,1,0,0,937500.0,1362820.0,900900.0,941271.0,980000.0,1170000.0,1207834.0,1382500.0,1412500.0,1135916.0,1218588.0,1338333.0,1700000.0,1831035
10,10,12,12,12,12,12,12,1750000.0,גבע 1,4,1,85,1,3,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2,1,0,0,0,937500.0,1362820.0,900900.0,941271.0,980000.0,1170000.0,1207834.0,1382500.0,1412500.0,1135916.0,1218588.0,1338333.0,1700000.0,1831035
11,11,14,14,14,14,14,14,1990000.0,ד גורדון א 31,2,4,81,0,4,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2,1,0,0,0,650294.0,557138.0,998666.0,1104218.0,1150309.0,1160552.0,1133853.0,986879.0,1100000.0,1300000.0,1394614.0,1480600.0,1753858.0,1889044
12,12,15,15,15,15,15,15,2500000.0,ד גורדון א 46,2,1,92,1,4,0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3,2,0,0,0,650294.0,557138.0,998666.0,1104218.0,1150309.0,1160552.0,1133853.0,986879.0,1100000.0,1300000.0,1394614.0,1480600.0,1753858.0,1889044
13,13,16,16,16,16,16,16,3350000.0,דיזנגוף,7,20,91,1,8,1,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,4,1,1,0,0,908750.0,990684.0,859666.0,1540943.0,1366666.0,1369119.0,1564704.0,1528706.0,1753150.0,1954102.0,2096322.0,1681718.0,1922666.0,3050000
14,14,17,17,17,17,17,17,1590000.0,דיזנגוף 37,4,3,65,0,5,1,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2,2,0,0,0,1000000.0,1453675.0,1126000.0,2018345.0,2231667.0,1300000.0,1311574.0,1480000.0,1420000.0,1582766.0,1236666.0,1500000.0,1514500.0,1631237
15,15,18,18,18,18,18,18,1690000.0,הברבור,8,2,72,0,2,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1,0,0,0,960000.0,836666.0,716811.0,835000.0,1025000.0,1300000.0,1225833.0,1197631.0,1250000.0,1393279.0,1360000.0,1462500.0,1790000.0,1927972
16,16,20,20,20,20,20,20,2250000.0,הגליל 29,4,2,90,0,4,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0,0,0,612476.0,524737.0,940587.0,1040000.0,1290000.0,1343845.0,1355810.0,1324618.0,1152915.0,1285066.0,1378593.0,1463591.0,1733710.0,1867343
17,17,21,21,21,21,21,21,2285000.0,הגלעד,9,4,95,1,7,2,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2,1,0,0,0,910000.0,1322844.0,1133342.0,2031505.0,2246218.0,2339976.0,2360810.0,2306497.0,2007519.0,2237628.0,2400483.0,2548487.0,3018833.0,3251523
