,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,prices,streets,cities,floors,sizes,terraces,floors_in_building,parkings,aircondition,bars,elevators,water_headers,accessibility,shelters,storages,tadiran,furnitures,status,time_enter,sea_view,sukka,construction_evacuation,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,0,2,2,2,2,2,2,1950000.0,ביאליק,3,3,80,0,3,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3,1,0,0,0,841250.0,911239.0,830000.0,1000000.0,1187500.0,1225000.0,1400000.0,1200000.0,1500000.0,1287500.0,1537500.0,1488125.0,1781277.0,1870000
1,1,4,4,4,4,4,4,1850000.0,בלפור 8,5,3,68,0,3,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2,2,0,0,0,1019405.0,1025666.0,1020453.0,1068412.0,1161999.0,1176156.0,1272999.0,1295482.0,1331120.0,1332067.0,1395000.0,1460905.0,1584254.0,1931351
2,2,5,5,5,5,5,5,1820000.0,בנימיני אמיר,6,2,70,0,4,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1,0,0,0,996735.0,1002857.0,997760.0,1044653.0,1136158.0,1150000.0,1164009.0,1300000.0,1200000.0,1307000.0,1290000.0,1255833.0,1361867.0,1660240
3,3,6,6,6,6,6,6,1795000.0,בנימיני אמיר 3,6,2,62,0,3,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0,0,918337.0,923977.0,919281.0,962485.0,1046793.0,1059546.0,1146788.0,1167042.0,1199147.0,1200000.0,1290000.0,1350944.0,1465009.0,1785980
4,4,7,7,7,7,7,7,2170000.0,ברנר,7,7,92,0,9,1,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2,1,0,0,0,540679.0,544000.0,504666.0,502100.0,525697.0,571744.0,578709.0,626359.0,950000.0,976133.0,1050000.0,892388.0,1222607.0,1565000
5,5,8,8,8,8,8,8,1650000.0,ברנר,7,3,58,0,3,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,540679.0,544000.0,504666.0,502100.0,525697.0,571744.0,578709.0,626359.0,950000.0,976133.0,1050000.0,892388.0,1222607.0,1565000
6,6,9,9,9,9,9,9,1670000.0,ברנר 1,7,3,0,0,4,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3,1,0,0,0,767293.0,772006.0,768082.0,804180.0,874622.0,885278.0,958171.0,975094.0,1001918.0,1002631.0,1050000.0,1099606.0,1455000.0,1773778
7,7,10,10,10,10,10,10,1770000.0,ברנר 25,7,3,0,0,3,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3,2,0,0,0,714289.0,718676.0,715023.0,748628.0,814204.0,824124.0,891982.0,907736.0,932707.0,933371.0,977468.0,1060000.0,1149499.0,1401344
8,8,11,11,11,11,11,11,1690000.0,ברנר 25,7,1,0,0,3,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1,0,0,0,714289.0,718676.0,715023.0,748628.0,814204.0,824124.0,891982.0,907736.0,932707.0,933371.0,977468.0,1060000.0,1149499.0,1401344
9,9,12,12,12,12,12,12,2450000.0,גדרה,8,4,70,1,5,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1,0,0,0,1015000.0,1099444.0,1207500.0,1201362.0,1360000.0,1479127.0,1625000.0,1758800.0,1789862.0,1839099.0,1840406.0,1695000.0,797500.0,972225
10,10,13,13,13,13,13,13,1600000.0,גרשון אגרון,9,2,65,0,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1,0,0,0,642500.0,695953.0,700226.0,900000.0,829333.0,995000.0,1007121.0,1090045.0,1120000.0,1380000.0,1380981.0,1170000.0,1567500.0,1910926
11,11,14,14,14,14,14,14,1889000.0,הגרא,10,2,80,1,4,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3,1,0,0,0,995572.0,1001686.0,996595.0,1043433.0,1134832.0,1148658.0,1243237.0,1265195.0,1300000.0,1335761.0,1225000.0,1390000.0,1507362.0,1837612
12,12,15,15,15,15,15,15,2100000.0,הגרא 16,10,3,70,1,6,1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4,1,0,0,0,983834.0,989876.0,984845.0,1031131.0,1121452.0,1135115.0,1228579.0,1250278.0,1284673.0,1285587.0,1346324.0,1460000.0,1583273.0,1930155
13,13,17,17,17,17,17,17,1610000.0,ההגנה,1,4,60,0,4,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,2,0,0,0,800000.0,772500.0,797500.0,930183.0,975000.0,990000.0,1002060.0,1100000.0,1180000.0,1254000.0,1015416.0,1275208.0,1447357.0,1685000
14,14,18,18,18,18,18,18,1640000.0,ההגנה 12,1,2,60,0,4,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2,1,0,0,0,762719.0,767403.0,763503.0,799386.0,869408.0,880000.0,890720.0,1220000.0,1110000.0,1290000.0,1120000.0,1235000.0,1175000.0,1432432
15,15,19,19,19,19,19,19,2080000.0,הוז דב,12,2,90,1,4,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3,1,0,0,0,1124965.0,1131874.0,1126121.0,1179046.0,1282323.0,1297945.0,1404816.0,1429627.0,1468955.0,1470000.0,1471045.0,1492222.0,1560000.0,1901783
16,16,20,20,20,20,20,20,1986333.0,הזוהר,3,3,77,0,3,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3,1,0,0,0,745422.0,750000.0,754605.0,750769.0,786053.0,854906.0,865320.0,936569.0,1245000.0,1279248.0,1529000.0,1620000.0,1685000.0,2054169
