,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,prices,streets,cities,floors,sizes,terraces,floors_in_building,parkings,aircondition,bars,elevators,water_headers,accessibility,shelters,storages,tadiran,furnitures,status,time_enter,sea_view,sukka,construction_evacuation,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,0,1,1,1,1,1,1,1730000.0,אברמוביץ,1,2,80,0,4,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,2,0,0,0,995000.0,990000.0,1024333.0,1112500.0,1120000.0,1305000.0,1500000.0,1472500.0,1518929.0,1478625.0,1495000.0,1497916.0,1785000.0,930000
1,1,2,2,2,2,2,2,2300000.0,אברמוביץ,1,2,105,0,8,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3,1,0,0,0,995000.0,990000.0,1024333.0,1112500.0,1120000.0,1305000.0,1500000.0,1472500.0,1518929.0,1478625.0,1495000.0,1497916.0,1785000.0,930000
2,2,3,3,3,3,3,3,2090000.0,אברמוביץ,1,1,85,0,4,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,0,0,0,995000.0,990000.0,1024333.0,1112500.0,1120000.0,1305000.0,1500000.0,1472500.0,1518929.0,1478625.0,1495000.0,1497916.0,1785000.0,930000
3,3,4,4,4,4,4,4,1830000.0,אברמוביץ,1,1,85,0,3,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,995000.0,990000.0,1024333.0,1112500.0,1120000.0,1305000.0,1500000.0,1472500.0,1518929.0,1478625.0,1495000.0,1497916.0,1785000.0,930000
4,4,6,6,6,6,6,6,2100000.0,אושה 5,2,3,63,1,3,1,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3,1,0,0,0,912371.0,936991.0,1000000.0,1067245.0,1095248.0,1225967.0,1400832.0,1510069.0,1523125.0,1530000.0,1516121.0,1639838.0,1901528.0,1937218
5,5,7,7,7,7,7,7,1770000.0,אנילביץ,3,2,60,1,2,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3,2,0,0,0,660000.0,633750.0,650850.0,755145.0,774959.0,855000.0,1116666.0,1004012.0,910000.0,1173437.0,1230468.0,1385357.0,1466000.0,2000000
6,6,12,12,12,12,12,12,2220000.0,ביתר 3,1,1,63,1,4,1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2,2,0,0,0,786250.0,1003236.0,905000.0,907500.0,931311.0,1042464.0,1200000.0,1293576.0,1304760.0,1315008.0,1303079.0,1409411.0,1634329.0,1665004
7,7,13,13,13,13,13,13,2040000.0,בן אריה אליעזר,4,4,85,0,4,0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3,1,0,0,0,761169.0,781709.0,834276.0,856167.0,958352.0,1095047.0,1180440.0,1190647.0,1200000.0,1209425.0,1198454.0,1296249.0,1503108.0,1531320
8,8,14,14,14,14,14,14,1670000.0,ברנדיס,5,4,68,0,4,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1,0,0,0,840000.0,870000.0,705000.0,847500.0,869737.0,1000000.0,1046666.0,1128285.0,1415000.0,1351666.0,1458095.0,989500.0,1472500.0,1500137
9,9,15,15,15,15,15,15,2460000.0,גבעתי 1,5,5,77,1,9,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4,1,0,0,0,985382.0,1011972.0,1080023.0,1108362.0,1240647.0,1417607.0,1528154.0,1541368.0,1553475.0,1539384.0,1665000.0,1800865.0,2088252.0,2127447
