,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,prices,streets,cities,floors,sizes,terraces,floors_in_building,parkings,aircondition,bars,elevators,water_headers,accessibility,shelters,storages,tadiran,furnitures,status,time_enter,sea_view,sukka,construction_evacuation,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,0,0,0,0,0,0,0,2850000.0,אדירים 1,1,3,45,1,4,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0,0,1,1086630.0,1082500.0,1078385.0,1329067.0,2515330.0,2847010.0,3198223.0,3750768.0,3703142.0,4042619.0,6029870.0,910000.0,1098993.0,1184971
1,1,1,1,1,1,1,1,4850000.0,אוסישקין,2,1,78,0,5,1,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3,1,0,0,0,2208831.0,2108000.0,2365000.0,2600000.0,2150000.0,3728000.0,1970000.0,2310349.0,3983333.0,4348496.0,6486109.0,3866500.0,1881666.0,2028876
2,2,2,2,2,2,2,2,3850000.0,אחימאיר אבא,3,7,68,0,8,1,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3,1,1,0,0,1800000.0,1700000.0,2373333.0,1960000.0,2150000.0,2450000.0,2752237.0,2650000.0,2750000.0,3675850.0,5482807.0,4697088.0,5672605.0,6116396
3,3,3,3,3,3,3,3,3950000.0,אחימאיר אבא,3,2,68,0,8,1,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2,1,0,0,0,1800000.0,1700000.0,2373333.0,1960000.0,2150000.0,2450000.0,2752237.0,2650000.0,2750000.0,3675850.0,5482807.0,4697088.0,5672605.0,6116396
4,4,4,4,4,4,4,4,3850000.0,אחימאיר אבא,4,7,68,0,8,1,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3,1,1,0,0,1800000.0,1700000.0,2373333.0,1960000.0,2150000.0,2450000.0,2752237.0,2650000.0,2750000.0,3675850.0,5482807.0,4697088.0,5672605.0,6116396
5,5,5,5,5,5,5,5,3583500.0,איגר 14,5,1,67,1,6,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4,0,0,0,0,505249.0,503329.0,561636.0,1062927.0,1203089.0,1351505.0,1585000.0,1858834.0,1835231.0,2003472.0,2988329.0,3682638.0,4447468.0,4795411
6,6,6,6,6,6,6,6,4000000.0,איגר 14,5,5,70,1,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0,0,0,505249.0,503329.0,561636.0,1062927.0,1203089.0,1351505.0,1585000.0,1858834.0,1835231.0,2003472.0,2988329.0,3682638.0,4447468.0,4795411
7,7,7,7,7,7,7,7,2800000.0,אינשטין 14,6,2,76,1,2,1,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4,1,0,0,0,1650000.0,1845708.0,1838692.0,2051690.0,1980285.0,2241412.0,2517917.0,2952928.0,2915432.0,3182698.0,4747233.0,5850207.0,3778700.0,4074323
8,8,8,8,8,8,8,8,3780000.0,אלחריזי,2,2,68,0,3,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0,0,0,1452500.0,1624782.0,1618606.0,2148090.0,1925000.0,3350000.0,3220000.0,3776307.0,3728356.0,4070145.0,6070927.0,3765000.0,4546936.0,4902661
9,9,9,9,9,9,9,9,3900000.0,אלחריזי,2,1,62,1,4,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3,1,0,0,0,1452500.0,1624782.0,1618606.0,2148090.0,1925000.0,3350000.0,3220000.0,3776307.0,3728356.0,4070145.0,6070927.0,3765000.0,4546936.0,4902661
10,10,10,10,10,10,10,10,3900000.0,אלחריזי,2,1,64,1,3,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,2,0,0,0,1452500.0,1624782.0,1618606.0,2148090.0,1925000.0,3350000.0,3220000.0,3776307.0,3728356.0,4070145.0,6070927.0,3765000.0,4546936.0,4902661
11,11,12,12,12,12,12,12,2580000.0,אלמגור,1,2,60,1,4,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,2,0,0,0,987500.0,1115000.0,1120000.0,1138333.0,2154356.0,1650000.0,1853547.0,114000.0,112552.0,122869.0,183268.0,225848.0,272753.0,294091
12,12,13,13,13,13,13,13,5500000.0,אלנבי,7,2,75,1,4,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3,1,0,0,0,1810000.0,2024686.0,1300000.0,1450595.0,2745329.0,3107337.0,4205000.0,4931482.0,4868863.0,5315205.0,7928028.0,2255000.0,3620000.0,3903207
13,13,14,14,14,14,14,14,10500000.0,אלנבי 1,8,8,104,1,0,1,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,3,0,1,0,0,1810000.0,2024686.0,1300000.0,1450595.0,2745329.0,3107337.0,4205000.0,4931482.0,4868863.0,5315205.0,7928028.0,2255000.0,3620000.0,3903207
14,14,15,15,15,15,15,15,6500000.0,אלנבי 9,8,2,98,1,4,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4,1,0,0,0,1340426.0,1335332.0,1490020.0,2819944.0,3191792.0,3585539.0,4205000.0,4931482.0,4868863.0,5315205.0,7928028.0,9770029.0,11799122.0,12722216
15,15,16,16,16,16,16,16,3500000.0,אמסטרדם,2,2,60,0,3,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,0,0,0,0,2202937.0,1776450.0,3050000.0,2436000.0,4610261.0,2860000.0,3212815.0,3767881.0,2720000.0,2969350.0,3350000.0,2500000.0,4400000.0,4744230
16,16,17,17,17,17,17,17,2490000.0,אפלטון,9,6,80,0,7,0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4,0,1,0,0,717728.0,715000.0,712282.0,794794.0,860000.0,973402.0,1093482.0,1066066.0,1052529.0,1149017.0,1713845.0,1607500.0,2475000.0,2668629
17,17,18,18,18,18,18,18,2490000.0,אפלטון,9,5,80,1,7,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,1,0,0,717728.0,715000.0,712282.0,794794.0,860000.0,973402.0,1093482.0,1066066.0,1052529.0,1149017.0,1713845.0,1607500.0,2475000.0,2668629
18,18,19,19,19,19,19,19,2750000.0,אפלטון,10,5,96,1,7,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,1,0,0,717728.0,715000.0,712282.0,794794.0,860000.0,973402.0,1093482.0,1066066.0,1052529.0,1149017.0,1713845.0,1607500.0,2475000.0,2668629
19,19,20,20,20,20,20,20,3100000.0,ארלוזורוב,11,2,70,1,4,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,2,0,0,0,1626174.0,1680020.0,1799875.0,2212911.0,2741915.0,2359150.0,2955833.0,4049060.0,2780000.0,3034850.0,3132500.0,3529885.0,3405900.0,2870000
20,20,22,22,22,22,22,22,3380000.0,ארנון,12,3,63,0,3,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,0,0,2000000.0,2237222.0,2228718.0,2486897.0,3050000.0,3452183.0,3878051.0,4548047.0,4490297.0,4901935.0,7311605.0,4650000.0,5615737.0,6055079
21,21,23,23,23,23,23,23,3150000.0,ארנון 17,12,0,58,1,3,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,0,0,0,0,2000000.0,2237222.0,2228718.0,2486897.0,3050000.0,3452183.0,3878051.0,4548047.0,4490297.0,4901935.0,7311605.0,4650000.0,5615737.0,6055079
22,22,26,26,26,26,26,26,6290000.0,בארט 5,14,3,108,1,5,1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4,1,0,0,2,785067.0,782084.0,872683.0,1651601.0,1869388.0,2100000.0,2359060.0,2766626.0,2731496.0,2981900.0,4447728.0,5481114.0,2637500.0,2843842
23,23,27,27,27,27,27,27,6550000.0,בבלי,15,22,107,1,2,2,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,4,1,0,0,0,2191500.0,2054444.0,2133125.0,2247670.0,2250000.0,2701391.0,2332861.0,2735900.0,1423189.0,1553656.0,3190000.0,5715526.0,3669036.0,3956079
24,24,28,28,28,28,28,28,4090000.0,בבלי,15,4,83,0,8,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,0,0,2191500.0,2054444.0,2133125.0,2247670.0,2250000.0,2701391.0,2332861.0,2735900.0,1423189.0,1553656.0,3190000.0,5715526.0,3669036.0,3956079
25,25,29,29,29,29,29,29,4100000.0,בוגרשוב,8,3,75,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0,0,0,1641250.0,1625000.0,1853333.0,1770000.0,2783000.0,3149976.0,3538563.0,4149907.0,3190000.0,3300000.0,4922198.0,3407600.0,2467000.0,2660003
26,26,30,30,30,30,30,30,5900000.0,בוגרשוב 68,8,0,79,0,5,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0,0,1641250.0,1625000.0,1853333.0,1770000.0,2783000.0,3149976.0,3538563.0,4149907.0,3190000.0,3300000.0,4922198.0,3407600.0,2467000.0,2660003
27,27,31,31,31,31,31,31,2320000.0,בושם,16,8,75,0,8,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3,1,0,0,0,1106875.0,919500.0,960694.0,878956.0,987939.0,1267449.0,1250000.0,1465957.0,1400000.0,1611250.0,2403300.0,692000.0,1490000.0,1606568
28,28,32,32,32,32,32,32,2300000.0,בושם 28,16,1,54,1,4,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,0,59307.0,59082.0,65927.0,124772.0,141226.0,158648.0,186058.0,183696.0,200537.0,299117.0,368615.0,445172.0,480000.0,517552
29,29,33,33,33,33,33,33,2300000.0,בושם 28,16,1,54,1,4,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,0,59307.0,59082.0,65927.0,124772.0,141226.0,158648.0,186058.0,183696.0,200537.0,299117.0,368615.0,445172.0,480000.0,517552
30,30,34,34,34,34,34,34,2680000.0,בושם 74,16,8,80,1,8,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0,0,912346.0,908879.0,1014166.0,1131649.0,1245000.0,1409170.0,1583008.0,1856498.0,1832924.0,1610000.0,2401436.0,2959386.0,3574007.0,3853616
31,31,35,35,35,35,35,35,4100000.0,בזל,2,3,80,1,3,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2,2,0,0,0,1840000.0,2575000.0,2565212.0,2432500.0,3013876.0,2750000.0,3089245.0,4410000.0,3656410.0,3991603.0,5953776.0,5762500.0,5120000.0,5520558
32,32,36,36,36,36,36,36,4500000.0,בזל,2,3,75,0,4,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,0,0,1840000.0,2575000.0,2565212.0,2432500.0,3013876.0,2750000.0,3089245.0,4410000.0,3656410.0,3991603.0,5953776.0,5762500.0,5120000.0,5520558
33,33,37,37,37,37,37,37,5490000.0,בזל,2,7,70,0,8,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0,0,1840000.0,2575000.0,2565212.0,2432500.0,3013876.0,2750000.0,3089245.0,4410000.0,3656410.0,3991603.0,5953776.0,5762500.0,5120000.0,5520558
34,34,38,38,38,38,38,38,4750000.0,בזל 21,2,3,66,0,5,0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,4,2,0,0,2,1840000.0,2575000.0,2565212.0,2432500.0,3013876.0,2750000.0,3089245.0,4410000.0,3656410.0,3991603.0,5953776.0,5762500.0,5120000.0,5520558
35,35,39,39,39,39,39,39,5000000.0,בירון,12,2,76,1,4,1,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,3,1,0,0,0,1018403.0,1014533.0,1132059.0,2142484.0,2425000.0,2744768.0,3083368.0,3616070.0,3570154.0,3897440.0,3100000.0,3820255.0,4115000.0,4436933
36,36,40,40,40,40,40,40,3350000.0,בית אל,1,1,81,1,4,1,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,4,0,0,0,1,1400000.0,1357342.0,1270250.0,1770858.0,1715322.0,1916000.0,2372500.0,2782388.0,2000000.0,2183345.0,3256623.0,2975500.0,3509000.0,3783523
37,37,41,41,41,41,41,41,3300000.0,בית אל 20,1,10,87,1,0,1,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,4,1,0,0,0,1400000.0,1357342.0,1270250.0,1770858.0,1715322.0,1916000.0,2372500.0,2782388.0,2000000.0,2183345.0,3256623.0,2975500.0,3509000.0,3783523
38,38,43,43,43,43,43,43,10250000.0,בלפור,8,3,0,1,4,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,0,0,0,0,1850000.0,3160000.0,2250000.0,3084650.0,5837866.0,3290000.0,4200000.0,4925618.0,4863074.0,4065000.0,6063253.0,3437000.0,3300000.0,3558172
39,39,44,44,44,44,44,44,12900000.0,בלפור,8,0,0,0,4,2,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4,1,0,0,0,1850000.0,3160000.0,2250000.0,3084650.0,5837866.0,3290000.0,4200000.0,4925618.0,4863074.0,4065000.0,6063253.0,3437000.0,3300000.0,3558172
