,index,prices,streets,cities,floors,sizes,terraces,floors_in_building,parkings,aircondition,bars,elevators,water_headers,accessibility,shelters,renovated,storages,tadiran,furnitures,status,time_enter,sea_view,sukka
0,1,"1,510,000 ₪",אבות ישורון מפה,"דירה, רובע ה', אשדוד",1,86,none,"קומות בבנין
7","חניות
1",1,1,1,1,1,0,0,0,1,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה מיידית",0,0
1,2,"1,510,000 ₪",אבות ישורון מפה,"דירה, רובע ה', אשדוד",1,86,none,"קומות בבנין
7","חניות
1",1,1,1,1,1,0,0,0,1,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה מיידית",0,0
2,3,"2,250,000 ₪",אדר מפה,"דירה, רובע י""ב, אשדוד",4,95,"מרפסות
1","קומות בבנין
6","חניות
1",1,0,1,1,1,1,1,0,1,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0
3,4,"1,970,000 ₪",אדר מפה,"דירה, רובע י""ב, אשדוד",1,90,"מרפסות
1","קומות בבנין
8","חניות
1",1,0,1,1,1,1,0,0,0,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0
4,5,"1,970,000 ₪",אדר מפה,"דירה, רובע י""ב, אשדוד",1,90,"מרפסות
1","קומות בבנין
8","חניות
1",1,0,1,1,1,1,0,0,0,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0
5,6,"1,590,000 ₪",אחד העם,"דירה, רובע ה', אשדוד",2,71,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
6,7,"2,250,000 ₪",אייר 16,"דירה, רובע י""ב, אשדוד",7,110,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
7,8,לא צוין מחיר,אייר מפה,"דירה, רובע י""ב, אשדוד",7,100,"מרפסות
1","קומות בבנין
11","חניות
1",1,0,1,1,1,1,0,0,1,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0
8,9,לא צוין מחיר,אייר מפה,"דירה, רובע י""ב, אשדוד",7,100,"מרפסות
1","קומות בבנין
11","חניות
1",1,0,1,1,1,1,0,0,1,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0
9,10,"2,199,000 ₪",אייר מפה,"דירה, רובע י""ב, אשדוד",8,105,"מרפסות
1","קומות בבנין
11","חניות
1",1,0,1,1,1,1,0,1,1,0,"מצב הנכס
במצב שמור","תאריך כניסה
לא צוין תאריך כניסה",0,0
10,11,"1,599,000 ₪",אליקים המלך 1 מפה,"דירה, רובע י""ג, אשדוד",1,82,"מרפסות
2","קומות בבנין
2","חניות
1",1,1,0,0,0,0,1,0,0,0,"מצב הנכס
משופץ","תאריך כניסה
לא צוין תאריך כניסה",0,0
11,12,"1,790,000 ₪",אליקים המלך מפה,"דירה, רובע י""ג, אשדוד",2,86,none,"קומות בבנין
2","חניות
1",1,0,0,1,1,0,1,0,1,0,"מצב הנכס
משופץ","תאריך כניסה
לא צוין תאריך כניסה",0,0
12,13,"1,790,000 ₪",אליקים המלך מפה,"דירה, רובע י""ג, אשדוד",2,86,none,"קומות בבנין
2","חניות
1",1,0,0,1,1,0,1,0,1,0,"מצב הנכס
משופץ","תאריך כניסה
לא צוין תאריך כניסה",0,0
13,14,"1,850,000 ₪",אלכסנדר פן מפה,"דירה, רובע ה', אשדוד",7,90,"מרפסות
1","קומות בבנין
9","חניות
1",1,0,1,1,1,1,0,0,1,0,"מצב הנכס
חדש","תאריך כניסה
כניסה גמישה",0,0
