,index,prices,streets,cities,floors,sizes,terraces,floors_in_building,parkings,aircondition,bars,elevators,water_headers,accessibility,shelters,renovated,storages,tadiran,furnitures,status,time_enter,sea_view,sukka
0,1,"995,000 ₪",אביגדור המאירי 8 מפה,"דירה, נווה זאב, נאות אילן, באר שבע",4,80,none,"קומות בבנין
8","חניות
1",1,0,1,0,0,0,1,0,1,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0
1,2,"940,000 ₪",אביגדור המאירי מפה,"דירה, נווה זאב, נאות אילן, באר שבע",4,84,none,"קומות בבנין
8","חניות
ללא",1,0,1,0,1,0,1,0,0,0,"מצב הנכס
משופץ","תאריך כניסה
לא צוין תאריך כניסה",0,0
2,3,"750,000 ₪",אבן עזרא 91,"דירה, שכונה ד', באר שבע",3,75,none,"קומות בבנין
3","חניות
ללא",1,0,0,1,0,0,1,1,0,0,none,"תאריך כניסה
כניסה מיידית",0,0
3,4,"680,000 ₪",אבן עזרא מפה,"דירה, באר שבע",2,70,none,"קומות בבנין
3","חניות
ללא",0,0,0,1,0,0,0,0,1,0,"מצב הנכס
במצב שמור","תאריך כניסה
לא צוין תאריך כניסה",0,0
4,5,"780,000 ₪",אבן עזרא מפה,"דירה, באר שבע",2,78,none,"קומות בבנין
3","חניות
1",1,1,0,1,0,0,0,0,1,1,"מצב הנכס
משופץ","תאריך כניסה
כניסה מיידית",0,0
5,6,"680,000 ₪",אבן עזרא מפה,"דירה, באר שבע",2,70,none,"קומות בבנין
3","חניות
ללא",0,0,0,1,0,0,0,0,1,0,"מצב הנכס
במצב שמור","תאריך כניסה
לא צוין תאריך כניסה",0,0
6,7,"620,000 ₪",אבן עזרא מפה,"דירה, שכונה ד', באר שבע",3,78,none,"קומות בבנין
3","חניות
ללא",1,1,0,1,0,0,0,0,1,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה מיידית",0,0
7,8,"885,000 ₪",אברבנאל 38 מפה,"דירה, שכונה י""א, באר שבע",2,76,none,"קומות בבנין
4","חניות
ללא",1,1,0,1,0,0,1,0,1,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0
8,9,"665,000 ₪",אברהם אבינו,"דירה, שכונה ד', באר שבע",3,58,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
9,10,"635,000 ₪",אברהם אבינו 40 מפה,"דירה, שכונה ד', באר שבע",2,50,none,"קומות בבנין
2","חניות
ללא",1,0,0,1,0,0,0,0,0,1,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה מיידית",0,0
10,11,"690,000 ₪",אברהם אבינו 40 מפה,"דירה, שכונה ד', באר שבע",1,65,none,"קומות בבנין
3","חניות
ללא",1,0,0,0,0,0,0,0,0,1,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה מיידית",0,0
11,12,"699,000 ₪",אברהם אבינו 40 מפה,"דירה, באר שבע",1,52,none,"קומות בבנין
3","חניות
ללא",0,0,0,0,0,0,0,0,0,1,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה מיידית",0,0
12,13,"840,000 ₪",אברהם אבינו 49,"דירה, שכונה ד', באר שבע",1,58,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
13,14,"629,999 ₪",אברהם אבינו 49 מפה,"דירה, שכונה ד', באר שבע",2,55,none,"קומות בבנין
2","חניות
ללא",1,1,0,1,0,0,1,0,1,1,"מצב הנכס
משופץ","תאריך כניסה
כניסה מיידית",0,0
14,15,"690,000 ₪",אברהם אבינו 65 מפה,"דירה, שכונה ד', באר שבע",1,60,none,"קומות בבנין
4","חניות
ללא",1,1,0,0,0,0,0,1,0,1,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה מיידית",0,0
15,16,"740,000 ₪",אברהם אבינו 67 מפה,"דירה, שכונה ד', באר שבע",1,65,none,"קומות בבנין
3","חניות
ללא",1,1,0,1,0,0,0,0,0,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה מיידית",0,0
16,17,"860,000 ₪",אברהם אבינו 9 מפה,"דירה, שכונה ד', באר שבע",3,65,none,"קומות בבנין
3","חניות
ללא",1,1,0,1,0,0,1,0,1,1,"מצב הנכס
משופץ","תאריך כניסה
לא צוין תאריך כניסה",0,0
17,18,"895,000 ₪",אברהם אבינו מפה,"דירה, שכונה ד', באר שבע",2,67,none,"קומות בבנין
2","חניות
ללא",1,0,0,1,0,0,1,0,0,1,"מצב הנכס
משופץ","תאריך כניסה
כניסה מיידית",0,0
18,19,"665,000 ₪",אברהם אבינו מפה,"דירה, שכונה ד', באר שבע",3,58,none,"קומות בבנין
3","חניות
1",1,0,0,1,0,0,1,0,1,1,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0
19,20,"630,000 ₪",אברהם אבינו מפה,"דירה, שכונה ד', באר שבע",2,50,none,"קומות בבנין
2","חניות
ללא",1,1,0,1,0,0,1,0,1,1,"מצב הנכס
משופץ","תאריך כניסה
כניסה מיידית",0,0
20,21,לא צוין מחיר,אברהם אבינו מפה,"דירה, שכונה ד', באר שבע",3,57,none,"קומות בבנין
3","חניות
1",1,1,0,1,0,0,1,0,0,1,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה מיידית",0,0
21,22,"895,000 ₪",אברהם אבינו מפה,"דירה, שכונה ד', באר שבע",2,67,none,"קומות בבנין
2","חניות
ללא",1,0,0,1,0,0,1,0,0,1,"מצב הנכס
משופץ","תאריך כניסה
כניסה מיידית",0,0
22,23,"735,000 ₪",אברהם אבינו מפה,"דירה, שכונה ד', באר שבע",2,65,none,"קומות בבנין
3","חניות
1",1,1,0,0,0,0,1,0,0,0,"מצב הנכס
משופץ","תאריך כניסה
לא צוין תאריך כניסה",0,0
23,24,"670,000 ₪",אברהם אבינו מפה,"דירה, שכונה ד', באר שבע",3,50,none,"קומות בבנין
3","חניות
ללא",1,0,0,1,0,0,1,0,0,1,"מצב הנכס
משופץ","תאריך כניסה
כניסה מיידית",0,0
24,25,"770,000 ₪",אברהם אבינו מפה,"דירה, שכונה ד', באר שבע",3,50,none,"קומות בבנין
3","חניות
1",0,0,0,0,0,0,1,0,0,1,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה מיידית",0,0
25,26,"770,000 ₪",אברהם אבינו מפה,"דירה, שכונה ד', באר שבע",3,50,none,"קומות בבנין
3","חניות
1",0,0,0,0,0,0,1,0,0,1,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה מיידית",0,0
26,27,"650,000 ₪",אברהם אבינו מפה,"דירה, שכונה ד', באר שבע",3,65,none,"קומות בבנין
3","חניות
1",1,0,0,0,0,0,0,0,0,0,"מצב הנכס
משופץ","תאריך כניסה
לא צוין תאריך כניסה",0,0
27,28,"715,000 ₪",אברהם אבינו מפה,"דירה, שכונה ד', באר שבע",2,80,none,"קומות בבנין
3","חניות
ללא",1,1,0,1,0,0,1,0,1,1,"מצב הנכס
במצב שמור","תאריך כניסה
לא צוין תאריך כניסה",0,0
28,29,"749,000 ₪",אברהם אבינו מפה,"דירה, שכונה ד', באר שבע",1,64,none,"קומות בבנין
4","חניות
ללא",1,0,0,1,0,0,1,0,0,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0
29,30,"895,000 ₪",אברהם אבינו מפה,"דירה, שכונה ד', באר שבע",2,67,none,"קומות בבנין
2","חניות
ללא",1,0,0,1,0,0,1,0,0,1,"מצב הנכס
משופץ","תאריך כניסה
כניסה מיידית",0,0
30,31,"1,650,000 ₪",אברהם יפה מפה,"דירה, באר שבע",1,104,"מרפסות
1","קומות בבנין
1","חניות
1",1,0,0,1,0,1,1,0,0,0,"מצב הנכס
חדש","תאריך כניסה
כניסה גמישה",0,0
31,32,"1,650,000 ₪",אברהם יפה מפה,"דירה, באר שבע",1,104,"מרפסות
1","קומות בבנין
1","חניות
1",1,0,0,1,0,1,1,0,0,0,"מצב הנכס
חדש","תאריך כניסה
כניסה גמישה",0,0
32,33,"1,050,000 ₪",אהרון מסקין מפה,"דירה, נווה מנחם, באר שבע",3,94,"מרפסות
2","קומות בבנין
3","חניות
ללא",1,1,1,1,1,1,1,0,0,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה מיידית",0,1
33,34,"785,000 ₪",אהרון ציזלינג 11 מפה,"דירה, באר שבע",3,73,none,"קומות בבנין
3","חניות
ללא",1,0,0,0,0,0,0,0,0,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה מיידית",0,0
34,35,"765,000 ₪",אהרון ציזלינג 18 מפה,"דירה, שכונה י""א, באר שבע",3,78,none,"קומות בבנין
3","חניות
ללא",1,1,0,0,0,0,0,0,0,1,"מצב הנכס
במצב שמור","תאריך כניסה
31/05/2023",0,0
35,36,"890,000 ₪",אהרון ציזלינג 4 מפה,"דירה, שכונה י""א, באר שבע",1,79,none,"קומות בבנין
4","חניות
ללא",1,0,0,1,0,0,0,0,1,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0
