,index,prices,streets,cities,floors,sizes,terraces,floors_in_building,parkings,aircondition,bars,elevators,water_headers,accessibility,shelters,renovated,storages,tadiran,furnitures,status,time_enter,sea_view,sukka
0,1,"2,050,000 ₪",אבן גבירול 13 מפה,"דירה, גבעת סוקולוב, בני ברק",1,75,none,"קומות בבנין
3","חניות
ללא",1,1,0,1,0,0,1,1,1,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0
1,2,"2,100,000 ₪",אברבנאל 58 מפה,"דירה, קרית הרצוג, בני ברק",2,85,"מרפסות
1","קומות בבנין
4","חניות
ללא",1,0,0,0,0,0,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
לא צוין תאריך כניסה",0,0
2,3,"1,950,000 ₪",אברבנאל 97,"דירה, פרדס כץ, בני ברק",1,75,"מרפסות
2","קומות בבנין
5","חניות
2",1,1,1,1,1,1,0,0,1,0,none,"תאריך כניסה
כניסה גמישה",0,0
3,4,"1,900,000 ₪",אברבנאל מפה,"דירה, פרדס כץ, בני ברק",1,75,"מרפסות
1","קומות בבנין
6","חניות
2",1,1,1,1,0,1,1,0,1,0,"מצב הנכס
חדש","תאריך כניסה
כניסה גמישה",0,0
4,5,"2,550,000 ₪",אברהם בן דוד מפה,"דירה, קרית ויז'ניץ, בני ברק",2,1,none,"קומות בבנין
4","חניות
3",1,1,1,0,0,1,1,1,0,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0
5,6,"2,300,000 ₪",אהרון דב פוקס מפה,"דירה, בני ברק",2,80,none,"קומות בבנין
3","חניות
1",1,1,0,1,0,0,1,0,0,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0
6,7,"1,500,000 ₪",אור החיים מפה,"דירה, אור החיים, בני ברק",3,60,"מרפסות
1","קומות בבנין
4","חניות
ללא",1,0,1,1,1,0,1,0,0,0,"מצב הנכס
חדש","תאריך כניסה
כניסה גמישה",0,1
7,8,"2,190,000 ₪",אור החיים מפה,"דירה, אור החיים, בני ברק",4,73,"מרפסות
1","קומות בבנין
7","חניות
ללא",1,1,1,1,1,1,1,0,0,0,"מצב הנכס
חדש","תאריך כניסה
לא צוין תאריך כניסה",0,0
8,9,"2,130,000 ₪",אלישע מפה,"דירה, מרכז העיר, בני ברק",2,75,"מרפסות
1","קומות בבנין
4","חניות
2",1,1,1,1,1,1,1,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
לא צוין תאריך כניסה",0,0
9,10,"1,800,000 ₪",בורוכוב 10 מפה,"דירה, פרדס כץ, בני ברק",2,70,none,"קומות בבנין
3","חניות
ללא",1,1,0,1,0,0,0,0,1,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה מיידית",0,0
10,11,"2,050,000 ₪",בורוכוב 24 מפה,"דירה, פרדס כץ, בני ברק",1,80,none,"קומות בבנין
3","חניות
ללא",1,0,0,1,0,0,1,0,1,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0
11,12,"2,580,000 ₪",ביאליק 15,"דירה, פרדס כץ, בני ברק",2,168,"מרפסות
1","קומות בבנין
2","חניות
ללא",1,0,0,0,0,0,0,0,0,0,none,"תאריך כניסה
כניסה מיידית",0,1
12,13,"1,750,000 ₪",ביאליק 5 מפה,"דירה, פרדס כץ, בני ברק",2,75,"מרפסות
1","קומות בבנין
4","חניות
ללא",1,0,0,0,0,0,0,0,1,0,"מצב הנכס
במצב שמור","תאריך כניסה
01/09/2023",0,1
13,14,"2,350,000 ₪",בני ברק מפה,"דירה, בני ברק",4,82,none,"קומות בבנין
6","חניות
ללא",1,1,1,1,0,1,1,0,0,0,"מצב הנכס
חדש","תאריך כניסה
כניסה מיידית",0,0
14,15,לא צוין מחיר,בני ברק מפה,"דירה, בני ברק",2,68,"מרפסות
1","קומות בבנין
6","חניות
ללא",0,0,1,0,0,1,1,0,0,0,"מצב הנכס
חדש מקבלן","תאריך כניסה
כניסה גמישה",0,1
15,16,"2,600,000 ₪",בני ברק מפה,"דירה, בני ברק",1,100,"מרפסות
1","קומות בבנין
4","חניות
ללא",0,0,0,1,0,0,0,0,0,0,"מצב הנכס
דרוש שיפוץ","תאריך כניסה
כניסה מיידית",0,0
16,17,"2,200,000 ₪",בני ברק מפה,"דירה, בני ברק",2,70,none,"קומות בבנין
2","חניות
ללא",1,0,0,0,0,0,0,0,0,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה מיידית",0,0
17,18,"1,790,000 ₪",בני ברק מפה,"דירה, בני ברק",קרקע,65,none,"קומות בבנין
4","חניות
ללא",0,0,0,0,1,0,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0
18,19,"1,920,000 ₪",בנימין אברהם 10 מפה,"דירה, פרדס כץ, בני ברק",1,80,none,"קומות בבנין
2","חניות
ללא",1,0,0,1,0,0,1,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0
19,20,"2,250,000 ₪",בר כוכבא מפה,"דירה, אזור תעשיה צפון, בני ברק",קרקע,60,"מרפסות
1","קומות בבנין
3","חניות
ללא",1,0,0,0,1,0,1,0,1,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0
20,21,"1,870,000 ₪",דב הוז 21 מפה,"דירה, פרדס כץ, בני ברק",1,80,"מרפסות
1","קומות בבנין
3","חניות
ללא",1,0,0,1,0,0,0,0,1,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה מיידית",0,0
21,22,"2,030,000 ₪",דב הוז 30 מפה,"דירה, פרדס כץ, בני ברק",1,67,none,"קומות בבנין
3","חניות
ללא",1,1,0,1,0,0,1,1,0,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה מיידית",0,1
22,23,"1,900,000 ₪",דב הוז מפה,"דירה, פרדס כץ, בני ברק",2,70,none,"קומות בבנין
6","חניות
ללא",1,1,1,1,1,1,1,1,1,0,"מצב הנכס
חדש","תאריך כניסה
לא צוין תאריך כניסה",0,0
23,24,"1,850,000 ₪",דוד המלך מפה,"דירה, הר שלום, בני ברק",2,70,"מרפסות
1","קומות בבנין
4","חניות
ללא",1,0,0,1,0,0,0,0,1,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0
24,25,"1,919,999 ₪",דרך בן גוריון מפה,"דירה, אזור תעשיה צפון, בני ברק",4,90,"מרפסות
1","קומות בבנין
4","חניות
ללא",1,1,0,0,0,0,1,0,1,0,"מצב הנכס
דרוש שיפוץ","תאריך כניסה
כניסה מיידית",0,0
25,26,"2,280,000 ₪",דרך בן גוריון מפה,"דירה, בני ברק",2,80,"מרפסות
1","קומות בבנין
5","חניות
1",1,0,1,1,0,0,1,0,1,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0
26,27,"2,340,000 ₪",דרך בן גוריון מפה,"דירה, הר שלום, בני ברק",1,93,none,"קומות בבנין
3","חניות
ללא",1,0,0,0,0,0,1,0,0,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0
27,28,"1,590,000 ₪",דרך זאב ז'בוטינסקי 37 מפה,"דירה, תל גיבורים, בני ברק",קרקע,50,none,"קומות בבנין
4","חניות
ללא",0,0,0,0,0,0,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0
28,29,"1,890,000 ₪",דרך זאב ז'בוטינסקי 41 מפה,"דירה, תל גיבורים, בני ברק",2,60,"מרפסות
1","קומות בבנין
4","חניות
1",1,1,0,1,0,0,1,0,0,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה מיידית",0,0
29,30,"2,560,000 ₪",דרך זאב ז'בוטינסקי 97 מפה,"דירה, בני ברק",2,85,none,"קומות בבנין
3","חניות
ללא",1,0,0,1,0,0,1,0,0,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה מיידית",0,0
30,31,"1,919,999 ₪",דרך זאב ז'בוטינסקי מפה,"דירה, הר שלום, בני ברק",4,90,none,"קומות בבנין
4","חניות
ללא",1,1,0,1,0,0,0,0,1,0,"מצב הנכס
דרוש שיפוץ","תאריך כניסה
כניסה מיידית",0,0
31,32,"1,920,000 ₪",דרך זאב ז'בוטינסקי מפה,"דירה, הר שלום, בני ברק",4,90,"מרפסות
1","קומות בבנין
4","חניות
ללא",1,0,0,0,0,0,0,0,1,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0
32,33,"1,919,999 ₪",דרך זאב ז'בוטינסקי מפה,"דירה, הר שלום, בני ברק",4,90,none,"קומות בבנין
4","חניות
ללא",1,1,0,1,0,0,0,0,1,0,"מצב הנכס
דרוש שיפוץ","תאריך כניסה
כניסה מיידית",0,0
33,34,לא צוין מחיר,"האדמו""ר מקוצק 41 מפה","דירה, נווה און, בני ברק",3,70,"מרפסות
1","קומות בבנין
4","חניות
ללא",1,1,1,1,0,0,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0
34,35,"1,750,000 ₪",החלוצים מפה,"דירה, יסודות, בני ברק",4,70,"מרפסות
1","קומות בבנין
5","חניות
ללא",0,0,1,1,1,1,0,0,0,0,"מצב הנכס
חדש מקבלן","תאריך כניסה
לא צוין תאריך כניסה",0,0
35,36,"1,750,000 ₪",המכבים מפה,"דירה, בני ברק",3,76,"מרפסות
1","קומות בבנין
7","חניות
ללא",0,0,0,0,0,0,0,0,0,0,"מצב הנכס
חדש מקבלן","תאריך כניסה
12/02/2026",0,0
36,37,"1,790,000 ₪",המכבים מפה,"דירה, פרדס כץ, בני ברק",7,65,none,"קומות בבנין
7","חניות
ללא",1,1,1,1,1,1,1,0,0,0,"מצב הנכס
חדש","תאריך כניסה
כניסה גמישה",1,0
37,38,"1,980,000 ₪",המכבים מפה,"דירה, פרדס כץ, בני ברק",2,67,"מרפסות
1","קומות בבנין
6","חניות
ללא",1,0,1,1,0,1,1,0,0,0,"מצב הנכס
חדש","תאריך כניסה
לא צוין תאריך כניסה",0,0
38,39,"1,580,000 ₪","הפועל המזרחי ג', שיכון ג' מפה","דירה, הפועל המזרחי ג', שיכון ג', בני ברק",קרקע,80,"מרפסות
1","קומות בבנין
3","חניות
ללא",0,0,0,0,0,0,0,0,0,0,"מצב הנכס
משופץ","תאריך כניסה
10/10/2023",0,0
39,40,"2,200,000 ₪","הפועל המזרחי ה', שיכון ה' מפה","דירה, הפועל המזרחי ה', שיכון ה', בני ברק",5,80,none,"קומות בבנין
6","חניות
ללא",0,0,1,1,1,1,1,0,0,0,"מצב הנכס
חדש מקבלן","תאריך כניסה
כניסה גמישה",0,0
40,41,"1,900,000 ₪",הר שלום מפה,"דירה, הר שלום, בני ברק",4,90,none,"קומות בבנין
4","חניות
ללא",0,0,0,0,0,0,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0
41,42,"2,460,000 ₪",הרב אברהם יצחק הכהן קוק 32 מפה,"דירה, הר שלום, בני ברק",3,95,"מרפסות
1","קומות בבנין
3","חניות
ללא",1,1,0,1,0,0,1,0,0,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,1
42,43,"2,250,000 ₪",הרב בר אילן מפה,"דירה, בני ברק",5,75,"מרפסות
1","קומות בבנין
7","חניות
ללא",0,0,1,0,1,1,1,0,0,0,"מצב הנכס
חדש מקבלן","תאריך כניסה
כניסה מיידית",1,0
43,44,"2,200,000 ₪",הרב בר אילן מפה,"דירה, הפועל המזרחי ה', שיכון ה', בני ברק",2,110,"מרפסות
1","קומות בבנין
3","חניות
ללא",1,1,0,1,0,0,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
לא צוין תאריך כניסה",0,0
44,45,"1,900,000 ₪",הרב דנגור 12 מפה,"דירה, פרדס כץ, בני ברק",3,70,none,"קומות בבנין
4","חניות
ללא",1,0,0,1,0,0,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0
45,46,"1,780,000 ₪",הרב דנגור 7 מפה,"דירה, פרדס כץ, בני ברק",2,60,none,"קומות בבנין
4","חניות
ללא",1,1,0,1,0,0,1,0,0,1,"מצב הנכס
משופץ","תאריך כניסה
כניסה מיידית",0,0
46,47,"1,500,000 ₪",הרב דנגור 8 מפה,"דירה, פרדס כץ, בני ברק",קרקע,60,none,"קומות בבנין
4","חניות
1",0,0,0,0,1,0,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה מיידית",0,0
47,48,"1,640,000 ₪",הרב דנגור מפה,"דירה, פרדס כץ, בני ברק",4,55,none,"קומות בבנין
4","חניות
ללא",1,0,0,0,0,0,0,0,1,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0
48,49,"1,730,000 ₪",הרב דנגור מפה,"דירה, פרדס כץ, בני ברק",1,85,"מרפסות
1","קומות בבנין
4","חניות
ללא",0,1,0,1,0,0,1,0,0,0,"מצב הנכס
משופץ","תאריך כניסה
לא צוין תאריך כניסה",0,0
49,50,"2,100,000 ₪",הרב ישראל אבו חצירא 1 מפה,"דירה, פרדס כץ, בני ברק",1,80,"מרפסות
2","קומות בבנין
4","חניות
ללא",1,1,0,1,0,0,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה מיידית",0,0
50,51,"1,700,000 ₪",הרב ישראל אבו חצירא 35 מפה,"דירה, פרדס כץ, בני ברק",4,60,none,"קומות בבנין
4","חניות
1",1,0,0,1,0,0,0,0,1,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0
51,52,"2,225,000 ₪",הרב משולם ראט 4 מפה,"דירה, יסודות, בני ברק",5,74,none,"קומות בבנין
6","חניות
ללא",1,0,1,1,0,1,0,0,0,0,"מצב הנכס
חדש","תאריך כניסה
08/06/2023",0,0
52,53,"1,870,000 ₪",הרב נורוק מפה,"דירה, קרית הרצוג, בני ברק",3,67,none,"קומות בבנין
4","חניות
ללא",0,1,0,0,0,0,1,0,0,0,"מצב הנכס
משופץ","תאריך כניסה
לא צוין תאריך כניסה",0,0
53,54,"2,050,000 ₪",הרב נורוק מפה,"דירה, קרית הרצוג, בני ברק",3,125,"מרפסות
1","קומות בבנין
3","חניות
ללא",0,1,0,1,0,0,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
לא צוין תאריך כניסה",0,0
54,55,"2,650,000 ₪",הרב פוברסקי 22 מפה,"דירה, רמת אהרון, בני ברק",3,90,none,"קומות בבנין
4","חניות
ללא",1,0,0,0,0,0,1,0,0,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה מיידית",0,0
55,56,"2,750,000 ₪",הרב פוברסקי 6 מפה,"דירה, רמת אהרון, בני ברק",3,70,none,"קומות בבנין
3","חניות
ללא",1,0,0,0,0,0,0,0,0,0,"מצב הנכס
דרוש שיפוץ","תאריך כניסה
כניסה מיידית",0,0
56,57,"1,900,000 ₪",הרב קובלסקי מפה,"דירה, קרית הרצוג, בני ברק",3,67,none,"קומות בבנין
4","חניות
ללא",1,1,1,1,0,0,1,0,0,0,"מצב הנכס
משופץ","תאריך כניסה
לא צוין תאריך כניסה",0,0
57,58,"2,170,000 ₪",הרב ריינס מפה,"דירה, רמת אהרון, בני ברק",3,73,"מרפסות
1","קומות בבנין
6","חניות
ללא",1,0,1,1,1,1,1,0,0,0,"מצב הנכס
חדש","תאריך כניסה
לא צוין תאריך כניסה",0,0
58,59,"2,090,000 ₪","הרב ש""ך מפה","דירה, מרכז העיר, בני ברק",5,80,"מרפסות
1","קומות בבנין
6","חניות
ללא",1,0,1,1,0,1,1,0,0,0,"מצב הנכס
חדש","תאריך כניסה
כניסה מיידית",0,0
59,60,"1,750,000 ₪",הרב שבזי מפה,"דירה, גבעת סוקולוב, בני ברק",2,69,"מרפסות
1","קומות בבנין
4","חניות
ללא",1,1,0,1,0,0,1,0,0,0,"מצב הנכס
משופץ","תאריך כניסה
לא צוין תאריך כניסה",0,0
60,61,"2,400,000 ₪",הרצל מפה,"דירה, פרדס כץ, בני ברק",5,82,"מרפסות
1","קומות בבנין
5","חניות
ללא",1,1,1,1,1,1,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0
