,index,prices,streets,cities,floors,sizes,terraces,floors_in_building,parkings,aircondition,bars,elevators,water_headers,accessibility,shelters,renovated,storages,tadiran,furnitures,status,time_enter,sea_view,sukka
0,1,"920,000 ₪",אבא הלל סילבר 113 מפה,"דירה, יזרעאליה, חיפה",12,80,"מרפסות
1","קומות בבנין
19","חניות
1",1,0,1,0,1,0,0,1,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה מיידית",0,0
1,2,"920,000 ₪",אבא הלל סילבר 113 מפה,"דירה, יזרעאליה, חיפה",12,80,"מרפסות
1","קומות בבנין
19","חניות
1",1,0,1,0,1,0,0,1,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה מיידית",0,0
2,3,"990,000 ₪",אבא הלל סילבר 49,"דירה, יזרעאליה, חיפה",4,60,none,"קומות בבנין
4","חניות
ללא",1,0,0,1,0,0,1,0,0,0,none,"תאריך כניסה
כניסה מיידית",0,0
3,4,"990,000 ₪",אבא הלל סילבר 49,"דירה, יזרעאליה, חיפה",4,60,none,"קומות בבנין
4","חניות
ללא",1,0,0,1,0,0,1,0,0,0,none,"תאריך כניסה
כניסה מיידית",0,0
4,5,"1,070,000 ₪",אבא הלל סילבר 53 מפה,"דירה, יזרעאליה, חיפה",2,60,none,"קומות בבנין
6","חניות
ללא",1,1,0,1,0,0,1,0,1,1,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0
5,6,"1,050,000 ₪",אבא הלל סילבר 73,"דירה, יזרעאליה, חיפה",1,70,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
6,7,"1,200,000 ₪",אבא הלל סילבר 9 מפה,"דירה, יזרעאליה, חיפה",5,70,none,"קומות בבנין
8","חניות
ללא",1,0,0,1,0,0,1,0,1,1,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0
7,8,"1,290,000 ₪",אבא הלל סילבר מפה,"דירה, חיפה",6,60,none,"קומות בבנין
8","חניות
ללא",1,0,1,1,1,0,1,0,1,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0
8,9,"1,090,000 ₪",אבא הלל סילבר מפה,"דירה, חיפה",4,75,none,"קומות בבנין
19","חניות
ללא",1,0,1,0,1,0,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0
9,10,"1,150,000 ₪",אבא הלל סילבר מפה,"דירה, יזרעאליה, חיפה",5,75,none,"קומות בבנין
112","חניות
ללא",1,0,1,1,1,0,1,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
לא צוין תאריך כניסה",0,0
10,11,"930,000 ₪",אבא הלל סילבר מפה,"דירה, חיפה",4,60,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
11,12,"1,150,000 ₪",אבא הלל סילבר מפה,"דירה, יזרעאליה, חיפה",5,75,none,"קומות בבנין
112","חניות
ללא",1,0,1,1,1,0,1,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
לא צוין תאריך כניסה",0,0
12,13,"930,000 ₪",אבא הלל סילבר מפה,"דירה, חיפה",4,60,none,"קומות בבנין
4","חניות
ללא",1,0,0,0,0,0,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0
13,14,"930,000 ₪",אבא הלל סילבר מפה,"דירה, חיפה",4,60,none,"קומות בבנין
4","חניות
ללא",1,0,0,0,0,0,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0
14,15,"930,000 ₪",אבא הלל סילבר מפה,"דירה, חיפה",4,60,none,"קומות בבנין
4","חניות
ללא",1,0,0,0,0,0,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0
15,16,"930,000 ₪",אבא הלל סילבר מפה,"דירה, חיפה",4,60,none,"קומות בבנין
4","חניות
ללא",1,0,0,0,0,0,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0
16,17,"750,000 ₪",אבא הלל סילבר מפה,"דירה, יזרעאליה, חיפה",2,65,none,"קומות בבנין
8","חניות
ללא",1,1,0,0,0,0,1,0,0,0,"מצב הנכס
משופץ","תאריך כניסה
לא צוין תאריך כניסה",0,0
17,18,"850,000 ₪",אבא הלל סילבר מפה,"דירה, יזרעאליה, חיפה",1,75,none,"קומות בבנין
4","חניות
ללא",1,1,0,1,0,0,1,0,1,1,"מצב הנכס
משופץ","תאריך כניסה
כניסה מיידית",0,0
18,19,"1,070,000 ₪",אבא הלל סילבר מפה,"דירה, יזרעאליה, חיפה",4,65,none,"קומות בבנין
4","חניות
ללא",1,0,0,0,0,0,0,0,0,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0
19,20,"1,070,000 ₪",אבא הלל סילבר מפה,"דירה, יזרעאליה, חיפה",4,65,none,"קומות בבנין
4","חניות
ללא",1,0,0,0,0,0,0,0,0,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0
20,21,"1,130,000 ₪",אבא הלל סילבר מפה,"דירה, יזרעאליה, חיפה",2,80,none,"קומות בבנין
19","חניות
1",1,0,1,0,1,0,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה מיידית",0,0
21,22,"1,130,000 ₪",אבא הלל סילבר מפה,"דירה, יזרעאליה, חיפה",2,80,none,"קומות בבנין
19","חניות
1",1,0,1,0,1,0,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה מיידית",0,0
22,23,"875,000 ₪",אבן עזרא מפה,"דירה, הרצליה, חיפה",1,60,none,"קומות בבנין
4","חניות
ללא",1,1,0,0,0,0,1,0,0,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה מיידית",0,0
23,24,"1,250,000 ₪",אברבנאל,"דירה, קרית חיים מערבית, חיפה",קרקע,70,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
24,25,"1,250,000 ₪",אברבנאל מפה,"דירה, קרית חיים מערבית, חיפה",קרקע,70,none,"קומות בבנין
2","חניות
ללא",1,0,0,0,0,0,0,1,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0
25,26,"1,790,000 ₪",אבשלום מפה,"דירה, כרמליה, חיפה",2,95,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
26,27,"1,790,000 ₪",אבשלום מפה,"דירה, כרמליה, חיפה",2,95,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
27,28,"1,050,000 ₪",אהרון צייטלין 2 מפה,"דירה, קרית חיים מזרחית, חיפה",1,71,none,"קומות בבנין
4","חניות
ללא",1,1,0,1,0,0,1,0,1,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0
28,29,"950,000 ₪",אהרון צייטלין 49,"דירה, קרית חיים מזרחית, חיפה",3,60,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
29,30,"995,000 ₪",אהרון צייטלין מפה,"דירה, קרית חיים מזרחית, חיפה",3,72,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
30,31,"995,000 ₪",אהרון צייטלין מפה,"דירה, קרית חיים מזרחית, חיפה",3,72,none,"קומות בבנין
3","חניות
ללא",1,0,0,0,0,0,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0
31,32,"1,530,000 ₪",אורן 1 מפה,"דירה, רמת בן גוריון, חיפה",9,90,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
32,33,"1,530,000 ₪",אורן 1 מפה,"דירה, רמת בן גוריון, חיפה",9,90,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
33,34,"1,250,000 ₪",אורן 35 מפה,"דירה, רמת בן גוריון, חיפה",6,75,none,"קומות בבנין
11","חניות
ללא",1,1,1,1,1,0,1,0,1,1,"מצב הנכס
משופץ","תאריך כניסה
כניסה מיידית",1,0
34,35,"1,250,000 ₪",אורן 35 מפה,"דירה, רמת בן גוריון, חיפה",6,75,none,"קומות בבנין
11","חניות
ללא",1,1,1,1,1,0,1,0,1,1,"מצב הנכס
משופץ","תאריך כניסה
כניסה מיידית",1,0
35,36,"829,000 ₪",אחווה מפה,"דירה, קרית אליהו, חיפה",4,65,nan,nan,nan,1,1,0,1,0,0,1,0,1,1,nan,nan,0,0
36,37,"1,330,000 ₪",אחווה מפה,"דירה, קרית אליהו, חיפה",3,75,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
37,38,"829,000 ₪",אחווה מפה,"דירה, קרית אליהו, חיפה",4,65,"מרפסות
1","קומות בבנין
4","חניות
ללא",1,1,0,1,0,0,1,0,1,1,"מצב הנכס
משופץ","תאריך כניסה
כניסה מיידית",0,0
38,39,"829,000 ₪",אחווה מפה,"דירה, קרית אליהו, חיפה",4,65,"מרפסות
1","קומות בבנין
4","חניות
ללא",1,1,0,1,0,0,1,0,1,1,"מצב הנכס
משופץ","תאריך כניסה
כניסה מיידית",0,0
