,index,prices,streets,cities,floors,sizes,terraces,floors_in_building,parkings,aircondition,bars,elevators,water_headers,accessibility,shelters,renovated,storages,tadiran,furnitures,status,time_enter,sea_view,sukka
0,1,"1,880,000 ₪",תירוש מפה,"דירה, גילה, ירושלים",3,65,"מרפסות
1","קומות בבנין
3","חניות
ללא",1,0,0,0,0,0,1,1,0,1,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,1
1,2,"2,300,000 ₪","שח""ל מפה","דירה, גבעת מרדכי, ירושלים",4,60,none,"קומות בבנין
7","חניות
1",1,1,1,1,1,0,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה מיידית",0,0
2,3,"3,650,000 ₪",הנוטרים מפה,"דירה, קטמונים, ירושלים",1,115,"מרפסות
1","קומות בבנין
2","חניות
ללא",1,0,0,0,0,0,0,0,0,0,"מצב הנכס
משופץ","תאריך כניסה
לא צוין תאריך כניסה",0,1
3,4,"2,137,000 ₪",המרגלית 304 מפה,"דירה, גילה, ירושלים",קרקע,65,none,"קומות בבנין
4","חניות
ללא",1,1,0,1,0,0,1,0,1,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה מיידית",0,1
4,5,"2,230,000 ₪",סולם יעקב 1 מפה,"דירה, רמות, ירושלים",2,60,none,"קומות בבנין
3","חניות
ללא",1,1,0,1,0,0,1,0,0,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0
5,6,"1,960,000 ₪",אלי תבין 22 מפה,"דירה, פסגת זאב, ירושלים",1,73,none,"קומות בבנין
3","חניות
1",0,0,0,1,1,1,0,1,1,1,"מצב הנכס
משופץ","תאריך כניסה
כניסה מיידית",0,0
6,7,"2,880,000 ₪",השופט חיים כהן 14 מפה,"דירה, ארנונה, ירושלים",8,86,"מרפסות
1","קומות בבנין
13","חניות
1",0,0,1,1,1,1,1,1,0,1,"מצב הנכס
חדש","תאריך כניסה
כניסה גמישה",0,0
7,8,"2,250,000 ₪",שאול אביגור 1 מפה,"דירה, חומת שמואל, הר חומה, ירושלים",5,66,"מרפסות
1","קומות בבנין
6","חניות
1",1,1,1,1,1,1,0,1,1,1,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,1
8,9,"4,000,000 ₪","הר""ן 8 מפה","דירה, רחביה, ירושלים",1,80,"מרפסות
2","קומות בבנין
2","חניות
ללא",1,1,0,0,0,0,1,0,0,1,"מצב הנכס
משופץ","תאריך כניסה
כניסה מיידית",0,0
9,10,"2,000,000 ₪",חוזה סן מרטין 11 מפה,"דירה, קטמונים, ירושלים",1,78,"מרפסות
1","קומות בבנין
3","חניות
1",1,1,1,1,1,1,1,1,1,0,"מצב הנכס
חדש מקבלן","תאריך כניסה
כניסה מיידית",0,0
10,11,"2,100,000 ₪",מעגלות הרב פרדס 411 מפה,"דירה, נווה יעקב, ירושלים",4,65,none,"קומות בבנין
4","חניות
ללא",1,0,0,0,0,0,1,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה מיידית",0,0
11,12,"2,555,000 ₪",בית ישראל 2 מפה,"דירה, בית ישראל, ירושלים",1,66,none,"קומות בבנין
2","חניות
ללא",1,0,0,1,1,0,0,0,0,0,"מצב הנכס
דרוש שיפוץ","תאריך כניסה
כניסה מיידית",0,0
12,13,"1,810,000 ₪",קדושי בבל 2 מפה,"דירה, ארמון הנציב, תלפיות מזרח, ירושלים",2,65,"מרפסות
1","קומות בבנין
3","חניות
ללא",1,0,0,1,0,0,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0
13,14,"2,500,000 ₪",שלמה באום 13 מפה,"דירה, חומת שמואל, הר חומה, ירושלים",1,70,"מרפסות
2","קומות בבנין
5","חניות
ללא",0,1,1,1,1,1,0,1,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0
14,15,"2,000,000 ₪",מבוא הצרי 6 מפה,"דירה, גילה, ירושלים",2,85,"מרפסות
2","קומות בבנין
4","חניות
ללא",1,0,1,1,1,1,0,1,1,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה מיידית",0,0
15,16,"2,550,000 ₪",קדיש לוז 16 מפה,"דירה, רמת שרת, ירושלים",5,64,"מרפסות
1","קומות בבנין
7","חניות
ללא",1,0,1,1,1,0,1,1,0,1,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",1,0
16,17,"2,140,000 ₪","שח""ל 1 מפה","דירה, גבעת מרדכי, ירושלים",2,43,none,"קומות בבנין
6","חניות
ללא",1,1,0,1,1,0,0,0,1,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,1
17,18,"2,300,000 ₪",השישה עשר 11 מפה,"דירה, פסגת זאב, ירושלים",1,80,"מרפסות
1","קומות בבנין
3","חניות
ללא",1,1,0,1,0,0,1,0,0,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0
18,19,"1,990,000 ₪",אדם 43 מפה,"דירה, ארמון הנציב, תלפיות מזרח, ירושלים",1,69,none,"קומות בבנין
3","חניות
ללא",1,0,0,1,0,0,0,1,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0
19,20,"2,020,000 ₪",עמנואל אולסבנגר 112 מפה,"דירה, קרית היובל, ירושלים",4,53,"מרפסות
1","קומות בבנין
8","חניות
ללא",1,1,0,1,0,0,1,0,1,0,"מצב הנכס
משופץ","תאריך כניסה
01/09/2023",1,0
20,21,"2,350,000 ₪",אברהם שטרן 1 מפה,"דירה, קרית היובל, ירושלים",4,55,"מרפסות
1","קומות בבנין
8","חניות
ללא",1,1,0,1,0,0,1,0,1,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0
21,22,"1,800,000 ₪",שלמה מפה,nan,קרקע,65,"מרפסות
1","קומות בבנין
3","חניות
ללא",1,1,0,1,0,0,0,0,1,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה מיידית",0,0
22,23,"2,690,000 ₪",חזון ציון מפה,"דירה, בית הכרם, רמת בית הכרם, ירושלים",6,68,"מרפסות
1","קומות בבנין
6","חניות
ללא",0,0,1,0,1,0,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0
23,24,"2,690,000 ₪","כ""ט בנובמבר מפה","דירה, קטמון הישנה, ירושלים",4,60,"מרפסות
1","קומות בבנין
4","חניות
ללא",1,0,0,1,0,0,1,0,0,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0
24,25,"2,700,000 ₪",שדרות הנשיא השישי מפה,"דירה, קרית הלאום, ירושלים",5,65,"מרפסות
1","קומות בבנין
8","חניות
1",1,0,1,1,1,1,1,1,0,0,"מצב הנכס
חדש","תאריך כניסה
כניסה גמישה",0,0
