,index,prices,streets,cities,floors,sizes,terraces,floors_in_building,parkings,aircondition,bars,elevators,water_headers,accessibility,shelters,renovated,storages,tadiran,furnitures,status,time_enter,sea_view,sukka
0,1,"1,990,000 ₪",א.ד. גורדון 31 מפה,"דירה, צפון מערב מרכז העיר, נתניה",4,81,none,"קומות בבנין
4","חניות
ללא",0,0,0,1,0,0,0,0,1,0,"מצב הנכס
במצב שמור","תאריך כניסה
01/07/2023",0,0
1,2,"2,500,000 ₪",א.ד. גורדון 46 מפה,"דירה, צפון מערב מרכז העיר, נתניה",1,92,"מרפסות
1","קומות בבנין
4","חניות
ללא",1,0,1,1,1,0,1,0,0,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה מיידית",0,0
2,3,"1,890,000 ₪",אברהם אבו שדיד 5 מפה,"דירה, נתניה",4,80,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
3,4,"1,670,000 ₪",אברהם שלונסקי 1 מפה,"דירה, קרית נורדאו, נתניה",8,68,none,"קומות בבנין
8","חניות
1",1,1,1,1,1,0,0,0,0,0,"מצב הנכס
דרוש שיפוץ","תאריך כניסה
כניסה מיידית",1,0
4,5,"1,650,000 ₪",אברהם שלונסקי 3 מפה,"דירה, קרית נורדאו, נתניה",8,70,none,"קומות בבנין
8","חניות
1",1,1,1,0,0,0,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
לא צוין תאריך כניסה",1,0
5,6,"1,770,000 ₪",אברהם שלונסקי מפה,"דירה, קרית נורדאו, נתניה",4,70,none,"קומות בבנין
8","חניות
ללא",1,0,1,0,1,0,1,0,1,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",1,0
6,7,"1,770,000 ₪",אברהם שלונסקי מפה,"דירה, קרית נורדאו, נתניה",4,70,none,"קומות בבנין
8","חניות
ללא",1,0,1,0,1,0,1,0,1,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",1,0
7,8,"1,690,000 ₪",אברהם שלונסקי מפה,"דירה, קרית נורדאו, נתניה",2,65,none,"קומות בבנין
4","חניות
ללא",1,0,0,0,0,0,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0
8,9,לא צוין מחיר,אברהם שפירא מפה,"דירה, מרכז העיר דרום, נתניה",6,88,"מרפסות
1","קומות בבנין
7","חניות
ללא",1,1,1,1,1,0,1,0,1,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0
9,10,"2,100,000 ₪",אברהם שפירא מפה,"דירה, מרכז העיר דרום, נתניה",2,98,"מרפסות
1","קומות בבנין
6","חניות
1",1,0,1,1,1,0,0,0,1,0,"מצב הנכס
במצב שמור","תאריך כניסה
לא צוין תאריך כניסה",0,0
10,11,"1,730,000 ₪",אברהם שפירא מפה,"דירה, מרכז העיר דרום, נתניה",5,85,none,"קומות בבנין
7","חניות
1",1,0,0,1,0,0,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה מיידית",0,0
11,12,"1,890,000 ₪",אברהם שפירא מפה,"דירה, מרכז העיר דרום, נתניה",5,80,none,"קומות בבנין
7","חניות
ללא",1,0,1,1,1,0,1,0,0,0,"מצב הנכס
משופץ","תאריך כניסה
לא צוין תאריך כניסה",0,0
12,13,"1,730,000 ₪",אברהם שפירא מפה,"דירה, מרכז העיר דרום, נתניה",5,85,none,"קומות בבנין
7","חניות
1",1,0,0,1,0,0,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה מיידית",0,0
13,14,"1,730,000 ₪",אברהם שפירא מפה,"דירה, מרכז העיר דרום, נתניה",5,85,none,"קומות בבנין
7","חניות
1",1,0,0,1,0,0,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה מיידית",0,0
14,15,"5,900,000 ₪",אהוד מנור מפה,"דירה, עיר ימים, נתניה",3,122,"מרפסות
1","קומות בבנין
33","חניות
2",1,0,1,0,0,0,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
לא צוין תאריך כניסה",1,0
15,16,"5,550,000 ₪",אהוד מנור מפה,"דירה, עיר ימים, נתניה",3,135,"מרפסות
1","קומות בבנין
33","חניות
2",1,0,1,0,0,1,1,1,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
לא צוין תאריך כניסה",0,0
16,17,"1,600,000 ₪",אליהו גולומב 1 מפה,"דירה, צפון מזרח מרכז העיר, נתניה",2,75,none,"קומות בבנין
3","חניות
ללא",1,0,0,1,0,0,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה מיידית",0,0
17,18,"1,600,000 ₪",אליהו גולומב 1 מפה,"דירה, צפון מזרח מרכז העיר, נתניה",2,75,none,"קומות בבנין
3","חניות
ללא",1,0,0,1,0,0,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה מיידית",0,0
18,19,"1,850,000 ₪",אליעזר בן יהודה מפה,"דירה, מרכז העיר דרום, נתניה",6,86,"מרפסות
2","קומות בבנין
7","חניות
1",1,0,1,0,1,0,0,0,0,0,"מצב הנכס
דרוש שיפוץ","תאריך כניסה
כניסה מיידית",0,0
19,20,"1,875,000 ₪",אליעזר בן יהודה מפה,"דירה, נתניה",6,105,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
