,index,prices,streets,cities,floors,sizes,terraces,floors_in_building,parkings,aircondition,bars,elevators,water_headers,accessibility,shelters,renovated,storages,tadiran,furnitures,status,time_enter,sea_view,sukka
0,1,"2,295,000 ₪",אהבת ציון 3 מפה,"דירה, שעריה, פתח תקווה",7,75,"מרפסות
1","קומות בבנין
8","חניות
1",1,0,1,1,1,1,0,1,0,0,"מצב הנכס
חדש מקבלן","תאריך כניסה
כניסה מיידית",0,1
1,2,"2,295,000 ₪",אהבת ציון 3 מפה,"דירה, שעריה, פתח תקווה",7,75,"מרפסות
1","קומות בבנין
8","חניות
1",1,0,1,1,1,1,0,1,0,0,"מצב הנכס
חדש מקבלן","תאריך כניסה
כניסה מיידית",0,1
2,3,"1,750,000 ₪",איכילוב מפה,"דירה, לב המושבה / מרכז העיר, פתח תקווה",3,80,"מרפסות
1","קומות בבנין
3","חניות
ללא",1,0,0,0,0,0,0,0,0,1,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0
3,4,לא צוין מחיר,אלתרמן 12 מפה,"דירה, קרית אליעזר פרי, פתח תקווה",1,65,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
4,5,"1,795,000 ₪",אמיר בנימיני 3 מפה,"דירה, עין גנים, פתח תקווה",2,62,none,"קומות בבנין
3","חניות
ללא",1,0,0,1,0,0,1,0,0,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0
5,6,"1,795,000 ₪",אמיר בנימיני 3 מפה,"דירה, עין גנים, פתח תקווה",2,62,none,"קומות בבנין
3","חניות
ללא",1,0,0,1,0,0,1,0,0,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0
6,7,"1,820,000 ₪",אמיר בנימיני מפה,"דירה, עין גנים, פתח תקווה",2,70,none,"קומות בבנין
4","חניות
ללא",1,0,0,1,0,0,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0
7,8,"1,690,000 ₪",אסף שמחוני מפה,"דירה, אחדות, פתח תקווה",3,65,none,"קומות בבנין
4","חניות
ללא",1,0,0,1,0,0,1,0,0,0,"מצב הנכס
משופץ","תאריך כניסה
לא צוין תאריך כניסה",0,0
8,9,"1,720,000 ₪",אסתר המלכה 2 מפה,"דירה, יוספטל, פתח תקווה",3,60,none,"קומות בבנין
3","חניות
ללא",1,1,0,1,0,0,1,0,0,0,"מצב הנכס
משופץ","תאריך כניסה
01/01/2024",0,0
9,10,"1,950,000 ₪",ביאליק מפה,"דירה, מחנה יהודה, פתח תקווה",3,80,none,"קומות בבנין
3","חניות
1",1,0,0,1,0,0,1,0,0,1,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0
