,index,prices,streets,cities,floors,sizes,terraces,floors_in_building,parkings,aircondition,bars,elevators,water_headers,accessibility,shelters,renovated,storages,tadiran,furnitures,status,time_enter,sea_view,sukka
0,1,"1,920,000 ₪",אברמוביץ',"דירה, אברמוביץ', ראשון לציון",1,75,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
1,2,"1,730,000 ₪",אברמוביץ' מפה,"דירה, אברמוביץ', ראשון לציון",2,80,none,"קומות בבנין
4","חניות
ללא",0,0,1,1,0,0,0,0,0,0,"מצב הנכס
דרוש שיפוץ","תאריך כניסה
כניסה מיידית",0,0
2,3,"2,300,000 ₪",אברמוביץ' מפה,"דירה, אברמוביץ', ראשון לציון",2,105,none,"קומות בבנין
8","חניות
1",1,1,1,1,1,0,1,0,0,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0
3,4,"2,090,000 ₪",אברמוביץ' מפה,"דירה, אברמוביץ', ראשון לציון",1,85,none,"קומות בבנין
4","חניות
ללא",1,0,0,0,0,0,1,0,0,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה מיידית",0,0
4,5,"1,830,000 ₪",אברמוביץ' מפה,"דירה, אברמוביץ', ראשון לציון",1,85,none,"קומות בבנין
3","חניות
1",1,0,0,1,0,0,0,0,0,0,"מצב הנכס
דרוש שיפוץ","תאריך כניסה
כניסה גמישה",0,0
5,6,"1,930,000 ₪",אברמוביץ' מפה,"דירה, אברמוביץ', ראשון לציון",2,70,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
6,7,"2,300,000 ₪",אהרון קרון 3 מפה,"דירה, ראשונים, ראשון לציון",10,63,"מרפסות
1","קומות בבנין
15","חניות
1",1,0,1,0,1,0,0,0,0,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0
7,8,"1,880,000 ₪",אהרון קרון מפה,"דירה, ראשונים, ראשון לציון",4,80,none,"קומות בבנין
4","חניות
ללא",1,1,0,1,0,0,1,0,1,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה מיידית",0,0
8,9,"1,590,000 ₪",אהרון קרון מפה,"דירה, ראשונים, ראשון לציון",3,85,"מרפסות
2","קומות בבנין
3","חניות
2",0,0,0,0,0,0,0,0,0,0,"מצב הנכס
דרוש שיפוץ","תאריך כניסה
כניסה גמישה",0,0
9,10,"2,100,000 ₪",אושה 5 מפה,"דירה, קרית גנים, ראשון לציון",3,74,"מרפסות
1","קומות בבנין
3","חניות
1",1,0,0,1,0,0,1,1,0,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0
10,11,לא צוין מחיר,אחד העם 2 מפה,"דירה, רמב""ם, ראשון לציון",3,85,none,"קומות בבנין
5","חניות
1",1,0,1,0,0,0,1,1,1,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0
11,12,לא צוין מחיר,אחד העם 2 מפה,"דירה, רמב""ם, ראשון לציון",3,85,none,"קומות בבנין
5","חניות
1",1,0,1,0,0,0,1,1,1,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0
