,index,prices,streets,cities,floors,sizes,terraces,floors_in_building,parkings,aircondition,bars,elevators,water_headers,accessibility,shelters,renovated,storages,tadiran,furnitures,status,time_enter,sea_view,sukka
0,1,"3,850,000 ₪",אבא אחימאיר מפה,"דירה, רמת אביב ג', תל אביב יפו",7,68,none,"קומות בבנין
8","חניות
1",1,0,1,1,1,0,1,0,1,1,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",1,0
1,2,"3,950,000 ₪",אבא אחימאיר מפה,"דירה, רמת אביב ג', תל אביב יפו",2,68,none,"קומות בבנין
8","חניות
1",1,0,1,1,1,0,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
01/07/2023",0,0
2,3,"3,850,000 ₪",אבא אחימאיר מפה,"דירה, רמת אביב ג', תל אביב יפו",7,68,none,"קומות בבנין
8","חניות
1",1,0,1,1,1,0,1,0,1,1,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",1,0
3,4,"3,850,000 ₪",אבא אחימאיר מפה,"דירה, רמת אביב ג', תל אביב יפו",7,68,none,"קומות בבנין
8","חניות
1",1,0,1,1,1,0,1,0,1,1,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",1,0
4,5,"3,850,000 ₪",אבא אחימאיר מפה,nan,7,68,none,"קומות בבנין
8","חניות
1",1,0,1,1,1,0,1,0,1,1,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",1,0
5,6,"3,850,000 ₪",אבא אחימאיר מפה,"דירה, רמת אביב ג', תל אביב יפו",7,68,none,"קומות בבנין
8","חניות
1",1,0,1,1,1,0,1,0,1,1,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",1,0
6,7,"3,850,000 ₪",אבא אחימאיר מפה,"דירה, רמת אביב ג', תל אביב יפו",7,68,none,"קומות בבנין
8","חניות
1",1,0,1,1,1,0,1,0,1,1,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",1,0
7,8,"3,850,000 ₪",אבא אחימאיר מפה,"דירה, רמת אביב ג', תל אביב יפו",7,68,none,"קומות בבנין
8","חניות
1",1,0,1,1,1,0,1,0,1,1,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",1,0
8,9,"3,850,000 ₪",אביגדור סטימצקי מפה,"דירה, הגוש הגדול, רמת אביב החדשה, נופי ים, תל אביב יפו",1,85,none,"קומות בבנין
9","חניות
1",1,0,1,1,1,1,0,0,1,1,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0
9,10,"3,850,000 ₪",אביגדור סטימצקי מפה,"דירה, הגוש הגדול, רמת אביב החדשה, נופי ים, תל אביב יפו",1,80,none,"קומות בבנין
9","חניות
1",1,0,1,1,1,1,1,0,1,1,"מצב הנכס
במצב שמור","תאריך כניסה
לא צוין תאריך כניסה",0,0
