,city,street,rooms,size,floor,date_builded,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,אשדוד,א ת עד הלום,3,80,,1980,"750,000",none,none,none,none,none,none,none,none,none,none,none,none,none
1,אשדוד,א ת עד הלום,3,75,1,2016,none,none,none,none,none,none,"1,080,000",none,none,none,none,none,none,none
2,אשדוד,א ת עד הלום,3,80,,1980,"750,000",none,none,none,none,none,none,none,none,none,none,none,none,none
3,אשדוד,א ת עד הלום,3,122,,2017,none,none,none,none,none,none,none,"2,075,000",none,none,none,none,none,none
4,אשדוד,א ת עד הלום,3,75,1,2016,none,none,none,none,none,none,"1,080,000",none,none,none,none,none,none,none
5,אשדוד,א ת עד הלום,3,83,1,2017,none,none,none,none,none,none,"1,395,000",none,none,none,none,none,none,none
6,אשדוד,א ת עד הלום,3,75,8,2014,none,none,none,none,none,"1,150,000",none,none,none,none,none,none,none,none
7,אשדוד,א ת עד הלום,3,75,7,2014,none,none,none,none,none,"1,150,000",none,none,none,none,none,none,none,none
8,אשדוד,א ת עד הלום,3,74,6,2016,none,none,none,none,none,none,"1,370,000",none,none,none,none,none,none,none
9,אשדוד,א ת עד הלום 1,3,100,3,1980,none,none,none,none,none,none,none,"1,040,000",none,none,none,none,none,none
10,אשדוד,א ת עד הלום 1,3,100,3,1980,none,none,none,none,none,none,none,"1,040,000",none,none,none,none,none,none
11,אשדוד,א ת עד הלום 1,3,95,2,2015,none,none,none,none,none,"1,430,000",none,none,none,none,none,none,none,none
12,אשדוד,א ת עד הלום 13,3,80,1,1998,none,none,none,none,none,"1,025,000",none,none,none,none,none,none,none,none
13,אשדוד,א ת עד הלום 2,3,104,3,2017,none,none,none,none,none,none,none,"1,730,000",none,none,none,none,none,none
14,אשדוד,א ת עד הלום 2,3,104,5,2016,none,none,none,none,none,none,"1,700,000",none,none,none,none,none,none,none
15,אשדוד,א ת עד הלום 7,3,89,6,1997,none,none,"850,000",none,none,none,none,none,none,none,none,none,none,none
16,אשדוד,א ת עד הלום 7,3,89,6,1997,none,none,"850,000",none,none,none,none,none,none,none,none,none,none,none
17,אשדוד,אב,3,77,6,2013,none,none,none,none,none,"755,168",none,none,none,none,none,none,none,none
18,אשדוד,אב,3,102,1,2014,none,none,none,none,none,none,none,"1,680,000",none,none,none,none,none,none
19,אשדוד,אב,3,72,5,2020,none,none,none,none,none,none,none,none,none,none,"1,650,000",none,none,none
20,אשדוד,אב,3,104,,2017,none,none,none,none,none,none,none,"2,050,000",none,none,none,none,none,none
21,אשדוד,אב,3,77,6,2013,none,none,none,none,none,"755,168",none,none,none,none,none,none,none,none
22,אשדוד,אב,3,103,1,2014,none,none,none,none,none,"1,380,000",none,none,none,none,none,none,none,none
23,אשדוד,אב,3,81,3,2020,none,none,none,none,none,none,none,none,none,none,"1,650,000",none,none,none
24,אשדוד,אב,3,104,11,2017,none,none,none,none,none,none,none,"1,750,000",none,none,none,none,none,none
25,אשדוד,אב,3,98,1,2017,none,none,none,none,none,none,none,"1,700,000",none,none,none,none,none,none
26,אשדוד,אב 2,3,75,,2002,none,none,none,none,"1,350,000",none,none,none,none,none,none,none,none,none
27,אשדוד,אב 2,3,118,,2000,none,none,none,"1,300,000",none,none,none,none,none,none,none,none,none,none
28,אשדוד,אב 41,3,59,2,1980,none,none,none,none,none,none,none,none,none,"1,160,000",none,none,none,none
29,אשדוד,אב 45,3,80,,1970,none,none,none,none,none,none,none,none,none,none,"1,130,000",none,none,none
30,אשדוד,אב 5,3,70,1,1970,none,none,none,none,none,none,none,none,none,none,"321,117",none,none,none
31,אשדוד,אב 5,3,70,1,1970,none,none,none,none,none,none,none,none,none,none,"321,117",none,none,none
32,אשדוד,אבא אחימאיר,3,81,3,2020,none,none,none,none,none,none,none,none,none,none,"1,726,000",none,none,none
33,אשדוד,אבא אחימאיר,3,81,10,2016,none,none,none,none,none,none,"1,300,000",none,none,none,none,none,none,none
34,אשדוד,אבא הלל סילבר 13,3,74,3,2012,none,none,none,none,"1,020,000",none,none,none,none,none,none,none,none,none
35,אשדוד,אבא הלל סילבר 13,3,79,3,1970,none,none,none,none,none,"950,000",none,none,none,none,none,none,none,none
36,אשדוד,אבא הלל סילבר 13,3,84,3,1970,"800,000",none,none,none,none,none,none,none,none,none,none,none,none,none
