,city,street,rooms,size,floor,date_builded,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,בני ברק,4 16,3,61,2,1920,none,none,none,none,none,none,none,none,none,none,"1,470,000",none,none,none
1,בני ברק,4 16,3,70,1,1960,none,none,none,none,none,none,none,none,none,none,"1,500,000",none,none,none
2,בני ברק,4 4,3,45,2,1950,none,none,none,none,none,none,none,none,none,none,"3,140,000",none,none,none
3,בני ברק,א.ד. גורדון 3,3,68,,2008,none,none,none,none,none,none,none,"1,600,000",none,none,none,none,none,none
4,בני ברק,אבו חצירא ישראל 15,3,64,1,1970,none,none,none,"890,000",none,none,none,none,none,none,none,none,none,none
5,בני ברק,אבו חצירא ישראל 19,3,62,3,1950,none,"855,000",none,none,none,none,none,none,none,none,none,none,none,none
6,בני ברק,אבו חצירא ישראל 21,3,49,4,1950,none,none,none,none,none,none,none,"1,301,801",none,none,none,none,none,none
7,בני ברק,אבו חצירא ישראל 21,3,49,4,1950,none,none,none,none,none,none,none,"1,301,801",none,none,none,none,none,none
8,בני ברק,אבו חצירא ישראל 21,3,49,2,1975,none,none,"750,000",none,none,none,none,none,none,none,none,none,none,none
9,בני ברק,אבו חצירא ישראל 21,3,49,4,1970,"695,000",none,none,none,none,none,none,none,none,none,none,none,none,none
10,בני ברק,אבו חצירא ישראל 27,3,50,2,1950,none,none,none,none,none,none,none,none,"850,000",none,none,none,none,none
11,בני ברק,אבו חצירא ישראל 27,3,48,4,1901,none,none,none,none,"775,000",none,none,none,none,none,none,none,none,none
12,בני ברק,אבו חצירא ישראל 27,3,48,3,1975,none,none,"820,000",none,none,none,none,none,none,none,none,none,none,none
13,בני ברק,אבו חצירא ישראל 27,3,47,2,1979,none,none,"760,000",none,none,none,none,none,none,none,none,none,none,none
14,בני ברק,אבו חצירא ישראל 27,3,50,1,1975,none,none,none,none,none,"962,000",none,none,none,none,none,none,none,none
15,בני ברק,אבו חצירא ישראל 27,3,48,2,1950,none,none,none,"850,000",none,none,none,none,none,none,none,none,none,none
16,בני ברק,אבו חצירא ישראל 27,3,65,3,1970,none,none,none,none,none,"950,000",none,none,none,none,none,none,none,none
17,בני ברק,אבו חצירא ישראל 28,3,55,4,1970,none,"760,000",none,none,none,none,none,none,none,none,none,none,none,none
18,בני ברק,אבו חצירא ישראל 29,3,47,3,1970,none,none,none,none,none,none,none,none,"1,390,000",none,none,none,none,none
19,בני ברק,אבו חצירא ישראל 29,3,47,4,1970,"700,000",none,none,none,none,none,none,none,none,none,none,none,none,none
20,בני ברק,אבו חצירא ישראל 3,3,62,2,1990,none,none,"895,000",none,none,none,none,none,none,none,none,none,none,none
21,בני ברק,אבו חצירא ישראל 33,3,75,3,1965,none,none,none,"860,000",none,none,none,none,none,none,none,none,none,none
22,בני ברק,אבו חצירא ישראל 33,3,55,4,1970,"720,000",none,none,none,none,none,none,none,none,none,none,none,none,none
23,בני ברק,אבו חצירא ישראל 33,3,75,3,1965,none,none,none,"860,000",none,none,none,none,none,none,none,none,none,none
24,בני ברק,אבו חצירא ישראל 33,3,55,4,1974,none,none,"790,000",none,none,none,none,none,none,none,none,none,none,none
25,בני ברק,אבו חצירא ישראל 36,3,75,3,1970,"700,000",none,none,none,none,none,none,none,none,none,none,none,none,none
26,בני ברק,אבו חצירא ישראל 37,3,64,4,1970,none,none,none,none,"885,000",none,none,none,none,none,none,none,none,none
27,בני ברק,אבו חצירא ישראל 5,3,62,3,1980,"750,000",none,none,none,none,none,none,none,none,none,none,none,none,none
28,בני ברק,אבו חצירא ישראל 6,3,63,1,1960,none,none,none,none,none,none,none,none,"1,250,000",none,none,none,none,none
29,בני ברק,אבוחצירא 1,3,75,5,2015,none,none,none,none,none,"1,220,000",none,none,none,none,none,none,none,none
30,בני ברק,אבוחצירא 1,3,75,5,2015,none,none,none,none,none,"1,220,000",none,none,none,none,none,none,none,none
31,בני ברק,אבוחצירא 31,3,48,4,1901,none,none,none,none,"775,000",none,none,none,none,none,none,none,none,none
32,בני ברק,אבוחצירא 35,3,60,2,1970,none,none,none,none,none,none,none,"1,300,000",none,none,none,none,none,none
33,בני ברק,אבוחצירא 47,3,59,1,1960,none,none,none,none,none,none,none,none,none,none,"1,405,000",none,none,none
34,בני ברק,אבוחצרא 26,3,75,1,1970,none,none,none,none,none,none,none,"1,330,000",none,none,none,none,none,none
35,בני ברק,אבטליון,3,,7,2012,"1,000,000",none,none,none,none,none,none,none,none,none,none,none,none,none
36,בני ברק,אבטליון,3,75,7,2012,"1,000,000",none,none,none,none,none,none,none,none,none,none,none,none,none
37,בני ברק,אבטליון 1,3,70,5,2013,none,none,none,"1,245,000",none,none,none,none,none,none,none,none,none,none
38,בני ברק,אבטליון 1,3,70,7,2010,"1,010,000",none,none,none,none,none,none,none,none,none,none,none,none,none
39,בני ברק,אבטליון 1,3,80,7,2011,"1,000,000",none,none,none,none,none,none,none,none,none,none,none,none,none
40,בני ברק,אבטליון 1,3,70,7,2010,"1,010,000",none,none,none,none,none,none,none,none,none,none,none,none,none
41,בני ברק,אבטליון 1,3,75,3,2013,none,none,none,"1,197,256",none,none,none,none,none,none,none,none,none,none
42,בני ברק,אבטליון 1,3,80,7,2012,none,none,"1,126,234",none,none,none,none,none,none,none,none,none,none,none
43,בני ברק,אבטליון 19,3,47,2,1959,none,none,"1,100,000",none,none,none,none,none,none,none,none,none,none,none
44,בני ברק,אבטליון 7,3,75,,2010,"750,000",none,none,none,none,none,none,none,none,none,none,none,none,none
45,בני ברק,אביעד 1,3,51,2,1964,none,"850,000",none,none,none,none,none,none,none,none,none,none,none,none
