,city,streets,rooms,size,floor,date_builded,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,אשדוד,אב,3,77.0,6.0,2013,none,none,none,none,none,1067584,none,1795000,none,none,1650000,none,none,none
1,אשדוד,אב 2,3,75.0,,2002,none,none,none,"1,300,000",none,none,none,none,none,none,none,none,none,none
2,אשדוד,אב 41,3,59.0,2.0,1980,none,none,none,none,none,none,none,none,none,none,none,none,none,none
3,אשדוד,אב 45,3,80.0,,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
4,אשדוד,אב 5,3,70.0,1.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
5,אשדוד,"אבוחצירה,הרב",3,60.0,4.0,2000,none,none,none,none,none,none,none,none,none,none,none,none,none,none
6,אשדוד,"אבוחצירה,הרב 1",3,75.0,4.0,1979,none,none,none,none,none,none,none,none,none,none,none,none,none,none
7,אשדוד,"אבוחצירה,הרב 10",3,59.0,3.0,1969,420187,none,none,none,"920,000",none,"1,201,201",none,none,none,none,none,none,none
8,אשדוד,"אבוחצירה,הרב 12",3,58.0,1.0,1970,none,none,735000,none,669827,"800,000","1,020,000",none,none,none,none,none,none,none
9,אשדוד,"אבוחצירה,הרב 14",3,68.0,4.0,1973,none,none,none,none,none,"880,000",none,"1,080,000",none,none,none,none,none,none
10,אשדוד,"אבוחצירה,הרב 16",3,58.0,4.0,1974,none,none,none,none,655344,"392,941",none,none,none,none,none,none,none,none
11,אשדוד,"אבוחצירה,הרב 2",3,65.0,4.0,1970,none,"600,000",none,"808,000",none,none,none,"1,300,000",none,none,none,none,none,none
12,אשדוד,"אבוחצירה,הרב 4",3,58.0,2.0,1975,none,"735,000",none,744000,none,none,none,"1,050,000",none,none,none,none,none,none
13,אשדוד,"אבוחצירה,הרב 5",3,60.0,4.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
14,אשדוד,"אבוחצירה,הרב 6",3,75.0,2.0,1960,none,none,"660,000",none,none,"965,000",none,none,none,none,none,none,none,none
15,אשדוד,"אבוחצירה,הרב 8",3,59.0,1.0,1974,"500,000",none,"700,000","785,000",none,none,none,none,none,none,none,none,none,none
16,אשדוד,אבטליון 17,3,115.0,1.0,1998,none,none,none,none,none,none,none,none,none,none,none,none,none,none
17,אשדוד,אביי 20,3,91.0,4.0,1980,none,none,none,none,none,none,none,none,none,none,none,none,none,none
18,אשדוד,אביי 21,3,75.0,2.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
19,אשדוד,"אברמסקי,הרב 105",3,75.0,3.0,1948,none,none,none,none,none,none,none,none,none,none,none,none,none,none
20,אשדוד,"אברמסקי,הרב 14",3,87.0,2.0,1980,none,none,none,none,none,none,none,none,none,none,none,none,none,none
21,אשדוד,"אברמסקי,הרב 18",3,87.0,2.0,1980,none,none,none,none,none,none,none,none,none,none,none,none,none,none
22,אשדוד,אגדיר 9,3,70.0,3.0,1980,none,none,none,none,none,none,none,none,none,none,none,none,none,none
23,אשדוד,אגוז 44,3,71.0,4.0,1990,none,none,none,none,none,none,none,none,none,none,none,none,none,none
24,אשדוד,אגוז 6,3,68.0,2.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
25,אשדוד,אדר 13,3,94.0,1.0,2001,none,none,none,none,none,none,none,none,none,none,none,none,none,none
26,אשדוד,אדר 2,3,137.0,11.0,2006,995000,none,"1,050,000",none,1236666,"1,350,000",none,none,1465000,none,1600000,none,none,none
27,אשדוד,אדר 3,3,86.0,4.0,2008,none,none,none,none,none,none,none,none,none,none,none,none,none,none
28,אשדוד,אדר 5,3,105.0,,1999,none,none,none,none,none,none,none,none,none,none,none,none,none,none
29,אשדוד,אדר 7,3,99.0,,2002,"1,115,000",none,none,none,none,none,none,none,none,none,none,none,none,none
30,אשדוד,אדר 9,3,86.0,3.0,2000,1087500,none,none,none,"1,170,000",none,1535000,none,none,1858399,none,none,none,none
31,אשדוד,אודם 13,3,91.0,1.0,1997,none,none,none,none,none,none,none,none,none,none,none,none,none,none
32,אשדוד,אודם 2,3,68.0,4.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
33,אשדוד,אודם 24,3,59.0,,1998,none,"965,000",none,none,none,none,none,none,none,none,none,none,none,none
34,אשדוד,אורט 2,3,68.0,,1970,none,none,none,none,none,none,none,none,"1,000,000",none,"1,043,543",none,none,none
35,אשדוד,אחימאיר אבא,3,81.0,3.0,2020,none,none,none,none,none,none,"1,300,000",none,none,none,none,none,none,none
36,אשדוד,אחימאיר אבא 2,3,58.0,7.0,2000,none,none,"890,000",none,none,none,none,none,none,none,none,none,none,none
37,אשדוד,אחימאיר אבא 24,3,66.0,2.0,2002,"780,000",921000,929583,944750,1030000,1087500,none,none,none,none,none,none,none,none
38,אשדוד,אייר 10,3,102.0,3.0,2000,none,none,none,none,none,none,none,none,none,none,none,none,none,none
39,אשדוד,אייר 12,3,80.0,2.0,1999,930000,none,none,"1,100,000",none,none,none,none,"1,580,000",none,none,none,none,none
40,אשדוד,אייר 14,3,73.0,7.0,2002,"985,000","980,000",none,none,none,none,none,none,"1,500,000",none,none,none,none,none
41,אשדוד,אייר 16,3,74.0,3.0,2005,"980,000","1,135,000","1,220,000",1147000,none,1355000,none,1542500,none,none,none,none,none,none
