,city,streets,rooms,size,floor,date_builded,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,באר שבע,אביגד 4,3,62.0,2.0,1980,none,none,none,none,none,none,none,none,none,none,none,none,none,none
1,באר שבע,אביגיל 14,3,60.0,,1995,none,none,none,none,none,none,none,none,none,none,none,none,none,none
2,באר שבע,אביטל 1,3,72.0,8.0,1995,none,527500,none,none,none,none,none,none,none,none,none,none,none,none
3,באר שבע,אביטל 10,3,75.0,,1993,none,none,none,none,none,none,none,none,none,none,none,none,none,none
4,באר שבע,אביטל 26,3,60.0,1.0,1993,none,none,none,none,none,none,none,none,none,none,none,none,none,none
5,באר שבע,אביטל 28,3,70.0,3.0,1900,none,none,"447,000","515,000",none,none,none,none,none,none,none,none,none,none
6,באר שבע,אביטל 3,3,82.0,,1996,"420,000",none,none,"557,000",none,none,none,none,none,none,none,none,none,none
7,באר שבע,אביטל 5,3,65.0,1.0,2008,none,"475,000",none,none,none,none,none,none,none,none,none,none,none,none
8,באר שבע,אבישג 3,3,60.0,,1994,none,none,none,none,none,none,none,none,none,none,none,none,none,none
9,באר שבע,אבנר 1,3,59.0,3.0,1900,none,none,none,none,none,none,none,none,none,none,none,none,none,none
10,באר שבע,אבנר 2,3,75.0,,1970,none,none,none,none,none,none,none,none,none,"540,000",none,none,none,none
11,באר שבע,אבנר 20,3,61.0,3.0,1900,none,none,none,none,none,none,none,none,none,none,none,none,none,none
12,באר שבע,אבנר 44,3,59.0,3.0,1982,none,none,none,none,none,none,none,none,none,none,none,none,none,none
13,באר שבע,אבנר 89,3,60.0,,1980,none,none,none,none,none,none,none,none,none,none,none,none,none,none
14,באר שבע,אברבנאל,3,10.0,3.0,1900,none,none,none,none,none,none,none,none,none,none,none,none,none,none
15,באר שבע,אברבנאל 1,3,76.0,4.0,1980,none,none,none,none,none,none,none,none,none,none,none,none,none,none
16,באר שבע,אברבנאל 10,3,73.0,4.0,1980,none,"370,000",388500,none,"500,000",none,none,none,none,none,none,none,none,none
17,באר שבע,אברבנאל 12,3,61.0,,1980,none,none,"380,000",none,none,none,none,none,"670,000",none,none,none,none,none
18,באר שבע,אברבנאל 14,3,81.0,4.0,1995,none,none,none,none,none,none,none,none,none,none,none,none,none,none
19,באר שבע,אברבנאל 16,3,46.0,2.0,1976,none,none,none,none,none,none,none,none,none,none,none,none,none,none
20,באר שבע,אברבנאל 18,3,70.0,,1970,332500,none,none,none,none,none,none,none,none,"550,000",none,none,none,none
21,באר שבע,אברבנאל 22,3,75.0,5.0,1985,none,"400,000","430,000","510,510",none,none,none,none,none,none,none,none,none,none
22,באר שבע,אברבנאל 3,3,62.0,,1900,none,none,none,"447,000","500,000",none,none,none,none,none,none,none,none,none
23,באר שבע,אברבנאל 5,3,76.0,,1970,none,"390,000",none,none,none,none,none,none,none,none,none,none,none,none
24,באר שבע,אברבנאל 6,3,61.0,,1980,235000,"383,000",none,406500,none,none,none,none,none,none,none,none,none,none
25,באר שבע,אברבנאל 7,3,62.0,3.0,1976,none,none,none,none,none,none,none,none,none,none,none,none,none,none
26,באר שבע,אברבנאל 8,3,61.0,3.0,1900,none,"380,000",377500,"410,000",none,none,none,none,none,none,none,none,none,none
27,באר שבע,אברבנאל 9,3,66.0,3.0,1980,322500,"375,000",none,none,none,none,none,none,none,none,none,none,none,none
28,באר שבע,אברבנל 10,3,70.0,4.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
29,באר שבע,אברהם אבינו,3,65.0,1.0,1900,none,none,none,none,none,"453,000",none,none,none,none,none,none,none,none
30,באר שבע,אברהם אבינו 1,3,57.0,2.0,1980,"300,000",380000,477500,483125,545000,none,none,none,none,none,none,none,none,none
31,באר שבע,אברהם אבינו 10,3,54.0,2.0,1900,365000,520000,420000,566666,"520,000",none,none,none,"765,000",none,"810,000",none,none,none
32,באר שבע,אברהם אבינו 11,3,55.0,,1980,none,none,500000,533250,none,none,none,none,none,none,none,none,none,none
33,באר שבע,אברהם אבינו 12,3,77.0,2.0,1970,none,none,none,none,none,none,none,none,none,none,none,"770,000",none,none
34,באר שבע,אברהם אבינו 13,3,55.0,1.0,1900,none,none,none,none,"530,000",none,"830,000","765,000",none,none,"820,000",none,none,none
35,באר שבע,אברהם אבינו 14,3,65.0,4.0,1960,none,none,none,none,none,none,none,"710,000",none,none,none,none,none,none
36,באר שבע,אברהם אבינו 15,3,47.0,,1960,354972,"435,000",none,none,none,none,none,755000,none,none,none,none,none,none
37,באר שבע,אברהם אבינו 16,3,65.0,2.0,1950,"285,000",none,none,505000,556250,none,none,none,"760,000",none,none,none,none,none
38,באר שבע,אברהם אבינו 17,3,66.0,2.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
39,באר שבע,אברהם אבינו 18,3,65.0,,1969,392500,"450,000",461000,none,none,none,none,none,none,"770,000",none,none,none,none
40,באר שבע,אברהם אבינו 19,3,56.0,,1960,"325,000",432500,none,none,"620,000","665,000",none,"775,000",none,none,none,none,none,none
41,באר שבע,אברהם אבינו 2,3,40.0,3.0,1900,none,406250,402500,592500,377500,"727,000",none,none,none,none,none,none,none,none
42,באר שבע,אברהם אבינו 20,3,65.0,3.0,1960,none,515000,none,"480,000",none,"620,000",none,"780,000","760,000",none,783500,"770,000",none,none
43,באר שבע,אברהם אבינו 21,3,64.0,1.0,1950,none,441666,none,"540,000","550,000","600,000",none,none,none,none,none,none,none,none
44,באר שבע,אברהם אבינו 22,3,65.0,2.0,1900,"370,000",425000,none,none,none,none,none,none,"775,000",none,none,none,none,none
45,באר שבע,אברהם אבינו 23,3,58.0,3.0,1965,none,none,none,none,none,none,none,none,"795,000",none,none,none,none,none
46,באר שבע,אברהם אבינו 24,3,74.0,3.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
47,באר שבע,אברהם אבינו 25,3,57.0,,1900,none,415000,"460,000",none,none,none,none,none,none,none,none,none,none,none
48,באר שבע,אברהם אבינו 26,3,65.0,4.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
49,באר שבע,אברהם אבינו 27,3,55.0,,1950,none,none,466000,none,none,"567,000",none,none,none,none,none,none,none,none
50,באר שבע,אברהם אבינו 29,3,52.0,5.0,1900,"320,000",none,none,none,none,none,none,none,none,none,none,none,none,none
51,באר שבע,אברהם אבינו 3,3,55.0,,1900,"380,000",367416,464070,517500,"570,000",none,"665,000",none,none,none,none,none,none,none
52,באר שבע,אברהם אבינו 31,3,68.0,2.0,1962,383000,"505,000",477720,496666,"565,000",none,567500,"630,000",none,none,none,none,none,none
53,באר שבע,אברהם אבינו 33,3,60.0,3.0,1970,"360,000",408333,493365,493087,"650,000","710,000",none,"688,000",none,none,790000,none,none,none
54,באר שבע,אברהם אבינו 34,3,60.0,,1900,"450,000",425000,none,none,none,none,none,none,none,none,none,none,none,none
55,באר שבע,אברהם אבינו 35,3,42.0,,1900,none,none,none,"390,000","530,000",492500,none,none,none,none,none,none,none,none
56,באר שבע,אברהם אבינו 38,3,64.0,2.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
57,באר שבע,אברהם אבינו 39,3,42.0,3.0,1900,none,none,"387,500",none,none,none,none,none,none,none,none,none,none,none
58,באר שבע,אברהם אבינו 40,3,44.0,1.0,1970,"260,000",358500,415000,457500,425000,none,none,none,563493,none,"650,000",none,none,none
59,באר שבע,אברהם אבינו 41,3,42.0,,1970,364000,none,none,none,none,none,none,none,none,none,none,none,none,none
60,באר שבע,אברהם אבינו 43,3,40.0,2.0,1900,none,none,"350,000",none,none,none,none,none,none,none,none,none,none,none
61,באר שבע,אברהם אבינו 44,3,64.0,,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
62,באר שבע,אברהם אבינו 45,3,40.0,1.0,1960,none,"350,000",none,none,"380,000",none,"550,000",none,none,"545,000","660,000",none,none,none
63,באר שבע,אברהם אבינו 49,3,44.0,3.0,1900,none,none,302500,none,526250,none,"570,000","637,000",none,"665,000",none,none,none,none
64,באר שבע,אברהם אבינו 5,3,66.0,2.0,1970,"390,000","460,000","360,000",none,none,none,none,"735,000",none,none,none,none,none,none
65,באר שבע,אברהם אבינו 50,3,54.0,1.0,1900,"440,000",none,none,none,none,none,none,none,none,none,none,none,none,none
66,באר שבע,אברהם אבינו 51,3,40.0,3.0,1900,267500,none,none,none,none,none,none,"735,000",none,none,none,none,none,none
67,באר שבע,אברהם אבינו 53,3,40.0,,1900,none,402500,none,none,none,none,none,"502,000",none,none,none,none,none,none
68,באר שבע,אברהם אבינו 54,3,53.0,1.0,1960,"310,000",none,none,none,none,"420,000",none,none,none,none,none,none,none,none
69,באר שבע,אברהם אבינו 55,3,40.0,,1900,none,337500,none,none,none,none,565000,none,none,none,none,none,none,none
70,באר שבע,אברהם אבינו 57,3,42.0,3.0,1970,none,443750,none,none,none,none,none,408500,"630,000",none,none,none,none,none
71,באר שבע,אברהם אבינו 6,3,48.0,2.0,1960,"340,000",none,none,none,"717,873",none,none,none,none,none,none,none,none,none
72,באר שבע,אברהם אבינו 60,3,65.0,2.0,1970,"345,000","320,000",none,368000,480000,none,none,none,none,"475,000",none,none,none,none
73,באר שבע,אברהם אבינו 61,3,42.0,,1900,none,none,none,none,none,none,none,none,none,none,none,none,none,none
74,באר שבע,אברהם אבינו 62,3,44.0,1.0,1980,none,"295,000",none,none,none,none,none,542500,none,none,none,none,none,none
75,באר שבע,אברהם אבינו 63,3,38.0,2.0,1960,"315,000",344500,none,"400,000",none,none,none,none,none,none,none,none,none,none
76,באר שבע,אברהם אבינו 65,3,38.0,3.0,1960,none,"340,000",none,none,none,none,none,none,none,none,none,none,none,none
77,באר שבע,אברהם אבינו 67,3,47.0,2.0,1960,none,265000,437500,"325,000",467500,none,none,none,none,none,"548,000",none,none,none
78,באר שבע,אברהם אבינו 69,3,38.0,3.0,1969,none,none,none,none,none,"450,000",none,none,"440,000",none,none,none,none,none
79,באר שבע,אברהם אבינו 7,3,55.0,1.0,1900,none,none,403333,none,"700,000",none,none,none,none,none,none,none,none,none
80,באר שבע,אברהם אבינו 71,3,38.0,3.0,1900,none,none,none,none,none,none,none,"450,450","440,000",642500,none,none,none,none
81,באר שבע,אברהם אבינו 75,3,61.0,1.0,1980,none,none,none,"390,000",none,none,none,none,none,none,none,none,none,none
82,באר שבע,אברהם אבינו 79,3,71.0,2.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
83,באר שבע,אברהם אבינו 8,3,43.0,1.0,1970,none,none,453125,none,"550,000",none,none,none,none,none,none,none,none,none
84,באר שבע,אברהם אבינו 85,3,32.0,1.0,1970,none,none,"310,000",none,none,none,none,none,none,none,none,none,none,none
85,באר שבע,אברהם אבינו 9,3,55.0,3.0,1970,none,none,465000,none,none,none,none,"825,000","817,500",none,none,none,none,none
86,באר שבע,אבשלום 12,3,85.0,3.0,1900,none,none,none,none,none,none,"785,783",none,none,"770,000",none,none,none,none
87,באר שבע,אבשלום 14,3,88.0,1.0,1995,none,none,none,none,none,none,none,none,none,none,none,none,none,none
88,באר שבע,אבשלום 16,3,68.0,1.0,1900,none,520258,"540,000",none,none,none,"910,000",none,none,none,"860,000",none,none,none
89,באר שבע,אבשלום 24,3,102.0,3.0,1990,none,none,none,none,none,none,none,none,none,none,none,none,none,none
90,באר שבע,אבשלום 36,3,87.0,1.0,1996,none,none,none,none,none,none,none,none,none,none,none,none,none,none
91,באר שבע,אבשלום 38,3,102.0,2.0,1900,none,none,none,none,none,none,none,none,none,none,none,none,none,none
92,באר שבע,אבשלום 44,3,61.0,2.0,1997,none,"550,000",none,none,none,"715,000",none,none,"760,000",none,none,none,none,none
93,באר שבע,אבשלום 46,3,75.0,1.0,2000,none,none,none,none,none,none,none,none,"716,000",none,none,none,none,none
94,באר שבע,אבשלום 49,3,60.0,1.0,1993,none,none,none,none,none,none,none,none,"900,000",none,none,none,none,none
95,באר שבע,אבשלום 50,3,102.0,2.0,1990,none,none,none,none,none,none,none,none,none,none,none,none,none,none
96,באר שבע,אבשלום 55,3,110.0,1.0,1990,none,"650,000",none,none,none,none,none,none,"900,000",none,none,none,none,none
97,באר שבע,אבשלום 64,3,75.0,,2000,none,none,none,none,none,none,none,none,"716,000",none,none,none,none,none
98,באר שבע,אבשלום 8,3,70.0,2.0,1995,none,none,none,none,none,none,none,none,none,none,none,none,none,none
99,באר שבע,אגן,3,79.0,3.0,1991,none,none,none,none,none,none,none,none,none,none,none,none,none,none
100,באר שבע,אגן 1,3,112.0,3.0,1990,none,none,445000,545000,none,none,none,none,none,none,none,none,none,none
101,באר שבע,אגן 2,3,111.0,3.0,2001,none,none,none,none,none,none,none,none,none,none,none,none,none,none
102,באר שבע,אגן 4,3,68.0,3.0,1993,none,none,none,none,none,none,none,none,none,none,none,none,none,none
103,באר שבע,אגן 7,3,112.0,3.0,1992,none,none,none,none,none,none,none,none,none,none,none,none,none,none
104,באר שבע,אהרונסון 10,3,102.0,2.0,1996,none,none,none,none,"780,000","500,000",none,none,none,none,none,none,none,none
105,באר שבע,אהרונסון 12,3,71.0,,1997,none,none,none,none,none,none,none,none,none,none,none,none,none,none
106,באר שבע,אהרונסון 18,3,70.0,,1996,none,none,none,none,none,none,none,none,"850,000",none,none,none,none,none
107,באר שבע,אהרונסון 22,3,79.0,1.0,1996,none,none,none,none,none,none,none,none,none,none,none,none,none,none
108,באר שבע,אהרונסון 24,3,92.0,2.0,1995,none,"550,000",none,none,"800,000",none,none,none,none,none,none,none,none,none
109,באר שבע,אהרונסון 32,3,88.0,,1999,none,none,none,none,none,none,none,none,none,none,none,none,none,none
110,באר שבע,אהרונסון 37,3,80.0,,2000,none,none,none,none,none,none,none,none,none,none,none,none,none,none
111,באר שבע,אהרונסון 46,3,69.0,1.0,1900,none,none,none,none,none,none,none,none,none,none,none,none,none,none
112,באר שבע,אהרונסון 50,3,94.0,,1993,none,none,none,none,none,none,"1,000,000",none,none,none,none,none,none,none
113,באר שבע,אהרונסון 8,3,85.0,,2003,none,none,none,none,none,none,none,none,none,none,none,none,none,none
114,באר שבע,אוכמנית 31,3,285.0,,1900,none,none,none,none,none,none,none,none,none,none,none,none,none,none
115,באר שבע,אוסישקין 1,3,78.0,,1950,none,none,none,none,none,none,none,none,none,none,none,none,none,none
116,באר שבע,אוסישקין 2,3,68.0,3.0,1975,none,376333,524333,"435,000",504375,"530,000",none,none,"706,000",none,"650,000",none,none,none
117,באר שבע,אוסישקין 20,3,100.0,1.0,1985,none,none,none,none,none,none,none,none,none,none,none,none,none,none
118,באר שבע,אוסישקין 22,3,92.0,,1950,none,none,none,none,none,none,none,none,none,none,none,none,none,none
119,באר שבע,אוסישקין 4,3,50.0,1.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
120,באר שבע,אוסישקין 72,3,59.0,4.0,1900,none,none,none,none,none,none,none,none,none,none,none,none,none,none
121,באר שבע,אחזיה 5,3,70.0,2.0,1985,none,none,none,none,none,none,none,none,none,none,none,none,none,none
122,באר שבע,אחזיה}יא{ 3,3,82.0,3.0,2018,none,none,none,none,none,none,none,none,none,none,none,none,none,none
123,באר שבע,אחימאיר אבא 216,3,85.0,,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
