,city,streets,rooms,size,floor,date_builded,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,חולון,אביבים 1,3,104,1.0,2013,none,none,none,none,none,none,none,none,none,none,none,none,none,none
1,חולון,אביבים 6,3,90,2.0,1978,none,none,none,none,none,none,none,none,none,none,none,none,none,none
2,חולון,אברבנאל 10,3,53,2.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
3,חולון,אברבנאל 15,3,59,3.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
4,חולון,אברבנאל 17,3,51,4.0,1975,none,850000,none,none,none,none,none,none,none,none,none,none,none,none
5,חולון,אברבנאל 4,3,76,1.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
6,חולון,אברבנאל 5,3,55,2.0,1973,none,none,none,none,none,none,none,none,none,none,none,none,none,none
7,חולון,אברבנאל 6,3,69,1.0,1979,none,none,none,none,none,none,none,none,none,none,none,none,none,none
8,חולון,אברבנל 10,3,53,2.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
9,חולון,אבשלום 1,3,65,1.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
10,חולון,אגוז 12,3,70,7.0,1998,none,none,none,none,none,none,none,"1,179,418",none,none,"1,615,000",none,none,none
11,חולון,אהרונוביץ 1,3,75,3.0,2018,none,none,none,none,none,none,none,none,none,none,none,none,none,none
12,חולון,אהרונוביץ 2,3,61,3.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
13,חולון,אהרונוביץ 23,3,59,3.0,1960,none,none,none,none,none,none,none,"1,100,000",none,none,none,none,none,none
14,חולון,אהרונוביץ 25,3,59,1.0,1980,none,none,none,none,none,none,none,none,none,none,none,none,none,none
15,חולון,אהרונוביץ 26,3,53,4.0,1960,"650,000","750,000",876000,"845,000",none,none,none,none,none,none,none,none,none,none
16,חולון,אהרונוביץ 28,3,49,1.0,1970,745000,none,none,none,none,none,none,none,none,none,none,none,none,none
17,חולון,אהרונוביץ 29,3,59,1.0,1965,none,none,none,none,none,none,none,none,none,none,none,none,none,none
18,חולון,אהרונוביץ 30,3,59,1.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
19,חולון,אהרונוביץ 31,3,59,1.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
20,חולון,אהרונוביץ 34,3,75,6.0,2019,"1,050,000",none,none,none,none,none,none,none,1526431,none,none,none,none,none
21,חולון,אהרונוביץ 36,3,70,4.0,2018,none,none,none,none,none,none,none,none,1524611,none,none,none,none,none
22,חולון,אהרונוביץ 37,3,37,4.0,1980,none,none,none,"1,070,000",none,1152500,none,none,none,none,none,none,none,none
23,חולון,אהרונוביץ 38,3,61,8.0,1980,"589,000",none,none,none,none,1170000,none,none,none,none,none,none,none,none
24,חולון,אהרונוביץ 39,3,61,2.0,1970,none,none,none,none,"945,000",none,none,none,1565287,none,none,none,none,none
25,חולון,אהרונוביץ 40,3,57,3.0,1970,none,none,none,"950,951",none,none,none,none,none,none,none,none,none,none
26,חולון,אהרונוביץ 42,3,57,3.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
27,חולון,אהרונוביץ 44,3,50,2.0,1965,871500,none,none,none,none,none,none,none,none,none,none,none,none,none
28,חולון,אהרונוביץ 45,3,80,1.0,1980,none,none,none,none,none,none,none,none,none,none,none,none,none,none
29,חולון,אהרונוביץ 46,3,57,2.0,1968,none,none,none,none,none,none,none,none,none,none,none,none,none,none
30,חולון,אהרונוביץ 47,3,59,1.0,1960,none,none,none,none,909423,none,none,none,none,none,none,none,none,none
31,חולון,אהרונוביץ 48,3,60,2.0,1950,none,none,"800,000",none,none,none,none,none,none,none,none,none,none,none
32,חולון,אהרונוביץ 49,3,59,3.0,1965,"800,000",none,none,none,"930,500",none,none,none,none,none,none,none,none,none
33,חולון,אהרונוביץ 50,3,67,4.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
34,חולון,אהרונוביץ 51,3,60,2.0,1960,704000,"740,000","840,000",none,none,none,"1,170,000",none,none,none,none,none,none,none
35,חולון,אהרונוביץ 52,3,70,1.0,1955,none,none,none,none,none,none,none,none,none,none,none,none,none,none
36,חולון,אהרונוביץ 57,3,35,1.0,1960,none,none,none,none,none,"750,000",none,none,none,none,none,none,none,none
37,חולון,אהרונוביץ 64,3,70,1.0,1950,none,none,none,none,none,none,none,none,none,none,none,none,none,none
38,חולון,אהרונוביץ 65,3,65,1.0,1950,none,none,none,none,none,none,none,none,none,none,none,none,none,none
39,חולון,אהרונוביץ 66,3,44,4.0,1950,none,none,none,none,"800,000",none,none,"1,050,000",none,none,none,none,none,none
40,חולון,אהרונוביץ 73,3,44,1.0,1970,600000,none,"700,000",817500,none,none,none,none,none,none,none,none,none,none
41,חולון,אהרונוביץ 75,3,43,3.0,1963,"680,000",none,none,none,none,none,none,none,none,none,none,none,none,none
42,חולון,אהרונוביץ 77,3,43,1.0,1960,none,none,none,"725,000",840000,none,none,none,"1,120,000",none,none,none,none,none
43,חולון,אהרונוביץ 8,3,65,1.0,1953,none,none,none,none,none,none,none,none,none,none,none,none,none,none
44,חולון,אוסישקין 10,3,75,4.0,1958,none,none,none,none,none,none,none,none,none,none,none,none,none,none
45,חולון,אוסישקין 12,3,75,4.0,1958,none,none,none,none,none,none,none,none,none,none,none,none,none,none
46,חולון,אוסישקין 3,3,66,1.0,1955,none,none,none,none,none,none,none,none,none,none,none,none,none,none
47,חולון,אוסישקין 5,3,58,1.0,1960,none,none,none,none,"1,200,000",none,none,none,none,none,none,none,none,none
48,חולון,אורים 10,3,78,5.0,1970,none,none,none,none,none,none,none,none,none,1550000,none,none,none,none
49,חולון,אורים 4,3,80,7.0,1964,none,none,1055000,none,none,none,1300000,"1,650,000",none,none,none,none,none,none
50,חולון,אורים 8,3,78,3.0,1966,none,none,none,none,none,"1,270,000",none,none,none,none,none,none,none,none
51,חולון,אזר 2,3,72,3.0,1966,none,none,none,none,none,none,none,none,none,none,none,none,none,none
52,חולון,אזר 3,3,55,1.0,1965,none,none,none,none,none,none,none,none,none,none,none,none,none,none
53,חולון,אחוה 8,3,55,3.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
54,חולון,אילת 14,3,56,1.0,1970,none,none,none,none,none,none,none,none,none,none,1175000,none,none,none
55,חולון,אילת 18,3,61,3.0,1980,none,none,none,none,none,none,none,none,none,none,none,none,none,none
56,חולון,אילת 20,3,62,4.0,1960,none,none,none,none,none,none,none,none,none,none,"1,350,000",none,none,none
57,חולון,אילת 24,3,57,4.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
58,חולון,אילת 32,3,78,7.0,1970,none,none,none,none,"1,196,834","1,275,000",1502500,none,none,1570000,none,none,none,none
