,city,streets,rooms,size,floor,date_builded,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,נתניה,אברבנאל 1,3,70.0,1.0,1979,none,none,"660,000",none,none,"700,000",none,none,none,none,none,none,none,none
1,נתניה,אברהם 10,3,73.0,3.0,1978,none,none,none,none,none,none,none,none,none,none,none,none,none,none
2,נתניה,אברהם 23,3,62.0,1.0,1985,none,none,none,none,none,none,none,none,none,none,none,none,none,none
3,נתניה,אגמים,3,131.0,4.0,2017,none,none,none,none,none,none,none,none,none,none,none,none,none,none
4,נתניה,אהרונוביץ 23,3,145.0,1.0,1950,none,none,none,none,none,none,none,none,none,none,none,none,none,none
5,נתניה,אהרונוביץ 6,3,146.0,2.0,1950,none,none,none,none,none,none,none,none,none,none,none,none,none,none
6,נתניה,אהרונסון 4,3,46.0,2.0,1980,none,none,none,none,none,none,none,none,none,none,none,none,none,none
7,נתניה,אוסישקין 1,3,86.0,1.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
8,נתניה,אוסישקין 11,3,57.0,3.0,1950,none,none,"940,220",none,none,none,none,none,none,none,none,none,none,none
9,נתניה,אוסישקין 13,3,70.0,5.0,1966,none,none,none,none,none,none,none,none,none,none,none,none,none,none
10,נתניה,אוסישקין 16,3,64.0,,1960,none,none,none,none,none,none,none,none,"1,600,000","1,480,000",none,none,none,none
11,נתניה,אוסישקין 17,3,100.0,1.0,1980,none,none,none,none,none,none,none,none,none,none,none,none,none,none
12,נתניה,אוסישקין 19,3,72.0,1.0,1980,none,none,none,none,none,none,none,none,none,none,none,none,none,none
13,נתניה,אוסישקין 22,3,76.0,3.0,1987,none,none,none,none,none,none,none,none,none,none,none,none,none,none
14,נתניה,אוסישקין 23,3,80.0,3.0,1980,none,none,none,none,none,none,none,none,none,none,none,none,none,none
15,נתניה,אוסישקין 26,3,87.0,3.0,1964,none,none,none,none,none,none,none,none,none,none,none,none,none,none
