,city,streets,rooms,size,floor,date_builded,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,גבעת השלושה,483,3,75.0,,1950,none,none,none,none,none,none,none,none,none,none,none,none,none,none
1,פתח תקווה,אבימלך 13,3,71.0,1.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
2,פתח תקווה,אברבנאל 13,3,61.0,2.0,2001,none,none,none,none,none,none,none,none,none,none,none,none,none,none
3,פתח תקווה,אברבנאל 18,3,75.0,3.0,1975,none,none,none,none,none,none,none,none,none,none,none,none,none,none
4,פתח תקווה,אברבנאל 2,3,54.0,4.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
5,פתח תקווה,אברבנאל 24,3,57.0,1.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
6,פתח תקווה,אהרונוביץ 54,3,83.0,3.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
7,פתח תקווה,אהרונסון 15,3,81.0,4.0,1965,none,none,none,none,none,none,none,none,none,none,none,none,none,none
8,פתח תקווה,אונטרמן 12,3,68.0,7.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
9,פתח תקווה,אונטרמן 24,3,74.0,1.0,2019,none,none,none,none,none,none,none,none,none,none,none,none,none,none
10,פתח תקווה,אונקלוס 1,3,80.0,1.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
11,פתח תקווה,אונקלוס 11,3,75.0,2.0,2000,none,none,none,none,none,none,none,none,none,none,none,none,none,none
12,פתח תקווה,אוסישקין 13,3,62.0,2.0,1979,none,none,none,none,none,none,none,none,none,none,none,none,none,none
13,פתח תקווה,אוסישקין 24,3,62.0,3.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
14,פתח תקווה,אוסישקין 6,3,68.0,2.0,1980,none,none,none,none,none,none,none,none,none,none,none,none,none,none
15,פתח תקווה,אוסישקין 7,3,57.0,3.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
16,פתח תקווה,אורלוב 10,3,74.0,3.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
17,פתח תקווה,אורלוב 35,3,60.0,4.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
18,פתח תקווה,אורלוב 44,3,55.0,1.0,1977,none,none,none,none,none,none,none,none,none,none,none,none,none,none
19,פתח תקווה,אורלוב 47,3,56.0,2.0,1999,none,none,none,none,none,none,none,none,none,none,none,none,none,none
20,פתח תקווה,אורלוב 6,3,73.0,1.0,2014,none,none,none,none,none,none,none,none,none,none,none,none,none,none
21,פתח תקווה,אורלוב 86,3,50.0,1.0,1970,none,none,none,none,none,"900,000",none,none,none,none,none,none,none,none
22,פתח תקווה,אורלוב 88,3,70.0,2.0,2000,none,none,none,none,none,none,none,none,none,none,none,none,none,none
23,פתח תקווה,אורלנסקי 13,3,80.0,2.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
24,פתח תקווה,אורלנסקי 14,3,60.0,2.0,1980,none,none,none,none,none,none,none,none,none,none,none,none,none,none
25,פתח תקווה,אורלנסקי 2,3,64.0,2.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
26,פתח תקווה,אורלנסקי 22,3,57.0,1.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
27,פתח תקווה,אורלנסקי 25,3,58.0,3.0,1972,none,"835,000",none,none,none,none,none,none,none,none,none,none,none,none
28,פתח תקווה,אורלנסקי 30,3,58.0,2.0,1970,none,none,none,none,none,none,"1,200,000",none,none,none,none,none,none,none
29,פתח תקווה,אורלנסקי 38,3,66.0,1.0,1970,none,none,none,"886,000",none,none,none,none,none,none,none,none,none,none
30,פתח תקווה,אורלנסקי 6,3,62.0,2.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
31,פתח תקווה,אילניה 8,3,93.0,3.0,2000,none,none,none,none,none,none,none,none,none,none,none,none,none,none
32,פתח תקווה,אלונים 4,3,62.0,1.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
33,פתח תקווה,אלמוג 23,3,75.0,1.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
34,פתח תקווה,אלמוג 3,3,82.0,1.0,1949,"820,000","1,744,000","237,500",none,none,none,none,none,none,none,none,none,none,none
35,פתח תקווה,אמסטרדם 4,3,61.0,2.0,1973,none,none,none,none,none,none,none,none,none,none,none,none,none,none
36,פתח תקווה,אנדרסן 14,3,60.0,1.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
37,פתח תקווה,אנדרסן 15,3,78.0,3.0,1981,none,none,none,none,none,none,none,none,none,none,none,none,none,none
38,פתח תקווה,אנדרסן 3,3,45.0,1.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
39,פתח תקווה,אפק 82,3,,,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
40,פתח תקווה,אצל 2,3,61.0,1.0,1972,none,none,none,none,none,none,none,none,none,none,none,none,none,none
41,פתח תקווה,אצל 4,3,62.0,3.0,1972,none,none,none,none,none,none,none,none,none,none,none,none,none,none
42,פתח תקווה,ארלוזורוב,3,95.0,1.0,1982,none,none,none,none,none,none,none,none,none,none,none,none,none,none
43,פתח תקווה,ארלוזורוב 17,3,50.0,1.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
44,פתח תקווה,ארלוזורוב 2,3,75.0,2.0,1959,"880,000",none,none,887500,none,none,none,none,none,none,none,none,none,none
45,פתח תקווה,ארלוזורוב 25,3,77.0,3.0,1979,none,none,none,none,none,none,none,none,none,none,none,none,none,none
46,פתח תקווה,ארלוזורוב 27,3,81.0,2.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
47,פתח תקווה,ארלוזורוב 28,3,60.0,2.0,1960,none,713750,"820,000",none,none,1025000,none,none,none,none,none,none,none,none
48,פתח תקווה,ארלוזורוב 29,3,86.0,4.0,1973,none,none,none,none,none,none,none,none,none,none,none,none,none,none
49,פתח תקווה,ארלוזורוב 40,3,63.0,4.0,2002,none,none,none,none,"1,050,000",none,none,none,none,none,none,none,none,none
50,פתח תקווה,ארלוזורוב 46,3,64.0,4.0,2001,none,none,none,none,none,none,none,none,none,none,none,none,none,none
51,פתח תקווה,ארלוזורוב 6,3,83.0,1.0,1986,none,none,none,none,none,none,none,none,none,none,none,none,none,none
52,פתח תקווה,אשכנזי 3,3,70.0,2.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
53,פתח תקווה,בורוכוב,3,64.0,3.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
54,פתח תקווה,בורוכוב 10,3,70.0,1.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
55,פתח תקווה,בורוכוב 16,3,69.0,4.0,1972,none,none,none,none,none,none,none,"1,477,500",none,none,none,none,none,none
56,פתח תקווה,בורוכוב 18,3,70.0,7.0,1977,none,930000,none,none,"1,100,000","1,145,000",none,none,none,none,none,none,none,none
57,פתח תקווה,בורוכוב 2,3,78.0,6.0,1983,none,none,none,none,none,1180570,none,none,none,none,none,none,none,none
58,פתח תקווה,ביאליק,3,75.0,2.0,2014,none,none,none,none,none,none,none,none,none,none,none,none,none,none
59,פתח תקווה,ביאליק 15,3,64.0,,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
60,פתח תקווה,ביאליק 2,3,55.0,2.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
61,פתח תקווה,ביאליק 21,3,66.0,3.0,1987,none,none,none,none,none,none,none,none,none,none,none,none,none,none
62,פתח תקווה,ביאליק 27,3,63.0,2.0,1963,none,none,none,none,none,none,none,none,none,none,none,none,none,none
63,פתח תקווה,ביאליק 28,3,66.0,4.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
64,פתח תקווה,ביאליק 30,3,66.0,,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
65,פתח תקווה,ביאליק 32,3,89.0,1.0,1985,none,none,none,none,"1,340,000",none,none,none,none,none,none,none,none,none
66,פתח תקווה,ביאליק 37,3,75.0,5.0,1999,none,none,none,none,none,none,none,none,none,none,none,none,none,none
67,פתח תקווה,ביאליק 53,3,68.0,2.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
68,פתח תקווה,ביאליק 6,3,56.0,1.0,1971,none,none,none,none,none,none,none,none,none,none,none,none,none,none
69,פתח תקווה,בייליס 10,3,75.0,2.0,1970,none,none,none,none,"850,000",none,none,none,none,none,none,none,none,none
70,פתח תקווה,בייליס 12,3,59.0,2.0,1995,none,none,none,none,none,none,none,none,none,none,none,none,none,none
71,פתח תקווה,בייליס 20,3,55.0,2.0,1970,none,none,none,none,none,none,none,none,1150000,none,none,none,none,none
72,פתח תקווה,בילו 13,3,67.0,1.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
73,פתח תקווה,בילו 14,3,75.0,3.0,1952,none,none,none,none,none,none,none,none,none,none,none,none,none,none
74,פתח תקווה,בילו 15,3,94.0,3.0,1975,none,none,none,none,none,none,none,none,none,none,none,none,none,none
75,פתח תקווה,בילו 23,3,65.0,2.0,1985,none,none,none,none,none,none,none,none,none,none,none,none,none,none
76,פתח תקווה,בילו 4,3,91.0,3.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
77,פתח תקווה,בילו 7,3,69.0,2.0,1967,none,none,none,none,none,none,none,none,none,none,none,none,none,none
78,פתח תקווה,ביליס 12,3,59.0,2.0,1995,none,none,none,none,none,none,none,none,none,none,none,none,none,none
79,פתח תקווה,בלפור 11,3,71.0,3.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
80,פתח תקווה,בלפור 12,3,76.0,2.0,2000,none,none,none,none,none,none,none,none,none,none,none,none,none,none
81,פתח תקווה,בלפור 26,3,72.0,3.0,1963,none,none,none,"900,000",none,none,none,none,none,none,none,none,none,none
82,פתח תקווה,בלפור 34,3,75.0,3.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
83,פתח תקווה,בלפור 42,3,70.0,4.0,1991,none,none,none,none,none,none,none,none,none,none,none,none,none,none
84,פתח תקווה,בן אריה אליעזר 11,3,82.0,1.0,1998,none,none,none,none,none,none,none,none,none,none,none,none,none,none
85,פתח תקווה,בנימיני אמיר 2,3,66.0,1.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
86,פתח תקווה,בנימיני אמיר 4,3,65.0,2.0,2001,none,none,none,none,none,none,none,none,none,none,none,none,none,none
87,פתח תקווה,בנימיני אמיר 5,3,63.0,1.0,1982,none,none,none,none,none,none,none,none,none,none,none,none,none,none
88,פתח תקווה,בנימיני אמיר 8,3,66.0,,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
89,פתח תקווה,בעשט 35,3,59.0,2.0,1983,none,none,none,none,none,none,none,none,none,none,none,none,none,none
90,פתח תקווה,בעשט 45,3,65.0,2.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
91,פתח תקווה,בעשט 52,3,67.0,4.0,2000,none,none,none,none,none,none,none,none,none,none,none,none,none,none
92,פתח תקווה,בעשט 55,3,72.0,4.0,2010,none,none,none,none,none,none,none,none,none,none,none,none,none,none
93,פתח תקווה,בעשט 56,3,69.0,,2001,none,none,none,none,none,none,none,none,none,none,none,none,none,none
94,פתח תקווה,בראון אריה 14,3,75.0,4.0,2014,none,none,none,none,none,none,none,none,none,none,none,none,none,none
95,פתח תקווה,בראנדיס 10,3,77.0,3.0,1980,none,none,none,none,none,none,none,none,none,none,none,none,none,none
96,פתח תקווה,ברדיצב אבא 1,3,75.0,4.0,2013,none,none,none,1401332,none,none,none,none,none,none,none,none,none,none
97,פתח תקווה,ברדיצב אבא 7,3,73.0,,2011,none,none,none,none,none,none,none,none,none,none,none,none,none,none
98,פתח תקווה,ברוידא 10,3,56.0,2.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
99,פתח תקווה,ברוידא 2,3,76.0,2.0,1976,none,none,none,none,none,none,none,none,none,none,none,none,none,none
100,פתח תקווה,ברוידא 8,3,51.0,2.0,1974,"650,000",none,none,none,none,none,none,none,none,none,none,none,none,none
101,פתח תקווה,ברוידה 10,3,56.0,2.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
102,פתח תקווה,ברוידה 12,3,62.0,2.0,1965,none,none,none,none,none,none,none,none,none,none,none,none,none,none
103,פתח תקווה,ברוידה 15,3,65.0,3.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
104,פתח תקווה,ברוידה 2,3,63.0,4.0,1974,none,none,none,none,none,none,none,none,none,none,none,none,none,none
105,פתח תקווה,ברוידה 3,3,71.0,3.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
106,פתח תקווה,ברוידה 59,3,62.0,2.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
107,פתח תקווה,ברוידה 6,3,61.0,5.0,1995,none,none,none,none,none,none,none,none,none,none,none,none,none,none
108,פתח תקווה,ברוידה 8,3,59.0,2.0,1970,none,"715,000",none,none,none,none,none,none,none,none,none,none,none,none
109,פתח תקווה,ברטנורא 122,3,65.0,,1980,none,none,none,none,none,none,none,none,none,none,none,none,none,none
110,פתח תקווה,ברטנורא 3,3,65.0,,1974,none,none,none,none,"550,000",none,none,none,none,none,none,none,none,none
111,פתח תקווה,ברטנורא 4,3,72.0,4.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
112,פתח תקווה,ברטנורא 6,3,72.0,4.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
113,פתח תקווה,ברלוביץ 10,3,89.0,3.0,1998,none,none,none,none,none,none,none,none,none,none,none,none,none,none
114,פתח תקווה,ברלוביץ 14,3,60.0,,1998,none,none,none,none,none,none,none,none,none,none,none,none,none,none
115,פתח תקווה,ברנדה 11,3,73.0,2.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
116,פתח תקווה,ברנדה 13,3,70.0,3.0,1978,none,none,none,none,none,none,none,none,none,none,none,none,none,none
117,פתח תקווה,ברנדה 22,3,58.0,3.0,1980,none,none,none,none,none,none,none,none,none,none,none,none,none,none
118,פתח תקווה,ברנדה 25,3,75.0,7.0,2016,none,none,none,none,none,"1,600,000",none,none,none,none,none,none,none,none
119,פתח תקווה,ברנדה 42,3,69.0,2.0,1969,none,none,none,none,none,none,none,none,none,none,none,none,none,none
120,פתח תקווה,ברנדה 5,3,59.0,3.0,1996,none,none,none,none,none,none,none,none,none,none,none,none,none,none
121,פתח תקווה,ברנדייס 11,3,70.0,2.0,2004,none,none,"974,000",none,none,none,none,none,none,none,none,none,none,none
122,פתח תקווה,ברנדייס 15,3,75.0,,1998,none,none,none,none,none,none,none,none,none,none,none,none,none,none
123,פתח תקווה,ברנדייס 3,3,64.0,1.0,2000,none,none,none,none,none,none,none,none,none,none,none,none,none,none
124,פתח תקווה,ברנדייס 38,3,75.0,2.0,1970,none,none,none,none,"1,235,000",none,none,none,none,none,none,none,none,none
125,פתח תקווה,ברנדייס 9,3,73.0,4.0,2003,none,none,none,none,none,none,none,none,none,none,none,none,none,none
126,פתח תקווה,ברנר 11,3,53.0,3.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
127,פתח תקווה,ברנר 13,3,48.0,4.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
