,city,streets,rooms,size,floor,date_builded,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,ראשון לציון,4313 109,3,75.0,,2018,none,none,none,none,none,none,none,873024,"918,276",none,none,none,none,none
1,ראשון לציון,אב,3,75.0,,2017,none,none,none,none,none,none,908298,980102,1449415,1412419,none,none,none,none
2,ראשון לציון,אב 1,3,77.0,5.0,2017,none,none,none,none,none,none,none,899492,none,"1,050,745",none,none,none,none
3,ראשון לציון,אב 4,3,112.0,3.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
4,ראשון לציון,אב 41,3,83.0,7.0,1985,none,none,none,none,none,none,none,none,none,none,none,none,none,none
5,ראשון לציון,אב 6,3,80.0,1.0,2019,none,none,none,none,none,none,none,none,none,none,none,none,none,none
6,ראשון לציון,אב 62,3,75.0,4.0,2022,none,none,none,none,none,none,none,none,none,none,none,none,none,none
7,ראשון לציון,אב 71,3,75.0,17.0,2019,none,none,none,none,none,none,none,none,none,none,none,none,none,none
8,ראשון לציון,אב 81,3,75.0,8.0,2022,none,none,none,none,none,none,none,none,none,none,none,none,none,none
9,ראשון לציון,אב 99,3,70.0,1.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
10,ראשון לציון,אבוחצירה,3,75.0,,2018,none,none,none,none,none,none,none,none,none,none,none,none,none,none
11,ראשון לציון,אבוחצירה 3,3,77.0,1.0,2022,none,none,none,none,none,none,none,none,none,none,none,none,none,none
12,ראשון לציון,אבוחצירה 41,3,75.0,7.0,2022,none,none,none,none,none,none,none,none,none,none,none,none,none,none
13,ראשון לציון,אבוחצירה 82,3,75.0,7.0,2022,none,none,none,none,none,none,none,none,none,none,none,none,none,none
14,ראשון לציון,אבנר,3,85.0,23.0,2020,none,none,none,none,none,none,none,none,none,none,"1,053,657",none,none,none
15,ראשון לציון,אבנר 10,3,74.0,2.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
16,ראשון לציון,אבנר 91,3,75.0,9.0,2022,none,none,none,none,none,none,none,none,none,none,none,none,none,none
17,ראשון לציון,אברבנאל,3,80.0,6.0,2014,none,none,none,none,1240000,none,none,none,none,"2,107,000",none,none,none,none
18,ראשון לציון,אברבנאל 10,3,90.0,4.0,1980,none,none,none,none,none,none,none,none,none,none,none,none,none,none
19,ראשון לציון,אברבנאל 11,3,73.0,3.0,2000,none,none,"1,080,000",none,none,none,none,none,none,none,none,none,none,none
20,ראשון לציון,אברבנאל 14,3,75.0,3.0,1999,none,none,"1,047,500",none,none,none,none,none,none,none,none,none,none,none
21,ראשון לציון,אברבנאל 19,3,71.0,1.0,1981,none,none,none,none,none,"1,180,000",none,none,none,none,none,none,none,none
22,ראשון לציון,אברבנאל 2,3,78.0,1.0,2022,none,none,none,none,none,none,none,none,none,none,none,none,none,none
23,ראשון לציון,אברבנאל 23,3,63.0,4.0,1995,none,none,none,none,none,none,"925,000",none,none,none,none,none,none,none
24,ראשון לציון,אברבנאל 3,3,75.0,5.0,2014,none,none,none,none,1162500,none,none,none,none,none,none,none,none,none
25,ראשון לציון,אברבנאל 33,3,69.0,4.0,1994,none,none,none,none,none,none,none,none,none,none,none,none,none,none
26,ראשון לציון,אברבנאל 37,3,70.0,1.0,1979,"930,000","970,000",none,695000,"1,250,000","1,150,000","1,250,000","1,430,000",none,"1,480,000","1,415,000",none,none,none
27,ראשון לציון,אברבנאל 41,3,95.0,1.0,1978,"840,000","1,016,015",none,none,none,none,none,none,none,none,none,none,none,none
28,ראשון לציון,אברבנאל 5,3,70.0,3.0,1990,none,none,none,"1,105,000","1,220,000","1,340,000",none,none,none,"1,525,000",none,none,none,none
29,ראשון לציון,אברבנאל 7,3,75.0,,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
30,ראשון לציון,אברבנאל 9,3,68.0,,1997,none,none,none,none,none,none,none,none,none,none,none,none,none,none
31,ראשון לציון,אברמוביץ 3,3,76.0,3.0,1970,"960,000",none,"1,055,000",none,none,none,none,none,none,"1,500,000",none,none,none,none
32,ראשון לציון,אברמוביץ 4,3,72.0,3.0,1970,none,none,none,"1,080,000","1,040,000","1,260,000",none,none,none,none,none,none,none,none
33,ראשון לציון,אברמוביץ 4,3,75.0,,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
34,ראשון לציון,אברמוביץ 5,3,74.0,7.0,2000,none,none,"1,000,000",none,"1,200,000",none,"1,500,000","1,545,000",none,none,none,none,none,none
35,ראשון לציון,אברמוביץ 6,3,70.0,1.0,1982,none,"990,000","1,018,000","1,060,000",none,none,none,none,none,none,none,none,none,none
36,ראשון לציון,אברמוביץ 7,3,78.0,4.0,1970,"1,050,000",none,none,none,none,none,none,none,"1,681,681",none,none,none,none,none
37,ראשון לציון,אברמוביץ 9,3,77.0,5.0,1980,none,none,none,none,none,"1,350,000",none,none,none,none,none,none,none,none
38,ראשון לציון,אבשלום,3,58.0,,1973,none,none,none,none,none,none,none,none,none,none,none,none,none,none
39,ראשון לציון,אבשלום 1,3,62.0,,1970,"820,000","820,000",none,none,none,"1,045,000",none,none,"1,350,000",none,none,none,none,none
40,ראשון לציון,אבשלום 3,3,62.0,4.0,1980,none,none,"920,000",none,"893,400",none,none,none,none,none,none,none,none,none
41,ראשון לציון,אבשלום 5,3,61.0,3.0,1976,none,none,none,none,none,none,none,none,none,none,none,none,none,none
42,ראשון לציון,אבשלום 6,3,61.0,1.0,1980,none,none,none,none,none,none,none,none,"1,395,000",none,none,none,none,none
43,ראשון לציון,אבשלום 7,3,58.0,2.0,1973,820000,none,none,none,none,none,none,none,none,none,"1,355,000",none,none,none
44,ראשון לציון,אבשלום 8,3,61.0,3.0,1970,none,"1,050,000",none,none,none,none,none,none,1645000,none,none,none,none,none
45,ראשון לציון,אבשלום 9,3,61.0,4.0,1970,none,none,"980,000",992500,none,none,none,none,none,none,none,none,none,none
46,ראשון לציון,אדר 71,3,75.0,9.0,2019,none,none,none,none,none,none,none,none,none,none,none,none,none,none
47,ראשון לציון,אהרונוביץ,3,77.0,11.0,2020,none,none,none,none,none,none,none,none,none,none,none,none,none,none
48,ראשון לציון,אהרונוביץ 23,3,90.0,,1900,none,none,none,none,none,none,none,none,none,none,none,none,none,none
49,ראשון לציון,אונטרמן 6,3,67.0,2.0,1998,none,none,none,none,none,none,none,none,none,none,none,none,none,none
50,ראשון לציון,אוסטשינסקי 17,3,70.0,1.0,1980,none,none,none,none,none,none,none,none,none,none,none,none,none,none
51,ראשון לציון,אוסטשינסקי 3,3,62.0,3.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
52,ראשון לציון,אוסישקין,3,64.0,1.0,1980,none,none,none,none,none,none,none,none,none,none,none,none,none,none
53,ראשון לציון,אוסישקין 12,3,74.0,2.0,1969,none,none,none,none,none,none,none,none,none,none,none,none,none,none
54,ראשון לציון,אוסישקין 13,3,61.0,3.0,2000,none,none,none,none,none,none,none,none,none,none,none,none,none,none
55,ראשון לציון,אוסישקין 17,3,64.0,,1980,none,none,none,none,none,none,none,none,none,none,none,none,none,none
56,ראשון לציון,אוסישקין 18,3,67.0,2.0,1969,none,none,955000,none,none,"1,300,000",none,none,none,"1,100,000",none,none,none,none
57,ראשון לציון,אוסישקין 21,3,76.0,3.0,1971,none,none,none,none,none,none,none,none,none,none,none,none,none,none
58,ראשון לציון,אוסישקין 25,3,79.0,3.0,2013,none,none,none,1611837,"1,500,000",none,none,none,none,none,none,none,none,none
59,ראשון לציון,אוסישקין 26,3,62.0,4.0,1970,none,"1,120,000","1,050,000",none,"1,180,000",none,none,"1,209,500",none,"1,370,000",none,none,none,none
60,ראשון לציון,אוסישקין 27,3,66.0,2.0,1950,none,"990,000",none,none,none,none,none,none,none,none,none,none,none,none
61,ראשון לציון,אוסישקין 3,3,63.0,1.0,1967,none,none,none,"880,000",none,none,"1,170,000",none,none,"1,350,000",none,none,none,none
62,ראשון לציון,אוסישקין 31,3,62.0,1.0,1990,none,none,none,"970,000",none,none,none,none,"1,200,000","1,150,000",none,none,none,none
63,ראשון לציון,אוסישקין 33,3,65.0,2.0,1977,none,none,none,none,none,"1,310,000",none,none,none,"1,310,000",none,none,none,none
64,ראשון לציון,אוסישקין 34,3,64.0,4.0,1985,"885,000","915,000",none,none,none,none,"1,375,000",none,none,none,none,none,none,none
65,ראשון לציון,אוסישקין 39,3,61.0,1.0,2012,none,none,867500,none,"1,100,000",none,"1,270,000","1,200,000",none,"1,300,000",none,none,none,none
66,ראשון לציון,אוסישקין 41,3,59.0,3.0,1985,"840,000",952500,"950,000",none,none,none,none,"1,480,000",none,none,none,none,none,none
67,ראשון לציון,אוסישקין 43,3,62.0,,1975,none,none,none,none,none,none,none,none,none,none,none,none,none,none
68,ראשון לציון,אוסישקין 9,3,85.0,2.0,1970,none,none,none,none,none,none,none,none,none,"1,350,000",none,none,none,none
69,ראשון לציון,אושה 2,3,74.0,3.0,1990,none,none,none,none,none,none,none,none,none,none,none,none,none,none
70,ראשון לציון,אושה 4,3,74.0,3.0,2007,none,none,"935,000",none,none,none,none,none,none,none,none,none,none,none
71,ראשון לציון,אושה 5,3,63.0,3.0,1980,none,none,none,none,none,none,none,none,none,none,none,none,none,none
72,ראשון לציון,אושה 7,3,77.0,2.0,1999,none,none,none,none,none,none,none,none,none,none,none,none,none,none
73,ראשון לציון,אזר 1,3,65.0,7.0,1985,"835,000",none,"1,031,030",none,none,none,none,none,none,none,none,none,none,none
74,ראשון לציון,אזר 1,3,64.0,4.0,1997,none,none,none,none,none,none,none,none,none,none,none,none,none,none
75,ראשון לציון,אזר 14,3,59.0,3.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
76,ראשון לציון,אזר 16,3,65.0,4.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
77,ראשון לציון,אזר 3,3,73.0,3.0,1961,none,none,none,none,none,none,none,none,none,none,none,none,none,none
78,ראשון לציון,אזר 3,3,73.0,2.0,1960,"950,000",none,none,none,none,none,none,none,none,none,none,none,none,none
79,ראשון לציון,אזר 4,3,91.0,2.0,1957,none,none,none,none,none,none,none,none,none,none,none,none,none,none
80,ראשון לציון,אזר 4,3,91.0,3.0,1960,none,"940,000",none,none,none,none,none,none,none,none,none,none,none,none
81,ראשון לציון,אזר 5,3,72.0,3.0,1975,none,none,none,none,none,none,none,none,none,none,none,none,none,none
82,ראשון לציון,אזר 7,3,63.0,2.0,1964,none,none,"805,000",none,none,none,none,none,none,none,none,none,none,none
