,city,streets,rooms,size,floor,date_builded,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,תל אביב יפו,3018 16,3,75.0,,2007,none,none,none,none,none,none,none,none,none,none,none,none,none,none
1,תל אביב יפו,69 1096,3,253.0,,2006,none,none,none,none,none,none,none,none,none,none,none,none,none,none
2,תל אביב יפו,76 3895,3,50.0,,1920,none,none,none,none,none,none,none,none,none,none,none,none,none,none
3,תל אביב יפו,אב,3,70.0,,2010,none,none,none,"2,100,000",none,none,3003761,none,none,none,none,none,none,none
4,תל אביב יפו,אב 1,3,108.0,,2010,"780,000",2273285,2221476,2418981,1712264,none,1846047,none,none,2570372,none,none,none,none
5,תל אביב יפו,אב 11,3,52.0,4.0,1960,none,none,none,none,"2,605,000","800,000",none,none,none,none,none,none,none,none
6,תל אביב יפו,אב 12,3,69.0,9.0,2016,none,none,none,none,none,none,"3,670,000",none,none,none,none,none,none,none
7,תל אביב יפו,אב 16,3,75.0,5.0,1970,none,"720,000",none,none,none,none,none,none,none,none,none,none,none,none
8,תל אביב יפו,אב 22,3,76.0,9.0,2013,none,none,none,none,none,none,none,none,none,none,none,none,none,none
9,תל אביב יפו,אב 28,3,53.0,5.0,1965,none,none,none,none,none,none,none,none,none,none,none,none,none,none
10,תל אביב יפו,אב 3,3,80.0,13.0,2017,none,none,none,none,none,none,none,none,none,none,none,none,none,none
11,תל אביב יפו,אב 33,3,60.0,8.0,1980,none,none,none,none,none,none,none,none,none,none,none,none,none,none
12,תל אביב יפו,אב 4,3,91.0,1.0,1960,none,none,none,none,none,none,"1,220,000",none,none,none,none,none,none,none
13,תל אביב יפו,אב 42,3,67.0,1.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
14,תל אביב יפו,אב 5,3,86.0,2.0,1970,none,none,none,none,none,none,2126497,none,none,none,none,none,none,none
15,תל אביב יפו,אב 6,3,75.0,4.0,2014,none,none,none,none,none,none,none,none,none,none,none,none,none,none
16,תל אביב יפו,אב 63,3,79.0,16.0,2016,none,none,none,none,none,none,none,none,none,none,none,none,none,none
17,תל אביב יפו,אב 64,3,55.0,1.0,1930,none,none,none,none,none,none,none,none,none,none,none,none,none,none
18,תל אביב יפו,אב 8,3,75.0,3.0,1950,none,none,none,none,none,none,none,none,none,none,none,none,none,none
19,תל אביב יפו,אבודרהם 1,3,83.0,,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
20,תל אביב יפו,אבולעפיה 11,3,85.0,2.0,1950,none,none,none,none,none,none,none,none,none,none,none,none,none,none
21,תל אביב יפו,אביאסף 11,3,60.0,,1950,none,none,none,none,none,none,none,none,none,none,none,none,none,none
22,תל אביב יפו,אביטל 19,3,76.0,1.0,1950,none,none,none,none,,none,none,none,none,none,none,none,none,none
23,תל אביב יפו,אביטל 79,3,50.0,,1950,none,none,none,none,none,none,none,none,none,none,none,none,none,none
24,תל אביב יפו,אבימלך 3,3,70.0,,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
25,תל אביב יפו,אברבנאל 1,3,67.0,3.0,2014,"1,597,893",none,none,none,none,none,none,none,none,none,none,none,none,none
26,תל אביב יפו,אברבנאל 74,3,80.0,,2015,none,none,none,none,none,none,none,none,none,none,none,none,none,none
27,תל אביב יפו,אדירים 1,3,45.0,5.0,1990,none,1082500,none,"1,329,067",none,none,none,none,none,none,none,none,none,none
28,תל אביב יפו,אדירים 10,3,65.0,3.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
29,תל אביב יפו,אדירים 12,3,78.0,2.0,1969,none,none,none,none,none,none,none,none,none,none,none,none,none,none
30,תל אביב יפו,אדירים 2,3,65.0,3.0,1970,"1,400,000",none,none,none,none,none,none,none,none,none,none,none,none,none
31,תל אביב יפו,אדירים 3,3,44.0,4.0,1999,none,none,975000,none,none,"1,570,000",none,none,none,none,none,none,none,none
32,תל אביב יפו,אדירים 4,3,73.0,2.0,1968,none,none,none,none,none,none,none,none,none,none,none,none,none,none
33,תל אביב יפו,אדירים 5,3,75.0,6.0,1999,none,"1,450,000","1,104,421",none,none,none,none,none,"2,092,556",none,none,none,none,none
34,תל אביב יפו,אדירים 7,3,78.0,5.0,1993,none,none,none,none,none,none,none,none,none,none,none,none,none,none
