,city,street,rooms,size,floor,date_builded,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,אשדוד,א ת עד הלום,3,80.0,,1980,none,none,none,none,none,1150000,1281666,"2,075,000",none,none,none,none,none,none
1,אשדוד,א ת עד הלום 1,3,100.0,3.0,1980,none,none,none,none,none,"1,430,000",none,none,none,none,none,none,none,none
2,אשדוד,א ת עד הלום 13,3,80.0,1.0,1998,none,none,none,none,none,none,none,none,none,none,none,none,none,none
3,אשדוד,א ת עד הלום 2,3,104.0,3.0,2017,none,none,none,none,none,none,"1,700,000",none,none,none,none,none,none,none
4,אשדוד,א ת עד הלום 7,3,89.0,6.0,1997,none,none,none,none,none,none,none,none,none,none,none,none,none,none
5,אשדוד,אב,3,77.0,6.0,2013,none,none,none,none,none,1067584,none,1795000,none,none,1650000,none,none,none
6,אשדוד,אב 2,3,75.0,,2002,none,none,none,"1,300,000",none,none,none,none,none,none,none,none,none,none
7,אשדוד,אב 41,3,59.0,2.0,1980,none,none,none,none,none,none,none,none,none,none,none,none,none,none
8,אשדוד,אב 45,3,80.0,,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
9,אשדוד,אב 5,3,70.0,1.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
10,אשדוד,אבא אחימאיר,3,81.0,3.0,2020,none,none,none,none,none,none,"1,300,000",none,none,none,none,none,none,none
11,אשדוד,אבא הלל סילבר 13,3,74.0,3.0,2012,"800,000",none,none,none,none,"950,000",none,none,none,none,none,none,none,none
12,אשדוד,אבא הלל סילבר 15,3,88.0,,1970,none,none,none,"805,000","980,000","1,100,000","1,215,000","1,315,000",1185000,none,none,none,none,none
13,אשדוד,אבא הלל סילבר 26,3,79.0,,1970,none,none,none,none,none,none,none,"1,325,000",none,none,none,none,none,none
14,אשדוד,"אבוחצירה,הרב",3,60.0,4.0,2000,none,none,none,none,none,none,none,none,none,none,none,none,none,none
15,אשדוד,"אבוחצירה,הרב 1",3,75.0,4.0,1979,none,none,none,none,none,none,none,none,none,none,none,none,none,none
