,city,street,rooms,size,floor,date_builded,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,באר שבע,א.ל. זיסו 10,3,60.0,,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
1,באר שבע,אבא אחימאיר 216,3,85.0,,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
2,באר שבע,אביגד 4,3,62.0,2.0,1980,none,none,none,none,none,none,none,none,none,none,none,none,none,none
3,באר שבע,אביגדור המאירי 1,3,100.0,1.0,2000,none,none,479750,none,none,none,none,none,none,"453,915",none,none,none,none
4,באר שבע,אביגדור המאירי 11,3,64.0,2.0,1995,"460,000",none,none,none,none,none,none,none,"223,580",none,none,none,none,none
5,באר שבע,אביגדור המאירי 12,3,103.0,,2009,none,none,none,none,none,none,none,none,none,none,none,none,none,none
6,באר שבע,אביגדור המאירי 14,3,99.0,7.0,2000,none,none,none,none,none,none,none,none,none,none,none,none,none,none
7,באר שבע,אביגדור המאירי 15,3,88.0,5.0,1998,none,none,none,none,none,none,none,none,none,none,none,none,none,none
8,באר שבע,אביגדור המאירי 16,3,78.0,4.0,1999,none,none,"600,000",none,none,none,none,none,none,none,none,none,none,none
9,באר שבע,אביגדור המאירי 19,3,64.0,1.0,1994,none,none,none,none,none,none,none,none,none,none,none,none,none,none
10,באר שבע,אביגדור המאירי 2,3,61.0,7.0,1990,"440,000",none,484500,none,"575,000","700,000",none,none,none,"427,915",none,none,none,none
11,באר שבע,אביגדור המאירי 20,3,86.0,5.0,2005,none,none,none,none,none,none,none,none,none,none,none,none,none,none
12,באר שבע,אביגדור המאירי 25,3,79.0,,1900,none,none,none,none,none,none,none,none,none,none,none,none,none,none
13,באר שבע,אביגדור המאירי 26,3,101.0,5.0,1996,none,none,none,none,none,none,none,none,none,none,none,none,none,none
14,באר שבע,אביגדור המאירי 29,3,77.0,,1990,none,none,none,none,none,none,none,none,none,none,none,none,none,none
15,באר שבע,אביגדור המאירי 4,3,61.0,6.0,1990,400000,465666,none,none,"675,000",none,none,"780,000",none,none,"750,000",none,none,none
16,באר שבע,אביגדור המאירי 5,3,69.0,4.0,1990,none,none,"650,150",none,none,none,none,none,none,none,none,none,none,none
17,באר שבע,אביגדור המאירי 6,3,83.0,4.0,1990,none,438333,none,none,none,none,807500,none,none,none,780000,none,none,none
18,באר שבע,אביגדור המאירי 8,3,61.0,,2004,none,none,"490,000",585000,"605,000","665,000",none,none,"720,000",none,none,none,none,none
19,באר שבע,אביגיל 14,3,60.0,,1995,none,none,none,none,none,none,none,none,none,none,none,none,none,none
20,באר שבע,אבידוב צבי 5,3,60.0,1.0,1900,none,none,none,none,none,none,none,none,none,none,none,none,none,none
21,באר שבע,אבידום מנחם 12,3,60.0,1.0,1995,none,none,none,none,none,none,none,none,none,none,none,none,none,none
