,city,street,rooms,size,floor,date_builded,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,בני ברק,4 16,3,61.0,2.0,1920,none,none,none,none,none,none,none,none,none,none,1485000,none,none,none
1,בני ברק,4 4,3,45.0,2.0,1950,none,none,none,none,none,none,none,none,none,none,none,none,none,none
2,בני ברק,א.ד. גורדון 3,3,68.0,,2008,none,none,none,none,none,none,none,none,none,none,none,none,none,none
3,בני ברק,אבו חצירא ישראל 15,3,64.0,1.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
4,בני ברק,אבו חצירא ישראל 19,3,62.0,3.0,1950,none,none,none,none,none,none,none,none,none,none,none,none,none,none
5,בני ברק,אבו חצירא ישראל 21,3,49.0,4.0,1950,"695,000",none,"750,000",none,none,none,none,none,none,none,none,none,none,none
6,בני ברק,אבו חצירא ישראל 27,3,50.0,2.0,1950,none,none,790000,"850,000","775,000",956000,none,none,none,none,none,none,none,none
7,בני ברק,אבו חצירא ישראל 28,3,55.0,4.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
8,בני ברק,אבו חצירא ישראל 29,3,47.0,3.0,1970,"700,000",none,none,none,none,none,none,none,none,none,none,none,none,none
9,בני ברק,אבו חצירא ישראל 3,3,62.0,2.0,1990,none,none,none,none,none,none,none,none,none,none,none,none,none,none
10,בני ברק,אבו חצירא ישראל 33,3,75.0,3.0,1965,"720,000",none,"790,000",none,none,none,none,none,none,none,none,none,none,none
11,בני ברק,אבו חצירא ישראל 36,3,75.0,3.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
12,בני ברק,אבו חצירא ישראל 37,3,64.0,4.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
13,בני ברק,אבו חצירא ישראל 5,3,62.0,3.0,1980,none,none,none,none,none,none,none,none,none,none,none,none,none,none
14,בני ברק,אבו חצירא ישראל 6,3,63.0,1.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
15,בני ברק,אבוחצירא 1,3,75.0,5.0,2015,none,none,none,none,none,none,none,none,none,none,none,none,none,none
16,בני ברק,אבוחצירא 31,3,48.0,4.0,1901,none,none,none,none,none,none,none,none,none,none,none,none,none,none
17,בני ברק,אבוחצירא 35,3,60.0,2.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
18,בני ברק,אבוחצירא 47,3,59.0,1.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
19,בני ברק,אבוחצרא 26,3,75.0,1.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
20,בני ברק,אבטליון,3,,7.0,2012,1000000,none,none,none,none,none,none,none,none,none,none,none,none,none
21,בני ברק,אבטליון 1,3,70.0,5.0,2013,1005000,none,"1,126,234",1221128,none,none,none,none,none,none,none,none,none,none
22,בני ברק,אבטליון 19,3,47.0,2.0,1959,none,none,none,none,none,none,none,none,none,none,none,none,none,none
23,בני ברק,אבטליון 7,3,75.0,,2010,none,none,none,none,none,none,none,none,none,none,none,none,none,none
24,בני ברק,אביעד 1,3,51.0,2.0,1964,none,none,none,none,none,none,none,none,none,none,none,none,none,none
25,בני ברק,אביעד 3,3,53.0,2.0,1960,"810,000",none,none,none,none,none,none,none,none,none,none,none,none,none
26,בני ברק,אביעד 30,3,60.0,1.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
27,בני ברק,אביעד 5,3,54.0,4.0,1995,"750,000","818,300",none,none,none,none,none,none,none,none,none,none,none,none
28,בני ברק,אביעד 6,3,58.0,1.0,1980,none,none,none,none,none,none,none,none,none,none,none,none,none,none
29,בני ברק,אביעד 7,3,53.0,3.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
30,בני ברק,אביעד 8,3,58.0,1.0,1970,"800,000",492500,"630,000",none,none,none,none,none,none,none,none,none,none,none
31,בני ברק,אבן גבירול 1,3,65.0,2.0,1965,none,none,none,none,none,none,none,none,none,none,none,none,none,none
32,בני ברק,אבן גבירול 12,3,65.0,,1965,none,none,none,none,none,none,none,none,none,none,none,none,none,none
33,בני ברק,אבן גבירול 13,3,82.0,1.0,1960,none,none,"1,200,000",none,none,none,none,none,none,none,none,none,none,none
34,בני ברק,אבן גבירול 14,3,64.0,1.0,2004,none,none,none,none,none,none,none,none,none,none,none,none,none,none
35,בני ברק,אבן גבירול 17,3,65.0,3.0,1985,none,none,none,none,none,none,none,none,none,none,none,none,none,none
36,בני ברק,אבן גבירול 30,3,54.0,1.0,1960,none,none,618810,none,none,none,none,none,none,none,none,none,none,none
37,בני ברק,אבן גבירול 34,3,42.0,1.0,1964,none,none,none,none,none,none,none,none,none,none,none,none,none,none
38,בני ברק,אבן גבירול 37,3,59.0,2.0,1972,none,none,none,none,none,none,none,none,none,none,none,none,none,none
39,בני ברק,אבן גבירול 4,3,89.0,1.0,1970,none,none,"1,290,000","930,000",none,none,none,none,none,none,none,none,none,none
40,בני ברק,אבן גבירול 6,3,69.0,3.0,1985,none,none,none,"1,177,000","1,201,201","1,420,000",none,none,none,none,none,none,none,none
41,בני ברק,אבן גבירול 8,3,68.0,3.0,1970,none,none,none,1295000,none,none,none,none,none,none,none,none,none,none
42,בני ברק,אבן עזרא 9,3,75.0,3.0,1975,none,none,none,none,none,none,none,none,none,none,none,none,none,none
43,בני ברק,אבן שפרוט 1,3,89.0,,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
44,בני ברק,אבן שפרוט 15,3,70.0,3.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
45,בני ברק,אבני נזר 10,3,80.0,2.0,1984,none,none,none,none,926250,none,none,none,none,none,none,none,none,none
46,בני ברק,אבני נזר 2,3,85.0,2.0,1980,none,none,none,none,none,none,none,none,none,none,none,none,none,none
47,בני ברק,אבני נזר 6,3,75.0,2.0,1972,none,none,none,none,none,none,none,none,none,none,none,none,none,none
48,בני ברק,אבני נזר 9,3,75.0,4.0,2002,none,none,none,none,none,none,none,none,none,none,none,none,none,none
49,בני ברק,אברבנאל 1,3,75.0,4.0,2018,none,none,none,none,none,"1,630,000",none,"1,405,850",none,none,none,none,none,none
50,בני ברק,אברבנאל 103,3,67.0,1.0,1990,none,none,"950,000",none,none,none,none,none,none,none,none,none,none,none
51,בני ברק,אברבנאל 117,3,95.0,1.0,2019,none,none,none,none,none,none,none,none,none,none,none,none,none,none
52,בני ברק,אברבנאל 139,3,75.0,,2018,none,none,none,none,none,none,none,none,none,none,none,none,none,none
53,בני ברק,אברבנאל 15,3,56.0,1.0,1980,none,none,none,"1,020,000",none,none,none,none,none,none,none,none,none,none
54,בני ברק,אברבנאל 16,3,72.0,2.0,1985,none,none,none,none,none,none,none,none,none,none,none,none,none,none
55,בני ברק,אברבנאל 20,3,86.0,1.0,2014,none,none,none,none,1003333,1202642,1202250,none,none,none,none,none,none,none
56,בני ברק,אברבנאל 28,3,70.0,3.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
