,city,street,rooms,size,floor,date_builded,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,ירושלים,398,3,84.0,,2014,none,none,none,none,none,none,none,none,none,"1,580,000",none,none,none,none
1,ירושלים,א טור,3,100.0,1.0,2000,none,none,none,none,none,none,none,none,none,none,none,none,none,none
2,ירושלים,א טור 1,3,71.0,2.0,2014,none,none,none,none,none,"1,750,000",none,none,none,none,none,none,none,none
3,ירושלים,א טור 153,3,75.0,1.0,2019,none,none,none,none,none,none,none,none,none,none,none,none,none,none
4,ירושלים,א צואנה 7,3,72.0,1.0,2000,none,none,none,none,none,none,none,none,none,none,none,none,none,none
5,ירושלים,אבא אבן 1,3,112.0,,2009,none,none,none,none,none,none,none,none,none,1910000,none,none,none,none
6,ירושלים,אבא אבן 12,3,89.0,4.0,2012,none,none,none,none,"2,920,000",none,none,none,none,none,none,none,none,none
7,ירושלים,אבא אבן 14,3,94.0,5.0,2013,none,none,none,none,none,none,none,none,none,none,none,none,none,none
8,ירושלים,אבא אבן 4,3,77.0,3.0,2016,none,none,none,none,none,none,none,none,none,none,none,none,none,none
9,ירושלים,אבא אחימאיר 1,3,67.0,3.0,2019,none,none,none,none,none,none,none,none,none,none,none,none,none,none
10,ירושלים,אבא אחימאיר 10,3,85.0,4.0,1990,none,none,none,none,none,none,none,none,none,none,none,none,none,none
11,ירושלים,אבא אחימאיר 107,3,59.0,1.0,1984,none,none,none,none,none,none,none,none,none,none,none,none,none,none
12,ירושלים,אבא אחימאיר 13,3,59.0,,1970,none,none,none,none,none,"1,140,000",none,none,none,none,"1,440,000",none,none,none
13,ירושלים,אבא אחימאיר 14,3,60.0,5.0,1969,none,none,none,none,none,none,none,none,none,none,none,none,none,none
14,ירושלים,אבא אחימאיר 18,3,57.0,5.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
15,ירושלים,אבא אחימאיר 2,3,71.0,,1960,none,none,none,none,none,none,none,none,1482500,none,none,none,none,none
16,ירושלים,אבא אחימאיר 201,3,60.0,4.0,1980,none,none,none,none,none,none,none,none,none,none,none,none,none,none
17,ירושלים,אבא אחימאיר 204,3,69.0,,1976,none,none,none,none,none,none,none,none,none,none,none,none,none,none
18,ירושלים,אבא אחימאיר 205,3,60.0,1.0,1990,none,none,"900,000","850,000",none,1012500,none,none,none,none,none,none,none,none
19,ירושלים,אבא אחימאיר 206,3,58.0,,1950,none,none,none,"840,000","1,000,000",none,none,none,none,none,none,none,none,none
20,ירושלים,אבא אחימאיר 207,3,70.0,3.0,1990,none,none,none,none,none,none,none,none,none,none,none,none,none,none
21,ירושלים,אבא אחימאיר 208,3,62.0,6.0,1970,"800,000",895000,880000,970000,"980,000",none,none,none,none,none,none,none,none,none
22,ירושלים,אבא אחימאיר 209,3,60.0,1.0,1974,none,"905,000","930,000",950000,"1,150,000",none,none,"1,260,000",none,1312500,none,none,none,none
23,ירושלים,אבא אחימאיר 210,3,62.0,3.0,1974,none,none,none,none,none,none,none,none,none,none,none,none,none,none
24,ירושלים,אבא אחימאיר 4,3,58.0,1.0,1991,none,none,none,none,none,none,none,none,none,none,none,none,none,none
25,ירושלים,אבא אחימאיר 5,3,58.0,,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
26,ירושלים,אבא אחימאיר 6,3,68.0,3.0,1980,none,none,none,none,none,none,"1,268,000",none,none,none,none,none,none,none
27,ירושלים,אבא אחימאיר 7,3,60.0,7.0,1980,none,none,"900,000",none,none,none,none,"1,340,000",none,"1,380,000",none,none,none,none
28,ירושלים,אבא אחימאיר 9,3,70.0,5.0,1970,none,none,none,none,"1,093,000",none,none,"1,230,000","1,250,000","1,400,000",none,none,none,none
29,ירושלים,אבא הלל סילבר 208,3,59.0,,1988,none,none,none,none,none,none,none,none,none,none,none,none,none,none
30,ירושלים,אבא הלל סילבר 27,3,63.0,,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
31,ירושלים,אבא הלל סילבר 33,3,72.0,,1978,none,none,none,none,none,none,none,none,none,none,none,none,none,none
32,ירושלים,אבא הלל סילבר 36,3,61.0,,2010,none,none,none,none,none,none,none,none,none,none,none,none,none,none
33,ירושלים,אבא חלקיה 17,3,59.0,4.0,1980,none,none,none,none,none,none,none,none,none,none,none,none,none,none
34,ירושלים,אבא חלקיה 2,3,75.0,1.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
35,ירושלים,אבא חלקיה 24,3,77.0,3.0,1956,none,none,none,none,none,none,none,none,none,none,none,none,none,none
36,ירושלים,אבא חלקיה 3,3,75.0,2.0,1980,none,none,none,none,none,none,"1,858,364",none,none,none,none,none,none,none
37,ירושלים,אבא חלקיה 4,3,47.0,2.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
38,ירושלים,אבא חלקיה 5,3,1.0,,1966,none,none,none,none,none,none,none,none,none,none,none,none,none,none
39,ירושלים,אבא חלקיה 8,3,76.0,,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
40,ירושלים,אבא חלקיה 9,3,75.0,,1988,none,none,none,none,none,none,none,none,none,none,none,none,none,none
41,ירושלים,אבו טור 374,3,79.0,5.0,2014,none,none,none,none,none,none,none,none,none,none,none,none,none,none
42,ירושלים,אבו מאדי 101,3,90.0,1.0,1997,none,none,none,none,none,none,none,none,none,none,none,none,none,none
43,ירושלים,אבו עוביידה 1,3,115.0,1.0,2017,none,none,none,none,none,none,none,none,650000,"820,000",none,none,none,none
44,ירושלים,אבולעפיה 2,3,72.0,,1950,none,none,none,none,none,none,none,none,none,none,none,none,none,none
45,ירושלים,אבולעפיה 3,3,70.0,1.0,1945,none,none,none,none,none,none,none,none,none,none,none,none,none,none
46,ירושלים,אבולעפיה 40,3,59.0,,2012,none,none,none,none,910000,none,none,none,none,none,none,none,none,none
47,ירושלים,אבטליון 11,3,62.0,2.0,1970,none,none,none,"1,200,000",none,none,none,none,none,none,none,none,none,none
48,ירושלים,אבטליון 54,3,62.0,2.0,1974,none,none,none,none,none,none,none,none,none,none,none,none,none,none
49,ירושלים,אבטליון 6,3,92.0,3.0,1980,none,none,none,none,none,none,none,none,none,none,none,none,none,none
50,ירושלים,אבטליון 7,3,68.0,,1940,none,none,none,none,none,none,none,none,none,none,none,none,none,none
51,ירושלים,אבי יונה מיכאל 101,3,84.0,2.0,2000,none,none,none,none,none,none,none,none,none,none,none,none,none,none
52,ירושלים,אביגדורי 1,3,48.0,,1980,none,none,none,none,none,none,none,none,none,none,none,none,none,none
53,ירושלים,אביגדורי 6,3,75.0,1.0,1950,none,none,none,"1,470,000",none,none,none,none,none,none,none,none,none,none
54,ירושלים,אביגור,3,72.0,3.0,2004,none,none,none,none,none,none,none,none,none,none,none,none,none,none
55,ירושלים,אביגור 13,3,78.0,5.0,2002,1126250,none,none,none,none,none,none,none,none,none,none,none,none,none
56,ירושלים,אביגור 14,3,73.0,,1999,none,none,none,none,"1,380,000",none,none,none,none,none,none,none,none,none
57,ירושלים,אביגור 16,3,79.0,1.0,2000,none,none,none,none,none,none,none,none,none,none,none,none,none,none
58,ירושלים,אביגור 17,3,75.0,6.0,2000,none,none,none,none,none,none,none,none,none,none,none,none,none,none
59,ירושלים,אביגור 19,3,76.0,5.0,2004,none,"1,170,000",none,none,none,none,none,none,none,none,none,none,none,none
60,ירושלים,אביגור 20,3,78.0,,1999,none,none,none,none,none,none,none,none,none,none,none,none,none,none
61,ירושלים,אביגור 22,3,80.0,,2009,none,none,1142500,1185000,1305000,none,none,none,none,none,none,none,none,none
62,ירושלים,אביגור 24,3,72.0,,2003,1050000,none,none,none,"1,286,285",none,none,none,none,none,none,none,none,none
63,ירושלים,אביגור 26,3,82.0,2.0,2005,none,none,none,none,none,none,none,none,none,none,none,none,none,none
64,ירושלים,אביגור 30,3,75.0,9.0,2006,none,none,"1,170,000","1,260,000",none,none,none,none,none,none,none,none,none,none
65,ירושלים,אביגור 32,3,75.0,3.0,2006,none,none,none,none,none,none,none,none,none,none,none,none,none,none
66,ירושלים,אביגור שאול 22,3,68.0,3.0,2005,none,none,none,none,none,none,none,none,none,none,none,none,none,none
67,ירושלים,אביגור שאול 30,3,67.0,4.0,2002,none,none,none,none,none,none,none,none,none,none,none,none,none,none
68,ירושלים,אבידע 5,3,65.0,1.0,1950,none,none,none,none,none,none,none,none,none,none,none,none,none,none
69,ירושלים,אביזוהר 4,3,66.0,1.0,1969,none,none,none,none,none,none,none,none,none,none,none,none,none,none
70,ירושלים,אביזוהר 7,3,75.0,3.0,2003,none,none,none,none,none,none,none,none,none,none,none,none,none,none
71,ירושלים,אביטל 10,3,82.0,1.0,2000,none,none,none,none,none,none,none,none,"1,715,000",none,"1,900,000",none,none,none
72,ירושלים,אביטל 11,3,71.0,1.0,2001,none,none,none,none,none,none,none,none,none,none,none,none,none,none
73,ירושלים,אביטל 13,3,76.0,2.0,2012,none,none,none,1765000,none,none,none,none,none,none,none,none,none,none
74,ירושלים,אביטל 2,3,64.0,,2013,none,none,none,none,none,none,none,none,none,none,"1,504,273",none,none,none
75,ירושלים,אבינדב 1,3,43.0,1.0,1950,none,none,none,none,none,none,none,none,none,none,none,none,none,none
76,ירושלים,אבינדב 18,3,65.0,1.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
77,ירושלים,אבינדב 21,3,78.0,2.0,1978,none,none,none,none,none,none,none,none,none,none,none,none,none,none
78,ירושלים,אבינדב 24,3,61.0,3.0,1967,none,none,"1,405,000",none,none,none,none,none,none,none,none,none,none,none
79,ירושלים,אבינדב 9,3,59.0,2.0,1960,955035,none,none,none,none,none,none,none,none,none,none,none,none,none
80,ירושלים,אבינועם ילין 8,3,60.0,1.0,1940,none,none,none,none,none,none,none,none,none,none,none,none,none,none
81,ירושלים,אביעד 10,3,61.0,,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
82,ירושלים,אביעד 18,3,64.0,1.0,1959,none,none,none,none,none,none,none,none,none,none,none,none,none,none
83,ירושלים,אביעד 3,3,66.0,,1940,none,none,none,none,none,none,none,none,none,none,none,none,none,none
84,ירושלים,אביר יעקב 11,3,67.0,2.0,1991,none,none,none,none,none,none,"1,500,000",none,none,none,none,none,none,none
85,ירושלים,אביר יעקב 15,3,67.0,,1993,none,none,none,none,none,none,none,"1,330,000","1,380,000",none,none,none,none,none
86,ירושלים,אביר יעקב 3,3,88.0,,2000,"965,000",none,none,none,none,1230000,none,none,none,none,none,none,none,none
87,ירושלים,אביר יעקב 5,3,65.0,1.0,1978,none,none,none,none,none,none,none,none,none,none,none,none,none,none
88,ירושלים,אביר יעקב 7,3,70.0,1.0,1993,none,"950,000",none,none,none,none,"1,380,000",none,none,none,none,none,none,none
89,ירושלים,אביר יעקב 9,3,67.0,3.0,2000,none,none,none,none,none,none,none,none,none,none,none,none,none,none
90,ירושלים,אביתר הכהן 1,3,61.0,3.0,1960,none,"1,390,000",none,1216666,none,none,none,none,none,none,none,none,none,none
91,ירושלים,אביתר הכהן 11,3,79.0,1.0,1981,none,none,none,none,none,none,none,none,none,none,none,none,none,none
92,ירושלים,אביתר הכהן 25,3,70.0,1.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
93,ירושלים,אבן גבירול 10,3,67.0,3.0,1950,none,"2,150,000",none,none,none,"2,500,000",none,none,none,none,none,none,none,none
94,ירושלים,אבן גבירול 4,3,61.0,,1960,none,"2,227,250",none,none,none,none,none,none,none,none,none,none,none,none
95,ירושלים,אבן האזל 11,3,56.0,,1969,none,none,none,none,none,none,none,none,none,none,none,none,none,none
96,ירושלים,אבן האזל 13,3,63.0,,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
97,ירושלים,אבן האזל 14,3,28.0,1.0,1975,none,none,none,none,none,none,none,none,none,none,none,none,none,none
