,city,street,rooms,size,floor,date_builded,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,גבעת השלושה,483,3,75.0,,1950,none,none,none,none,none,none,none,none,none,none,none,none,none,none
1,גבעת השלושה,גבעת השלשה,3,118.0,,1930,none,none,none,none,none,none,none,none,200000,none,none,none,none,none
2,גבעת השלושה,גבעת השלשה 1,3,91.0,,1930,none,none,none,none,"200,000",200000,"200,000",none,200000,"310,000","200,000",none,none,none
3,גבעת השלושה,גבעת השלשה 2,3,60.0,,1934,none,none,none,none,none,none,none,none,none,none,none,none,none,none
4,גבעת השלושה,גבעת השלשה 4,3,60.0,,1934,none,none,none,none,none,none,none,none,none,none,none,none,none,none
5,גבעת השלושה,גבעת השלשה 7,3,60.0,,1934,none,none,none,none,none,none,none,none,none,none,none,none,none,none
6,גבעת השלושה,גבעת השלשה 8,3,30.0,,1934,none,none,none,none,none,none,none,none,none,none,none,none,none,none
7,פתח תקווה,א.ד.ג.,3,70.0,3.0,1975,none,none,none,none,none,none,none,none,none,none,none,none,none,none
8,פתח תקווה,א.ד.ג. 4,3,61.0,4.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
9,פתח תקווה,א.ד.גורדון 1,3,80.0,2.0,1995,none,none,none,none,none,none,none,none,none,none,none,none,none,none
10,פתח תקווה,אבא ברדיצב 1,3,75.0,4.0,2013,none,none,none,1401332,none,none,none,none,none,none,none,none,none,none
11,פתח תקווה,אבא ברדיצב 7,3,73.0,,2011,none,none,none,none,none,none,none,none,none,none,none,none,none,none
12,פתח תקווה,אבו רביע 12,3,57.0,3.0,1950,none,none,none,none,none,none,none,none,none,none,none,none,none,none
13,פתח תקווה,אבו רביע 3,3,61.0,2.0,1969,none,none,none,none,none,none,none,none,none,none,none,none,none,none
14,פתח תקווה,אבו רביע 5,3,84.0,5.0,2002,none,none,none,none,none,none,none,none,none,none,none,none,none,none
15,פתח תקווה,אבימלך 13,3,71.0,1.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
16,פתח תקווה,אבינועם ילין 6,3,76.0,,2008,none,none,none,none,none,none,none,none,none,none,none,none,none,none
17,פתח תקווה,אבן ספיר 54,3,58.0,2.0,1982,none,none,none,none,none,none,none,none,none,none,none,none,none,none
18,פתח תקווה,אבן ספיר 55,3,77.0,2.0,1990,none,none,none,none,none,none,none,none,none,none,none,none,none,none
19,פתח תקווה,אבן ספיר 6,3,62.0,1.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
20,פתח תקווה,אברבנאל 13,3,61.0,2.0,2001,none,none,none,none,none,none,none,none,none,none,none,none,none,none
21,פתח תקווה,אברבנאל 18,3,75.0,3.0,1975,none,none,none,none,none,none,none,none,none,none,none,none,none,none
22,פתח תקווה,אברבנאל 2,3,54.0,4.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
23,פתח תקווה,אברבנאל 24,3,57.0,1.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
24,פתח תקווה,אברהם מזרחי 22,3,65.0,4.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
