,city,street,rooms,size,floor,date_builded,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,חיפה,70,3,168,,1999,none,none,none,none,none,none,none,none,none,none,"450,000",none,none,none
1,חיפה,80,3,118,,1988,none,none,none,none,none,none,none,none,"500,000",none,none,none,none,none
2,חיפה,*בילינסון* 12,3,73,1,2016,none,none,none,none,none,none,none,none,"700,000",none,none,none,none,none
3,חיפה,*בית אלפא* 25,3,84,,1960,none,none,none,none,none,none,none,none,"950,000",none,none,none,none,none
4,חיפה,*בן צבי יצחק* 42,3,111,,1995,none,none,none,none,none,none,none,none,none,"770,000",none,none,none,none
5,חיפה,*בן צבי יצחק* 54,3,71,3,1970,none,none,none,none,none,none,none,none,none,"555,000",none,none,none,none
6,חיפה,*בן צבי יצחק* 62,3,62,1,1970,none,none,none,none,none,none,none,none,none,"615,615",none,none,none,none
7,חיפה,*הפלוגות* 8,3,71,1,1950,none,none,none,none,none,none,none,none,none,"700,693",none,none,none,none
8,חיפה,*הקבוצים* 29,3,55,2,1950,none,none,none,none,none,none,none,none,"570,000",none,none,none,none,none
9,חיפה,*הקבוצים* 7,3,80,1,1987,none,none,none,none,none,none,none,none,none,"900,000",none,none,none,none
10,חיפה,*התקומה* 43,3,72,1,1950,none,none,none,none,none,none,none,none,"795,795",none,none,none,none,none
11,חיפה,*מושקא חיה* 2,3,59,2,2000,none,none,none,none,none,none,none,none,"965,000",none,none,none,none,none
12,חיפה,*מושקא חיה* 2,3,67,4,2000,none,none,none,none,none,none,none,none,"900,000",none,none,none,none,none
13,חיפה,*מושקא חיה* 2,3,75,1,2000,none,none,none,none,none,none,none,none,"980,000",none,none,none,none,none
14,חיפה,*פרומר דב* 19,3,61,7,2003,none,none,none,none,none,none,none,none,"855,000",none,none,none,none,none
15,חיפה,*פרומר דב* 24,3,80,6,2001,none,none,none,none,none,none,none,none,none,"1,010,000",none,none,none,none
16,חיפה,*פרומר דב* 4,3,77,1,1999,none,none,none,none,none,none,none,none,none,"870,000",none,none,none,none
17,חיפה,*פרומר דב* 9,3,80,3,1999,none,none,none,none,none,none,none,none,"1,060,000",none,none,none,none,none
18,חיפה,*שד דגניה* 19,3,42,1,1960,none,none,none,none,none,none,none,"520,000",none,none,none,none,none,none
19,חיפה,*שד דגניה* 7,3,46,4,1960,none,none,none,none,none,none,none,none,"500,000",none,none,none,none,none
20,חיפה,*שד דגניה* 77,3,42,3,1960,none,none,none,none,none,none,none,none,none,"800,000",none,none,none,none
21,חיפה,"*שד מח""ל* 11",3,67,3,1960,none,none,none,none,none,none,none,none,none,"650,000",none,none,none,none
22,חיפה,"*שד מח""ל* 15",3,49,4,1960,none,none,none,none,none,none,none,none,none,"615,000",none,none,none,none
23,חיפה,"*שד מח""ל* 3",3,57,1,1970,none,none,none,none,none,none,none,none,none,"760,000",none,none,none,none
24,חיפה,"*שד מח""ל* 39",3,48,2,1960,none,none,none,none,none,none,none,none,none,"820,000",none,none,none,none
25,חיפה,"*שד מח""ל* 39",3,50,1,2000,none,none,none,none,none,none,none,none,none,"820,000",none,none,none,none
26,חיפה,"*שד מח""ל* 5",3,51,3,1940,none,none,none,none,none,none,none,none,"500,000",none,none,none,none,none
27,חיפה,*שדה בוקר* 9,3,70,4,1980,none,none,none,none,none,none,none,none,none,"730,000",none,none,none,none
28,חיפה,א.ד. גורדון 23,3,85,,1950,none,none,none,none,none,none,none,none,none,"1,400,000",none,none,none,none
29,חיפה,אבא הלל סילבר 113,3,71,,1980,none,none,none,none,none,none,none,"671,500",none,none,none,none,none,none
30,חיפה,אבא הלל סילבר 113,3,70,,1970,none,none,none,none,none,none,none,"850,000",none,none,none,none,none,none
31,חיפה,אבא הלל סילבר 60,3,60,,1970,none,none,none,none,none,none,none,none,none,"910,000",none,none,none,none
32,חיפה,אבא הלל סילבר 60,3,60,,1970,none,none,none,none,none,none,none,none,none,none,"720,000",none,none,none
33,חיפה,אבא הלל סילבר 60,3,57,,1985,none,none,none,none,none,none,none,"900,000",none,none,none,none,none,none
34,חיפה,אבא הלל סילבר 60,3,73,,1970,none,none,none,none,none,none,none,none,none,none,"800,000",none,none,none
35,חיפה,אבדימי 3,3,74,3,1960,none,none,none,none,none,none,none,none,"1,850,000",none,none,none,none,none
36,חיפה,אבדימי 3,3,86,4,2017,none,none,none,none,none,none,none,"1,300,000",none,none,none,none,none,none
37,חיפה,אבדימי 4,3,49,1,1960,none,none,none,none,none,none,none,none,none,"1,180,000",none,none,none,none
38,חיפה,אבדימי 4,3,97,,2018,none,none,none,none,none,none,none,none,"1,011,862",none,none,none,none,none
39,חיפה,אבדימי 5,3,95,,2017,none,none,none,none,none,none,none,none,none,none,"1,830,000",none,none,none
40,חיפה,אבדימי 5,3,84,1,2018,none,none,none,none,none,none,none,none,none,none,"1,756,240",none,none,none
41,חיפה,אביגיל 11,3,76,2,1970,none,none,"1,040,000",none,none,none,none,none,none,none,none,none,none,none
42,חיפה,אביגיל 30,3,69,2,1960,none,none,"1,020,000",none,none,none,none,none,none,none,none,none,none,none
43,חיפה,אביגיל 30,3,69,2,1900,"750,000",none,none,none,none,none,none,none,none,none,none,none,none,none
44,חיפה,אביר מרק 1,3,60,3,1950,none,none,"500,000",none,none,none,none,none,none,none,none,none,none,none
45,חיפה,אבן אל מוקפע 12,3,54,3,1960,none,none,"420,000",none,none,none,none,none,none,none,none,none,none,none
46,חיפה,אבן אל מוקפע 15,3,55,4,1960,none,none,none,none,none,none,none,none,none,none,"900,000",none,none,none
47,חיפה,אבן אל מוקפע 45,3,67,3,1960,none,none,none,"595,000",none,none,none,none,none,none,none,none,none,none
48,חיפה,אבן גבירול 32,3,66,2,1950,none,none,none,none,none,none,none,none,none,none,"640,000",none,none,none
49,חיפה,אבן סינא 16,3,65,,1955,none,"200,000",none,none,none,none,none,none,none,none,none,none,none,none
50,חיפה,אבן סינא 18,3,70,1,1950,none,none,none,none,"525,527",none,none,none,none,none,none,none,none,none
51,חיפה,אבן סינא 18,3,70,1,1950,none,none,none,none,"500,504",none,none,none,none,none,none,none,none,none
52,חיפה,אבן סינא 18,3,70,1,1950,none,none,none,none,"540,540",none,none,none,none,none,none,none,none,none
53,חיפה,אבן סינא 18,3,62,1,1901,none,none,none,none,"550,549",none,none,none,none,none,none,none,none,none
54,חיפה,אבן סינא 21,3,60,1,1901,none,none,none,"3,873,873",none,none,none,none,none,none,none,none,none,none
55,חיפה,אבן סינא 4,3,104,1,1940,"260,000",none,none,none,none,none,none,none,none,none,none,none,none,none
56,חיפה,אבן עזרא 1,3,85,2,1950,none,none,none,none,none,none,none,none,none,"1,400,000",none,none,none,none
57,חיפה,אבן עזרא 13,3,58,1,1960,none,none,none,none,none,none,none,"610,000",none,none,none,none,none,none
58,חיפה,אבן עזרא 14,3,58,2,1920,none,none,none,none,none,none,none,none,"620,000",none,none,none,none,none
59,חיפה,אבן עזרא 6,3,58,2,1950,none,"100,099",none,none,none,none,none,none,none,none,none,none,none,none
60,חיפה,אבן עזרא 6,3,58,2,1980,none,none,none,none,none,"417,000",none,none,none,none,none,none,none,none
61,חיפה,אבן עזרא 6,3,58,2,1950,none,none,none,none,none,none,"555,000",none,none,none,none,none,none,none
62,חיפה,אבן רושד 1,3,100,1,1980,none,none,none,none,none,none,none,none,none,none,"1,070,000",none,none,none
63,חיפה,אבן רושד 16,3,60,8,1970,none,none,none,none,none,none,none,none,none,none,"900,000",none,none,none
64,חיפה,אבן רושד 21,3,80,5,2009,none,none,none,none,none,none,none,none,none,none,"810,000",none,none,none
65,חיפה,אבן רושד 3,3,72,3,1980,none,none,none,none,none,none,none,none,none,none,"600,000",none,none,none
66,חיפה,אבנר 2,3,51,,1970,none,none,none,none,none,none,none,none,"740,000",none,none,none,none,none
67,חיפה,אבנר 2,3,58,1,1953,none,none,none,none,none,none,"720,000",none,none,none,none,none,none,none
68,חיפה,אבנר 3,3,51,3,1960,none,none,"400,000",none,none,none,none,none,none,none,none,none,none,none
69,חיפה,אבנר 3,3,60,4,1960,none,none,"365,000",none,none,none,none,none,none,none,none,none,none,none
70,חיפה,אבנר 3,3,60,2,1990,none,none,none,none,none,none,none,none,"450,000",none,none,none,none,none
71,חיפה,אבנר 4,3,51,,1970,none,none,none,none,none,none,none,none,"740,000",none,none,none,none,none
72,חיפה,אבנר 9,3,51,,1980,none,none,none,none,none,none,none,"820,000",none,none,none,none,none,none
73,חיפה,אברבנאל 41,3,50,,1960,none,none,none,none,none,none,none,none,"580,000",none,none,none,none,none
74,חיפה,אברבנאל 45,3,50,1,1960,none,none,none,none,none,none,none,none,"580,000",none,none,none,none,none
75,חיפה,אברבנאל 61,3,80,1,1950,none,"660,000",none,none,none,none,none,none,none,none,none,none,none,none
76,חיפה,אברבנאל 83,3,65,1,1951,none,none,none,none,"690,000",none,none,none,none,none,none,none,none,none
77,חיפה,אברבנאל 85,3,100,,1950,none,"815,000",none,none,none,none,none,none,none,none,none,none,none,none
78,חיפה,אברהם סחנין 11,3,80,1,1980,none,none,none,none,none,none,"1,140,000",none,none,none,none,none,none,none
79,חיפה,אברהם סכנין 9,3,80,,1988,none,none,none,none,none,none,none,none,"1,320,000",none,none,none,none,none
80,חיפה,אבשלום 13,3,82,2,1950,none,none,none,none,none,none,none,none,none,none,"1,625,000",none,none,none
81,חיפה,אבשלום 13,3,83,2,1980,none,none,none,none,none,none,"1,600,000",none,none,none,none,none,none,none
82,חיפה,אבשלום 6,3,60,7,1970,none,none,none,none,none,none,none,none,none,none,"750,000",none,none,none
83,חיפה,אגוז 28,3,74,2,1990,none,none,none,none,none,none,none,none,none,none,"1,200,000",none,none,none
84,חיפה,אגמון 1,3,69,2,1965,none,none,none,"1,060,000",none,none,none,none,none,none,none,none,none,none
85,חיפה,אדם הכהן 11,3,70,2,1960,none,none,none,none,none,"890,000",none,none,none,none,none,none,none,none
86,חיפה,אדם הכהן 2,3,70,2,1970,none,none,none,none,"650,000",none,none,none,none,none,none,none,none,none
87,חיפה,אדם הכהן 5,3,80,3,1970,none,none,none,none,none,"1,026,024",none,none,none,none,none,none,none,none
88,חיפה,אדם הכהן 6,3,80,1,2010,"615,000",none,none,none,none,none,none,none,none,none,none,none,none,none
89,חיפה,אדם הכהן 6,3,100,1,1955,none,"672,500",none,none,none,none,none,none,none,none,none,none,none,none
90,חיפה,אדם הכהן 6,3,80,1,2010,"615,000",none,none,none,none,none,none,none,none,none,none,none,none,none
91,חיפה,אדמונד פלג 20,3,55,,1966,"530,000",none,none,none,none,none,none,none,none,none,none,none,none,none
92,חיפה,אדמונד פלג 20,3,54,4,1970,none,none,"615,000",none,none,none,none,none,none,none,none,none,none,none
93,חיפה,אדמונד פלג 20,3,66,4,1980,none,none,none,none,"830,000",none,none,none,none,none,none,none,none,none
94,חיפה,אדמונד פלג 27,3,80,13,2005,none,"1,350,000",none,none,none,none,none,none,none,none,none,none,none,none
95,חיפה,אדמונד פלג 27,3,70,19,2000,none,none,none,none,"1,180,000",none,none,none,none,none,none,none,none,none
96,חיפה,אדמונד פלג 27,3,80,7,2005,none,none,"13,000",none,none,none,none,none,none,none,none,none,none,none
97,חיפה,אדמונד פלג 27,3,75,12,2006,none,"1,295,000",none,none,none,none,none,none,none,none,none,none,none,none
98,חיפה,אדמונד פלג 27,3,110,10,2007,none,"1,175,000",none,none,none,none,none,none,none,none,none,none,none,none
99,חיפה,אדמונד פלג 27,3,80,6,2007,none,none,none,none,none,"1,650,000",none,none,none,none,none,none,none,none
100,חיפה,אדמונד פלג 38,3,66,,1950,none,none,none,none,none,none,none,none,"975,000",none,none,none,none,none
101,חיפה,אדמונד פלג 4,3,74,3,1980,none,none,none,"900,000",none,none,none,none,none,none,none,none,none,none
102,חיפה,אדמונד פלג 42,3,66,3,1950,none,none,none,none,none,none,none,none,"975,000",none,none,none,none,none
103,חיפה,אדמונד פלג 43,3,80,11,2005,none,none,"1,150,000",none,none,none,none,none,none,none,none,none,none,none
104,חיפה,אדמונד פלג 43,3,80,6,2006,none,none,"1,150,000",none,none,none,none,none,none,none,none,none,none,none
105,חיפה,אדמונד פלג 48,3,63,2,1960,none,none,none,none,none,none,"900,000",none,none,none,none,none,none,none
106,חיפה,אהבת ישראל 10,3,88,5,2002,"630,000",none,none,none,none,none,none,none,none,none,none,none,none,none
107,חיפה,אהבת ישראל 10,3,72,4,1990,none,none,none,none,"820,000",none,none,none,none,none,none,none,none,none
108,חיפה,אהבת ישראל 10,3,88,5,2002,"630,000",none,none,none,none,none,none,none,none,none,none,none,none,none
109,חיפה,אהבת ישראל 10,3,75,5,2004,none,none,none,none,"680,000",none,none,none,none,none,none,none,none,none
110,חיפה,אהבת ישראל 12,3,70,5,2004,"600,000",none,none,none,none,none,none,none,none,none,none,none,none,none
111,חיפה,אהבת ישראל 12,3,70,5,2004,"600,000",none,none,none,none,none,none,none,none,none,none,none,none,none
112,חיפה,אהבת ישראל 12,3,75,5,2002,none,none,none,"700,000",none,none,none,none,none,none,none,none,none,none
113,חיפה,אהבת ישראל 14,3,75,5,2010,"550,000",none,none,none,none,none,none,none,none,none,none,none,none,none
114,חיפה,אהבת ישראל 16,3,70,5,2010,"560,000",none,none,none,none,none,none,none,none,none,none,none,none,none
115,חיפה,אהבת ישראל 2,3,100,7,2019,none,none,none,none,none,none,none,none,none,"1,095,000",none,none,none,none
116,חיפה,אהבת ישראל 2,3,80,5,2019,none,none,none,none,none,none,none,none,none,"964,140",none,none,none,none
117,חיפה,אהבת ישראל 2,3,100,9,2019,none,none,none,none,none,none,none,none,none,"1,188,938",none,none,none,none
118,חיפה,אהבת ישראל 4,3,75,2,2003,none,none,none,none,none,"930,000",none,none,none,none,none,none,none,none
119,חיפה,אהבת ישראל 4,3,75,2,2003,none,none,none,none,none,"930,000",none,none,none,none,none,none,none,none
120,חיפה,אהבת ישראל 4,3,60,3,2000,none,none,none,none,none,"850,000",none,none,none,none,none,none,none,none
121,חיפה,אהבת ישראל 4,3,60,5,2000,none,none,none,none,none,"1,000,000",none,none,none,none,none,none,none,none
122,חיפה,אהבת ציון 1,3,53,1,1980,none,"540,000",none,none,none,none,none,none,none,none,none,none,none,none
123,חיפה,אהוד,3,77,,1950,none,none,none,none,none,"2,400,000",none,none,none,none,none,none,none,none
124,חיפה,אהוד 12,3,57,,1980,"625,000",none,none,none,none,none,none,none,none,none,none,none,none,none
125,חיפה,אהוד 16,3,84,1,1960,none,none,none,none,"1,280,000",none,none,none,none,none,none,none,none,none
126,חיפה,אהוד 16,3,84,1,1960,none,none,none,none,"1,280,000",none,none,none,none,none,none,none,none,none
127,חיפה,אהוד 17,3,74,,2018,none,none,none,none,none,none,none,none,none,none,"1,800,000",none,none,none
128,חיפה,אהוד 20,3,55,2,1960,none,"1,130,000",none,none,none,none,none,none,none,none,none,none,none,none
129,חיפה,אהוד 22,3,74,1,1963,none,"1,160,000",none,none,none,none,none,none,none,none,none,none,none,none
130,חיפה,אהוד 22,3,74,1,1963,none,"1,160,000",none,none,none,none,none,none,none,none,none,none,none,none
131,חיפה,אהוד 3,3,75,,2016,none,none,none,none,none,none,"2,000,000",none,none,none,none,none,none,none
132,חיפה,אהוד 30,3,88,1,1950,"1,151,051",none,none,none,none,none,none,none,none,none,none,none,none,none
133,חיפה,אהוד 34,3,91,,1970,none,none,none,none,none,none,none,none,"1,840,000",none,none,none,none,none
134,חיפה,אהוד 36,3,91,,1970,none,none,none,none,none,none,none,none,"1,840,000",none,none,none,none,none
135,חיפה,אהוד 36,3,55,,1960,none,none,none,"1,100,000",none,none,none,none,none,none,none,none,none,none
136,חיפה,אהוד 37,3,72,2,1960,none,none,none,none,none,"1,300,000",none,none,none,none,none,none,none,none
137,חיפה,אהוד 44,3,74,1,1960,none,none,none,none,none,none,none,none,"1,450,000",none,none,none,none,none
138,חיפה,אהרון (רוזנפלד) 21,3,100,1,1950,none,none,none,none,none,none,none,none,"1,701,702",none,none,none,none,none
139,חיפה,אהרון צייטלין 12,3,111,,1995,none,none,none,none,none,none,none,none,none,"770,000",none,none,none,none
140,חיפה,אהרון צייטלין 2,3,63,,1960,none,none,none,none,none,none,none,none,"516,000",none,none,none,none,none
141,חיפה,אהרון צייטלין 21,3,60,,1970,none,none,none,none,none,none,none,none,"548,000",none,none,none,none,none
142,חיפה,אהרון צייטלין 39,3,50,,1960,none,none,none,none,none,none,none,"580,000",none,none,none,none,none,none
143,חיפה,אהרון צייטלין 39,3,50,,1960,none,none,none,none,none,none,none,"580,000",none,none,none,none,none,none
144,חיפה,אהרונוביץ 11,3,118,3,2010,"980,772",none,none,none,none,none,none,none,none,none,none,none,none,none
145,חיפה,אהרונוביץ 13,3,90,1,1970,none,"2,894,736",none,none,none,none,none,none,none,none,none,none,none,none
146,חיפה,אהרונוביץ 18,3,85,,2011,none,none,"880,000",none,none,none,none,none,none,none,none,none,none,none
147,חיפה,אוליפנט 1,3,48,3,1999,none,none,"1,125,000",none,none,none,none,none,none,none,none,none,none,none
148,חיפה,אוליפנט 1,3,77,1,1953,none,"1,050,000",none,none,none,none,none,none,none,none,none,none,none,none
149,חיפה,אוליפנט 2,3,77,2,1956,none,none,none,"1,200,000",none,none,none,none,none,none,none,none,none,none
150,חיפה,אוליפנט 3,3,68,1,2010,none,none,none,none,none,none,none,none,none,"1,470,000",none,none,none,none
151,חיפה,אוליפנט 3,3,68,1,1980,none,none,none,"1,340,000",none,none,none,none,none,none,none,none,none,none
152,חיפה,אוליפנט 3,3,80,,1950,none,"1,000,000",none,none,none,none,none,none,none,none,none,none,none,none
153,חיפה,אוליפנט 4,3,69,,1960,none,"880,000",none,none,none,none,none,none,none,none,none,none,none,none
154,חיפה,אוליפנט 4,3,60,1,1965,none,"790,316",none,none,none,none,none,none,none,none,none,none,none,none
155,חיפה,אוסקר שינדלר 143,3,104,,2013,none,none,none,none,none,none,none,none,none,"1,875,000",none,none,none,none
