,city,street,rooms,size,floor,date_builded,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,חולון,אביבים 1,3,104,1,2013,none,none,none,"1,900,000",none,none,none,none,none,none,none,none,none,none
1,חולון,אביבים 6,3,90,2,1978,none,none,none,none,none,"1,308,376",none,none,none,none,none,none,none,none
2,חולון,אביבים 6,3,90,2,1978,none,none,none,none,none,"1,308,376",none,none,none,none,none,none,none,none
3,חולון,אביבים 6,3,90,2,1978,none,none,none,none,none,"1,308,376",none,none,none,none,none,none,none,none
4,חולון,אבן גבירול 10,3,59,3,1979,"855,000",none,none,none,none,none,none,none,none,none,none,none,none,none
5,חולון,אבן גבירול 22,3,60,1,1975,none,none,none,"895,000",none,none,none,none,none,none,none,none,none,none
6,חולון,אבן גבירול 4,3,52,2,1988,none,"960,000",none,none,none,none,none,none,none,none,none,none,none,none
7,חולון,אבן גבירול 8,3,50,1,1970,none,none,none,none,none,none,"1,250,000",none,none,none,none,none,none,none
8,חולון,אבן עזרא 6,3,70,1,1984,none,none,none,none,none,"1,050,000",none,none,none,none,none,none,none,none
9,חולון,אבן עזרא 7,3,66,3,1960,none,"520,000",none,none,none,none,none,none,none,none,none,none,none,none
10,חולון,אברבנאל 10,3,53,2,1970,none,none,none,none,none,"700,000",none,none,none,none,none,none,none,none
11,חולון,אברבנאל 15,3,59,3,1970,none,none,none,none,"1,070,000",none,none,none,none,none,none,none,none,none
12,חולון,אברבנאל 17,3,51,4,1975,none,"790,000",none,none,none,none,none,none,none,none,none,none,none,none
13,חולון,אברבנאל 17,3,63,3,1970,none,"870,000",none,none,none,none,none,none,none,none,none,none,none,none
14,חולון,אברבנאל 17,3,51,2,1978,none,"890,000",none,none,none,none,none,none,none,none,none,none,none,none
15,חולון,אברבנאל 4,3,76,1,1970,none,none,none,none,none,none,none,none,none,"1,315,000",none,none,none,none
16,חולון,אברבנאל 5,3,55,2,1973,none,none,none,none,"1,020,000",none,none,none,none,none,none,none,none,none
17,חולון,אברבנאל 6,3,69,1,1979,none,none,none,"1,070,000",none,none,none,none,none,none,none,none,none,none
18,חולון,אברבנל 10,3,53,2,1970,none,none,none,none,none,"700,000",none,none,none,none,none,none,none,none
19,חולון,אבשלום 1,3,65,1,1970,none,none,none,none,"930,000",none,none,none,none,none,none,none,none,none
20,חולון,אגוז 12,3,70,7,1998,none,none,none,none,"1,185,000",none,none,none,none,none,none,none,none,none
21,חולון,אגוז 12,3,65,1,2000,none,none,none,none,none,none,none,"1,179,418",none,none,none,none,none,none
22,חולון,אגוז 12,3,66,2,1998,none,none,none,none,none,none,none,none,none,none,"1,615,000",none,none,none
23,חולון,אהרונוביץ 1,3,75,3,2018,none,none,none,none,none,none,none,none,"1,532,334",none,none,none,none,none
24,חולון,אהרונוביץ 2,3,61,3,1970,"825,000",none,none,none,none,none,none,none,none,none,none,none,none,none
25,חולון,אהרונוביץ 23,3,59,3,1960,none,none,none,"1,047,500",none,none,none,none,none,none,none,none,none,none
26,חולון,אהרונוביץ 23,3,60,,1970,none,none,none,none,none,none,none,"1,100,000",none,none,none,none,none,none
27,חולון,אהרונוביץ 25,3,59,1,1980,"890,000",none,none,none,none,none,none,none,none,none,none,none,none,none
28,חולון,אהרונוביץ 26,3,53,4,1960,none,none,none,none,"810,000",none,none,none,none,none,none,none,none,none
29,חולון,אהרונוביץ 26,3,53,4,1960,"650,000",none,none,none,none,none,none,none,none,none,none,none,none,none
30,חולון,אהרונוביץ 26,3,48,1,1970,none,none,"912,000",none,none,none,none,none,none,none,none,none,none,none
31,חולון,אהרונוביץ 26,3,53,3,1990,none,none,none,"845,000",none,none,none,none,none,none,none,none,none,none
32,חולון,אהרונוביץ 26,3,53,4,1960,none,none,"840,000",none,none,none,none,none,none,none,none,none,none,none
33,חולון,אהרונוביץ 26,3,53,4,1963,none,"750,000",none,none,none,none,none,none,none,none,none,none,none,none
34,חולון,אהרונוביץ 26,3,48,1,1970,none,none,"912,000",none,none,none,none,none,none,none,none,none,none,none
35,חולון,אהרונוביץ 28,3,49,1,1970,"840,000",none,none,none,none,none,none,none,none,none,none,none,none,none
36,חולון,אהרונוביץ 28,3,54,3,1962,"650,000",none,none,none,none,none,none,none,none,none,none,none,none,none
37,חולון,אהרונוביץ 29,3,59,1,1965,none,none,none,none,"950,000",none,none,none,none,none,none,none,none,none
38,חולון,אהרונוביץ 30,3,59,1,1970,none,"800,000",none,none,none,none,none,none,none,none,none,none,none,none
39,חולון,אהרונוביץ 31,3,59,1,1960,none,none,none,"965,000",none,none,none,none,none,none,none,none,none,none
40,חולון,אהרונוביץ 34,3,75,6,2019,none,none,none,none,none,none,none,none,none,none,"1,740,000",none,none,none
41,חולון,אהרונוביץ 34,3,147,6,2019,none,none,none,none,none,none,none,none,"1,532,333",none,none,none,none,none
42,חולון,אהרונוביץ 34,3,52,1,1960,"1,050,000",none,none,none,none,none,none,none,none,none,none,none,none,none
43,חולון,אהרונוביץ 34,3,70,2,2018,none,none,none,none,none,none,none,none,"1,524,953",none,none,none,none,none
44,חולון,אהרונוביץ 34,3,75,4,2018,none,none,none,none,none,none,none,none,"1,522,007",none,none,none,none,none
45,חולון,אהרונוביץ 34,3,52,1,1960,"1,050,000",none,none,none,none,none,none,none,none,none,none,none,none,none
46,חולון,אהרונוביץ 36,3,70,4,2018,none,none,none,none,none,none,none,none,"1,532,010",none,none,none,none,none
47,חולון,אהרונוביץ 36,3,75,5,2018,none,none,none,none,none,none,none,none,"1,517,212",none,none,none,none,none
48,חולון,אהרונוביץ 37,3,37,4,1980,"730,000",none,none,none,none,none,none,none,none,none,none,none,none,none
49,חולון,אהרונוביץ 37,3,62,4,1980,none,none,none,none,none,"1,160,000",none,none,none,none,none,none,none,none
50,חולון,אהרונוביץ 37,3,61,3,1960,none,none,none,"1,070,000",none,none,none,none,none,none,none,none,none,none
51,חולון,אהרונוביץ 37,3,61,3,1970,none,none,none,none,none,"1,145,000",none,none,none,none,none,none,none,none
52,חולון,אהרונוביץ 38,3,61,8,1980,none,none,"1,150,000",none,none,none,none,none,none,none,none,none,none,none
53,חולון,אהרונוביץ 38,3,62,5,1983,none,none,none,none,none,"1,260,000",none,none,none,none,none,none,none,none
54,חולון,אהרונוביץ 38,3,65,1,1970,none,none,none,none,none,"1,080,000",none,none,none,none,none,none,none,none
55,חולון,אהרונוביץ 38,3,62,2,1987,"589,000",none,none,none,none,none,none,none,none,none,none,none,none,none
56,חולון,אהרונוביץ 39,3,61,2,1970,none,none,"895,000",none,none,none,none,none,none,none,none,none,none,none
57,חולון,אהרונוביץ 39,3,61,4,1964,none,none,none,none,"945,000",none,none,none,none,none,none,none,none,none
58,חולון,אהרונוביץ 39,3,70,4,2018,none,none,none,none,none,none,none,none,"1,525,096",none,none,none,none,none
59,חולון,אהרונוביץ 39,3,75,5,2018,none,none,none,none,none,none,none,none,"1,605,478",none,none,none,none,none
60,חולון,אהרונוביץ 40,3,57,3,1970,none,"990,000",none,none,none,none,none,none,none,none,none,none,none,none
61,חולון,אהרונוביץ 40,3,57,2,1967,none,none,none,"950,951",none,none,none,none,none,none,none,none,none,none
62,חולון,אהרונוביץ 42,3,57,3,1970,none,none,none,none,"937,500",none,none,none,none,none,none,none,none,none
63,חולון,אהרונוביץ 44,3,50,2,1965,"860,000",none,none,none,none,none,none,none,none,none,none,none,none,none
64,חולון,אהרונוביץ 44,3,57,2,1970,"883,000",none,none,none,none,none,none,none,none,none,none,none,none,none
65,חולון,אהרונוביץ 45,3,80,1,1980,none,none,none,none,"1,351,351",none,none,none,none,none,none,none,none,none
66,חולון,אהרונוביץ 46,3,57,2,1968,none,none,none,none,"1,000,000",none,none,none,none,none,none,none,none,none
67,חולון,אהרונוביץ 47,3,59,1,1960,"800,000",none,none,none,none,none,none,none,none,none,none,none,none,none
68,חולון,אהרונוביץ 47,3,59,1,1990,none,none,none,none,"903,846",none,none,none,none,none,none,none,none,none
69,חולון,אהרונוביץ 47,3,60,3,1962,none,none,none,none,"915,000",none,none,none,none,none,none,none,none,none
70,חולון,אהרונוביץ 48,3,60,2,1950,"930,000",none,none,none,none,none,none,none,none,none,none,none,none,none
71,חולון,אהרונוביץ 48,3,65,1,1970,none,none,"800,000",none,none,none,none,none,none,none,none,none,none,none
72,חולון,אהרונוביץ 49,3,59,3,1965,none,none,none,"990,000",none,none,none,none,none,none,none,none,none,none
73,חולון,אהרונוביץ 49,3,59,3,1970,"800,000",none,none,none,none,none,none,none,none,none,none,none,none,none
74,חולון,אהרונוביץ 49,3,56,4,1960,none,none,none,none,"930,500",none,none,none,none,none,none,none,none,none
75,חולון,אהרונוביץ 50,3,67,4,1960,none,none,none,none,none,none,none,none,none,none,"1,400,000",none,none,none
76,חולון,אהרונוביץ 51,3,60,2,1960,none,none,none,none,none,"1,080,000",none,none,none,none,none,none,none,none
77,חולון,אהרונוביץ 51,3,59,3,1963,"650,000",none,none,none,none,none,none,none,none,none,none,none,none,none
78,חולון,אהרונוביץ 51,3,59,4,1970,none,"740,000",none,none,none,none,none,none,none,none,none,none,none,none
79,חולון,אהרונוביץ 51,3,80,4,1980,none,none,none,none,none,none,"1,170,000",none,none,none,none,none,none,none
80,חולון,אהרונוביץ 51,3,59,4,1970,"758,000",none,none,none,none,none,none,none,none,none,none,none,none,none
81,חולון,אהרונוביץ 51,3,59,4,1970,none,none,"840,000",none,none,none,none,none,none,none,none,none,none,none
82,חולון,אהרונוביץ 52,3,70,1,1955,none,none,none,none,none,"1,319,000",none,none,none,none,none,none,none,none
83,חולון,אהרונוביץ 57,3,35,1,1960,none,none,none,"1,230,000",none,none,none,none,none,none,none,none,none,none
84,חולון,אהרונוביץ 57,3,55,1,1960,none,none,none,none,none,"750,000",none,none,none,none,none,none,none,none
85,חולון,אהרונוביץ 64,3,70,1,1950,none,none,none,"1,350,000",none,none,none,none,none,none,none,none,none,none
86,חולון,אהרונוביץ 65,3,65,1,1950,none,none,none,none,"1,200,000",none,none,none,none,none,none,none,none,none
87,חולון,אהרונוביץ 66,3,44,4,1950,none,none,none,none,none,none,"875,000",none,none,none,none,none,none,none
88,חולון,אהרונוביץ 66,3,43,2,1960,none,none,none,none,none,none,none,"1,050,000",none,none,none,none,none,none
89,חולון,אהרונוביץ 66,3,43,3,1960,none,none,none,none,"800,000",none,none,none,none,none,none,none,none,none
90,חולון,אהרונוביץ 73,3,44,1,1970,none,none,none,"900,000",none,none,none,none,none,none,none,none,none,none
91,חולון,אהרונוביץ 73,3,43,4,1964,none,none,"700,000",none,none,none,none,none,none,none,none,none,none,none
92,חולון,אהרונוביץ 73,3,43,4,1964,none,none,none,"735,000",none,none,none,none,none,none,none,none,none,none
93,חולון,אהרונוביץ 73,3,50,4,1964,"585,000",none,none,none,none,none,none,none,none,none,none,none,none,none
94,חולון,אהרונוביץ 73,3,43,4,1960,"615,000",none,none,none,none,none,none,none,none,none,none,none,none,none
95,חולון,אהרונוביץ 75,3,43,3,1963,none,"560,000",none,none,none,none,none,none,none,none,none,none,none,none
96,חולון,אהרונוביץ 75,3,43,3,1963,none,"560,000",none,none,none,none,none,none,none,none,none,none,none,none
97,חולון,אהרונוביץ 75,3,43,3,1960,"680,000",none,none,none,none,none,none,none,none,none,none,none,none,none
98,חולון,אהרונוביץ 77,3,43,1,1960,none,none,"710,000",none,none,none,none,none,none,none,none,none,none,none
99,חולון,אהרונוביץ 77,3,43,4,1964,none,none,none,none,"780,000",none,none,none,none,none,none,none,none,none
100,חולון,אהרונוביץ 77,3,43,4,1980,none,none,none,"725,000",none,none,none,none,none,none,none,none,none,none
101,חולון,אהרונוביץ 77,3,43,3,1960,none,none,none,none,none,none,none,none,"1,120,000",none,none,none,none,none
102,חולון,אהרונוביץ 77,3,43,1,1960,none,none,none,none,"900,000",none,none,none,none,none,none,none,none,none
103,חולון,אהרונוביץ 8,3,65,1,1953,none,none,none,none,none,"1,450,000",none,none,none,none,none,none,none,none
104,חולון,אוהל שרה 1,3,80,2,1999,none,none,none,none,none,none,"1,570,000",none,none,none,none,none,none,none
105,חולון,אוהל שרה 2,3,62,1,1970,none,none,none,none,none,"1,250,000",none,none,none,none,none,none,none,none
106,חולון,אוסישקין 10,3,75,4,1958,none,none,none,none,none,"1,450,000",none,none,none,none,none,none,none,none
107,חולון,אוסישקין 12,3,75,4,1958,none,none,none,none,none,"1,450,000",none,none,none,none,none,none,none,none
108,חולון,אוסישקין 3,3,66,1,1955,none,none,none,"1,200,000",none,none,none,none,none,none,none,none,none,none
