,city,street,rooms,size,floor,date_builded,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,ירושלים,398,3,84,,2014,none,none,none,none,none,none,none,none,"1,590,000",none,none,none,none,none
1,ירושלים,398,3,74,,2011,none,none,none,none,none,none,none,none,none,"1,580,000",none,none,none,none
2,ירושלים,א טור,3,100,1,2000,none,none,none,none,none,"1,555,000",none,none,none,none,none,none,none,none
3,ירושלים,א טור 1,3,71,2,2014,none,none,none,none,"1,170,355",none,none,none,none,none,none,none,none,none
4,ירושלים,א טור 1,3,50,,2000,none,none,none,none,none,"1,750,000",none,none,none,none,none,none,none,none
5,ירושלים,א טור 153,3,75,1,2019,none,none,none,none,none,none,none,none,none,"3,300,000",none,none,none,none
6,ירושלים,א צואנה 7,3,72,1,2000,none,none,none,none,none,"2,150,000",none,none,none,none,none,none,none,none
7,ירושלים,אבא אבן 1,3,112,,2009,none,none,none,"4,050,000",none,none,none,none,none,none,none,none,none,none
8,ירושלים,אבא אבן 1,3,80,9,2019,none,none,none,none,none,none,none,none,none,"2,720,000",none,none,none,none
9,ירושלים,אבא אבן 1,3,91,4,2019,none,none,none,none,none,none,none,none,none,"1,100,000",none,none,none,none
10,ירושלים,אבא אבן 1,3,112,,2009,none,none,none,"4,050,000",none,none,none,none,none,none,none,none,none,none
11,ירושלים,אבא אבן 12,3,89,4,2012,none,none,none,none,none,none,none,none,none,"2,300,000",none,none,none,none
12,ירושלים,אבא אבן 12,3,104,1,2010,none,none,none,none,"2,920,000",none,none,none,none,none,none,none,none,none
13,ירושלים,אבא אבן 14,3,94,5,2013,none,none,none,"2,340,000",none,none,none,none,none,none,none,none,none,none
14,ירושלים,אבא אבן 4,3,77,3,2016,none,none,none,none,none,none,none,none,"2,136,000",none,none,none,none,none
15,ירושלים,אבא אחימאיר 1,3,67,3,2019,none,none,none,none,none,none,none,none,none,"1,190,000",none,none,none,none
16,ירושלים,אבא אחימאיר 10,3,85,4,1990,none,none,none,none,none,none,none,none,none,none,"1,435,000",none,none,none
17,ירושלים,אבא אחימאיר 107,3,59,1,1984,none,"930,000",none,none,none,none,none,none,none,none,none,none,none,none
18,ירושלים,אבא אחימאיר 107,3,59,1,1984,none,"930,000",none,none,none,none,none,none,none,none,none,none,none,none
19,ירושלים,אבא אחימאיר 13,3,59,,1970,none,none,"880,000",none,none,none,none,none,none,none,none,none,none,none
20,ירושלים,אבא אחימאיר 13,3,60,1,1970,none,none,none,none,none,none,none,none,none,none,"1,440,000",none,none,none
21,ירושלים,אבא אחימאיר 13,3,59,,1970,none,none,"880,000",none,none,none,none,none,none,none,none,none,none,none
22,ירושלים,אבא אחימאיר 13,3,58,5,1973,none,none,none,none,none,"1,140,000",none,none,none,none,none,none,none,none
23,ירושלים,אבא אחימאיר 14,3,60,5,1969,none,none,none,none,"915,000",none,none,none,none,none,none,none,none,none
24,ירושלים,אבא אחימאיר 14,3,60,5,1969,none,none,none,none,"915,000",none,none,none,none,none,none,none,none,none
25,ירושלים,אבא אחימאיר 18,3,57,5,1970,none,none,none,"900,000",none,none,none,none,none,none,none,none,none,none
26,ירושלים,אבא אחימאיר 2,3,71,,1960,none,none,none,none,none,none,none,none,"1,500,000",none,none,none,none,none
27,ירושלים,אבא אחימאיר 2,3,81,,1987,none,none,none,none,none,none,none,none,"1,465,000",none,none,none,none,none
28,ירושלים,אבא אחימאיר 201,3,60,4,1980,"792,500",none,none,none,none,none,none,none,none,none,none,none,none,none
29,ירושלים,אבא אחימאיר 204,3,69,,1976,none,"1,060,000",none,none,none,none,none,none,none,none,none,none,none,none
30,ירושלים,אבא אחימאיר 205,3,60,1,1990,none,none,none,none,"1,070,000",none,none,none,none,none,none,none,none,none
31,ירושלים,אבא אחימאיר 205,3,60,3,1983,none,none,none,"850,000",none,none,none,none,none,none,none,none,none,none
32,ירושלים,אבא אחימאיר 205,3,75,4,1970,none,none,none,none,none,"900,000",none,none,none,none,none,none,none,none
33,ירושלים,אבא אחימאיר 205,3,60,2,1990,none,none,none,none,none,"1,125,000",none,none,none,none,none,none,none,none
34,ירושלים,אבא אחימאיר 205,3,60,,1980,none,none,"900,000",none,none,none,none,none,none,none,none,none,none,none
