,city,street,rooms,size,floor,date_builded,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,נתניה,א.ד. גורדון 21,3,77,,1989,none,none,none,none,none,none,none,none,none,"1,300,000",none,none,none,none
1,נתניה,א.ד. גורדון 5,3,107,,1970,none,none,none,none,none,none,none,none,"1,100,000",none,none,none,none,none
2,נתניה,אבא הלל 1,3,59,1,1950,none,none,none,none,"3,250,000",none,none,none,none,none,none,none,none,none
3,נתניה,אבא הלל 14,3,73,4,1960,none,none,none,none,none,none,none,none,none,none,"2,600,000",none,none,none
4,נתניה,אבא הלל 2,3,75,3,1960,none,none,none,none,none,none,none,none,none,none,"850,000",none,none,none
5,נתניה,אבו שדיד 18,3,70,1,1975,none,none,none,none,none,none,"1,170,000",none,none,none,none,none,none,none
6,נתניה,אבו שדיד 3,3,71,5,1978,none,"950,000",none,none,none,none,none,none,none,none,none,none,none,none
7,נתניה,אבו שדיד 3,3,71,1,1980,none,none,"950,000",none,none,none,none,none,none,none,none,none,none,none
8,נתניה,אבו שדיד 3,3,70,5,1980,none,none,none,none,none,"1,285,000",none,none,none,none,none,none,none,none
9,נתניה,אבו שדיד 35,3,68,4,1976,none,"1,180,000",none,none,none,none,none,none,none,none,none,none,none,none
10,נתניה,אבו שדיד 5,3,68,2,1980,none,"900,000",none,none,none,none,none,none,none,none,none,none,none,none
11,נתניה,אבו שדיד 5,3,68,2,1980,none,"900,000",none,none,none,none,none,none,none,none,none,none,none,none
12,נתניה,אבן עזרא,3,75,4,2002,none,none,none,none,"1,040,000",none,none,none,none,none,none,none,none,none
13,נתניה,אבן עזרא 30,3,75,8,1999,none,none,none,none,none,none,none,none,none,"1,320,000",none,none,none,none
14,נתניה,אבן עזרא 30,3,75,5,2002,none,"900,000",none,none,none,none,none,none,none,none,none,none,none,none
15,נתניה,אבן עזרא 31,3,75,5,2001,none,none,none,none,"970,000",none,none,none,none,none,none,none,none,none
