,city,street,rooms,size,floor,date_builded,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,גבעת השלושה,483,3,75,,1950,none,none,none,none,none,none,"200,000",none,none,none,none,none,none,none
1,גבעת השלושה,גבעת השלשה,3,118,,1930,none,none,none,none,none,none,none,none,"200,000",none,none,none,none,none
2,גבעת השלושה,גבעת השלשה,3,98,,1930,none,none,none,none,none,none,none,none,"200,000",none,none,none,none,none
3,גבעת השלושה,גבעת השלשה 1,3,91,,1930,none,none,none,none,none,none,none,none,"200,000",none,none,none,none,none
4,גבעת השלושה,גבעת השלשה 1,3,75,1,1950,none,none,none,none,none,none,"200,000",none,none,none,none,none,none,none
5,גבעת השלושה,גבעת השלשה 1,3,75,1,1950,none,none,none,none,none,none,"200,000",none,none,none,none,none,none,none
6,גבעת השלושה,גבעת השלשה 1,3,75,1,1950,none,none,none,none,none,none,"200,000",none,none,none,none,none,none,none
7,גבעת השלושה,גבעת השלשה 1,3,75,1,1950,none,none,none,none,none,none,"200,000",none,none,none,none,none,none,none
8,גבעת השלושה,גבעת השלשה 1,3,75,1,1950,none,none,none,none,none,none,"200,000",none,none,none,none,none,none,none
9,גבעת השלושה,גבעת השלשה 1,3,75,1,1950,none,none,none,none,none,none,"200,000",none,none,none,none,none,none,none
10,גבעת השלושה,גבעת השלשה 1,3,100,,1930,none,none,none,none,none,none,none,none,none,none,"200,000",none,none,none
11,גבעת השלושה,גבעת השלשה 1,3,75,1,1930,none,none,none,none,"200,000",none,none,none,none,none,none,none,none,none
12,גבעת השלושה,גבעת השלשה 1,3,75,1,1950,none,none,none,none,none,none,"200,000",none,none,none,none,none,none,none
13,גבעת השלושה,גבעת השלשה 1,3,75,1,1950,none,none,none,none,none,none,"200,000",none,none,none,none,none,none,none
14,גבעת השלושה,גבעת השלשה 1,3,75,1,1950,none,none,none,none,none,none,"200,000",none,none,none,none,none,none,none
15,גבעת השלושה,גבעת השלשה 1,3,75,1,1950,none,none,none,none,none,none,"200,000",none,none,none,none,none,none,none
16,גבעת השלושה,גבעת השלשה 1,3,75,1,1950,none,none,none,none,none,"200,000",none,none,none,none,none,none,none,none
17,גבעת השלושה,גבעת השלשה 1,3,75,1,1930,none,none,none,none,none,"200,000",none,none,none,none,none,none,none,none
18,גבעת השלושה,גבעת השלשה 1,3,100,,1930,none,none,none,none,none,none,none,none,none,"310,000",none,none,none,none
19,גבעת השלושה,גבעת השלשה 1,3,60,,1934,none,none,none,none,none,"200,000",none,none,none,none,none,none,none,none
20,גבעת השלושה,גבעת השלשה 1,3,75,1,1950,none,none,none,none,none,"200,000",none,none,none,none,none,none,none,none
21,גבעת השלושה,גבעת השלשה 1,3,75,1,1950,none,none,none,none,none,"200,000",none,none,none,none,none,none,none,none
22,גבעת השלושה,גבעת השלשה 1,3,60,,1934,none,none,none,none,none,"200,000",none,none,none,none,none,none,none,none
23,גבעת השלושה,גבעת השלשה 1,3,75,1,1950,none,none,none,none,none,"200,000",none,none,none,none,none,none,none,none
24,גבעת השלושה,גבעת השלשה 1,3,75,1,1950,none,none,none,none,none,"200,000",none,none,none,none,none,none,none,none
25,גבעת השלושה,גבעת השלשה 1,3,60,,1934,none,none,none,none,none,"200,000",none,none,none,none,none,none,none,none
26,גבעת השלושה,גבעת השלשה 1,3,75,1,1930,none,none,none,none,none,"200,000",none,none,none,none,none,none,none,none
27,גבעת השלושה,גבעת השלשה 1,3,75,1,1950,none,none,none,none,none,"200,000",none,none,none,none,none,none,none,none
28,גבעת השלושה,גבעת השלשה 1,3,75,1,1930,none,none,none,none,none,"200,000",none,none,none,none,none,none,none,none
29,גבעת השלושה,גבעת השלשה 1,3,86,,1930,none,none,none,none,none,none,none,none,"200,000",none,none,none,none,none
30,גבעת השלושה,גבעת השלשה 1,3,105,,1920,none,none,none,none,none,none,none,none,"200,000",none,none,none,none,none
31,גבעת השלושה,גבעת השלשה 1,3,75,1,1950,none,none,none,none,none,"200,000",none,none,none,none,none,none,none,none
32,גבעת השלושה,גבעת השלשה 1,3,30,,1930,none,none,none,none,none,none,none,none,"200,000",none,none,none,none,none
33,גבעת השלושה,גבעת השלשה 1,3,142,,1920,none,none,none,none,none,none,none,none,"200,000",none,none,none,none,none
34,גבעת השלושה,גבעת השלשה 1,3,58,,1930,none,none,none,none,none,none,none,none,"200,000",none,none,none,none,none
35,גבעת השלושה,גבעת השלשה 1,3,80,,1930,none,none,none,none,none,none,none,none,"200,000",none,none,none,none,none
36,גבעת השלושה,גבעת השלשה 1,3,117,,1930,none,none,none,none,none,none,none,none,"200,000",none,none,none,none,none
37,גבעת השלושה,גבעת השלשה 1,3,114,,1930,none,none,none,none,none,none,none,none,"200,000",none,none,none,none,none
38,גבעת השלושה,גבעת השלשה 1,3,113,,1930,none,none,none,none,none,none,none,none,"200,000",none,none,none,none,none
39,גבעת השלושה,גבעת השלשה 2,3,60,,1934,none,none,none,none,none,"200,000",none,none,none,none,none,none,none,none
40,גבעת השלושה,גבעת השלשה 4,3,60,,1934,none,none,none,none,none,"200,000",none,none,none,none,none,none,none,none
41,גבעת השלושה,גבעת השלשה 7,3,60,,1934,none,none,none,none,none,"200,000",none,none,none,none,none,none,none,none
42,גבעת השלושה,גבעת השלשה 8,3,30,,1934,none,none,none,none,none,none,"200,000",none,none,none,none,none,none,none
43,פתח תקווה,א.ד.ג.,3,70,3,1975,none,none,none,none,"1,170,000",none,none,none,none,none,none,none,none,none
44,פתח תקווה,א.ד.ג. 4,3,61,4,1970,none,none,"1,025,000",none,none,none,none,none,none,none,none,none,none,none
45,פתח תקווה,א.ד.גורדון 1,3,80,2,1995,none,none,none,none,none,none,"1,350,000",none,none,none,none,none,none,none
46,פתח תקווה,אבא ברדיצב 1,3,75,4,2013,none,none,"1,325,590",none,none,none,none,none,none,none,none,none,none,none
47,פתח תקווה,אבא ברדיצב 1,3,76,14,2013,none,none,none,"1,507,500",none,none,none,none,none,none,none,none,none,none
48,פתח תקווה,אבא ברדיצב 1,3,75,6,2013,none,none,none,"1,295,164",none,none,none,none,none,none,none,none,none,none
49,פתח תקווה,אבא ברדיצב 7,3,73,,2011,none,none,none,none,none,none,none,none,none,none,"1,690,000",none,none,none
50,פתח תקווה,אבו רביע 12,3,57,3,1950,none,none,none,none,none,"1,000,000",none,none,none,none,none,none,none,none
51,פתח תקווה,אבו רביע 3,3,61,2,1969,none,none,"1,000,000",none,none,none,none,none,none,none,none,none,none,none
52,פתח תקווה,אבו רביע 5,3,84,5,2002,none,none,none,none,none,none,none,none,none,none,"1,455,000",none,none,none
53,פתח תקווה,אבימלך 13,3,71,1,1970,none,none,none,none,none,none,none,none,none,none,"1,295,180",none,none,none
54,פתח תקווה,אבינועם ילין 6,3,76,,2008,none,none,none,none,none,none,none,none,none,"1,620,000",none,none,none,none
55,פתח תקווה,אבן ספיר 54,3,58,2,1982,none,none,none,none,"995,000",none,none,none,none,none,none,none,none,none
