,city,street,rooms,size,floor,date_builded,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,תל אביב יפו,1096 69,3,253,,2006,none,none,none,none,none,none,none,none,none,"16,500,000",none,none,none,none
1,תל אביב יפו,3018 16,3,75,,2007,none,none,none,none,none,none,none,"2,850,000",none,none,none,none,none,none
2,תל אביב יפו,3895 76,3,50,,1920,none,none,none,none,none,none,none,none,"1,550,000",none,none,none,none,none
3,תל אביב יפו,אב,3,70,,2010,"3,583,192",none,none,none,none,none,none,none,none,none,none,none,none,none
4,תל אביב יפו,אב,3,80,12,2016,none,none,none,none,none,none,"1,851,516",none,none,none,none,none,none,none
5,תל אביב יפו,אב,3,97,14,2018,none,none,none,none,none,none,"4,156,006",none,none,none,none,none,none,none
6,תל אביב יפו,אב,3,95,,2002,none,none,none,"2,100,000",none,none,none,none,none,none,none,none,none,none
7,תל אביב יפו,אב 1,3,108,,2010,none,none,"3,242,952",none,none,none,none,none,none,none,none,none,none,none
8,תל אביב יפו,אב 1,3,79,,1970,none,none,"1,200,000",none,none,none,none,none,none,none,none,none,none,none
9,תל אביב יפו,אב 1,3,72,25,2013,none,none,none,"2,830,000",none,none,none,none,none,none,none,none,none,none
10,תל אביב יפו,אב 1,3,72,17,2020,none,none,none,none,none,none,none,none,none,"2,560,372",none,none,none,none
11,תל אביב יפו,אב 1,3,7,3,1970,none,none,none,none,"233,740",none,none,none,none,none,none,none,none,none
12,תל אביב יפו,אב 1,3,1,2,2013,none,none,none,none,"3,190,788",none,none,none,none,none,none,none,none,none
13,תל אביב יפו,אב 1,3,79,12,2016,none,none,none,none,none,none,"1,835,644",none,none,none,none,none,none,none
14,תל אביב יפו,אב 1,3,72,19,2020,none,none,none,none,none,none,none,none,none,"2,580,372",none,none,none,none
15,תל אביב יפו,אב 1,3,79,10,2016,none,none,none,none,none,none,"1,801,452",none,none,none,none,none,none,none
16,תל אביב יפו,אב 1,3,63,1,1970,none,"1,718,500",none,none,none,none,none,none,none,none,none,none,none,none
17,תל אביב יפו,אב 1,3,77,3,2010,"780,000",none,none,none,none,none,none,none,none,none,none,none,none,none
18,תל אביב יפו,אב 1,3,80,,2012,none,"2,828,070",none,none,none,none,none,none,none,none,none,none,none,none
19,תל אביב יפו,אב 1,3,75,7,2013,none,none,none,"1,353,112",none,none,none,none,none,none,none,none,none,none
20,תל אביב יפו,אב 1,3,109,2,2011,none,none,none,"3,404,674",none,none,none,none,none,none,none,none,none,none
21,תל אביב יפו,אב 1,3,79,11,2016,none,none,none,none,none,none,"1,815,056",none,none,none,none,none,none,none
22,תל אביב יפו,אב 1,3,67,17,2013,none,none,none,"2,088,139",none,none,none,none,none,none,none,none,none,none
23,תל אביב יפו,אב 1,3,79,9,2016,none,none,none,none,none,none,"1,932,036",none,none,none,none,none,none,none
24,תל אביב יפו,אב 11,3,52,4,1960,none,"780,000",none,none,none,none,none,none,none,none,none,none,none,none
25,תל אביב יפו,אב 11,3,64,1,1958,none,none,none,none,"2,605,000",none,none,none,none,none,none,none,none,none
26,תל אביב יפו,אב 11,3,75,3,1970,none,none,none,none,none,"800,000",none,none,none,none,none,none,none,none
27,תל אביב יפו,אב 12,3,69,9,2016,none,none,none,none,none,none,none,none,none,"2,950,000",none,none,none,none
28,תל אביב יפו,אב 12,3,75,2,1970,none,none,none,none,none,none,"3,670,000",none,none,none,none,none,none,none
29,תל אביב יפו,אב 16,3,75,5,1970,none,none,none,none,"940,000",none,none,none,none,none,none,none,none,none
30,תל אביב יפו,אב 16,3,80,4,1970,none,"720,000",none,none,none,none,none,none,none,none,none,none,none,none
31,תל אביב יפו,אב 22,3,76,9,2013,none,none,none,none,none,none,none,none,none,none,"2,165,000",none,none,none
32,תל אביב יפו,אב 28,3,53,5,1965,none,none,"950,000",none,none,none,none,none,none,none,none,none,none,none
33,תל אביב יפו,אב 3,3,80,13,2017,none,none,none,none,none,none,none,"2,049,292",none,none,none,none,none,none
34,תל אביב יפו,אב 33,3,60,8,1980,none,none,"950,000",none,none,none,none,none,none,none,none,none,none,none
35,תל אביב יפו,אב 4,3,91,1,1960,none,"730,050",none,none,none,none,none,none,none,none,none,none,none,none
36,תל אביב יפו,אב 4,3,65,1,1960,none,none,none,none,none,none,"1,220,000",none,none,none,none,none,none,none
37,תל אביב יפו,אב 42,3,67,1,1960,none,none,"1,180,000",none,none,none,none,none,none,none,none,none,none,none
38,תל אביב יפו,אב 5,3,86,2,1970,none,none,none,none,none,none,"3,473,474",none,none,none,none,none,none,none
39,תל אביב יפו,אב 5,3,76,5,2015,none,none,none,none,none,none,"1,636,017",none,none,none,none,none,none,none
40,תל אביב יפו,אב 5,3,84,1,1977,none,none,none,none,none,none,"1,270,000",none,none,none,none,none,none,none
41,תל אביב יפו,אב 6,3,75,4,2014,none,none,none,none,none,none,"2,540,000",none,none,none,none,none,none,none
42,תל אביב יפו,אב 63,3,79,16,2016,none,none,none,none,none,none,"1,937,906",none,none,none,none,none,none,none
43,תל אביב יפו,אב 64,3,55,1,1930,none,none,none,none,none,none,none,"2,500,000",none,none,none,none,none,none
44,תל אביב יפו,אב 8,3,75,3,1950,none,none,"2,631,578",none,none,none,none,none,none,none,none,none,none,none
45,תל אביב יפו,אבודרהם 1,3,83,,1960,none,none,"1,301,300",none,none,none,none,none,none,none,none,none,none,none
46,תל אביב יפו,אבולעפיה 11,3,85,2,1950,none,none,none,none,none,"835,000",none,none,none,none,none,none,none,none
47,תל אביב יפו,אביאסף 11,3,60,,1950,none,none,none,"980,000",none,none,none,none,none,none,none,none,none,none
48,תל אביב יפו,אביגור שאול 5,3,120,10,1997,none,"2,350,000",none,none,none,none,none,none,none,none,none,none,none,none
49,תל אביב יפו,אבידן דוד,3,86,5,1995,none,none,none,none,none,"2,217,000",none,none,none,none,none,none,none,none
50,תל אביב יפו,אבידן דוד 1,3,53,6,2003,none,none,none,"2,100,000",none,none,none,none,none,none,none,none,none,none
51,תל אביב יפו,אבידן דוד 13,3,70,2,1999,none,"1,750,000",none,none,none,none,none,none,none,none,none,none,none,none
52,תל אביב יפו,אבידן דוד 13,3,70,2,1999,none,"1,750,000",none,none,none,none,none,none,none,none,none,none,none,none
53,תל אביב יפו,אבידן דוד 14,3,83,3,1970,none,none,none,none,"2,115,000",none,none,none,none,none,none,none,none,none
54,תל אביב יפו,אבידן דוד 14,3,83,3,1999,"1,680,000",none,none,none,none,none,none,none,none,none,none,none,none,none
55,תל אביב יפו,אבידן דוד 14,3,62,2,1997,none,none,none,none,"1,650,000",none,none,none,none,none,none,none,none,none
56,תל אביב יפו,אבידן דוד 14,3,85,2,1996,"1,645,000",none,none,none,none,none,none,none,none,none,none,none,none,none
57,תל אביב יפו,אבידן דוד 14,3,61,3,1990,none,none,none,none,none,"1,870,000",none,none,none,none,none,none,none,none
58,תל אביב יפו,אבידן דוד 14,3,75,,1995,none,none,none,none,none,"2,300,000",none,none,none,none,none,none,none,none
59,תל אביב יפו,אבידן דוד 14,3,59,3,1970,none,none,none,none,"1,750,000",none,none,none,none,none,none,none,none,none
60,תל אביב יפו,אבידן דוד 15,3,73,5,1970,none,none,none,none,none,none,"2,485,000",none,none,none,none,none,none,none
61,תל אביב יפו,אבידן דוד 15,3,54,4,1998,none,"1,500,000",none,none,none,none,none,none,none,none,none,none,none,none
62,תל אביב יפו,אבידן דוד 15,3,74,,1998,none,"1,600,000",none,none,none,none,none,none,none,none,none,none,none,none
63,תל אביב יפו,אבידן דוד 16,3,130,4,1970,none,none,none,none,"2,600,000",none,none,none,none,none,none,none,none,none
64,תל אביב יפו,אבידן דוד 16,3,73,3,2000,none,none,none,none,"1,835,000",none,none,none,none,none,none,none,none,none
65,תל אביב יפו,אבידן דוד 18,3,80,3,1996,none,none,none,"1,880,000",none,none,none,none,none,none,none,none,none,none
66,תל אביב יפו,אבידן דוד 18,3,73,4,1999,none,none,none,none,none,none,none,none,none,"2,512,500",none,none,none,none
