,city,street,rooms,size,floor,date_builded,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,באר שבע,א.ל. זיסו 10,3,60,,1970,none,none,none,none,none,none,none,none,none,none,"8,450",none,none,none
1,באר שבע,אבא אחימאיר 216,3,85,,1960,none,none,none,none,none,none,none,none,none,none,"9,058",none,none,none
2,באר שבע,אביגד 4,3,62,2,1980,none,none,none,none,"10,887",none,none,none,none,none,none,none,none,none
3,באר שבע,אביגדור המאירי 1,3,100,1,2000,none,none,none,none,none,none,none,none,none,none,"12,716",none,none,none
4,באר שבע,אביגדור המאירי 1,3,86,3,1996,none,none,"5,755",none,none,none,none,none,none,none,none,none,none,none
5,באר שבע,אביגדור המאירי 1,3,87,5,1995,none,none,"5,339",none,none,none,none,none,none,none,none,none,none,none
6,באר שבע,אביגדור המאירי 1,3,87,5,1995,none,none,none,none,none,none,none,none,none,"5,217",none,none,none,none
7,באר שבע,אביגדור המאירי 11,3,64,2,1995,none,none,"7,500",none,none,none,none,none,none,none,none,none,none,none
8,באר שבע,אביגדור המאירי 11,3,64,,1980,"7,187",none,none,none,none,none,none,none,none,none,none,none,none,none
9,באר שבע,אביגדור המאירי 11,3,92,1,1995,none,none,none,none,none,none,none,none,"2,430",none,none,none,none,none
10,באר שבע,אביגדור המאירי 12,3,103,,2009,none,none,none,none,"7,766",none,none,none,none,none,none,none,none,none
11,באר שבע,אביגדור המאירי 14,3,99,7,2000,none,none,none,none,none,"8,484",none,none,none,none,none,none,none,none
12,באר שבע,אביגדור המאירי 15,3,88,5,1998,none,"7,102",none,none,none,none,none,none,none,none,none,none,none,none
13,באר שבע,אביגדור המאירי 16,3,78,4,1999,none,"7,115",none,none,none,none,none,none,none,none,none,none,none,none
14,באר שבע,אביגדור המאירי 16,3,71,2,1996,none,none,"8,450",none,none,none,none,none,none,none,none,none,none,none
15,באר שבע,אביגדור המאירי 19,3,64,1,1994,none,"7,656",none,none,none,none,none,none,none,none,none,none,none,none
16,באר שבע,אביגדור המאירי 2,3,61,7,1990,none,none,"7,688",none,none,none,none,none,none,none,none,none,none,none
17,באר שבע,אביגדור המאירי 2,3,87,3,1990,none,none,none,none,none,"8,045",none,none,none,none,none,none,none,none
18,באר שבע,אביגדור המאירי 2,3,61,2,1999,none,none,"8,196",none,none,none,none,none,none,none,none,none,none,none
19,באר שבע,אביגדור המאירי 2,3,61,7,1994,"7,213",none,none,none,none,none,none,none,none,none,none,none,none,none
20,באר שבע,אביגדור המאירי 2,3,70,5,1993,none,none,none,none,"8,214",none,none,none,none,none,none,none,none,none
21,באר שבע,אביגדור המאירי 2,3,80,1,1993,none,none,none,none,none,none,none,none,none,"5,348",none,none,none,none
22,באר שבע,אביגדור המאירי 20,3,86,5,2005,none,none,none,none,"6,953",none,none,none,none,none,none,none,none,none
23,באר שבע,אביגדור המאירי 25,3,79,,1900,none,"5,696",none,none,none,none,none,none,none,none,none,none,none,none
24,באר שבע,אביגדור המאירי 26,3,101,5,1996,none,none,none,none,"7,574",none,none,none,none,none,none,none,none,none
25,באר שבע,אביגדור המאירי 29,3,77,,1990,none,none,"8,051",none,none,none,none,none,none,none,none,none,none,none
26,באר שבע,אביגדור המאירי 4,3,61,6,1990,"6,557",none,none,none,none,none,none,none,none,none,none,none,none,none
27,באר שבע,אביגדור המאירי 4,3,61,,1900,none,"7,327",none,none,none,none,none,none,none,none,none,none,none,none
28,באר שבע,אביגדור המאירי 4,3,62,3,1993,"6,451",none,none,none,none,none,none,none,none,none,none,none,none,none
29,באר שבע,אביגדור המאירי 4,3,62,2,1994,none,"7,580",none,none,none,none,none,none,none,none,none,none,none,none
30,באר שבע,אביגדור המאירי 4,3,61,6,1992,none,"7,868",none,none,none,none,none,none,none,none,none,none,none,none
31,באר שבע,אביגדור המאירי 4,3,62,2,1980,none,none,none,none,"10,887",none,none,none,none,none,none,none,none,none
32,באר שבע,אביגדור המאירי 4,3,70,1,1992,none,none,none,none,none,none,none,none,none,none,"10,714",none,none,none
33,באר שבע,אביגדור המאירי 4,3,84,8,1993,none,none,none,none,none,none,none,"9,285",none,none,none,none,none,none
34,באר שבע,אביגדור המאירי 5,3,69,4,1990,none,"5,869",none,none,none,none,none,none,none,none,none,none,none,none
35,באר שבע,אביגדור המאירי 5,3,75,1,1996,none,none,"8,668",none,none,none,none,none,none,none,none,none,none,none
