,city,street,rooms,size,floor,date_builded,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,אשדוד,א ת עד הלום,3,80.0,,1980,9375,none,none,none,none,15333,16030,"17,008",none,none,none,none,none,none
1,אשדוד,א ת עד הלום 1,3,100.0,3.0,1980,none,none,none,none,none,"15,052",none,10400,none,none,none,none,none,none
2,אשדוד,א ת עד הלום 13,3,80.0,1.0,1998,none,none,none,none,none,none,none,none,none,none,none,none,none,none
3,אשדוד,א ת עד הלום 2,3,104.0,3.0,2017,none,none,none,none,none,none,"16,346",none,none,none,none,none,none,none
4,אשדוד,א ת עד הלום 7,3,89.0,6.0,1997,none,none,9550,none,none,none,none,none,none,none,none,none,none,none
5,אשדוד,אב,3,77.0,6.0,2013,none,none,none,none,none,11004,none,17588,none,none,21643,none,none,none
6,אשדוד,אב 2,3,75.0,,2002,none,none,none,"11,016",none,none,none,none,none,none,none,none,none,none
7,אשדוד,אב 41,3,59.0,2.0,1980,none,none,none,none,none,none,none,none,none,none,none,none,none,none
8,אשדוד,אב 45,3,80.0,,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
9,אשדוד,אב 5,3,70.0,1.0,1970,none,none,none,none,none,none,none,none,none,none,4587,none,none,none
10,אשדוד,אבא אחימאיר,3,81.0,3.0,2020,none,none,none,none,none,none,"16,049",none,none,none,none,none,none,none
11,אשדוד,אבא הלל סילבר 13,3,74.0,3.0,2012,"9,523",none,none,none,13783,12025,none,none,none,none,none,none,none,none
12,אשדוד,אבא הלל סילבר 15,3,88.0,,1970,none,none,none,"10,878","13,066","14,102","16,200","16,036",13992,none,none,none,none,none
13,אשדוד,אבא הלל סילבר 26,3,79.0,,1970,none,none,none,none,none,none,none,"16,772",none,none,none,none,none,none
14,אשדוד,"אבוחצירה,הרב",3,60.0,4.0,2000,none,none,none,none,none,none,none,none,none,none,none,none,none,none
15,אשדוד,"אבוחצירה,הרב 1",3,75.0,4.0,1979,none,none,none,none,none,none,none,17066,none,none,none,none,none,none
16,אשדוד,"אבוחצירה,הרב 10",3,59.0,3.0,1969,7121,none,none,none,15862,none,"20,710",none,none,none,none,none,none,none
17,אשדוד,"אבוחצירה,הרב 12",3,58.0,1.0,1970,none,none,12585,none,10839,"10,810",14571,none,none,none,none,none,none,none
18,אשדוד,"אבוחצירה,הרב 14",3,68.0,4.0,1973,none,none,none,none,4352,"14,666",none,18620,none,none,none,none,none,none
19,אשדוד,"אבוחצירה,הרב 16",3,58.0,4.0,1974,none,none,none,none,9651,"5,778",none,none,none,none,none,none,none,none
20,אשדוד,"אבוחצירה,הרב 2",3,65.0,4.0,1970,none,"10,344",none,"10,918",none,none,none,"22,413",none,none,18153,none,none,none
21,אשדוד,"אבוחצירה,הרב 4",3,58.0,2.0,1975,none,"9,800",none,11429,none,none,none,"15,441",none,none,none,none,none,none
22,אשדוד,"אבוחצירה,הרב 5",3,60.0,4.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
23,אשדוד,"אבוחצירה,הרב 6",3,75.0,2.0,1960,none,none,"11,186",none,10933,"16,637",none,none,none,none,none,none,none,none
24,אשדוד,"אבוחצירה,הרב 8",3,59.0,1.0,1974,"8,620",none,"11,864",11214,none,none,none,none,none,none,none,none,none,none
25,אשדוד,אבות ישורון,3,81.0,4.0,2020,none,none,none,none,none,none,none,none,none,none,none,none,none,none
26,אשדוד,אבות ישורון 10,3,68.0,6.0,1994,none,none,none,none,none,none,none,none,none,none,none,none,none,none
27,אשדוד,אבות ישורון 11,3,66.0,3.0,1993,11363,"11,257",12279,none,13010,none,none,"18,787",14022,12172,15833,none,none,none
28,אשדוד,אבות ישורון 12,3,85.0,1.0,1997,none,none,none,"10,764",none,"11,761",none,none,13529,none,none,none,none,none
29,אשדוד,אבות ישורון 2,3,75.0,10.0,1996,none,9597,"13,333",none,none,none,17733,none,none,none,none,none,none,none
30,אשדוד,אבות ישורון 3,3,50.0,2.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
31,אשדוד,אבות ישורון 4,3,115.0,,1996,none,none,none,none,none,none,none,"14,583",none,13282,none,none,none,none
32,אשדוד,אבות ישורון 5,3,86.0,5.0,1996,none,9651,"12,123",none,none,"12,764",12790,none,14074,"13,944",none,none,none,none
33,אשדוד,אבות ישורון 6,3,68.0,5.0,1993,7141,none,none,none,none,none,17826,none,13852,none,none,none,none,none
34,אשדוד,אבות ישורון 7,3,80.0,8.0,1990,"11,538",none,none,none,none,none,none,none,"14,651","13,944",none,none,none,none
35,אשדוד,אבות ישורון 8,3,68.0,5.0,1980,none,none,none,none,none,none,17941,none,none,none,none,none,none,none
36,אשדוד,אבות ישורון 9,3,66.0,2.0,1991,none,"11,923",none,11323,11865,none,none,none,none,14688,none,none,none,none
37,אשדוד,אבטליון 17,3,115.0,1.0,1998,none,none,none,none,none,none,none,none,none,none,none,none,none,none
38,אשדוד,אביי 20,3,91.0,4.0,1980,none,none,none,none,none,none,none,none,none,none,none,none,none,none
39,אשדוד,אביי 21,3,75.0,2.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
40,אשדוד,אבן גבירול 1,3,55.0,4.0,1970,"10,363","11,574",11641,"13,518",12066,"9,421",none,none,none,none,none,none,none,none
41,אשדוד,אבן גבירול 11,3,39.0,1.0,1964,none,none,none,none,none,none,none,none,none,none,none,none,none,none
42,אשדוד,אבן גבירול 12,3,48.0,,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
43,אשדוד,אבן גבירול 15,3,54.0,2.0,1960,9629,13496,none,none,"12,222","12,177",none,none,14918,none,"14,062",none,none,none
44,אשדוד,אבן גבירול 17,3,54.0,2.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
45,אשדוד,אבן גבירול 21,3,62.0,,1960,9268,none,"9,444","10,370",none,"10,887",none,6927,2669,none,none,none,none,none
46,אשדוד,אבן גבירול 23,3,65.0,,1968,none,8842,8963,11666,10884,none,none,16284,none,none,none,none,none,none
47,אשדוד,אבן גבירול 25,3,60.0,2.0,1960,9884,none,9536,"11,111","12,000",none,14533,none,none,none,none,none,none,none
48,אשדוד,אבן גבירול 27,3,60.0,,1960,none,none,none,none,none,none,"13,142",none,none,none,none,none,none,none
49,אשדוד,אבן גבירול 45,3,55.0,4.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
50,אשדוד,אבן גבירול 7,3,39.0,,1970,none,none,none,11538,none,none,none,none,none,none,none,none,none,none
51,אשדוד,אבן גבירול 9,3,40.0,2.0,1965,none,none,none,none,none,18294,none,none,none,none,"17,800",none,none,none
52,אשדוד,אבן דנן,3,61.0,2.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
53,אשדוד,אבן דנן 10,3,61.0,3.0,1970,none,none,none,"12,295",none,none,none,none,none,none,none,none,none,none
54,אשדוד,אבן דנן 3,3,70.0,4.0,1984,none,none,"11,833",none,none,"12,089",none,15714,none,none,none,none,none,none
55,אשדוד,אבן דנן 5,3,60.0,3.0,1950,none,none,none,none,none,none,18666,none,none,none,none,none,none,none
56,אשדוד,אבן דנן 7,3,60.0,1.0,1977,none,none,none,none,12500,none,none,none,none,none,16928,none,none,none
57,אשדוד,אבן דנן 8,3,61.0,4.0,1970,11234,none,none,none,none,none,none,none,none,none,"15,500",none,none,none
58,אשדוד,אבן דנן 9,3,70.0,3.0,1972,none,none,none,none,none,none,none,none,none,none,none,none,none,none
59,אשדוד,"אבן דנן,רב 10",3,71.0,2.0,1974,none,none,none,none,none,none,none,none,none,none,none,none,none,none
60,אשדוד,"אבן דנן,רב 3",3,60.0,1.0,1960,none,none,none,none,none,none,none,13246,none,none,none,none,none,none
61,אשדוד,"אבן דנן,רב 5",3,70.0,4.0,1972,none,none,none,none,none,none,none,none,none,none,none,none,none,none
62,אשדוד,"אבן דנן,רב 6",3,78.0,3.0,1970,"10,655",none,none,none,none,none,none,none,none,none,none,none,none,none
63,אשדוד,"אבן דנן,רב 7",3,70.0,1.0,1972,none,none,none,none,none,none,none,none,none,none,"19,833",none,none,none
64,אשדוד,אבן עזרא 10,3,64.0,1.0,1990,9837,"9,375","8,906",none,3466,10343,"16,406",16651,15792,none,none,none,none,none
65,אשדוד,אבן עזרא 13,3,104.0,6.0,1995,none,none,none,none,none,none,none,none,none,none,none,none,none,none
66,אשדוד,אבן עזרא 26,3,75.0,6.0,1940,none,none,none,none,none,none,none,none,none,none,none,none,none,none
67,אשדוד,אבן עזרא 29,3,60.0,2.0,1970,none,none,none,none,none,none,none,none,none,"16,395","14,941",none,none,none
68,אשדוד,אבן עזרא 31,3,60.0,3.0,1978,none,none,"12,881",none,none,none,15833,none,none,none,none,none,none,none
69,אשדוד,אבן עזרא 34,3,70.0,6.0,1970,none,none,11428,none,none,none,none,none,none,none,none,none,none,none
70,אשדוד,אבן עזרא 35,3,52.0,3.0,1970,none,none,none,none,none,none,none,15384,none,none,none,none,none,none
71,אשדוד,אבן עזרא 37,3,70.0,4.0,1970,none,none,none,none,none,none,none,none,17571,none,none,none,none,none
72,אשדוד,אבן עזרא 4,3,62.0,4.0,1975,none,"9,761",none,none,"12,380",none,none,none,none,none,none,none,none,none
73,אשדוד,אבן עזרא 6,3,64.0,3.0,1994,10126,10468,none,none,4027,none,13230,15333,"15,067",15091,"16,666",none,none,none
74,אשדוד,אבן עזרא 8,3,76.0,1.0,1970,none,"7,500",7894,none,13450,16145,none,"18,437",14285,none,"14,338",none,none,none
75,אשדוד,אבנר בן נר 126,3,83.0,11.0,2019,none,none,none,none,none,none,none,none,none,none,none,none,none,none
76,אשדוד,אברהם סופר 11,3,90.0,,1985,none,none,none,none,none,none,none,none,14037,none,none,none,none,none
77,אשדוד,אברהם עופר 1,3,70.0,,1970,"10,476",none,none,"14,032",none,none,"13,114",18077,none,none,"13,333",none,none,none
78,אשדוד,אברהם עופר 3,3,110.0,,1982,none,none,none,none,none,none,none,none,none,none,none,none,none,none
79,אשדוד,אברהם שפירא 1,3,54.0,,1976,none,none,none,none,none,"21,296",none,none,"21,186",none,"22,542",none,none,none
80,אשדוד,אברהם שפירא 11,3,69.0,,1970,"11,296",none,none,none,none,none,none,18909,18405,none,none,none,none,none
81,אשדוד,אברהם שפירא 17,3,93.0,5.0,2016,none,none,none,none,none,none,none,none,none,none,none,none,none,none
82,אשדוד,אברהם שפירא 19,3,60.0,,1990,none,none,none,"16,956",none,"16,562",none,none,"23,333",none,none,none,none,none
83,אשדוד,אברהם שפירא 21,3,59.0,,1980,none,none,none,none,none,"12,068",none,17833,"16,250",none,"21,896",none,none,none
84,אשדוד,אברהם שפירא 3,3,61.0,,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
85,אשדוד,אברהם שפירא 33,3,63.0,,1970,none,none,none,"8,666",none,none,20172,17378,18772,18867,17986,none,none,none
86,אשדוד,אברהם שפירא 35,3,86.0,,1970,none,none,none,none,none,none,none,none,18469,none,none,none,none,none
87,אשדוד,אברהם שפירא 37,3,86.0,,2018,none,none,none,none,none,none,none,none,none,16871,none,none,none,none
88,אשדוד,אברהם שפירא 38,3,59.0,,1980,none,none,"12,300",none,none,none,none,none,"17,540",none,20026,none,none,none
89,אשדוד,אברהם שפירא 9,3,62.0,,2017,none,none,none,none,none,none,none,17741,none,none,none,none,none,none
90,אשדוד,"אברמסקי,הרב 105",3,75.0,3.0,1948,none,none,none,none,none,none,none,none,none,none,none,none,none,none
91,אשדוד,"אברמסקי,הרב 14",3,87.0,2.0,1980,none,none,none,none,none,none,none,none,none,none,none,none,none,none
92,אשדוד,"אברמסקי,הרב 18",3,87.0,2.0,1980,none,none,none,none,none,none,none,none,none,none,none,none,none,none
93,אשדוד,אגדיר 9,3,70.0,3.0,1980,none,none,none,none,none,none,none,none,none,none,none,none,none,none
94,אשדוד,אגוז 44,3,71.0,4.0,1990,none,none,none,none,none,none,none,none,none,none,none,none,none,none
95,אשדוד,אגוז 6,3,68.0,2.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
96,אשדוד,אגת שבו,3,90.0,1.0,2013,none,none,13344,none,none,none,none,none,none,none,none,none,none,none
97,אשדוד,אגת שבו 9,3,75.0,1.0,2012,none,none,none,none,none,none,none,none,none,none,none,none,none,none
98,אשדוד,אגת שבו 99,3,88.0,1.0,2012,none,none,none,17355,none,none,none,none,none,none,none,none,none,none
99,אשדוד,אדוננו ברוך 21,3,60.0,4.0,1980,none,none,none,none,none,none,none,none,none,none,none,none,none,none
100,אשדוד,"אדמו""ר מפיטסבורג 35",3,70.0,1.0,1977,6529,none,none,12205,"14,633",none,none,none,none,none,none,none,none,none
101,אשדוד,"אדמו""ר מפיטסבורג 36",3,102.0,1.0,1960,none,none,none,none,"14,285",none,none,none,none,none,none,none,none,none
102,אשדוד,"אדמו""ר מפיטסבורג 39",3,70.0,1.0,1970,none,"11,525",none,none,none,none,none,none,none,none,none,none,none,none
103,אשדוד,"אדמו""ר מפיטסבורג 41",3,80.0,5.0,1974,none,none,"10,921",none,none,none,none,none,none,none,none,none,none,none
104,אשדוד,"אדמו""ר מפיטסבורג 43",3,71.0,2.0,1973,none,"12,622",none,none,none,none,none,none,none,none,none,none,none,none
105,אשדוד,"אדמו""ר מפיטסבורג 45",3,61.0,1.0,1980,none,none,none,none,none,none,none,none,"14,950","15,513",none,none,none,none
106,אשדוד,"אדמו""ר מפיטסבורג 49",3,61.0,4.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
107,אשדוד,"אדמו""ר מפיטסבורג 5",3,59.0,3.0,1980,none,none,none,none,none,none,none,none,none,none,none,none,none,none
108,אשדוד,אדר 13,3,94.0,1.0,2001,none,none,none,none,none,none,none,none,none,none,none,none,none,none
109,אשדוד,אדר 2,3,137.0,11.0,2006,9022,none,"16,153",none,12178,"13,775",none,none,12850,none,15533,none,none,none
110,אשדוד,אדר 3,3,86.0,4.0,2008,none,none,none,none,none,none,none,none,none,none,none,none,none,none
111,אשדוד,אדר 5,3,105.0,,1999,none,none,none,none,none,none,none,none,none,18285,none,none,none,none
112,אשדוד,אדר 7,3,99.0,,2002,"12,388",none,none,none,11818,none,none,none,none,none,none,none,none,none
113,אשדוד,אדר 9,3,86.0,3.0,2000,12346,none,none,none,"11,818",none,12899,none,none,17395,none,none,none,none
114,אשדוד,אהוד מנור 3,3,93.0,1.0,2015,none,none,none,none,none,none,none,none,none,16215,none,none,none,none
115,אשדוד,אהרון נגרו 3,3,80.0,,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
116,אשדוד,אהרון נגרו 6,3,62.0,,1971,none,none,"12,711",none,none,none,none,none,"15,428",14129,"19,328",none,none,none
117,אשדוד,אודם 13,3,91.0,1.0,1997,none,none,none,none,none,none,none,none,none,none,none,none,none,none
118,אשדוד,אודם 2,3,68.0,4.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
119,אשדוד,אודם 24,3,59.0,,1998,none,"11,352",none,none,none,none,none,none,none,none,none,none,none,none
120,אשדוד,אוסישקין מנחם 21,3,78.0,1.0,2000,none,none,none,none,none,"16,307",none,none,none,"17,222",none,none,none,none
121,אשדוד,אוסישקין מנחם 24,3,97.0,3.0,2001,none,none,none,none,none,none,none,none,none,none,none,none,none,none
122,אשדוד,אורט 2,3,68.0,,1970,none,none,none,none,none,none,none,none,"16,666",none,"16,054",none,none,none
123,אשדוד,אוריה החיתי 11,3,70.0,2.0,1992,none,"13,714",none,none,none,none,none,none,none,none,none,none,none,none
124,אשדוד,אוריה החיתי 13,3,55.0,,1993,none,none,none,none,none,10804,none,none,none,"14,044",none,none,none,none
125,אשדוד,אוריה החיתי 153,3,67.0,3.0,1991,none,none,none,none,none,none,none,none,none,none,none,none,none,none
126,אשדוד,אוריה החיתי 18,3,80.0,2.0,1992,none,none,none,none,none,13000,none,none,none,none,none,none,none,none
127,אשדוד,אוריה החיתי 19,3,80.0,2.0,1994,none,none,none,none,none,none,none,none,none,none,none,none,none,none
128,אשדוד,אוריה החיתי 21,3,67.0,,1991,none,none,none,none,none,"13,000",none,none,none,none,none,none,none,none
129,אשדוד,אוריה החיתי 23,3,80.0,,1996,none,none,none,13750,none,none,none,none,15146,none,none,none,none,none
130,אשדוד,אוריה החיתי 25,3,87.0,3.0,1991,none,"12,071",none,"12,666",none,"13,793","20,428",none,15146,none,none,none,none,none
131,אשדוד,אוריה החיתי 27,3,70.0,1.0,1992,none,none,none,10140,none,none,none,none,none,none,none,none,none,none
132,אשדוד,אוריה החיתי 33,3,85.0,3.0,1991,none,none,none,none,none,12352,none,none,none,none,none,none,none,none
133,אשדוד,אוריה החיתי 7,3,80.0,2.0,1992,none,none,none,none,"13,571","15,928",none,none,none,none,none,none,none,none
134,אשדוד,אוריה החיתי 9,3,89.0,3.0,1992,none,none,none,none,none,none,none,none,"18,909",none,none,none,none,none
135,אשדוד,אח''י אילת 13,3,54.0,,1975,8471,none,none,none,none,none,none,none,"18,225","20,648",none,none,none,none
136,אשדוד,אח''י אילת 14,3,81.0,,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
137,אשדוד,אח''י אילת 2,3,75.0,,1980,none,none,none,none,none,none,none,none,none,none,none,none,none,none
138,אשדוד,אח''י אילת 23,3,54.0,,1970,"2,264",none,none,none,none,"15,925","12,857",none,none,none,none,none,none,none
139,אשדוד,אח''י אילת 3,3,60.0,,1960,none,none,none,none,none,none,none,"16,153","18,548",none,none,none,none,none
140,אשדוד,אח''י אילת 5,3,62.0,,1970,none,none,none,none,none,none,none,none,"14,391",none,none,none,none,none
141,אשדוד,"אח""י אילת",3,62.0,1.0,1964,2264,none,none,none,none,none,none,none,none,none,none,none,none,none
