,city,street,rooms,size,floor,date_builded,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,באר שבע,א.ל. זיסו 10,3,60.0,,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
1,באר שבע,אבא אחימאיר 216,3,85.0,,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
2,באר שבע,אביגד 4,3,62.0,2.0,1980,none,none,none,none,none,none,none,none,none,none,none,none,none,none
3,באר שבע,אביגדור המאירי 1,3,100.0,1.0,2000,none,none,5547,none,none,none,none,none,none,"5,217",none,none,none,none
4,באר שבע,אביגדור המאירי 11,3,64.0,2.0,1995,"7,187",none,none,none,none,none,none,none,"2,430",none,none,none,none,none
5,באר שבע,אביגדור המאירי 12,3,103.0,,2009,none,none,none,none,none,none,none,none,none,none,none,none,none,none
6,באר שבע,אביגדור המאירי 14,3,99.0,7.0,2000,none,none,none,none,none,none,none,none,none,none,none,none,none,none
7,באר שבע,אביגדור המאירי 15,3,88.0,5.0,1998,none,none,none,none,none,none,none,none,none,none,none,none,none,none
8,באר שבע,אביגדור המאירי 16,3,78.0,4.0,1999,none,none,"8,450",none,none,none,none,none,none,none,none,none,none,none
9,באר שבע,אביגדור המאירי 19,3,64.0,1.0,1994,none,none,none,none,none,none,none,none,none,none,none,none,none,none
10,באר שבע,אביגדור המאירי 2,3,61.0,7.0,1990,"7,213",none,7942,none,"8,214","8,045",none,none,none,"5,348",none,none,none,none
11,באר שבע,אביגדור המאירי 20,3,86.0,5.0,2005,none,none,none,none,none,none,none,none,none,none,none,none,none,none
12,באר שבע,אביגדור המאירי 25,3,79.0,,1900,none,none,none,none,none,none,none,none,none,none,none,none,none,none
13,באר שבע,אביגדור המאירי 26,3,101.0,5.0,1996,none,none,none,none,none,none,none,none,none,none,none,none,none,none
14,באר שבע,אביגדור המאירי 29,3,77.0,,1990,none,none,none,none,none,none,none,none,none,none,none,none,none,none
15,באר שבע,אביגדור המאירי 4,3,61.0,6.0,1990,6504,7591,none,none,"10,887",none,none,"9,285",none,none,"10,714",none,none,none
16,באר שבע,אביגדור המאירי 5,3,69.0,4.0,1990,none,none,"8,668",none,none,none,none,none,none,none,none,none,none,none
17,באר שבע,אביגדור המאירי 6,3,83.0,4.0,1990,none,7130,none,none,none,none,10093,none,none,none,9341,none,none,none
18,באר שבע,אביגדור המאירי 8,3,61.0,,2004,none,none,"8,032",6964,"7,202","7,916",none,none,"11,803",none,none,none,none,none
19,באר שבע,אביגיל 14,3,60.0,,1995,none,none,none,none,none,none,none,none,none,none,none,none,none,none
20,באר שבע,אבידוב צבי 5,3,60.0,1.0,1900,none,none,none,none,none,none,none,none,none,none,none,none,none,none
21,באר שבע,אבידום מנחם 12,3,60.0,1.0,1995,none,none,none,none,none,none,none,none,none,none,none,none,none,none
