,city,street,rooms,size,floor,date_builded,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,חיפה,70,3,168,,1999,none,none,none,none,none,none,none,none,none,none,none,none,none,none
1,חיפה,80,3,118,,1988,none,none,none,none,none,none,none,none,none,none,none,none,none,none
2,חיפה,*בילינסון* 12,3,73,1.0,2016,none,none,none,none,none,none,none,none,none,none,none,none,none,none
3,חיפה,*בית אלפא* 25,3,84,,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
4,חיפה,*בן צבי יצחק* 42,3,111,,1995,none,none,none,none,none,none,none,none,none,none,none,none,none,none
5,חיפה,*בן צבי יצחק* 54,3,71,3.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
6,חיפה,*בן צבי יצחק* 62,3,62,1.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
7,חיפה,*הפלוגות* 8,3,71,1.0,1950,none,none,none,none,none,none,none,none,none,none,none,none,none,none
8,חיפה,*הקבוצים* 29,3,55,2.0,1950,none,none,none,none,none,none,none,none,none,none,none,none,none,none
9,חיפה,*הקבוצים* 7,3,80,1.0,1987,none,none,none,none,none,none,none,none,none,none,none,none,none,none
10,חיפה,*התקומה* 43,3,72,1.0,1950,none,none,none,none,none,none,none,none,none,none,none,none,none,none
11,חיפה,*מושקא חיה* 2,3,59,2.0,2000,none,none,none,none,none,none,none,none,14284,none,none,none,none,none
12,חיפה,*פרומר דב* 19,3,61,7.0,2003,none,none,none,none,none,none,none,none,none,none,none,none,none,none
13,חיפה,*פרומר דב* 24,3,80,6.0,2001,none,none,none,none,none,none,none,none,none,none,none,none,none,none
14,חיפה,*פרומר דב* 4,3,77,1.0,1999,none,none,none,none,none,none,none,none,none,none,none,none,none,none
15,חיפה,*פרומר דב* 9,3,80,3.0,1999,none,none,none,none,none,none,none,none,none,none,none,none,none,none
16,חיפה,*שד דגניה* 19,3,42,1.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
17,חיפה,*שד דגניה* 7,3,46,4.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
18,חיפה,*שד דגניה* 77,3,42,3.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
19,חיפה,"*שד מח""ל* 11",3,67,3.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
20,חיפה,"*שד מח""ל* 15",3,49,4.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
21,חיפה,"*שד מח""ל* 3",3,57,1.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
22,חיפה,"*שד מח""ל* 39",3,48,2.0,1960,none,none,none,none,none,none,none,none,none,16741,none,none,none,none
23,חיפה,"*שד מח""ל* 5",3,51,3.0,1940,none,none,none,none,none,none,none,none,none,none,none,none,none,none
24,חיפה,*שדה בוקר* 9,3,70,4.0,1980,none,none,none,none,none,none,none,none,none,none,none,none,none,none
25,חיפה,א.ד. גורדון 23,3,85,,1950,none,none,none,none,none,none,none,none,none,none,none,none,none,none
26,חיפה,אבא הלל סילבר 113,3,71,,1980,none,none,none,none,none,none,none,10799,none,none,none,none,none,none
27,חיפה,אבא הלל סילבר 60,3,60,,1970,none,none,none,none,none,none,none,"15,789",none,none,11479,none,none,none
28,חיפה,אבדימי 3,3,74,3.0,1960,none,none,none,none,none,none,none,"15,116",none,none,none,none,none,none
29,חיפה,אבדימי 4,3,49,1.0,1960,none,none,none,none,none,none,none,none,"10,431",none,none,none,none,none
30,חיפה,אבדימי 5,3,95,,2017,none,none,none,none,none,none,none,none,none,none,20085,none,none,none
31,חיפה,אביגיל 11,3,76,2.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
32,חיפה,אביגיל 30,3,69,2.0,1960,"10,869",none,none,none,none,none,none,none,none,none,none,none,none,none
33,חיפה,אביר מרק 1,3,60,3.0,1950,none,none,none,none,none,none,none,none,none,none,none,none,none,none
34,חיפה,אבן אל מוקפע 12,3,54,3.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
35,חיפה,אבן אל מוקפע 15,3,55,4.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
36,חיפה,אבן אל מוקפע 45,3,67,3.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
37,חיפה,אבן גבירול 32,3,66,2.0,1950,none,none,none,none,none,none,none,none,none,none,none,none,none,none
38,חיפה,אבן סינא 16,3,65,,1955,none,none,none,none,none,none,none,none,none,none,none,none,none,none
39,חיפה,אבן סינא 18,3,70,1.0,1950,none,none,none,none,7814,none,none,none,none,none,none,none,none,none
40,חיפה,אבן סינא 21,3,60,1.0,1901,none,none,none,none,none,none,none,none,none,none,none,none,none,none
41,חיפה,אבן סינא 4,3,104,1.0,1940,none,none,none,none,none,none,none,none,none,none,none,none,none,none
42,חיפה,אבן עזרא 1,3,85,2.0,1950,none,none,none,none,none,none,none,none,none,none,none,none,none,none
43,חיפה,אבן עזרא 13,3,58,1.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
44,חיפה,אבן עזרא 14,3,58,2.0,1920,none,none,none,none,none,none,none,none,none,none,none,none,none,none
45,חיפה,אבן עזרא 6,3,58,2.0,1950,none,none,none,none,none,"7,189","9,568",none,none,none,none,none,none,none
46,חיפה,אבן רושד 1,3,100,1.0,1980,none,none,none,none,none,none,none,none,none,none,none,none,none,none
47,חיפה,אבן רושד 16,3,60,8.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
48,חיפה,אבן רושד 21,3,80,5.0,2009,none,none,none,none,none,none,none,none,none,none,none,none,none,none
49,חיפה,אבן רושד 3,3,72,3.0,1980,none,none,none,none,none,none,none,none,none,none,none,none,none,none
50,חיפה,אבנר 2,3,51,,1970,none,none,none,none,none,none,"12,413",none,none,none,none,none,none,none
51,חיפה,אבנר 3,3,51,3.0,1960,none,none,6963,none,none,none,none,none,"7,500",none,none,none,none,none
52,חיפה,אבנר 4,3,51,,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
53,חיפה,אבנר 9,3,51,,1980,none,none,none,none,none,none,none,none,none,none,none,none,none,none
54,חיפה,אברבנאל 41,3,50,,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
55,חיפה,אברבנאל 45,3,50,1.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
56,חיפה,אברבנאל 61,3,80,1.0,1950,none,none,none,none,none,none,none,none,none,none,none,none,none,none
57,חיפה,אברבנאל 83,3,65,1.0,1951,none,none,none,none,none,none,none,none,none,none,none,none,none,none
58,חיפה,אברבנאל 85,3,100,,1950,none,none,none,none,none,none,none,none,none,none,none,none,none,none
59,חיפה,אברהם סחנין 11,3,80,1.0,1980,none,none,none,none,none,none,none,none,none,none,none,none,none,none
60,חיפה,אברהם סכנין 9,3,80,,1988,none,none,none,none,none,none,none,none,none,none,none,none,none,none
61,חיפה,אבשלום 13,3,82,2.0,1950,none,none,none,none,none,none,"19,277",none,none,none,none,none,none,none
62,חיפה,אבשלום 6,3,60,7.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
63,חיפה,אגוז 28,3,74,2.0,1990,none,none,none,none,none,none,none,none,none,none,none,none,none,none
64,חיפה,אגמון 1,3,69,2.0,1965,none,none,none,none,none,none,none,none,none,none,none,none,none,none
65,חיפה,אדם הכהן 11,3,70,2.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
66,חיפה,אדם הכהן 2,3,70,2.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
67,חיפה,אדם הכהן 5,3,80,3.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
68,חיפה,אדם הכהן 6,3,80,1.0,2010,7687,"6,725",none,none,none,none,none,none,none,none,none,none,none,none
69,חיפה,אדמונד פלג 20,3,55,,1966,none,none,"11,388",none,"12,575",none,none,none,none,none,none,none,none,none
70,חיפה,אדמונד פלג 27,3,80,13.0,2005,none,14940,162,none,"16,857","20,625",none,none,none,none,none,none,none,none
71,חיפה,אדמונד פלג 38,3,66,,1950,none,none,none,none,none,none,none,none,none,none,none,none,none,none
72,חיפה,אדמונד פלג 4,3,74,3.0,1980,none,none,none,none,none,none,none,none,none,none,none,none,none,none
73,חיפה,אדמונד פלג 42,3,66,3.0,1950,none,none,none,none,none,none,none,none,none,none,none,none,none,none
74,חיפה,אדמונד פלג 43,3,80,11.0,2005,none,none,14375,none,none,none,none,none,none,none,none,none,none,none
75,חיפה,אדמונד פלג 48,3,63,2.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
76,חיפה,אהבת ישראל 10,3,88,5.0,2002,7159,none,none,none,10227,none,none,none,none,none,none,none,none,none
77,חיפה,אהבת ישראל 12,3,70,5.0,2004,8571,none,none,"9,333",none,none,none,none,none,none,none,none,none,none
78,חיפה,אהבת ישראל 14,3,75,5.0,2010,none,none,none,none,none,none,none,none,none,none,none,none,none,none
79,חיפה,אהבת ישראל 16,3,70,5.0,2010,none,none,none,none,none,none,none,none,none,none,none,none,none,none
80,חיפה,אהבת ישראל 2,3,100,7.0,2019,none,none,none,none,none,none,none,none,none,11630,none,none,none,none
81,חיפה,אהבת ישראל 4,3,75,2.0,2003,none,none,none,none,none,13908,none,none,none,none,none,none,none,none
82,חיפה,אהבת ציון 1,3,53,1.0,1980,none,none,none,none,none,none,none,none,none,none,none,none,none,none
83,חיפה,אהוד,3,77,,1950,none,none,none,none,none,none,none,none,none,none,none,none,none,none
84,חיפה,אהוד 12,3,57,,1980,none,none,none,none,none,none,none,none,none,none,none,none,none,none
85,חיפה,אהוד 16,3,84,1.0,1960,none,none,none,none,15238,none,none,none,none,none,none,none,none,none
86,חיפה,אהוד 17,3,74,,2018,none,none,none,none,none,none,none,none,none,none,none,none,none,none
87,חיפה,אהוד 20,3,55,2.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
88,חיפה,אהוד 22,3,74,1.0,1963,none,15675,none,none,none,none,none,none,none,none,none,none,none,none
89,חיפה,אהוד 3,3,75,,2016,none,none,none,none,none,none,none,none,none,none,none,none,none,none
90,חיפה,אהוד 30,3,88,1.0,1950,none,none,none,none,none,none,none,none,none,none,none,none,none,none
91,חיפה,אהוד 34,3,91,,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
92,חיפה,אהוד 36,3,91,,1970,none,none,none,"20,000",none,none,none,none,none,none,none,none,none,none
93,חיפה,אהוד 37,3,72,2.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
94,חיפה,אהוד 44,3,74,1.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
95,חיפה,אהרון (רוזנפלד) 21,3,100,1.0,1950,none,none,none,none,none,none,none,none,none,none,none,none,none,none
96,חיפה,אהרון צייטלין 12,3,111,,1995,none,none,none,none,none,none,none,none,none,none,none,none,none,none
97,חיפה,אהרון צייטלין 2,3,63,,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
98,חיפה,אהרון צייטלין 21,3,60,,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
99,חיפה,אהרון צייטלין 39,3,50,,1960,none,none,none,none,none,none,none,11600,none,none,none,none,none,none
100,חיפה,אהרונוביץ 11,3,118,3.0,2010,none,none,none,none,none,none,none,none,none,none,none,none,none,none
101,חיפה,אהרונוביץ 13,3,90,1.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
102,חיפה,אהרונוביץ 18,3,85,,2011,none,none,none,none,none,none,none,none,none,none,none,none,none,none
103,חיפה,אוליפנט 1,3,48,3.0,1999,none,"13,636",none,none,none,none,none,none,none,none,none,none,none,none
104,חיפה,אוליפנט 2,3,77,2.0,1956,none,none,none,none,none,none,none,none,none,none,none,none,none,none
105,חיפה,אוליפנט 3,3,68,1.0,2010,none,"12,500",none,"19,705",none,none,none,none,none,none,none,none,none,none
106,חיפה,אוליפנט 4,3,69,,1960,none,12962,none,none,none,none,none,none,none,none,none,none,none,none
107,חיפה,אוסקר שינדלר 143,3,104,,2013,none,none,none,none,none,none,none,"19,480",none,none,none,none,none,none
108,חיפה,אור החיים 4,3,75,3.0,1999,none,none,none,none,none,none,none,none,none,none,none,none,none,none
109,חיפה,אור החיים 6,3,74,6.0,2000,none,none,"9,121",none,"10,405",none,none,none,none,none,none,none,none,none
110,חיפה,אורי קיסרי 11,3,75,,1960,none,none,none,none,none,none,none,none,"15,158",none,none,none,none,none
111,חיפה,אורלנד 16,3,82,5.0,2006,none,none,none,none,none,none,none,none,none,none,none,none,none,none
112,חיפה,אורלנד יעקב 14,3,77,6.0,2007,none,none,none,none,none,none,none,none,none,none,none,none,none,none
113,חיפה,אורן 10,3,57,8.0,1970,none,none,none,none,none,"17,241",none,"18,666",none,"15,806","14,830",none,none,none
114,חיפה,אורן 11,3,70,,1950,none,none,none,none,none,none,none,none,none,"14,415",none,none,none,none
115,חיפה,אורן 13,3,88,,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
116,חיפה,אורן 14,3,52,2.0,1900,none,none,none,none,none,none,none,none,none,none,none,none,none,none
117,חיפה,אורן 15,3,77,3.0,1963,none,none,none,none,none,none,none,none,none,none,none,none,none,none
118,חיפה,אורן 16,3,56,,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
119,חיפה,אורן 17,3,77,3.0,1963,none,none,none,none,none,none,none,none,none,none,none,none,none,none
120,חיפה,אורן 19,3,72,1.0,1970,10416,none,"11,569",none,none,none,none,none,none,none,none,16363,none,none
121,חיפה,אורן 20,3,56,3.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
122,חיפה,אורן 23,3,80,,1980,10187,8915,10340,"16,939",none,none,none,none,none,14375,"16,222",none,none,none
123,חיפה,אורן 28,3,56,11.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
124,חיפה,אורן 29,3,59,2.0,1977,none,"12,280",11940,14247,12466,none,17234,18365,"17,410","15,806",none,none,none,none
125,חיפה,אורן 31,3,59,,1960,none,"12,033","10,428",none,none,none,"18,338",none,"16,871",16762,"14,830",none,none,none
126,חיפה,אורן 35,3,56,9.0,1960,"10,483",none,none,none,"13,714",20535,15521,17856,none,none,"15,344",none,none,none
127,חיפה,אורן 5,3,77,4.0,1900,none,none,none,11298,none,none,none,none,none,none,none,none,none,none
128,חיפה,אורן 7,3,77,,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
129,חיפה,אושה 3,3,46,1.0,1950,none,none,none,none,none,none,none,none,none,none,none,none,none,none
130,חיפה,אזבסטונים 31,3,72,1.0,1950,none,none,none,none,none,none,none,none,none,none,none,none,none,none
131,חיפה,אזולאי יעקב 11,3,81,1.0,1980,none,none,none,none,none,none,none,none,none,none,none,none,none,none
132,חיפה,אזולאי יעקב 17,3,80,2.0,1998,none,none,none,none,none,none,none,none,none,none,none,none,none,none
133,חיפה,אזולאי יעקב 7,3,81,3.0,1980,none,none,none,none,none,none,none,none,none,none,none,none,none,none
134,חיפה,אזולאי יעקב השופט 11,3,73,2.0,1997,none,none,none,none,none,none,none,none,none,none,none,none,none,none
135,חיפה,אזמכשרי 12,3,59,,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
136,חיפה,"אח""י אילת 3",3,53,3.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
137,חיפה,אחד העם 1,3,76,2.0,1970,none,none,none,none,none,none,"11,428",none,none,none,none,none,none,none
138,חיפה,אחד העם 10,3,54,2.0,1940,none,6111,none,none,4132,none,none,none,none,none,none,none,none,none
139,חיפה,אחד העם 11,3,52,1.0,1950,none,none,none,none,none,none,none,none,none,none,none,none,none,none
140,חיפה,אחד העם 12,3,69,3.0,1950,none,none,none,none,none,none,none,none,none,"7,064",none,none,none,none
141,חיפה,אחד העם 15,3,48,3.0,1950,none,none,none,none,none,none,none,none,none,none,none,none,none,none
142,חיפה,אחד העם 4,3,58,1.0,1939,none,none,7758,none,none,none,none,none,none,none,none,none,none,none
143,חיפה,אחד העם 5,3,50,,1955,none,none,none,none,none,none,none,none,none,none,none,none,none,none
144,חיפה,אחד העם 7,3,78,4.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
145,חיפה,אחוה,3,54,4.0,1980,none,none,none,none,none,none,none,none,none,none,none,none,none,none
146,חיפה,אחוה 1,3,54,4.0,1980,none,none,none,8185,none,none,none,none,none,none,none,none,none,none
147,חיפה,אחוה 11,3,60,2.0,1960,"7,962",7166,"5,059",none,none,none,none,none,none,none,none,none,none,none
148,חיפה,אחוה 13,3,65,,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
149,חיפה,אחוה 15,3,54,,1960,7407,none,none,none,none,none,none,none,none,none,none,none,none,none
150,חיפה,אחוה 17,3,54,2.0,1958,none,none,none,none,"13,529",none,none,none,none,"13,148",none,none,none,none
151,חיפה,אחוה 18,3,84,8.0,1991,none,none,none,none,"6,981","9,000",none,none,none,none,none,none,none,none
152,חיפה,אחוה 21,3,54,,1960,none,none,"6,203",9259,none,none,14027,none,none,none,none,none,none,none
153,חיפה,אחוה 23,3,55,1.0,1960,none,none,none,none,none,11111,none,none,12728,none,none,none,none,none
154,חיפה,אחוה 24,3,55,,1980,none,none,none,none,"9,732",none,none,none,none,none,none,none,none,none
155,חיפה,אחוה 26,3,52,1.0,1962,none,none,none,none,none,none,none,none,none,none,none,none,none,none
