,city,street,rooms,size,floor,date_builded,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,חולון,אביבים 1,3,104,1.0,2013,none,none,none,none,none,none,none,none,none,none,none,none,none,none
1,חולון,אביבים 6,3,90,2.0,1978,none,none,none,none,none,14537,none,none,none,none,none,none,none,none
2,חולון,אבן גבירול 10,3,59,3.0,1979,none,none,none,none,none,none,none,none,none,none,none,none,none,none
3,חולון,אבן גבירול 22,3,60,1.0,1975,none,none,none,none,none,none,none,none,none,none,none,none,none,none
4,חולון,אבן גבירול 4,3,52,2.0,1988,none,none,none,none,none,none,none,none,none,none,none,none,none,none
5,חולון,אבן גבירול 8,3,50,1.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
6,חולון,אבן עזרא 6,3,70,1.0,1984,none,none,none,none,none,none,none,none,none,none,none,none,none,none
7,חולון,אבן עזרא 7,3,66,3.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
8,חולון,אברבנאל 10,3,53,2.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
9,חולון,אברבנאל 15,3,59,3.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
10,חולון,אברבנאל 17,3,51,4.0,1975,none,15583,none,none,none,none,none,none,none,none,none,none,none,none
11,חולון,אברבנאל 4,3,76,1.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
12,חולון,אברבנאל 5,3,55,2.0,1973,none,none,none,none,none,none,none,none,none,none,none,none,none,none
13,חולון,אברבנאל 6,3,69,1.0,1979,none,none,none,none,none,none,none,none,none,none,none,none,none,none
14,חולון,אברבנל 10,3,53,2.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
15,חולון,אבשלום 1,3,65,1.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
16,חולון,אגוז 12,3,70,7.0,1998,none,none,none,none,none,none,none,"18,144",none,none,"24,469",none,none,none
17,חולון,אהרונוביץ 1,3,75,3.0,2018,none,none,none,none,none,none,none,none,none,none,none,none,none,none
