,city,street,rooms,size,floor,date_builded,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,נתניה,א.ד. גורדון 21,3,77.0,,1989,none,none,none,none,none,none,none,none,none,none,none,none,none,none
1,נתניה,א.ד. גורדון 5,3,107.0,,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
2,נתניה,אבא הלל 1,3,59.0,1.0,1950,none,none,none,none,none,none,none,none,none,none,none,none,none,none
3,נתניה,אבא הלל 14,3,73.0,4.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
4,נתניה,אבא הלל 2,3,75.0,3.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
5,נתניה,אבו שדיד 18,3,70.0,1.0,1975,none,none,none,none,none,none,none,none,none,none,none,none,none,none
6,נתניה,אבו שדיד 3,3,71.0,5.0,1978,none,none,"13,380",none,none,"18,357",none,none,none,none,none,none,none,none
7,נתניה,אבו שדיד 35,3,68.0,4.0,1976,none,none,none,none,none,none,none,none,none,none,none,none,none,none
8,נתניה,אבו שדיד 5,3,68.0,2.0,1980,none,13235,none,none,none,none,none,none,none,none,none,none,none,none
9,נתניה,אבן עזרא,3,75.0,4.0,2002,none,none,none,none,none,none,none,none,none,none,none,none,none,none
10,נתניה,אבן עזרא 30,3,75.0,8.0,1999,none,"12,000",none,none,none,none,none,none,none,none,none,none,none,none
11,נתניה,אבן עזרא 31,3,75.0,5.0,2001,none,none,none,none,13399,none,none,none,none,none,none,none,none,none
12,נתניה,אברבנאל 1,3,70.0,1.0,1979,none,none,"8,250",none,12857,9333,none,none,none,none,none,none,none,none
13,נתניה,אברהם 10,3,73.0,3.0,1978,none,none,none,none,none,16438,none,none,none,none,none,none,none,none
14,נתניה,אברהם 23,3,62.0,1.0,1985,none,none,none,none,none,none,none,none,none,none,none,none,none,none
15,נתניה,אברהם קריניצי 17,3,62.0,,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
16,נתניה,אגמים,3,131.0,4.0,2017,none,none,none,none,none,14389,none,none,none,none,none,none,none,none
17,נתניה,אהוד מנור 10,3,127.0,16.0,2009,none,none,none,none,none,none,none,"20,000",none,none,none,none,none,none
18,נתניה,אהוד מנור 12,3,100.0,1.0,2009,none,none,none,none,none,none,none,none,none,none,none,none,none,none
19,נתניה,אהרונוביץ 23,3,145.0,1.0,1950,none,none,none,none,none,none,none,none,none,none,none,none,none,none
20,נתניה,אהרונוביץ 6,3,146.0,2.0,1950,none,none,none,none,none,none,none,none,none,none,none,none,none,none
21,נתניה,אהרונסון 4,3,46.0,2.0,1980,none,none,none,none,none,none,none,none,none,none,none,none,none,none
22,נתניה,אוסישקין 1,3,86.0,1.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
23,נתניה,אוסישקין 11,3,57.0,3.0,1950,none,none,15670,none,none,none,none,none,none,none,none,none,none,none
24,נתניה,אוסישקין 13,3,70.0,5.0,1966,none,none,none,none,none,none,none,none,none,none,none,none,none,none
25,נתניה,אוסישקין 16,3,64.0,,1960,none,none,none,none,none,none,none,none,"22,222","23,125",none,none,none,none
26,נתניה,אוסישקין 17,3,100.0,1.0,1980,none,none,none,none,none,none,none,none,none,none,none,none,none,none
27,נתניה,אוסישקין 19,3,72.0,1.0,1980,none,none,none,17222,none,none,none,none,none,none,none,none,none,none
28,נתניה,אוסישקין 22,3,76.0,3.0,1987,none,none,none,none,none,none,none,none,none,none,none,none,none,none
29,נתניה,אוסישקין 23,3,80.0,3.0,1980,none,none,none,none,none,none,none,none,none,none,none,none,none,none
30,נתניה,אוסישקין 26,3,87.0,3.0,1964,none,none,none,none,none,none,none,none,none,none,none,none,none,none
31,נתניה,אוסישקין 27,3,75.0,,1996,none,none,none,none,none,none,none,none,none,none,none,none,none,none
32,נתניה,אוסישקין 29,3,82.0,2.0,1992,none,11610,none,none,"15,714",none,none,none,none,none,none,none,none,none
33,נתניה,אוסישקין 32,3,77.0,2.0,1970,none,none,none,none,"14,802",none,none,none,none,none,none,none,none,none
34,נתניה,אוסישקין 38,3,71.0,4.0,1980,none,none,"13,375",none,none,none,none,none,"15,116",none,none,none,none,none
35,נתניה,אוסישקין 39,3,85.0,1.0,1960,none,11539,none,none,none,none,none,none,none,none,none,none,none,none
36,נתניה,אוסישקין 4,3,85.0,1.0,1959,none,none,none,none,none,none,none,none,none,none,none,none,none,none
37,נתניה,אוסישקין 40,3,91.0,1.0,1960,none,none,"15,970",none,"20,149",none,none,"19,741",none,none,none,none,none,none
38,נתניה,אוסישקין 41,3,102.0,3.0,1964,none,none,none,none,11562,none,"23,000",none,none,"18,933",none,none,none,none
39,נתניה,אוסישקין 8,3,59.0,3.0,1960,none,19491,none,none,none,none,none,none,none,none,none,none,none,none
40,נתניה,אחד העם 2,3,90.0,2.0,1960,"11,140",none,none,none,none,none,none,none,none,none,none,none,none,none
41,נתניה,אחימאיר,3,66.0,2.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
42,נתניה,אחימאיר 4,3,75.0,1.0,1980,none,none,none,none,none,none,none,none,none,none,none,none,none,none
43,נתניה,אחימאיר 6,3,80.0,4.0,2000,none,none,none,none,none,none,none,none,none,none,none,none,none,none
44,נתניה,אחימאיר אבא 4,3,75.0,1.0,1980,none,none,none,none,none,none,none,none,none,none,none,none,none,none
45,נתניה,אייר,3,135.0,6.0,2014,none,none,none,none,none,"15,049",none,none,none,none,none,none,none,none
46,נתניה,איכילוב 1,3,68.0,2.0,1980,"10,344",10785,none,none,none,none,none,none,none,none,none,none,none,none
47,נתניה,איכילוב 3,3,53.0,3.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
48,נתניה,איכילוב 7,3,64.0,3.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
49,נתניה,איפגן 1,3,62.0,3.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
50,נתניה,איפרגן 11,3,85.0,1.0,2007,none,none,none,none,none,none,none,none,none,none,none,none,none,none
51,נתניה,איפרגן 4,3,97.0,3.0,2005,none,none,none,none,none,none,none,none,none,none,none,none,none,none
52,נתניה,אירוס הארגמן 14,3,66.0,,1990,none,none,none,none,none,none,none,none,none,none,none,none,none,none
53,נתניה,אירוס הארגמן 16,3,58.0,1.0,1980,none,none,none,none,none,none,none,none,none,none,none,none,none,none
54,נתניה,אירוס הארגמן 27,3,95.0,3.0,1990,none,none,none,none,none,none,none,none,none,none,none,none,none,none
55,נתניה,אירוס הארגמן 29,3,75.0,3.0,2014,none,none,none,none,none,none,none,none,none,none,none,none,none,none
56,נתניה,אירוס הארגמן 6,3,80.0,1.0,2000,none,none,none,none,none,none,none,none,none,none,none,none,none,none
