,city,street,rooms,size,floor,date_builded,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,גבעת השלושה,483,3,75.0,,1950,none,none,none,none,none,none,none,none,none,none,none,none,none,none
1,גבעת השלושה,גבעת השלשה,3,118.0,,1930,none,none,none,none,none,none,none,none,1867,none,none,none,none,none
2,גבעת השלושה,גבעת השלשה 1,3,91.0,,1930,none,none,none,none,"2,666",2819,2666,none,2568,"3,100","2,000",none,none,none
3,גבעת השלושה,גבעת השלשה 2,3,60.0,,1934,none,none,none,none,none,none,none,none,none,none,none,none,none,none
4,גבעת השלושה,גבעת השלשה 4,3,60.0,,1934,none,none,none,none,none,none,none,none,none,none,none,none,none,none
5,גבעת השלושה,גבעת השלשה 7,3,60.0,,1934,none,none,none,none,none,none,none,none,none,none,none,none,none,none
6,גבעת השלושה,גבעת השלשה 8,3,30.0,,1934,none,none,none,none,none,none,none,none,none,none,none,none,none,none
7,פתח תקווה,א.ד.ג.,3,70.0,3.0,1975,none,none,none,none,none,none,none,none,none,none,none,none,none,none
8,פתח תקווה,א.ד.ג. 4,3,61.0,4.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
9,פתח תקווה,א.ד.גורדון 1,3,80.0,2.0,1995,none,none,none,none,none,none,none,none,none,none,none,none,none,none
10,פתח תקווה,אבא ברדיצב 1,3,75.0,4.0,2013,none,none,none,18551,none,none,none,none,none,none,none,none,none,none
11,פתח תקווה,אבא ברדיצב 7,3,73.0,,2011,none,none,none,none,none,none,none,none,none,none,none,none,none,none
12,פתח תקווה,אבו רביע 12,3,57.0,3.0,1950,none,none,none,none,none,none,none,none,none,none,none,none,none,none
13,פתח תקווה,אבו רביע 3,3,61.0,2.0,1969,none,none,none,none,none,none,none,none,none,none,none,none,none,none
14,פתח תקווה,אבו רביע 5,3,84.0,5.0,2002,none,none,none,none,none,none,none,none,none,none,none,none,none,none
15,פתח תקווה,אבימלך 13,3,71.0,1.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
16,פתח תקווה,אבינועם ילין 6,3,76.0,,2008,none,none,none,none,none,none,none,none,none,none,none,none,none,none
17,פתח תקווה,אבן ספיר 54,3,58.0,2.0,1982,none,none,none,none,none,none,none,none,none,none,none,none,none,none
18,פתח תקווה,אבן ספיר 55,3,77.0,2.0,1990,none,none,none,none,none,none,none,none,none,none,none,none,none,none
19,פתח תקווה,אבן ספיר 6,3,62.0,1.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
20,פתח תקווה,אברבנאל 13,3,61.0,2.0,2001,none,none,none,none,none,none,none,none,none,none,none,none,none,none
21,פתח תקווה,אברבנאל 18,3,75.0,3.0,1975,none,none,none,none,none,none,none,none,none,none,none,none,none,none
22,פתח תקווה,אברבנאל 2,3,54.0,4.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
23,פתח תקווה,אברבנאל 24,3,57.0,1.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
24,פתח תקווה,אברהם מזרחי 22,3,65.0,4.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
25,פתח תקווה,אגרון גרשון 14,3,63.0,4.0,1974,none,none,none,none,none,none,none,none,none,none,none,none,none,none
26,פתח תקווה,אגרון גרשון 16,3,63.0,3.0,1974,none,none,none,none,"12,507",none,none,none,none,none,none,none,none,none
27,פתח תקווה,אגרון גרשון 18,3,66.0,2.0,1970,none,none,none,none,"13,461","14,761",none,none,none,none,none,none,none,none
28,פתח תקווה,אגרון גרשון 4,3,65.0,2.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
29,פתח תקווה,אגרון גרשון 8,3,66.0,1.0,1980,none,none,none,none,none,"15,142",none,none,none,none,none,none,none,none
30,פתח תקווה,אהבת ציון 1,3,75.0,,2017,none,none,none,none,none,none,none,20014,none,none,none,none,none,none
31,פתח תקווה,אהבת ציון 3,3,39.0,2.0,1950,none,14828,none,none,none,none,none,none,none,none,none,none,none,none
32,פתח תקווה,אהרון כצנלסון 12,3,70.0,3.0,1990,none,none,none,none,none,none,none,none,none,none,none,none,none,none
33,פתח תקווה,אהרונוביץ 54,3,83.0,3.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
34,פתח תקווה,אהרונוביץ יוסף 12,3,65.0,2.0,1993,none,none,none,none,none,none,none,none,none,none,none,none,none,none
35,פתח תקווה,אהרונוביץ יוסף 17,3,60.0,2.0,1976,none,none,none,"11,044",none,none,none,none,none,none,none,none,none,none
36,פתח תקווה,אהרונוביץ יוסף 23,3,94.0,1.0,2000,none,none,none,none,none,none,none,none,none,none,none,none,none,none
37,פתח תקווה,אהרונסון 15,3,81.0,4.0,1965,none,none,none,none,none,12962,none,none,none,none,none,none,none,none
38,פתח תקווה,אהרונסון שרה 17,3,76.0,3.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
39,פתח תקווה,אהרונסון שרה 8,3,60.0,1.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
40,פתח תקווה,אונו קרית 1,3,77.0,2.0,2014,none,none,13764,none,20938,none,none,none,none,none,none,none,none,none
41,פתח תקווה,אונטרמן 12,3,68.0,7.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
42,פתח תקווה,אונטרמן 24,3,74.0,1.0,2019,none,none,none,none,none,none,none,none,none,none,none,none,none,none
43,פתח תקווה,אונקלוס 1,3,80.0,1.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
44,פתח תקווה,אונקלוס 11,3,75.0,2.0,2000,none,none,none,none,none,none,none,none,none,none,none,none,none,none
45,פתח תקווה,אוסישקין 13,3,62.0,2.0,1979,none,none,none,none,none,none,none,none,none,none,none,none,none,none
46,פתח תקווה,אוסישקין 24,3,62.0,3.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
47,פתח תקווה,אוסישקין 6,3,68.0,2.0,1980,none,none,none,none,none,none,none,none,none,none,none,none,none,none
48,פתח תקווה,אוסישקין 7,3,57.0,3.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
49,פתח תקווה,אוסישקין מנחם 13,3,62.0,2.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
50,פתח תקווה,אוסישקין מנחם 18,3,99.0,5.0,1982,none,none,none,none,none,none,none,none,none,none,none,none,none,none
51,פתח תקווה,אוסישקין מנחם 2,3,79.0,4.0,1972,none,none,none,none,none,none,none,none,none,none,none,none,none,none
52,פתח תקווה,אוסישקין מנחם 22,3,65.0,2.0,2005,none,none,none,none,none,none,none,none,none,none,none,none,none,none
53,פתח תקווה,אוסישקין מנחם 23,3,71.0,2.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
54,פתח תקווה,אוסישקין מנחם 24,3,75.0,3.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
55,פתח תקווה,אוסישקין מנחם 5,3,109.0,1.0,1966,none,none,none,none,none,none,none,none,none,none,none,none,none,none
56,פתח תקווה,אוסישקין מנחם 6,3,60.0,2.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
57,פתח תקווה,אוסישקין מנחם 7,3,57.0,3.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
58,פתח תקווה,אורלוב 10,3,74.0,3.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
59,פתח תקווה,אורלוב 35,3,60.0,4.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
60,פתח תקווה,אורלוב 44,3,55.0,1.0,1977,none,none,none,none,none,none,none,none,none,none,none,none,none,none
61,פתח תקווה,אורלוב 47,3,56.0,2.0,1999,none,none,none,none,none,none,none,none,none,none,none,none,none,none
62,פתח תקווה,אורלוב 6,3,73.0,1.0,2014,none,none,none,none,none,none,none,none,none,none,none,none,none,none
63,פתח תקווה,אורלוב 86,3,50.0,1.0,1970,none,none,none,none,none,"13,043",none,none,none,none,none,none,none,none
64,פתח תקווה,אורלוב 88,3,70.0,2.0,2000,none,none,none,none,none,none,none,none,none,none,none,none,none,none
65,פתח תקווה,אורלוב זאב,3,65.0,2.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
66,פתח תקווה,אורלוב זאב 10,3,69.0,2.0,1964,none,none,none,none,none,none,none,none,none,none,none,none,none,none
67,פתח תקווה,אורלוב זאב 102,3,60.0,1.0,2000,none,none,none,none,none,none,none,none,none,none,none,none,none,none
68,פתח תקווה,אורלוב זאב 13,3,69.0,3.0,1985,none,none,none,none,none,none,none,none,none,none,none,none,none,none
69,פתח תקווה,אורלוב זאב 16,3,68.0,3.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
70,פתח תקווה,אורלוב זאב 3,3,67.0,1.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
71,פתח תקווה,אורלוב זאב 35,3,65.0,1.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
72,פתח תקווה,אורלוב זאב 41,3,49.0,2.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
73,פתח תקווה,אורלוב זאב 48,3,54.0,2.0,1960,none,"9,578",none,none,none,none,none,none,none,none,none,none,none,none
74,פתח תקווה,אורלוב זאב 6,3,82.0,1.0,2015,none,none,none,none,none,17642,none,none,none,none,none,none,none,none
75,פתח תקווה,אורלוב זאב 72,3,64.0,3.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
76,פתח תקווה,אורלוב זאב 80,3,68.0,3.0,1965,none,none,none,none,none,none,none,none,none,none,none,none,none,none
77,פתח תקווה,אורלוב זאב 82,3,55.0,3.0,1960,none,none,14450,none,"12,903",none,none,none,none,none,none,none,none,none
78,פתח תקווה,אורלוב זאב 86,3,50.0,1.0,1970,none,"12,800",none,none,none,none,none,none,none,"15,632",none,none,none,none
79,פתח תקווה,אורלוב זאב 88,3,58.0,4.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
80,פתח תקווה,אורלוב זאב 90,3,55.0,2.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
81,פתח תקווה,אורלנסקי 13,3,80.0,2.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
82,פתח תקווה,אורלנסקי 14,3,60.0,2.0,1980,none,none,none,none,none,none,none,none,none,none,none,none,none,none
83,פתח תקווה,אורלנסקי 2,3,64.0,2.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
84,פתח תקווה,אורלנסקי 22,3,57.0,1.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
85,פתח תקווה,אורלנסקי 25,3,58.0,3.0,1972,none,"14,649",none,16551,none,none,none,none,none,none,none,none,none,none
86,פתח תקווה,אורלנסקי 30,3,58.0,2.0,1970,14913,none,none,none,none,none,"20,338",none,none,none,none,none,none,none
87,פתח תקווה,אורלנסקי 38,3,66.0,1.0,1970,none,none,none,"16,716",none,none,none,none,none,none,none,none,none,none
88,פתח תקווה,אורלנסקי 6,3,62.0,2.0,1970,none,none,16129,none,none,none,none,none,none,none,none,none,none,none
89,פתח תקווה,אחד העם,3,50.0,1.0,1949,none,none,none,"14,142",none,none,none,none,none,none,none,none,none,none
90,פתח תקווה,אחד העם 100,3,62.0,3.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
91,פתח תקווה,אחד העם 11,3,69.0,3.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
92,פתח תקווה,אחד העם 2,3,67.0,2.0,1970,none,none,none,none,none,none,17535,none,none,none,none,none,none,none
93,פתח תקווה,אחד העם 20,3,75.0,2.0,1960,"14,629",none,none,none,none,none,none,none,none,none,none,none,none,none
94,פתח תקווה,אחד העם 27,3,70.0,2.0,1958,none,none,none,none,none,none,none,none,none,none,none,none,none,none
95,פתח תקווה,אחד העם 30,3,65.0,4.0,1968,14615,none,none,none,none,none,"21,000",none,none,none,none,none,none,none
96,פתח תקווה,אחד העם 55,3,67.0,2.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
97,פתח תקווה,אחד העם 61,3,78.0,3.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
98,פתח תקווה,אחד העם 92,3,75.0,2.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
99,פתח תקווה,אחד העם 95,3,50.0,1.0,1950,none,none,none,none,none,none,none,none,none,none,none,none,none,none
100,פתח תקווה,אחד העם 96,3,84.0,,2021,none,none,none,none,none,none,none,none,none,none,none,none,none,none
101,פתח תקווה,אחוה יעקב 38,3,43.0,2.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
