,city,street,rooms,size,floor,date_builded,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,ראשון לציון,4313 109,3,75.0,,2018,none,none,none,none,none,none,none,11640,"12,243",none,none,none,none,none
1,ראשון לציון,אב,3,75.0,,2017,none,none,none,none,none,none,11824,12694,12194,17895,none,none,none,none
2,ראשון לציון,אב 1,3,77.0,5.0,2017,none,none,none,none,none,none,none,11831,none,"13,471",none,none,none,none
3,ראשון לציון,אב 4,3,112.0,3.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
4,ראשון לציון,אב 41,3,83.0,7.0,1985,none,none,none,none,none,none,none,none,none,none,none,none,none,none
5,ראשון לציון,אב 6,3,80.0,1.0,2019,none,none,none,none,none,none,none,none,none,none,none,none,none,none
6,ראשון לציון,אב 62,3,75.0,4.0,2022,none,none,none,none,none,none,none,none,none,none,none,none,none,none
7,ראשון לציון,אב 71,3,75.0,17.0,2019,none,none,none,none,none,none,none,none,none,none,none,none,none,none
8,ראשון לציון,אב 81,3,75.0,8.0,2022,none,none,none,none,none,none,none,none,none,none,none,none,none,none
9,ראשון לציון,אב 99,3,70.0,1.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
10,ראשון לציון,אבא קובנר,3,80.0,1.0,2016,none,none,none,none,none,none,none,none,11249,none,13374,none,none,none
11,ראשון לציון,אבא קובנר 31,3,62.0,1.0,1990,none,none,none,none,none,none,none,none,none,none,none,none,none,none
12,ראשון לציון,אבא קובנר 6,3,80.0,1.0,2014,none,none,none,none,none,none,none,none,none,none,none,none,none,none
13,ראשון לציון,אבא קובנר 99,3,77.0,15.0,2020,none,none,none,none,none,none,none,none,none,none,none,none,none,none
14,ראשון לציון,אבוחצירה,3,75.0,,2018,none,none,none,none,none,none,none,none,none,none,none,none,none,none
15,ראשון לציון,אבוחצירה 3,3,77.0,1.0,2022,none,none,none,none,none,none,none,none,none,none,none,none,none,none
16,ראשון לציון,אבוחצירה 41,3,75.0,7.0,2022,none,none,none,none,none,none,none,none,none,none,none,none,none,none
17,ראשון לציון,אבוחצירה 82,3,75.0,7.0,2022,none,none,none,none,none,none,none,none,none,none,none,none,none,none
18,ראשון לציון,אבידן שמעון,3,85.0,23.0,2020,none,none,none,none,none,none,none,none,none,none,"13,279",none,none,none
19,ראשון לציון,אבידן שמעון 204,3,75.0,1.0,2019,none,none,none,none,none,none,none,none,none,none,none,none,none,none
20,ראשון לציון,אביעזר ילין,3,75.0,1.0,2018,none,none,none,none,none,"15,263",none,none,none,"11,821",12782,none,none,none
21,ראשון לציון,אביעזר ילין 2,3,65.0,3.0,1979,none,none,none,none,none,none,none,none,none,none,none,none,none,none
22,ראשון לציון,אביעזר ילין 3,3,75.0,2.0,1999,none,none,none,"14,400",none,none,none,none,none,none,none,none,none,none
23,ראשון לציון,אביעזר ילין 7,3,67.0,2.0,1979,none,none,none,none,none,none,none,none,none,none,none,none,none,none
24,ראשון לציון,אביעזר ילין 91,3,75.0,5.0,2022,none,none,none,none,none,none,none,none,none,none,none,none,none,none
25,ראשון לציון,אבן גבירול 1,3,66.0,2.0,1997,none,20757,none,none,none,none,none,none,none,none,none,none,none,none
26,ראשון לציון,אבן גבירול 14,3,90.0,2.0,1994,none,"17,424",none,none,none,"22,651",none,none,none,none,none,none,none,none
27,ראשון לציון,אבן גבירול 43,3,85.0,6.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
28,ראשון לציון,אבן גבירול 6,3,80.0,1.0,1994,none,none,19109,none,none,"24,242",none,none,none,none,none,none,none,none
29,ראשון לציון,אבן גבירול 7,3,63.0,,1980,none,none,none,none,none,none,none,none,none,none,none,none,none,none
30,ראשון לציון,אבן חן,3,77.0,13.0,2020,none,none,none,none,none,none,none,none,none,none,none,none,none,none
31,ראשון לציון,אבן חן 2,3,96.0,2.0,2009,none,none,none,16436,15229,"19,204",none,none,none,none,none,none,none,none
32,ראשון לציון,אבן חן 4,3,86.0,4.0,2008,"13,750",none,none,none,none,none,none,none,none,none,none,none,none,none
33,ראשון לציון,אבן שושן,3,77.0,14.0,2019,none,none,none,none,none,none,none,none,none,none,none,none,none,none
34,ראשון לציון,אבנר,3,85.0,23.0,2020,none,none,none,none,none,none,none,none,none,none,"13,683",none,none,none
35,ראשון לציון,אבנר 10,3,74.0,2.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
36,ראשון לציון,אבנר 91,3,75.0,9.0,2022,none,none,none,none,none,none,none,none,none,none,none,none,none,none
37,ראשון לציון,אברבנאל,3,80.0,6.0,2014,none,none,none,none,15499,none,none,none,none,"26,337",none,none,none,none
38,ראשון לציון,אברבנאל 10,3,90.0,4.0,1980,none,none,none,none,none,none,none,none,none,none,none,none,none,none
39,ראשון לציון,אברבנאל 11,3,73.0,3.0,2000,none,none,"17,704",none,none,none,none,none,none,none,none,none,none,none
40,ראשון לציון,אברבנאל 14,3,75.0,3.0,1999,none,13333,"13,966",none,none,none,none,none,none,none,none,none,none,none
41,ראשון לציון,אברבנאל 19,3,71.0,1.0,1981,13802,none,none,none,none,"16,619",none,none,none,none,none,none,none,none
42,ראשון לציון,אברבנאל 2,3,78.0,1.0,2022,none,none,none,none,none,none,none,none,none,none,none,none,none,none
43,ראשון לציון,אברבנאל 23,3,63.0,4.0,1995,none,none,none,none,none,none,"15,163",none,none,none,none,none,none,none
44,ראשון לציון,אברבנאל 3,3,75.0,5.0,2014,none,none,none,none,15499,none,none,none,none,none,none,none,none,none
45,ראשון לציון,אברבנאל 33,3,69.0,4.0,1994,none,none,none,none,none,none,none,none,none,none,none,none,none,none
46,ראשון לציון,אברבנאל 37,3,70.0,1.0,1979,"11,772","12,435",15285,8932,16025,"13,529","14,880",18333,none,"19,220","18,618",none,none,none
47,ראשון לציון,אברבנאל 41,3,95.0,1.0,1978,"10,000","12,241",none,none,none,none,none,none,none,none,none,none,none,none
48,ראשון לציון,אברבנאל 5,3,70.0,3.0,1990,none,13357,none,"14,539",14523,"15,764",none,none,none,"20,333",none,none,none,none
49,ראשון לציון,אברבנאל 7,3,75.0,,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
50,ראשון לציון,אברבנאל 9,3,68.0,,1997,none,none,none,none,none,none,none,none,none,none,none,none,none,none
51,ראשון לציון,אברמוביץ' 4,3,75.0,,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
52,ראשון לציון,אברמוביץ 3,3,76.0,3.0,1970,"12,631",none,"13,881",13947,none,none,none,none,none,"19,736",none,none,none,none
53,ראשון לציון,אברמוביץ 4,3,72.0,3.0,1970,none,none,none,"15,882",16250,"15,750",none,none,none,none,none,none,none,none
54,ראשון לציון,אברמוביץ 5,3,74.0,7.0,2000,none,none,"13,698",none,"15,789",none,"17,045","20,878",none,none,none,none,none,none
55,ראשון לציון,אברמוביץ 6,3,70.0,1.0,1982,none,"14,142","14,542","14,929",none,none,none,none,none,none,none,none,none,none
56,ראשון לציון,אברמוביץ 7,3,78.0,4.0,1970,"13,125",none,none,none,none,none,none,none,"19,329",none,none,none,none,none
57,ראשון לציון,אברמוביץ 9,3,77.0,5.0,1980,none,none,none,none,none,"17,532",none,none,none,none,none,none,none,none
58,ראשון לציון,אבשלום,3,58.0,,1973,none,none,none,none,none,none,none,none,none,none,none,none,none,none
59,ראשון לציון,אבשלום 1,3,62.0,,1970,13898,13898,none,none,none,"17,711",none,none,"22,881",none,none,none,none,none
60,ראשון לציון,אבשלום 3,3,62.0,4.0,1980,none,none,"14,838",none,14409,none,none,none,none,none,none,none,none,none
