,city,street,rooms,size,floor,date_builded,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,תל אביב יפו,1096 69,3,253.0,,2006,none,none,none,none,none,none,none,none,none,none,none,none,none,none
1,תל אביב יפו,3018 16,3,75.0,,2007,none,none,none,none,none,none,none,none,none,none,none,none,none,none
2,תל אביב יפו,3895 76,3,50.0,,1920,none,none,none,none,none,none,none,none,none,none,none,none,none,none
3,תל אביב יפו,אב,3,70.0,,2010,none,none,none,"22,105",none,none,32994,none,none,none,none,none,none,none
4,תל אביב יפו,אב 1,3,108.0,,2010,"10,129",31313,22608,29936,"33,391",none,23367,none,none,35699,none,none,none,none
5,תל אביב יפו,אב 11,3,52.0,4.0,1960,none,none,none,none,"40,703","10,666",none,none,none,none,none,none,none,none
6,תל אביב יפו,אב 12,3,69.0,9.0,2016,none,none,none,none,none,none,"48,933",none,none,none,none,none,none,none
7,תל אביב יפו,אב 16,3,75.0,5.0,1970,none,"9,000",none,none,none,none,none,none,none,none,none,none,none,none
8,תל אביב יפו,אב 22,3,76.0,9.0,2013,none,none,none,none,none,none,none,none,none,none,none,none,none,none
9,תל אביב יפו,אב 28,3,53.0,5.0,1965,none,none,none,none,none,none,none,none,none,none,none,none,none,none
10,תל אביב יפו,אב 3,3,80.0,13.0,2017,none,none,none,none,none,none,none,none,none,none,none,none,none,none
11,תל אביב יפו,אב 33,3,60.0,8.0,1980,none,none,none,none,none,none,none,none,none,none,none,none,none,none
12,תל אביב יפו,אב 4,3,91.0,1.0,1960,none,none,none,none,none,none,"18,769",none,none,none,none,none,none,none
13,תל אביב יפו,אב 42,3,67.0,1.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
14,תל אביב יפו,אב 5,3,86.0,2.0,1970,none,none,none,none,none,none,25678,none,none,none,none,none,none,none
15,תל אביב יפו,אב 6,3,75.0,4.0,2014,none,none,none,none,none,none,none,none,none,none,none,none,none,none
16,תל אביב יפו,אב 63,3,79.0,16.0,2016,none,none,none,none,none,none,none,none,none,none,none,none,none,none
