,city,street,rooms,size,floor,date_builded,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,חולון,אביבים 1,3,104,1,2013,none,none,none,"18,269",none,none,none,none,none,none,none,none,none,none
1,חולון,אביבים 6,3,90,2,1978,none,none,none,none,none,"14,537",none,none,none,none,none,none,none,none
2,חולון,אביבים 6,3,90,2,1978,none,none,none,none,none,"14,537",none,none,none,none,none,none,none,none
3,חולון,אביבים 6,3,90,2,1978,none,none,none,none,none,"14,537",none,none,none,none,none,none,none,none
4,חולון,אבן גבירול 10,3,59,3,1979,"14,491",none,none,none,none,none,none,none,none,none,none,none,none,none
5,חולון,אבן גבירול 22,3,60,1,1975,none,none,none,"14,916",none,none,none,none,none,none,none,none,none,none
6,חולון,אבן גבירול 4,3,52,2,1988,none,"18,461",none,none,none,none,none,none,none,none,none,none,none,none
7,חולון,אבן גבירול 8,3,50,1,1970,none,none,none,none,none,none,"25,000",none,none,none,none,none,none,none
8,חולון,אבן עזרא 6,3,70,1,1984,none,none,none,none,none,"15,000",none,none,none,none,none,none,none,none
9,חולון,אבן עזרא 7,3,66,3,1960,none,"7,878",none,none,none,none,none,none,none,none,none,none,none,none
10,חולון,אברבנאל 10,3,53,2,1970,none,none,none,none,none,"13,207",none,none,none,none,none,none,none,none
11,חולון,אברבנאל 15,3,59,3,1970,none,none,none,none,"18,135",none,none,none,none,none,none,none,none,none
12,חולון,אברבנאל 17,3,51,4,1975,none,"15,490",none,none,none,none,none,none,none,none,none,none,none,none
13,חולון,אברבנאל 17,3,63,3,1970,none,"13,809",none,none,none,none,none,none,none,none,none,none,none,none
14,חולון,אברבנאל 17,3,51,2,1978,none,"17,450",none,none,none,none,none,none,none,none,none,none,none,none
15,חולון,אברבנאל 4,3,76,1,1970,none,none,none,none,none,none,none,none,none,"17,302",none,none,none,none
16,חולון,אברבנאל 5,3,55,2,1973,none,none,none,none,"18,545",none,none,none,none,none,none,none,none,none
17,חולון,אברבנאל 6,3,69,1,1979,none,none,none,"15,507",none,none,none,none,none,none,none,none,none,none
18,חולון,אברבנל 10,3,53,2,1970,none,none,none,none,none,"13,207",none,none,none,none,none,none,none,none
19,חולון,אבשלום 1,3,65,1,1970,none,none,none,none,"14,307",none,none,none,none,none,none,none,none,none
20,חולון,אגוז 12,3,70,7,1998,none,none,none,none,"16,928",none,none,none,none,none,none,none,none,none
21,חולון,אגוז 12,3,65,1,2000,none,none,none,none,none,none,none,"18,144",none,none,none,none,none,none
22,חולון,אגוז 12,3,66,2,1998,none,none,none,none,none,none,none,none,none,none,"24,469",none,none,none
23,חולון,אהרונוביץ 1,3,75,3,2018,none,none,none,none,none,none,none,none,"20,431",none,none,none,none,none
24,חולון,אהרונוביץ 2,3,61,3,1970,"13,524",none,none,none,none,none,none,none,none,none,none,none,none,none
25,חולון,אהרונוביץ 23,3,59,3,1960,none,none,none,"17,754",none,none,none,none,none,none,none,none,none,none
