,city,street,rooms,size,floor,date_builded,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,נתניה,א.ד. גורדון 21,3,77,,1989,none,none,none,none,none,none,none,none,none,"16,883",none,none,none,none
1,נתניה,א.ד. גורדון 5,3,107,,1970,none,none,none,none,none,none,none,none,"10,280",none,none,none,none,none
2,נתניה,אבא הלל 1,3,59,1,1950,none,none,none,none,"55,084",none,none,none,none,none,none,none,none,none
3,נתניה,אבא הלל 14,3,73,4,1960,none,none,none,none,none,none,none,none,none,none,"35,616",none,none,none
4,נתניה,אבא הלל 2,3,75,3,1960,none,none,none,none,none,none,none,none,none,none,"11,333",none,none,none
5,נתניה,אבו שדיד 18,3,70,1,1975,none,none,none,none,none,none,"16,714",none,none,none,none,none,none,none
6,נתניה,אבו שדיד 3,3,71,5,1978,none,"13,380",none,none,none,none,none,none,none,none,none,none,none,none
7,נתניה,אבו שדיד 3,3,71,1,1980,none,none,"13,380",none,none,none,none,none,none,none,none,none,none,none
8,נתניה,אבו שדיד 3,3,70,5,1980,none,none,none,none,none,"18,357",none,none,none,none,none,none,none,none
9,נתניה,אבו שדיד 35,3,68,4,1976,none,"17,352",none,none,none,none,none,none,none,none,none,none,none,none
10,נתניה,אבו שדיד 5,3,68,2,1980,none,"13,235",none,none,none,none,none,none,none,none,none,none,none,none
11,נתניה,אבו שדיד 5,3,68,2,1980,none,"13,235",none,none,none,none,none,none,none,none,none,none,none,none
12,נתניה,אבן עזרא,3,75,4,2002,none,none,none,none,"13,866",none,none,none,none,none,none,none,none,none
13,נתניה,אבן עזרא 30,3,75,8,1999,none,none,none,none,none,none,none,none,none,"17,600",none,none,none,none
14,נתניה,אבן עזרא 30,3,75,5,2002,none,"12,000",none,none,none,none,none,none,none,none,none,none,none,none
15,נתניה,אבן עזרא 31,3,75,5,2001,none,none,none,none,"12,933",none,none,none,none,none,none,none,none,none
16,נתניה,אבן עזרא 31,3,75,4,2002,none,none,none,none,"13,866",none,none,none,none,none,none,none,none,none
17,נתניה,אברבנאל 1,3,70,1,1979,none,none,none,none,"12,857",none,none,none,none,none,none,none,none,none
18,נתניה,אברבנאל 1,3,75,1,1979,none,none,none,none,none,"9,333",none,none,none,none,none,none,none,none
19,נתניה,אברבנאל 1,3,70,1,1979,none,none,none,none,"12,857",none,none,none,none,none,none,none,none,none
20,נתניה,אברבנאל 1,3,75,1,1979,none,none,none,none,none,"9,333",none,none,none,none,none,none,none,none
21,נתניה,אברבנאל 1,3,80,1,1980,none,none,"8,250",none,none,none,none,none,none,none,none,none,none,none
22,נתניה,אברהם 10,3,73,3,1978,none,none,none,none,none,"16,438",none,none,none,none,none,none,none,none
23,נתניה,אברהם 10,3,73,3,1978,none,none,none,none,none,"16,438",none,none,none,none,none,none,none,none
24,נתניה,אברהם 23,3,62,1,1985,none,none,none,none,none,"19,112",none,none,none,none,none,none,none,none
25,נתניה,אברהם קריניצי 17,3,62,,1970,none,none,none,none,none,none,none,none,none,none,"17,741",none,none,none
26,נתניה,אגמים,3,131,4,2017,none,none,none,none,none,"14,389",none,none,none,none,none,none,none,none
27,נתניה,אגמים,3,131,4,2017,none,none,none,none,none,"14,389",none,none,none,none,none,none,none,none
28,נתניה,אהוד מנור 10,3,127,16,2009,none,none,none,none,"17,874",none,none,none,none,none,none,none,none,none
29,נתניה,אהוד מנור 10,3,100,,2009,none,none,none,none,none,none,none,"20,000",none,none,none,none,none,none
30,נתניה,אהוד מנור 12,3,100,1,2009,none,none,none,none,none,none,none,"20,000",none,none,none,none,none,none
31,נתניה,אהרונוביץ 23,3,145,1,1950,none,none,none,none,none,none,none,"13,793",none,none,none,none,none,none
32,נתניה,אהרונוביץ 6,3,146,2,1950,none,none,none,none,none,none,none,none,none,none,"15,342",none,none,none
33,נתניה,אהרונסון 4,3,46,2,1980,none,none,none,"22,826",none,none,none,none,none,none,none,none,none,none
34,נתניה,אוסישקין 1,3,86,1,1970,none,none,none,none,none,none,"13,953",none,none,none,none,none,none,none
35,נתניה,אוסישקין 11,3,57,3,1950,none,none,none,none,none,"20,614",none,none,none,none,none,none,none,none
36,נתניה,אוסישקין 11,3,60,1,1980,none,none,"15,670",none,none,none,none,none,none,none,none,none,none,none
37,נתניה,אוסישקין 11,3,60,1,1980,none,none,"15,670",none,none,none,none,none,none,none,none,none,none,none
38,נתניה,אוסישקין 13,3,70,5,1966,none,none,none,"16,285",none,none,none,none,none,none,none,none,none,none
39,נתניה,אוסישקין 16,3,64,,1960,"13,281",none,none,none,none,none,none,none,none,none,none,none,none,none
40,נתניה,אוסישקין 16,3,64,2,1970,none,none,none,none,none,none,none,none,none,"23,125",none,none,none,none
41,נתניה,אוסישקין 16,3,72,6,1970,none,none,none,none,none,none,none,none,"22,222",none,none,none,none,none
42,נתניה,אוסישקין 17,3,100,1,1980,none,none,none,none,"12,760",none,none,none,none,none,none,none,none,none
43,נתניה,אוסישקין 19,3,72,1,1980,none,none,none,"17,222",none,none,none,none,none,none,none,none,none,none
44,נתניה,אוסישקין 19,3,72,1,1980,none,none,none,"17,222",none,none,none,none,none,none,none,none,none,none
45,נתניה,אוסישקין 22,3,76,3,1987,none,none,"13,815",none,none,none,none,none,none,none,none,none,none,none
46,נתניה,אוסישקין 23,3,80,3,1980,none,none,none,none,"16,875",none,none,none,none,none,none,none,none,none
47,נתניה,אוסישקין 26,3,87,3,1964,none,none,"11,034",none,none,none,none,none,none,none,none,none,none,none
48,נתניה,אוסישקין 27,3,75,,1996,none,none,none,none,none,"21,333",none,none,none,none,none,none,none,none
49,נתניה,אוסישקין 29,3,82,2,1992,none,none,none,"13,414",none,none,none,none,none,none,none,none,none,none
50,נתניה,אוסישקין 29,3,71,2,1980,none,"11,971",none,none,none,none,none,none,none,none,none,none,none,none
51,נתניה,אוסישקין 29,3,80,3,1980,none,"11,250",none,none,none,none,none,none,none,none,none,none,none,none
52,נתניה,אוסישקין 29,3,70,2,1980,none,none,none,none,"15,714",none,none,none,none,none,none,none,none,none
53,נתניה,אוסישקין 32,3,77,2,1970,none,"14,740",none,none,none,none,none,none,none,none,none,none,none,none
54,נתניה,אוסישקין 32,3,76,1,1990,none,none,none,none,"14,802",none,none,none,none,none,none,none,none,none
55,נתניה,אוסישקין 38,3,71,4,1980,none,none,none,none,"16,565",none,none,none,none,none,none,none,none,none
56,נתניה,אוסישקין 38,3,86,,1960,none,none,none,none,none,none,none,none,"15,116",none,none,none,none,none
57,נתניה,אוסישקין 38,3,80,2,1966,none,none,"13,375",none,none,none,none,none,none,none,none,none,none,none
58,נתניה,אוסישקין 39,3,85,1,1960,none,"11,539",none,none,none,none,none,none,none,none,none,none,none,none
59,נתניה,אוסישקין 39,3,85,1,1960,none,"11,539",none,none,none,none,none,none,none,none,none,none,none,none
60,נתניה,אוסישקין 4,3,85,1,1959,none,none,"17,058",none,none,none,none,none,none,none,none,none,none,none
61,נתניה,אוסישקין 40,3,91,1,1960,none,none,none,none,none,none,none,none,none,none,"16,483",none,none,none
62,נתניה,אוסישקין 40,3,72,4,1973,none,none,none,none,none,none,none,"19,741",none,none,none,none,none,none
63,נתניה,אוסישקין 40,3,67,3,1970,none,none,none,none,"20,149",none,none,none,none,none,none,none,none,none
64,נתניה,אוסישקין 40,3,67,2,1970,none,none,"15,970",none,none,none,none,none,none,none,none,none,none,none
65,נתניה,אוסישקין 41,3,102,3,1964,none,none,none,none,none,none,none,"15,898",none,none,none,none,none,none
66,נתניה,אוסישקין 41,3,80,2,1950,none,none,none,none,"11,562",none,none,none,none,none,none,none,none,none
67,נתניה,אוסישקין 41,3,75,3,1960,none,none,none,none,none,none,none,none,none,"18,933",none,none,none,none
68,נתניה,אוסישקין 41,3,60,1,1990,none,none,none,none,none,none,"23,000",none,none,none,none,none,none,none
69,נתניה,אוסישקין 41,3,80,2,1950,none,none,none,none,"11,562",none,none,none,none,none,none,none,none,none
70,נתניה,אוסישקין 8,3,59,3,1960,none,"19,491",none,none,none,none,none,none,none,none,none,none,none,none
71,נתניה,אוסישקין 8,3,59,3,1960,none,"19,491",none,none,none,none,none,none,none,none,none,none,none,none
