,city,street,rooms,size,floor,date_builded,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,ראשון לציון,4313 109,3,75,,2018,none,none,none,none,none,none,none,"11,730",none,none,none,none,none,none
1,ראשון לציון,4313 109,3,75,,2016,none,none,none,none,none,none,none,"11,550",none,none,none,none,none,none
2,ראשון לציון,4313 109,3,75,,2018,none,none,none,none,none,none,none,none,"12,243",none,none,none,none,none
3,ראשון לציון,אב,3,75,,2017,none,none,none,none,none,none,"15,168",none,none,none,none,none,none,none
4,ראשון לציון,אב,3,75,3,2017,none,none,none,none,none,none,"11,550",none,none,none,none,none,none,none
5,ראשון לציון,אב,3,75,4,2018,none,none,none,none,none,none,none,none,"12,243",none,none,none,none,none
6,ראשון לציון,אב,3,78,3,2017,none,none,none,none,none,none,none,"12,344",none,none,none,none,none,none
7,ראשון לציון,אב,3,89,1,2017,none,none,none,none,none,none,none,"10,425",none,none,none,none,none,none
8,ראשון לציון,אב,3,75,1,2017,none,none,none,none,none,none,"11,720",none,none,none,none,none,none,none
9,ראשון לציון,אב,3,36,,2015,none,none,none,none,none,none,none,none,,none,none,none,none,none
10,ראשון לציון,אב,3,78,3,2017,none,none,none,none,none,none,none,"12,344",none,none,none,none,none,none
11,ראשון לציון,אב,3,75,3,2017,none,none,none,none,none,none,none,"11,444",none,none,none,none,none,none
12,ראשון לציון,אב,3,76,6,2017,none,none,none,none,none,none,none,"11,877",none,none,none,none,none,none
13,ראשון לציון,אב,3,75,5,2017,none,none,none,none,none,none,"11,529",none,none,none,none,none,none,none
14,ראשון לציון,אב,3,75,5,2017,none,none,none,none,none,none,"11,550",none,none,none,none,none,none,none
15,ראשון לציון,אב,3,75,4,2018,none,none,none,none,none,none,none,none,"12,540",none,none,none,none,none
16,ראשון לציון,אב,3,77,4,2017,none,none,none,none,none,none,none,"12,486",none,none,none,none,none,none
17,ראשון לציון,אב,3,76,1,2017,none,none,none,none,none,none,none,"26,315",none,none,none,none,none,none
18,ראשון לציון,אב,3,77,9,2017,none,none,none,none,none,none,none,"12,486",none,none,none,none,none,none
19,ראשון לציון,אב,3,77,8,2017,none,none,none,none,none,none,none,"12,486",none,none,none,none,none,none
20,ראשון לציון,אב,3,77,9,2017,none,none,none,none,none,none,none,"12,485",none,none,none,none,none,none
21,ראשון לציון,אב,3,75,5,2018,none,none,none,none,none,none,none,"11,550",none,none,none,none,none,none
22,ראשון לציון,אב,3,75,3,2017,none,none,none,none,none,none,"11,444",none,none,none,none,none,none,none
23,ראשון לציון,אב,3,77,5,2017,none,none,none,none,none,none,none,"12,114",none,none,none,none,none,none
24,ראשון לציון,אב,3,75,5,2017,none,none,none,none,none,none,"11,550",none,none,none,none,none,none,none
25,ראשון לציון,אב,3,75,3,2017,none,none,none,none,none,none,"13,303",none,none,none,none,none,none,none
26,ראשון לציון,אב,3,75,5,2017,none,none,none,none,none,none,"11,444",none,none,none,none,none,none,none
27,ראשון לציון,אב,3,75,6,2017,none,none,none,none,none,none,"11,444",none,none,none,none,none,none,none
28,ראשון לציון,אב,3,75,3,2017,none,none,none,none,none,none,"11,550",none,none,none,none,none,none,none
29,ראשון לציון,אב,3,75,4,2017,none,none,none,none,none,none,"11,550",none,none,none,none,none,none,none
30,ראשון לציון,אב,3,80,11,2017,none,none,none,none,none,none,"12,367",none,none,none,none,none,none,none
31,ראשון לציון,אב,3,75,3,2017,none,none,none,none,none,none,none,"11,444",none,none,none,none,none,none
32,ראשון לציון,אב,3,78,8,2017,none,none,none,none,none,none,none,"12,344",none,none,none,none,none,none
33,ראשון לציון,אב,3,75,7,2018,none,none,none,none,none,none,none,none,"12,546",none,none,none,none,none
34,ראשון לציון,אב,3,75,5,2017,none,none,none,none,none,none,none,"11,923",none,none,none,none,none,none
35,ראשון לציון,אב,3,75,2,2018,none,none,none,none,none,none,none,"11,444",none,none,none,none,none,none
36,ראשון לציון,אב,3,75,3,2018,none,none,none,none,none,none,none,none,"12,243",none,none,none,none,none
