,city,street,rooms,size,floor,date_builded,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,תל אביב יפו,1096 69,3,253,,2006,none,none,none,none,none,none,none,none,none,"65,217",none,none,none,none
1,תל אביב יפו,3018 16,3,75,,2007,none,none,none,none,none,none,none,"38,000",none,none,none,none,none,none
2,תל אביב יפו,3895 76,3,50,,1920,none,none,none,none,none,none,none,none,"31,000",none,none,none,none,none
3,תל אביב יפו,אב,3,70,,2010,"51,188",none,none,none,none,none,none,none,none,none,none,none,none,none
4,תל אביב יפו,אב,3,80,12,2016,none,none,none,none,none,none,"23,143",none,none,none,none,none,none,none
5,תל אביב יפו,אב,3,97,14,2018,none,none,none,none,none,none,"42,845",none,none,none,none,none,none,none
6,תל אביב יפו,אב,3,95,,2002,none,none,none,"22,105",none,none,none,none,none,none,none,none,none,none
7,תל אביב יפו,אב 1,3,108,,2010,none,none,"30,027",none,none,none,none,none,none,none,none,none,none,none
8,תל אביב יפו,אב 1,3,79,,1970,none,none,"15,189",none,none,none,none,none,none,none,none,none,none,none
9,תל אביב יפו,אב 1,3,72,25,2013,none,none,none,"39,305",none,none,none,none,none,none,none,none,none,none
10,תל אביב יפו,אב 1,3,72,17,2020,none,none,none,none,none,none,none,none,none,"35,560",none,none,none,none
11,תל אביב יפו,אב 1,3,7,3,1970,none,none,none,none,"33,391",none,none,none,none,none,none,none,none,none
12,תל אביב יפו,אב 1,3,1,2,2013,none,none,none,none,,none,none,none,none,none,none,none,none,none
13,תל אביב יפו,אב 1,3,79,12,2016,none,none,none,none,none,none,"23,236",none,none,none,none,none,none,none
14,תל אביב יפו,אב 1,3,72,19,2020,none,none,none,none,none,none,none,none,none,"35,838",none,none,none,none
15,תל אביב יפו,אב 1,3,79,10,2016,none,none,none,none,none,none,"22,803",none,none,none,none,none,none,none
16,תל אביב יפו,אב 1,3,63,1,1970,none,"27,277",none,none,none,none,none,none,none,none,none,none,none,none
17,תל אביב יפו,אב 1,3,77,3,2010,"10,129",none,none,none,none,none,none,none,none,none,none,none,none,none
18,תל אביב יפו,אב 1,3,80,,2012,none,"35,350",none,none,none,none,none,none,none,none,none,none,none,none
19,תל אביב יפו,אב 1,3,75,7,2013,none,none,none,"18,041",none,none,none,none,none,none,none,none,none,none
20,תל אביב יפו,אב 1,3,109,2,2011,none,none,none,"31,235",none,none,none,none,none,none,none,none,none,none
21,תל אביב יפו,אב 1,3,79,11,2016,none,none,none,none,none,none,"22,975",none,none,none,none,none,none,none
22,תל אביב יפו,אב 1,3,67,17,2013,none,none,none,"31,166",none,none,none,none,none,none,none,none,none,none
23,תל אביב יפו,אב 1,3,79,9,2016,none,none,none,none,none,none,"24,456",none,none,none,none,none,none,none
24,תל אביב יפו,אב 11,3,52,4,1960,none,"15,000",none,none,none,none,none,none,none,none,none,none,none,none
25,תל אביב יפו,אב 11,3,64,1,1958,none,none,none,none,"40,703",none,none,none,none,none,none,none,none,none
26,תל אביב יפו,אב 11,3,75,3,1970,none,none,none,none,none,"10,666",none,none,none,none,none,none,none,none
27,תל אביב יפו,אב 12,3,69,9,2016,none,none,none,none,none,none,none,none,none,"42,753",none,none,none,none
28,תל אביב יפו,אב 12,3,75,2,1970,none,none,none,none,none,none,"48,933",none,none,none,none,none,none,none
29,תל אביב יפו,אב 16,3,75,5,1970,none,none,none,none,"12,533",none,none,none,none,none,none,none,none,none
30,תל אביב יפו,אב 16,3,80,4,1970,none,"9,000",none,none,none,none,none,none,none,none,none,none,none,none
31,תל אביב יפו,אב 22,3,76,9,2013,none,none,none,none,none,none,none,none,none,none,"28,486",none,none,none
32,תל אביב יפו,אב 28,3,53,5,1965,none,none,"17,924",none,none,none,none,none,none,none,none,none,none,none
