,city,streets,rooms,size,floor,date_builded,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,אשדוד,אב,3,98.0,1.0,2017,none,none,none,none,none,1067584,none,1795000,none,none,1650000,none,none,none
1,אשדוד,אב 2,3,118.0,,2000,none,none,none,"1,300,000","1,350,000",none,none,none,none,none,none,none,none,none
2,אשדוד,אב 41,3,59.0,2.0,1980,none,none,none,none,none,none,none,none,none,"1,160,000",none,none,none,none
3,אשדוד,אב 45,3,80.0,,1970,none,none,none,none,none,none,none,none,none,none,"1,130,000",none,none,none
4,אשדוד,אב 5,3,70.0,1.0,1970,none,none,none,none,none,none,none,none,none,none,"321,117",none,none,none
5,אשדוד,"אבוחצירה,הרב",3,60.0,4.0,2000,"600,000",none,none,none,none,none,none,none,none,none,none,none,none,none
6,אשדוד,"אבוחצירה,הרב 1",3,75.0,4.0,1979,none,none,none,none,none,none,none,"1,280,000",none,none,none,none,none,none
7,אשדוד,"אבוחצירה,הרב 10",3,59.0,3.0,1969,420187,none,none,none,"920,000",none,"1,201,201",none,none,none,none,none,none,none
8,אשדוד,"אבוחצירה,הרב 12",3,58.0,1.0,1970,none,none,735000,none,669827,"800,000","1,020,000",none,none,none,none,none,none,none
9,אשדוד,"אבוחצירה,הרב 14",3,68.0,4.0,1973,none,none,none,none,"296,000","880,000",none,"1,080,000",none,none,none,none,none,none
10,אשדוד,"אבוחצירה,הרב 16",3,58.0,4.0,1974,"590,000",none,none,none,655344,"392,941",none,none,none,none,none,none,none,none
11,אשדוד,"אבוחצירה,הרב 2",3,58.0,2.0,1975,none,"600,000",none,"808,000",none,none,none,"1,300,000",none,none,"1,180,000",none,none,none
12,אשדוד,"אבוחצירה,הרב 4",3,74.0,2.0,1974,none,"735,000",none,744000,none,none,none,"1,050,000",none,none,none,none,none,none
13,אשדוד,"אבוחצירה,הרב 5",3,60.0,4.0,1960,"550,000",none,none,none,none,none,none,none,none,none,none,none,none,none
14,אשדוד,"אבוחצירה,הרב 6",3,75.0,2.0,1960,none,none,"660,000",none,"820,000","965,000",none,none,none,none,none,none,none,none
