,city,streets,rooms,size,floor,date_builded,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,באר שבע,אביגד 4,3,62.0,2.0,1980,none,none,none,none,"675,000",none,none,none,none,none,none,none,none,none
1,באר שבע,אביגיל 14,3,60.0,,1995,none,none,none,none,none,none,none,none,"344,501",none,none,none,none,none
2,באר שבע,אביגיל 18,3,660.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,none,402000,none
3,באר שבע,אביגיל 27,3,660.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,1050000,none,none
4,באר שבע,אביטל 1,3,72.0,8.0,1995,none,527500,none,none,none,none,none,none,none,none,none,none,none,none
5,באר שבע,אביטל 10,3,75.0,,1993,none,none,none,none,none,none,none,"1,050,000",none,none,none,none,none,none
6,באר שבע,אביטל 26,3,60.0,1.0,1993,none,none,"935,000",none,none,none,none,none,none,none,none,none,none,none
7,באר שבע,אביטל 28,3,70.0,3.0,1900,none,none,"447,000","515,000",none,"720,000",none,none,none,none,none,none,none,none
8,באר שבע,אביטל 3,3,82.0,,1996,"420,000",none,"500,000","557,000",none,none,none,none,none,none,none,none,none,none
9,באר שבע,אביטל 5,3,65.0,6.0,1900,none,"475,000","545,000",none,none,none,none,none,none,none,none,none,none,none
10,באר שבע,אבישג 1,3,660.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,none,482000,none
11,באר שבע,אבישג 21,3,664.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,none,1200000,none
12,באר שבע,אבישג 3,3,660.0,100.0,0,none,none,none,none,none,none,none,none,518356,none,none,none,none,none
13,באר שבע,אבנר 1,3,59.0,3.0,1900,none,none,none,none,"480,000",none,none,none,none,none,none,none,none,none
14,באר שבע,אבנר 2,3,75.0,,1970,none,none,none,none,none,none,none,none,"595,000","540,000",none,none,none,none
15,באר שבע,אבנר 20,3,61.0,3.0,1900,none,none,"310,000",none,none,none,none,none,none,none,none,none,none,none
16,באר שבע,אבנר 44,3,59.0,3.0,1982,"300,000",none,none,none,none,none,none,none,none,none,none,none,none,none
17,באר שבע,אבנר 89,3,60.0,,1980,"280,000",none,none,none,none,none,none,none,none,none,none,none,none,none
18,באר שבע,אברבנאל,3,10.0,3.0,1900,none,none,"410,000",none,none,none,none,none,none,none,none,none,none,none
19,באר שבע,אברבנאל 1,3,76.0,4.0,1980,none,none,none,none,"480,000",none,none,none,none,none,none,none,none,none
20,באר שבע,אברבנאל 10,3,72.0,1.0,1975,none,"370,000",388500,none,"500,000",none,none,none,none,none,none,none,none,none
21,באר שבע,אברבנאל 12,3,61.0,,1980,"345,000",none,"380,000",none,none,none,none,none,"670,000",none,none,none,none,none
22,באר שבע,אברבנאל 14,3,81.0,4.0,1995,none,none,none,none,none,none,none,none,"560,000",none,none,none,none,none
23,באר שבע,אברבנאל 16,3,46.0,2.0,1976,none,none,none,none,none,none,"400,000",none,none,none,none,none,none,none
24,באר שבע,אברבנאל 18,3,73.0,4.0,1970,332500,none,none,none,none,none,none,none,none,"550,000",none,none,none,none
25,באר שבע,אברבנאל 22,3,65.0,7.0,1980,none,"400,000","430,000","510,510",none,none,"690,000",none,none,none,none,none,none,none
26,באר שבע,אברבנאל 3,3,76.0,1.0,1970,none,none,"410,000","447,000","500,000",none,none,none,none,none,none,none,none,none
27,באר שבע,אברבנאל 5,3,76.0,,1970,"250,000","390,000",none,none,none,none,none,none,none,none,none,none,none,none
28,באר שבע,אברבנאל 6,3,61.0,,1970,235000,"383,000",none,406500,none,none,none,none,none,none,none,none,none,none
29,באר שבע,אברבנאל 7,3,62.0,3.0,1976,none,none,"320,000",none,none,none,none,none,none,none,none,none,none,none
30,באר שבע,אברבנאל 8,3,661.0,1.0,1970,none,"380,000",377500,"410,000",none,none,none,none,none,550000,615000,606600,643750,none
31,באר שבע,אברבנאל 9,3,62.0,2.0,1988,322500,"375,000",none,"380,000",none,none,none,none,none,none,none,none,none,none
32,באר שבע,אברבנל 10,3,70.0,4.0,1970,none,none,none,none,none,none,none,none,none,none,"530,000",none,none,none
33,באר שבע,אברהם אבינו,3,65.0,1.0,1900,none,"365,000",none,none,none,"453,000",none,none,none,none,none,none,none,none
34,באר שבע,אברהם אבינו 1,3,644.0,100.0,0,"300,000",380000,477500,483125,545000,none,none,none,670000,none,none,698666,790000,none
35,באר שבע,אברהם אבינו 10,3,666.0,,1970,365000,520000,420000,566666,"520,000",none,none,none,765000,none,750000,none,none,none
