,city,streets,rooms,size,floor,date_builded,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,בני ברק,4 16,3,61.0,2.0,1920,none,none,none,none,none,none,none,none,none,none,1485000,none,none,none
1,בני ברק,4 4,3,45.0,2.0,1950,none,none,none,none,none,none,none,none,none,none,"3,140,000",none,none,none
2,בני ברק,אבוחצירא 1,3,75.0,5.0,2015,none,none,none,none,none,"1,220,000",none,none,none,none,none,none,none,none
3,בני ברק,אבוחצירא 31,3,48.0,4.0,1901,none,none,none,none,"775,000",none,none,none,none,none,none,none,none,none
4,בני ברק,אבוחצירא 35,3,60.0,2.0,1970,none,none,none,none,none,none,none,"1,300,000",none,none,none,none,none,none
5,בני ברק,אבוחצירא 47,3,59.0,1.0,1960,none,none,none,none,none,none,none,none,none,none,"1,405,000",none,none,none
6,בני ברק,אבוחצרא 26,3,75.0,1.0,1970,none,none,none,none,none,none,none,"1,330,000",none,none,none,none,none,none
7,בני ברק,אבטליון,3,,7.0,2012,1000000,none,none,none,none,none,none,none,none,none,none,none,none,none
8,בני ברק,אבטליון 1,3,70.0,5.0,2013,1005000,none,"1,126,234",1221128,none,none,none,none,none,none,none,none,none,none
9,בני ברק,אבטליון 12,3,653.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,none,1500000,none
10,בני ברק,אבטליון 19,3,47.0,2.0,1959,none,none,"1,100,000",none,none,none,none,none,none,none,none,none,none,none
11,בני ברק,אבטליון 7,3,75.0,,2010,"750,000",none,none,none,none,none,none,none,none,none,none,none,none,none
12,בני ברק,אביעד 1,3,653.0,2.0,1964,none,"850,000",none,none,none,none,1210000,none,none,none,none,none,1880000,2250000
13,בני ברק,אביעד 2,3,653.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,1940000,1432000,none
14,בני ברק,אביעד 3,3,653.0,100.0,0,"810,000","900,000",none,none,none,none,none,none,none,none,none,none,1600000,none
15,בני ברק,אביעד 30,3,60.0,1.0,1960,none,none,none,none,none,none,none,none,none,"1,516,516",none,none,none,none
16,בני ברק,אביעד 4,3,658.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,none,1845000,none
17,בני ברק,אביעד 5,3,653.0,2.0,1970,"750,000","818,300",none,none,"950,000",none,none,none,none,none,none,none,351000,none
18,בני ברק,אביעד 6,3,658.0,1.0,1980,none,none,"1,003,012",none,none,none,none,none,none,none,none,none,1850000,none
19,בני ברק,אביעד 7,3,653.0,100.0,0,none,none,none,none,none,none,none,900000,1560000,1454000,1300000,none,none,none
20,בני ברק,אביעד 8,3,658.0,1.0,1970,"800,000",492500,"630,000",none,none,840000,none,none,none,1460000,none,1897000,none,none
21,בני ברק,אברבנאל 1,3,75.0,4.0,2018,none,none,none,none,none,"1,630,000",none,"1,405,850","1,505,850",none,none,none,none,none
22,בני ברק,אברבנאל 103,3,669.0,100.0,0,none,none,"950,000",none,"1,130,000",none,none,1452000,none,none,none,none,none,none
23,בני ברק,אברבנאל 117,3,95.0,1.0,2019,none,none,none,none,none,none,none,none,none,none,"1,450,000",none,none,none
24,בני ברק,אברבנאל 125,3,679.0,100.0,0,none,none,none,none,none,none,1332250,1412631,1494500,1192773,1443678,1905282,1801994,none
25,בני ברק,אברבנאל 139,3,75.0,,2018,none,none,none,none,none,none,none,none,"1,505,850",none,none,none,none,none
26,בני ברק,אברבנאל 15,3,656.0,100.0,0,"922,000",none,none,"1,020,000",none,none,none,none,none,none,1635000,none,none,none
27,בני ברק,אברבנאל 16,3,672.0,2.0,1985,none,none,none,none,none,none,1400000,none,none,none,1465000,none,none,none
28,בני ברק,אברבנאל 20,3,82.0,3.0,2015,none,none,none,none,1003333,1202642,1202250,none,none,none,none,none,none,none
29,בני ברק,אברבנאל 28,3,70.0,3.0,1960,none,none,none,none,none,none,none,"1,340,000",none,none,none,none,none,none
30,בני ברק,אברבנאל 29,3,643.0,100.0,0,none,none,none,none,none,none,none,none,none,none,1520000,none,none,none
31,בני ברק,אברבנאל 3,3,67.0,1.0,1993,none,none,none,"1,100,000",none,none,none,none,none,none,none,none,none,none
32,בני ברק,אברבנאל 30,3,669.0,100.0,0,none,none,none,none,1020000,none,none,1340000,1500000,1980000,none,none,none,none
33,בני ברק,אברבנאל 32,3,70.0,3.0,1970,none,none,none,none,1030000,none,none,none,none,none,none,none,none,none
34,בני ברק,אברבנאל 34,3,669.0,100.0,0,none,none,none,none,none,"1,020,000",none,1375000,1850000,none,none,none,1096000,none
