,city,streets,rooms,size,floor,date_builded,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,חיפה,12 *בילינסון*,3,73.0,1.0,2016,none,none,none,none,none,none,none,none,"700,000",none,none,none,none,none
1,חיפה,29 *הקבוצים*,3,55.0,2.0,1950,none,none,none,none,none,none,none,none,"570,000",none,none,none,none,none
2,חיפה,43 *התקומה*,3,72.0,1.0,1950,none,none,none,none,none,none,none,none,"795,795",none,none,none,none,none
3,חיפה,7 *הקבוצים*,3,80.0,1.0,1987,none,none,none,none,none,none,none,none,none,"900,000",none,none,none,none
4,חיפה,70,3,168.0,,1999,none,none,none,none,none,none,none,none,none,none,"450,000",none,none,none
5,חיפה,8 *הפלוגות*,3,71.0,1.0,1950,none,none,none,none,none,none,none,none,none,"700,693",none,none,none,none
6,חיפה,80,3,118.0,,1988,none,none,none,none,none,none,none,none,"500,000",none,none,none,none,none
7,חיפה,אבדימי 3,3,86.0,4.0,2017,none,none,none,none,none,none,none,"1,300,000","1,850,000",none,none,none,none,none
8,חיפה,אבדימי 4,3,666.0,,2018,none,none,none,none,none,none,none,none,"1,011,862","1,180,000",none,850000,none,none
9,חיפה,אבדימי 5,3,84.0,1.0,2018,none,none,none,none,none,none,none,none,none,none,1793120,none,none,none
10,חיפה,אביגיל 11,3,76.0,2.0,1970,none,none,"1,040,000",none,none,none,none,none,none,none,none,none,none,none
11,חיפה,אביגיל 2,3,685.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,none,1350000,none
12,חיפה,אביגיל 30,3,69.0,2.0,1900,"750,000",none,"1,020,000",none,none,none,none,none,none,none,none,none,none,none
13,חיפה,אבנר 2,3,58.0,1.0,1953,none,none,none,none,none,none,"720,000",none,"740,000",none,none,none,none,none
14,חיפה,אבנר 3,3,60.0,4.0,1960,none,none,382500,none,none,none,none,none,"450,000",none,none,none,none,none
15,חיפה,אבנר 4,3,51.0,,1970,none,none,none,none,none,none,none,none,"740,000",none,none,none,none,none
16,חיפה,אבנר 9,3,51.0,,1980,none,none,none,none,none,none,none,"820,000",none,none,none,none,none,none
17,חיפה,אברבנאל 13,3,660.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,none,950000,none
18,חיפה,אברבנאל 39,3,690.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,none,550000,none
19,חיפה,אברבנאל 41,3,50.0,,1960,none,none,none,none,none,none,none,none,"580,000",none,none,none,none,none
20,חיפה,אברבנאל 45,3,50.0,1.0,1960,none,none,none,none,none,none,none,none,"580,000",none,none,none,none,none
21,חיפה,אברבנאל 47,3,681.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,800000,none,none
22,חיפה,אברבנאל 55,3,675.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,none,1111000,none
23,חיפה,אברבנאל 61,3,80.0,1.0,1950,none,"660,000",none,none,none,none,none,none,none,none,none,none,none,none
24,חיפה,אברבנאל 69,3,698.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,none,970000,none
25,חיפה,אברבנאל 83,3,65.0,1.0,1951,none,none,none,none,"690,000",none,none,none,none,none,none,none,none,none
26,חיפה,אברבנאל 85,3,100.0,,1950,none,"815,000",none,none,none,none,none,none,none,none,none,none,none,none
27,חיפה,אבשלום 13,3,683.0,2.0,1980,none,none,none,none,none,none,"1,600,000",none,none,none,1625000,1450000,none,none
28,חיפה,אבשלום 15,3,678.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,none,1470000,none
29,חיפה,אבשלום 6,3,60.0,7.0,1970,none,none,none,none,none,none,none,none,none,none,"750,000",none,none,none
30,חיפה,אגוז 28,3,74.0,2.0,1990,none,none,none,none,none,none,none,none,none,none,"1,200,000",none,none,none
31,חיפה,אגמון 1,3,69.0,2.0,1965,none,none,none,"1,060,000",none,none,none,none,none,none,none,none,none,none
32,חיפה,אגמון 3,3,662.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,890000,none,none
33,חיפה,אגמון 6,3,688.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,1450000,none,none
34,חיפה,אגמון 8,3,667.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,none,1240000,none
35,חיפה,אהוד,3,77.0,,1950,none,none,none,none,none,"2,400,000",none,none,none,none,none,none,none,none
36,חיפה,אהוד 12,3,57.0,,1980,"625,000",none,none,none,none,none,none,none,none,none,none,none,none,none
37,חיפה,אהוד 16,3,84.0,1.0,1960,none,none,none,none,"1,280,000",none,none,none,none,none,none,none,none,none
38,חיפה,אהוד 17,3,74.0,,2018,none,none,none,none,none,none,none,none,none,none,"1,800,000",none,none,none
39,חיפה,אהוד 2,3,686.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,none,1540000,none
40,חיפה,אהוד 20,3,55.0,2.0,1960,none,"1,130,000",none,none,none,none,none,none,none,none,none,none,none,none
41,חיפה,אהוד 22,3,674.0,100.0,0,none,"1,160,000",none,none,none,none,none,none,none,none,none,1430000,none,none
42,חיפה,אהוד 26,3,684.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,1550000,none,none
43,חיפה,אהוד 3,3,75.0,,2016,none,none,none,none,none,none,"2,000,000",none,none,none,none,none,none,none
44,חיפה,אהוד 30,3,88.0,1.0,1950,"1,151,051",none,none,none,none,none,none,none,none,none,none,none,none,none
45,חיפה,אהוד 34,3,665.0,100.0,0,none,none,none,none,none,none,none,none,"1,840,000",none,1225000,none,none,none
46,חיפה,אהוד 36,3,91.0,,1970,none,none,none,"1,100,000",none,none,none,none,"1,840,000",none,none,none,none,none
47,חיפה,אהוד 37,3,72.0,2.0,1960,none,none,none,none,none,"1,300,000",none,none,none,none,none,none,none,none
48,חיפה,אהוד 42,3,673.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,none,1440000,none
49,חיפה,אהוד 44,3,74.0,1.0,1960,none,none,none,none,none,none,none,none,"1,450,000",none,none,none,none,none
50,חיפה,אהוד 5,3,682.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,2150000,none,none
51,חיפה,אהרון 21 (רוזנפלד),3,100.0,1.0,1950,none,none,none,none,none,none,none,none,"1,701,702",none,none,none,none,none
52,חיפה,אהרונוביץ 11,3,118.0,3.0,2010,"980,772",none,none,none,none,none,none,none,none,none,none,none,none,none
53,חיפה,אהרונוביץ 13,3,90.0,1.0,1970,none,"2,894,736",none,none,none,none,none,none,none,none,none,none,none,none
54,חיפה,אהרונוביץ 18,3,85.0,,2011,none,none,"880,000",none,none,none,none,none,none,none,none,none,none,none
55,חיפה,אוליפנט 1,3,657.0,100.0,0,none,"1,050,000","1,125,000",none,none,none,none,none,none,none,none,1300000,1665000,1360000
56,חיפה,אוליפנט 2,3,77.0,2.0,1956,none,none,none,"1,200,000",none,none,none,none,none,none,none,none,none,none
57,חיפה,אוליפנט 3,3,664.0,1.0,2010,none,"1,000,000",none,"1,340,000",none,none,none,none,none,"1,470,000",none,1265000,none,none
58,חיפה,אוליפנט 4,3,682.0,100.0,0,none,835158,none,none,none,none,none,none,none,none,none,none,2700000,none
59,חיפה,אורלנד 16,3,82.0,5.0,2006,none,none,"1,500,000",none,none,none,none,none,none,none,none,none,none,none
60,חיפה,אורן 10,3,58.0,1.0,1990,none,none,none,none,"930,000","1,000,000",none,"1,120,000",none,"980,000","875,000",none,none,none
61,חיפה,אורן 11,3,70.0,,1950,none,none,none,none,none,"1,150,000",none,none,none,"1,110,000",none,none,none,none
62,חיפה,אורן 13,3,88.0,,1960,none,none,none,none,none,none,none,none,"1,140,000",none,none,none,none,none
63,חיפה,אורן 14,3,658.0,100.0,0,none,none,"770,000",none,none,none,none,none,none,none,none,1030000,1165000,none
64,חיפה,אורן 15,3,670.0,100.0,0,none,none,"850,000",none,none,none,none,none,none,none,none,1020000,none,none
65,חיפה,אורן 16,3,56.0,,1960,none,none,none,none,none,none,none,none,"1,100,000",none,none,none,none,none
66,חיפה,אורן 17,3,672.0,100.0,0,none,none,"850,000",none,none,none,none,none,none,none,1180000,1020000,none,none
67,חיפה,אורן 19,3,677.0,1.0,1970,"750,000",none,"890,888",none,none,none,none,none,none,none,none,1257500,1210000,none
68,חיפה,אורן 20,3,658.0,100.0,0,none,none,none,none,none,none,none,none,"1,100,000",none,none,942500,1260000,none
69,חיפה,אורן 21,3,680.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,1000000,none,none
70,חיפה,אורן 23,3,689.0,12.0,1990,815000,780000,916666,"1,101,099",none,none,none,none,none,1265000,"1,460,000",1136666,1266666,none
71,חיפה,אורן 24,3,674.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,none,1250000,none
72,חיפה,אורן 28,3,674.0,100.0,0,none,none,none,none,none,none,"1,070,000",none,none,none,none,920000,none,none
73,חיפה,אורן 29,3,662.0,100.0,0,none,"700,000",712500,827500,"935,000",none,1060000,1120000,"975,000","980,000",none,998750,1012500,none
74,חיפה,אורן 31,3,659.0,11.0,1970,none,"710,000","730,000",none,none,none,"1,137,000",none,"1,046,045",1050000,"875,000",1046250,500000,1140000
75,חיפה,אורן 32,3,674.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,none,1272000,none
76,חיפה,אורן 35,3,657.0,4.0,1969,"650,000",none,none,none,"960,000","1,150,000",946000,1075000,none,none,890000,772500,none,1270000
77,חיפה,אורן 5,3,670.0,4.0,1900,none,none,none,"870,000",none,none,none,none,none,none,none,none,1294000,none
78,חיפה,אורן 7,3,672.0,,1960,"850,000",none,none,none,none,none,none,none,none,none,none,none,625000,none
79,חיפה,אורן 9,3,677.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,1212000,1200000,none
80,חיפה,אושה 3,3,46.0,1.0,1950,none,none,none,none,"520,000",none,none,none,none,none,none,none,none,none
81,חיפה,אושה 4,3,675.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,560000,none,none
82,חיפה,אושה 6,3,673.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,780000
83,חיפה,אושה 8,3,670.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,915000,none,none
84,חיפה,אזבסטונים 31,3,72.0,1.0,1950,none,none,none,none,none,none,none,none,none,none,"955,000",none,none,none
85,חיפה,אזמכשרי 12,3,59.0,,1960,none,none,none,none,none,none,none,none,none,"615,000",none,none,none,none
86,חיפה,אזר 10,3,651.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,930000,none,none
87,חיפה,אחוה,3,54.0,4.0,1980,none,none,none,none,none,"540,000",none,none,none,none,none,none,none,none
88,חיפה,אחוה 1,3,54.0,4.0,1980,none,none,none,"442,000",none,none,none,none,none,none,none,none,none,none
89,חיפה,אחוה 11,3,54.0,2.0,1960,"430,000","430,000","273,224",none,none,none,none,none,none,none,none,none,none,none
90,חיפה,אחוה 13,3,65.0,,1960,none,none,none,none,none,"635,000",none,none,none,none,none,none,none,none
91,חיפה,אחוה 15,3,54.0,,1960,"400,000",none,none,none,none,none,none,none,none,none,none,none,none,none
92,חיפה,אחוה 17,3,54.0,2.0,1958,"370,000",none,none,none,"690,000",none,none,none,none,"710,000",none,none,none,none
93,חיפה,אחוה 18,3,84.0,8.0,1991,none,none,"630,000",none,"614,406","720,000",none,none,none,none,none,none,none,none
94,חיפה,אחוה 21,3,654.0,,1960,none,none,"335,000","500,000",none,none,757500,none,none,none,none,446000,none,none
95,חיפה,אחוה 23,3,654.0,1.0,1960,none,none,none,none,none,"600,000",none,none,694000,none,none,825000,none,950000
96,חיפה,אחוה 24,3,655.0,,1980,none,none,none,none,"545,000",none,none,"820,000",none,none,none,none,none,1060000
97,חיפה,אחוה 25,3,649.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,none,825000,none
98,חיפה,אחוה 26,3,52.0,1.0,1962,none,none,"540,540",none,none,none,none,none,none,none,none,none,none,none
99,חיפה,אחוה 3,3,654.0,2.0,1970,none,"480,000",none,none,none,none,none,none,none,none,none,662000,910000,none
100,חיפה,אחוה 7,3,54.0,3.0,1949,none,"480,000","480,000",none,none,none,none,none,none,none,none,none,none,none
101,חיפה,אחז 3,3,672.0,100.0,0,none,none,none,none,none,"675,000",none,none,none,none,none,1200000,none,none
102,חיפה,אידר 10,3,666.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,1440000,none,none
103,חיפה,אידר 14,3,647.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,none,1300000,none
104,חיפה,אידר 20,3,676.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,900000,none,none
105,חיפה,אידר 21,3,677.0,100.0,0,none,none,none,none,"1,050,000",none,none,none,none,none,none,none,1545000,none
106,חיפה,אידר 23,3,80.0,1.0,1980,none,none,none,none,none,none,"1,250,000",none,none,none,none,none,none,none
107,חיפה,אידר 25,3,86.0,2.0,1960,none,"1,461,462",none,none,none,none,none,none,none,none,none,none,none,none
108,חיפה,אידר 40,3,67.0,1.0,1980,none,"1,020,000",none,none,none,none,none,none,none,none,none,none,none,none
109,חיפה,אידר 54,3,85.0,,1900,none,none,none,none,"1,612,500",none,none,none,none,none,none,none,none,none
110,חיפה,אידר 56,3,84.0,2.0,1980,none,none,"1,450,000",none,none,none,none,none,none,none,none,none,none,none
111,חיפה,אילון 5,3,652.0,100.0,0,none,none,none,none,none,none,none,none,none,none,975000,none,none,none
112,חיפה,אילון 6,3,75.0,1.0,1990,none,none,none,none,"2,150,000",none,none,"2,300,000",none,none,none,none,none,none
113,חיפה,אילנות 10,3,67.0,1.0,1950,"735,000","1,050,000",none,none,none,none,none,none,none,none,none,none,none,none
114,חיפה,אילנות 13,3,69.0,2.0,1960,"890,000",none,none,"1,235,000",none,none,none,none,none,none,none,none,none,none
115,חיפה,אילנות 17,3,659.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,1155000,none,none
116,חיפה,אילנות 20,3,682.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,2170000,1780000,none
117,חיפה,אילנות 21,3,59.0,,1980,none,none,"915,000",none,none,none,none,none,none,none,none,none,none,none
118,חיפה,אילנות 29,3,679.0,100.0,0,none,none,none,none,none,none,none,none,none,none,"1,300,000",none,1520000,none
