,city,streets,rooms,size,floor,date_builded,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,חולון,אביבים 1,3,650.0,1.0,2013,none,none,none,"1,900,000",none,none,none,none,none,1520000,none,1612000,none,650000
1,חולון,אביבים 4,3,690.0,100.0,0,none,none,none,none,none,none,none,none,1515000,none,none,none,1800000,none
2,חולון,אביבים 6,3,90.0,2.0,1978,none,none,none,none,none,"1,308,376",none,none,none,none,none,none,none,none
3,חולון,אברבנאל 1,3,659.0,100.0,0,none,none,none,none,none,none,none,none,none,none,450000,1282500,none,none
4,חולון,אברבנאל 10,3,53.0,2.0,1970,none,none,none,none,none,"700,000",none,none,none,none,none,none,none,none
5,חולון,אברבנאל 13,3,659.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,none,1550000,none
6,חולון,אברבנאל 14,3,651.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,1300000,1367500,none
7,חולון,אברבנאל 15,3,59.0,3.0,1970,none,none,none,none,"1,070,000",none,none,none,none,none,none,none,none,none
8,חולון,אברבנאל 17,3,657.0,100.0,0,none,850000,none,none,none,none,none,none,1200000,none,none,none,none,none
9,חולון,אברבנאל 2,3,660.0,100.0,0,none,none,none,none,none,none,none,none,1380000,1290000,none,none,none,none
10,חולון,אברבנאל 3,3,655.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,1342500,none,none
11,חולון,אברבנאל 4,3,667.0,1.0,1970,none,none,none,none,none,none,none,none,none,1278333,none,none,830000,none
12,חולון,אברבנאל 5,3,55.0,2.0,1973,none,none,none,none,"1,020,000",none,none,none,none,none,none,none,none,none
13,חולון,אברבנאל 6,3,669.0,100.0,0,none,none,none,"1,070,000",none,none,none,none,none,none,960000,1500000,none,none
14,חולון,אברבנל 10,3,53.0,2.0,1970,none,none,none,none,none,"700,000",none,none,none,none,none,none,none,none
15,חולון,אבשלום 1,3,65.0,1.0,1970,none,none,none,none,"930,000",none,none,none,none,none,none,none,none,none
16,חולון,אבשלום 3,3,641.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,none,1807500,none
17,חולון,אגוז 12,3,66.0,2.0,1998,none,none,none,none,"1,185,000",none,none,"1,179,418",none,none,"1,615,000",none,none,none
18,חולון,אגוז 7,3,666.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,1600000,2000000,none
