,city,streets,rooms,size,floor,date_builded,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,ירושלים,398,3,84.0,,2014,none,none,none,none,none,none,none,none,"1,590,000","1,580,000",none,none,none,none
1,ירושלים,אבולעפיה 2,3,72.0,,1950,none,none,none,none,none,"2,600,000",none,none,none,none,none,none,none,none
2,ירושלים,אבולעפיה 22,3,672.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,none,1800000,none
3,ירושלים,אבולעפיה 3,3,70.0,1.0,1945,none,none,none,"950,000",none,none,none,none,none,none,none,none,none,none
4,ירושלים,אבולעפיה 40,3,83.0,1.0,1997,none,none,none,none,910000,none,none,none,none,none,none,none,none,none
5,ירושלים,אבטליון 11,3,62.0,4.0,1970,none,none,none,"1,200,000",none,"1,790,000",none,none,none,none,none,none,none,none
6,ירושלים,אבטליון 54,3,62.0,2.0,1974,"1,200,000",none,none,none,none,none,none,none,none,none,none,none,none,none
7,ירושלים,אבטליון 6,3,92.0,3.0,1980,none,none,none,none,none,none,none,none,"2,760,000",none,none,none,none,none
8,ירושלים,אבטליון 7,3,68.0,,1940,none,none,none,"2,200,000",none,none,none,none,none,none,none,none,none,none
9,ירושלים,אביגדורי 1,3,48.0,,1980,none,none,none,none,none,none,none,none,none,none,"66,149",none,none,none
10,ירושלים,אביגדורי 6,3,75.0,1.0,1950,none,none,none,"1,470,000","2,647,058",none,none,none,none,none,none,none,none,none
11,ירושלים,אביגור,3,72.0,3.0,2004,none,none,none,"1,220,000",none,none,none,none,none,none,none,none,none,none
12,ירושלים,אביגור 13,3,78.0,5.0,2002,1126250,none,"1,170,000",none,none,none,none,none,none,none,none,none,none,none
13,ירושלים,אביגור 14,3,73.0,,1999,none,none,none,"1,300,000","1,380,000",none,none,none,none,none,none,none,none,none
14,ירושלים,אביגור 16,3,79.0,1.0,2000,none,none,none,none,none,"1,293,000",none,none,none,none,none,none,none,none
15,ירושלים,אביגור 17,3,75.0,6.0,2000,"1,100,000",none,none,none,none,none,none,none,none,none,none,none,none,none
16,ירושלים,אביגור 19,3,76.0,5.0,2004,"1,060,000","1,170,000",none,none,none,none,none,none,none,none,none,none,none,none
17,ירושלים,אביגור 20,3,78.0,,1999,none,none,none,"1,220,000",none,none,none,none,none,none,none,none,none,none
18,ירושלים,אביגור 22,3,78.0,5.0,2002,none,none,1142500,1185000,1305000,none,none,none,none,none,none,none,none,none
19,ירושלים,אביגור 24,3,72.0,,2003,1050000,none,none,none,"1,286,285",none,none,none,none,none,none,none,none,none
20,ירושלים,אביגור 26,3,82.0,2.0,2005,none,none,none,none,"1,660,000",none,none,none,none,none,none,none,none,none
21,ירושלים,אביגור 30,3,75.0,9.0,2006,"1,244,000",none,"1,170,000","1,260,000",none,none,none,none,none,none,none,none,none,none
22,ירושלים,אביגור 32,3,75.0,3.0,2006,none,none,"1,165,000",none,none,none,none,none,none,none,none,none,none,none
23,ירושלים,אביגור 36,3,675.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,none,1860000,none
