,city,streets,rooms,size,floor,date_builded,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,נתניה,אברבנאל 1,3,80.0,1.0,1980,none,none,"660,000",none,"900,000","700,000",none,none,none,none,none,none,none,none
1,נתניה,אברהם 10,3,73.0,3.0,1978,none,none,none,none,none,"1,200,000",none,none,none,none,none,none,none,none
2,נתניה,אברהם 23,3,62.0,1.0,1985,none,none,none,none,none,"1,185,000",none,none,none,none,none,none,none,none
3,נתניה,אגמים,3,131.0,4.0,2017,none,none,none,none,none,"1,885,000",none,none,none,none,none,none,none,none
4,נתניה,אהרון 10,3,674.0,100.0,0,none,none,none,none,none,none,none,none,none,none,1655000,none,1850000,none
5,נתניה,אהרון 14,3,700.0,100.0,0,none,none,none,none,none,none,none,1750000,none,none,none,none,none,none
6,נתניה,אהרון 16,3,665.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,none,1300000,none
7,נתניה,אהרון 6,3,665.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,none,1600000,none
8,נתניה,אהרון 9,3,705.0,100.0,0,none,none,none,none,none,none,none,none,none,1800000,none,none,none,none
9,נתניה,אהרונוביץ 13,3,642.0,100.0,0,none,none,none,none,none,none,none,none,2140000,none,none,none,none,none
10,נתניה,אהרונוביץ 23,3,642.0,100.0,0,none,none,none,none,none,none,none,2000000,none,none,none,none,none,none
11,נתניה,אהרונוביץ 6,3,642.0,100.0,0,none,none,none,none,none,none,none,none,none,none,2240000,none,none,none
12,נתניה,אהרונוביץ 8,3,642.0,100.0,0,none,none,none,none,none,none,1818000,none,none,none,none,none,none,none
13,נתניה,אהרונסון 4,3,46.0,2.0,1980,none,none,none,"1,050,000",none,none,none,none,none,none,none,none,none,none
14,נתניה,אוסישקין 1,3,86.0,1.0,1970,none,none,none,none,none,none,"1,200,000",none,none,none,none,none,none,none
15,נתניה,אוסישקין 10,3,695.0,100.0,0,none,none,none,none,none,none,2150000,2200000,2050000,none,none,none,none,none
16,נתניה,אוסישקין 11,3,662.0,3.0,1950,none,none,"940,220",none,none,"1,175,000",none,none,none,none,none,none,2010000,none
17,נתניה,אוסישקין 13,3,669.0,100.0,0,none,none,none,"1,140,000",none,none,1570000,none,none,none,none,1300000,none,none
18,נתניה,אוסישקין 16,3,664.0,100.0,0,"850,000",none,none,none,none,none,none,none,1600000,1480000,none,none,none,none
19,נתניה,אוסישקין 17,3,100.0,1.0,1980,none,none,none,none,"1,276,000",none,none,none,none,none,none,none,none,none
20,נתניה,אוסישקין 19,3,672.0,100.0,0,none,none,none,"1,240,000",none,none,1420000,1590000,none,none,1450000,none,1500000,none
21,נתניה,אוסישקין 2,3,681.0,100.0,0,none,none,none,none,none,none,none,none,none,none,1404000,1557000,none,none
22,נתניה,אוסישקין 21,3,669.0,100.0,0,none,none,none,none,none,none,none,1630000,none,1580000,none,1567000,1725000,none
23,נתניה,אוסישקין 22,3,76.0,3.0,1987,none,none,"1,050,000",none,none,none,none,none,none,none,none,none,none,none
24,נתניה,אוסישקין 23,3,673.0,3.0,1980,none,none,none,none,"1,350,000",none,none,1750000,none,none,none,none,none,none
25,נתניה,אוסישקין 26,3,676.0,100.0,0,none,none,"960,000",none,none,1360000,none,1125000,none,none,none,none,none,none
26,נתניה,אוסישקין 27,3,676.0,100.0,0,none,none,none,none,none,1600000,1600000,none,none,none,none,none,none,none
27,נתניה,אוסישקין 29,3,82.0,2.0,1992,none,875000,none,"1,100,000","1,100,000",none,none,none,none,none,none,none,none,none
28,נתניה,אוסישקין 32,3,676.0,100.0,0,none,"1,135,000",none,none,"1,125,000",none,1470000,none,none,none,none,none,1900000,1800000
29,נתניה,אוסישקין 33,3,687.0,100.0,0,none,none,none,none,none,none,1200000,none,none,none,none,1300000,none,none
30,נתניה,אוסישקין 38,3,668.0,100.0,0,none,none,"1,070,000",none,"1,176,174",none,none,none,1350000,none,none,none,none,none
31,נתניה,אוסישקין 39,3,85.0,1.0,1960,none,"980,871",none,none,none,none,none,none,none,none,none,none,none,none
32,נתניה,אוסישקין 4,3,85.0,1.0,1959,none,none,"1,450,000",none,none,none,none,none,none,none,none,none,none,none
33,נתניה,אוסישקין 40,3,666.0,1.0,1960,none,none,"1,070,000",none,"1,350,000",none,none,1497140,none,none,"1,500,000",none,1820000,none
34,נתניה,אוסישקין 41,3,669.0,100.0,0,none,none,none,none,"925,000",none,"1,380,000",1620810,none,1436666,none,none,450000,none
35,נתניה,אוסישקין 5,3,690.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,1600000,none,none
36,נתניה,אוסישקין 8,3,709.0,100.0,0,none,"1,150,000",none,none,none,none,none,none,none,none,none,none,2700000,none
37,נתניה,אחימאיר,3,66.0,2.0,1970,none,none,none,none,"977,800",none,none,none,none,none,none,none,none,none
38,נתניה,אחימאיר 4,3,75.0,1.0,1980,none,"1,090,000",none,none,none,none,none,none,none,none,none,none,none,none
39,נתניה,אחימאיר 5,3,673.0,100.0,0,none,none,none,none,none,none,none,1390000,none,none,none,none,none,none
40,נתניה,אחימאיר 6,3,674.0,100.0,0,none,none,none,none,none,"1,190,000",none,1130000,none,none,none,none,none,none
41,נתניה,אחימאיר אבא 4,3,75.0,1.0,1980,none,"1,090,000",none,none,none,none,none,none,none,none,none,none,none,none
42,נתניה,איכילוב 1,3,68.0,2.0,1980,"600,000",680000,none,none,none,none,none,none,none,none,none,none,none,none
43,נתניה,איכילוב 10,3,674.0,100.0,0,none,none,none,none,none,none,none,none,none,1250000,none,none,none,none
44,נתניה,איכילוב 13,3,668.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,1383000,none,none
45,נתניה,איכילוב 17,3,682.0,100.0,0,none,none,none,none,none,none,none,none,none,none,800000,none,none,none
46,נתניה,איכילוב 3,3,653.0,3.0,1960,none,none,none,"780,000",none,none,none,1100000,none,none,1150000,none,none,none
47,נתניה,איכילוב 7,3,64.0,3.0,1960,none,none,none,none,none,none,none,"1,100,000",none,none,none,none,none,none
48,נתניה,איפגן 1,3,62.0,3.0,1960,none,none,none,none,none,none,none,none,none,none,"1,000,000",none,none,none
49,נתניה,איפרגן 11,3,85.0,1.0,2007,none,none,none,"1,290,000",none,none,none,none,none,none,none,none,none,none
50,נתניה,איפרגן 4,3,97.0,3.0,2005,none,none,"1,340,000",none,none,none,none,none,none,none,none,none,none,none
51,נתניה,איר,3,101.0,3.0,2004,none,none,none,none,"2,040,000","1,520,000",none,none,none,none,none,none,none,none
52,נתניה,אלוני אבא 4,3,695.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,none,3320000,none
53,נתניה,אלחריזי 3,3,695.0,100.0,0,none,none,none,none,"2,402,391",none,none,none,none,none,none,2000000,none,none
54,נתניה,אלקלעי 17,3,642.0,100.0,0,none,none,none,none,none,"900,000",1200000,none,1100000,none,none,none,none,none
55,נתניה,אנדריוס,3,58.0,1.0,1956,none,none,none,none,"850,000",none,none,none,none,none,none,none,none,none
56,נתניה,אנדריוס 11,3,644.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,1009128,none,none
57,נתניה,אנדריוס 2,3,663.0,100.0,0,983333,none,none,none,none,1320000,1265000,none,"1,400,000",none,792750,1200000,1490000,none
58,נתניה,אנדריוס 4,3,669.0,100.0,0,none,none,none,none,none,none,none,none,1400000,none,none,none,none,none
59,נתניה,אנטורפן 10,3,50.0,2.0,1970,none,"450,000",none,none,none,none,none,none,none,none,none,none,none,none
60,נתניה,אנטורפן 12,3,680.0,100.0,0,none,none,none,none,none,none,620000,none,none,none,850000,850000,none,none
61,נתניה,אנטורפן 22,3,667.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,1740000
62,נתניה,אנטורפן 24,3,677.0,100.0,0,none,none,none,none,none,none,none,none,1250000,none,none,none,none,none
63,נתניה,אנילביץ 18,3,632.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,none,1500000,none
64,נתניה,אנילביץ 21,3,73.0,,1952,"750,000",none,none,none,none,none,none,none,none,none,none,none,none,none
65,נתניה,אנילביץ 25,3,640.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,none,1600000,none
66,נתניה,אנילביץ 3,3,637.0,100.0,0,none,none,none,none,none,none,none,none,1280000,none,none,none,1848000,none
