,city,streets,rooms,size,floor,date_builded,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,גבעת השלושה,483,3,75.0,,1950,none,none,none,none,none,none,"200,000",none,none,none,none,none,none,none
1,פתח תקווה,אבימלך 13,3,71.0,1.0,1970,none,none,none,none,none,none,none,none,none,none,"1,295,180",none,none,none
2,פתח תקווה,אברבנאל 1,3,664.0,100.0,0,none,none,none,none,none,none,none,none,none,none,910500,1360000,none,935000
3,פתח תקווה,אברבנאל 12,3,684.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,none,2061818,none
4,פתח תקווה,אברבנאל 13,3,61.0,2.0,2001,none,none,none,none,none,"1,220,000",none,none,none,none,none,none,none,none
5,פתח תקווה,אברבנאל 14,3,684.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,none,2053076,none
6,פתח תקווה,אברבנאל 18,3,668.0,100.0,0,none,none,none,none,none,"1,100,000",none,none,none,none,none,1445000,none,none
7,פתח תקווה,אברבנאל 19,3,676.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,1550000,none,none
8,פתח תקווה,אברבנאל 2,3,661.0,100.0,0,none,none,none,none,"962,500",none,none,none,none,none,1280000,none,none,none
9,פתח תקווה,אברבנאל 24,3,57.0,1.0,1960,none,none,none,none,none,"875,000",none,none,none,none,none,none,none,none
10,פתח תקווה,אברבנאל 5,3,661.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,none,1800000,none
11,פתח תקווה,אברבנאל 6,3,651.0,100.0,0,none,none,none,none,none,none,none,none,none,none,1200000,none,none,none
12,פתח תקווה,אברבנאל 9,3,676.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,815625,none,none
13,פתח תקווה,אהרונוביץ 54,3,83.0,3.0,1970,none,none,none,none,none,none,none,none,none,none,"1,311,310",none,none,none
14,פתח תקווה,אהרונסון 15,3,81.0,4.0,1965,none,none,none,none,none,"1,050,000",none,none,none,none,none,none,none,none
15,פתח תקווה,אונטרמן 12,3,68.0,7.0,1970,none,none,none,none,none,none,none,"1,250,000",none,none,none,none,none,none
16,פתח תקווה,אונטרמן 24,3,74.0,1.0,2019,none,none,none,none,none,none,none,none,none,none,"1,560,000",none,none,none
17,פתח תקווה,אונקלוס 1,3,80.0,1.0,1960,none,none,none,"1,820,700",none,none,none,none,none,none,none,none,none,none
18,פתח תקווה,אונקלוס 11,3,75.0,2.0,2000,none,none,none,"1,120,000",none,none,none,none,none,none,none,none,none,none
19,פתח תקווה,אוסישקין 13,3,62.0,2.0,1979,none,none,none,none,none,"1,170,000",none,none,none,none,none,none,none,none
20,פתח תקווה,אוסישקין 24,3,62.0,3.0,1960,"912,000",none,none,none,none,none,none,none,none,none,none,none,none,none
21,פתח תקווה,אוסישקין 6,3,68.0,2.0,1980,none,none,none,none,none,none,"1,070,000",none,none,none,none,none,none,none
22,פתח תקווה,אוסישקין 7,3,57.0,3.0,1970,none,"885,000",none,none,none,none,none,none,none,none,none,none,none,none
23,פתח תקווה,אורלוב 10,3,74.0,3.0,1960,none,none,none,none,none,none,none,none,none,none,none,"1,315,000",none,none
24,פתח תקווה,אורלוב 35,3,60.0,4.0,1970,none,none,none,none,none,none,"940,000",none,none,none,none,none,none,none
25,פתח תקווה,אורלוב 44,3,55.0,1.0,1977,none,"850,000",none,none,none,none,none,none,none,none,none,none,none,none
26,פתח תקווה,אורלוב 47,3,56.0,2.0,1999,none,none,none,none,none,none,"770,000",none,none,none,none,none,none,none
27,פתח תקווה,אורלוב 6,3,73.0,1.0,2014,none,none,none,none,none,"1,350,000",none,none,none,none,none,none,none,none
28,פתח תקווה,אורלוב 86,3,69.0,3.0,1970,none,"640,000",none,none,none,"900,000",none,none,none,none,none,none,none,none
29,פתח תקווה,אורלוב 88,3,70.0,2.0,2000,none,none,none,none,none,none,"1,050,000",none,none,none,none,none,none,none
30,פתח תקווה,אורלנסקי 1,3,667.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,1320000,none,none
31,פתח תקווה,אורלנסקי 11,3,657.0,100.0,0,none,none,none,none,none,none,none,none,none,1095000,none,none,none,none
32,פתח תקווה,אורלנסקי 13,3,665.0,2.0,1970,none,none,none,none,none,none,none,none,none,none,1250000,none,none,none
33,פתח תקווה,אורלנסקי 14,3,60.0,2.0,1980,none,none,none,none,none,"1,058,000",none,none,none,none,none,none,none,none
34,פתח תקווה,אורלנסקי 2,3,665.0,100.0,0,"920,000",none,none,none,none,none,none,none,none,1400000,none,1161000,none,none
35,פתח תקווה,אורלנסקי 22,3,655.0,100.0,0,none,none,"920,000",none,none,none,none,none,none,none,none,1330000,none,none
36,פתח תקווה,אורלנסקי 24,3,672.0,100.0,0,none,none,none,none,none,none,none,none,1340000,none,none,1375000,none,none
37,פתח תקווה,אורלנסקי 25,3,658.0,3.0,1972,none,"835,000",none,"960,000",none,none,none,none,none,none,1650000,none,none,none
38,פתח תקווה,אורלנסקי 28,3,672.0,100.0,0,none,none,none,none,none,none,none,none,1540000,none,none,none,none,none
39,פתח תקווה,אורלנסקי 29,3,669.0,100.0,0,none,none,none,none,none,none,none,none,1333000,none,none,1325000,none,none
40,פתח תקווה,אורלנסקי 30,3,655.0,2.0,1970,"865,000",none,none,none,none,none,"1,200,000",none,none,none,1300000,1367000,none,none
41,פתח תקווה,אורלנסקי 31,3,663.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,1790000,none,none
42,פתח תקווה,אורלנסקי 32,3,654.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,1447500,none,none
43,פתח תקווה,אורלנסקי 33,3,664.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,1600000,none,none
44,פתח תקווה,אורלנסקי 36,3,675.0,100.0,0,none,none,none,none,none,none,none,none,1250000,none,none,1668750,1886250,none
45,פתח תקווה,אורלנסקי 38,3,653.0,100.0,0,none,none,none,"886,000",none,none,none,none,none,none,1415000,none,none,none
46,פתח תקווה,אורלנסקי 4,3,662.0,100.0,0,none,none,none,none,none,none,none,none,none,1320000,none,none,1132500,none
47,פתח תקווה,אורלנסקי 6,3,62.0,2.0,1970,none,none,"1,000,000",none,none,none,none,none,none,none,none,none,none,none
48,פתח תקווה,אזר 14,3,641.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,none,1325000,none
49,פתח תקווה,אילניה 8,3,93.0,3.0,2000,none,none,none,"1,300,000",none,none,none,none,none,none,none,none,none,none
50,פתח תקווה,אלונים 4,3,62.0,1.0,1970,none,none,none,"1,140,000",none,none,none,none,none,none,none,none,none,none
51,פתח תקווה,אלמוג 23,3,75.0,1.0,1960,none,none,none,"800,000",none,none,none,none,none,none,none,none,none,none
52,פתח תקווה,אלמוג 3,3,60.0,,1950,"820,000","1,744,000","237,500","200,000",none,none,none,none,none,none,none,none,none,none
53,פתח תקווה,אמסטרדם 4,3,61.0,2.0,1973,none,none,"908,000",none,none,none,none,none,none,none,none,none,none,none
54,פתח תקווה,אנדרסן 13,3,664.0,100.0,0,none,none,none,none,none,none,none,none,none,1290000,none,none,none,none
55,פתח תקווה,אנדרסן 14,3,60.0,1.0,1970,none,none,"1,035,000",none,none,none,none,none,none,none,none,none,none,none
56,פתח תקווה,אנדרסן 15,3,78.0,3.0,1981,none,none,"1,162,500",none,none,none,none,none,none,none,none,none,none,none
57,פתח תקווה,אנדרסן 3,3,645.0,100.0,0,none,none,none,"900,000",none,none,none,none,none,1290000,1260000,none,none,none
58,פתח תקווה,אנדרסן 5,3,650.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,1360000,1600000,none
59,פתח תקווה,אנדרסן 7,3,660.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,1014666,2300000,none
60,פתח תקווה,אנסקי 11,3,648.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,1335000,none,none
61,פתח תקווה,אפק 82,3,,,1970,none,none,none,none,none,"245,344",none,none,none,none,none,none,none,none
62,פתח תקווה,אפשטין 21,3,662.0,100.0,0,none,none,none,none,none,none,none,none,1010000,1300000,none,1230000,none,none
63,פתח תקווה,אפשטין 23,3,662.0,100.0,0,none,none,none,none,none,none,none,none,none,none,1260000,1222500,none,none
64,פתח תקווה,אצל 16,3,674.0,100.0,0,none,none,none,none,none,none,none,none,1520000,none,1620000,none,none,none
65,פתח תקווה,אצל 2,3,61.0,1.0,1972,"800,000",none,none,none,none,none,none,none,none,none,none,none,none,none
66,פתח תקווה,אצל 3,3,675.0,100.0,0,none,none,none,none,none,none,none,none,none,none,1561666,none,none,none
67,פתח תקווה,אצל 4,3,62.0,3.0,1972,"800,000",none,none,none,none,none,none,none,none,none,none,none,none,none
68,פתח תקווה,אצל 5,3,680.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,1304000,none,none
69,פתח תקווה,אצל 6,3,669.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,1370000,832000,none
70,פתח תקווה,ארלוזורוב,3,95.0,1.0,1982,none,none,none,none,"1,370,000",none,none,none,none,none,none,none,none,none
71,פתח תקווה,ארלוזורוב 13,3,656.0,100.0,0,none,none,none,none,none,none,none,none,none,none,1530000,1550000,none,none
72,פתח תקווה,ארלוזורוב 17,3,50.0,1.0,1960,"750,000",none,none,none,none,none,none,none,none,none,none,none,none,none
73,פתח תקווה,ארלוזורוב 2,3,660.0,100.0,0,"880,000",none,none,887500,none,none,none,none,none,1207000,1253333,1280000,none,none
74,פתח תקווה,ארלוזורוב 20,3,670.0,100.0,0,none,none,none,none,none,none,none,none,1000000,none,none,none,none,none
75,פתח תקווה,ארלוזורוב 22,3,662.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,1600000,none,none
76,פתח תקווה,ארלוזורוב 25,3,678.0,3.0,1979,none,none,none,none,none,"1,315,000",none,none,none,none,1420000,none,none,none
77,פתח תקווה,ארלוזורוב 27,3,81.0,2.0,1960,none,none,none,none,none,none,"1,430,000",none,none,none,none,none,none,none
78,פתח תקווה,ארלוזורוב 28,3,655.0,100.0,0,none,713750,"820,000",none,none,1025000,none,none,none,1080000,1200489,1480000,539000,none
79,פתח תקווה,ארלוזורוב 29,3,666.0,4.0,1973,none,none,"1,150,000",none,none,none,none,none,none,none,1460000,none,none,none
80,פתח תקווה,ארלוזורוב 40,3,63.0,4.0,2002,none,"1,075,000",none,none,"1,050,000",none,none,none,none,none,none,none,none,none
81,פתח תקווה,ארלוזורוב 44,3,675.0,100.0,0,none,none,none,none,none,none,none,none,none,1622333,1645000,none,none,none
82,פתח תקווה,ארלוזורוב 46,3,675.0,100.0,0,"1,100,000",none,none,none,none,none,none,none,none,1624000,1653333,none,none,none
83,פתח תקווה,ארלוזורוב 6,3,83.0,1.0,1986,none,none,none,none,none,none,"1,475,000",none,none,none,none,none,none,none
84,פתח תקווה,ארלוזורוב 8,3,666.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,1640000,none,none
85,פתח תקווה,אשכנזי 3,3,70.0,2.0,1960,none,none,none,none,none,none,none,none,none,none,"1,300,000",none,none,none
86,פתח תקווה,בדר 4,3,639.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,1250000,none,none
87,פתח תקווה,בורוכוב,3,64.0,3.0,1970,none,none,none,none,"930,000",none,none,none,none,none,none,none,none,none
88,פתח תקווה,בורוכוב 10,3,664.0,1.0,1970,none,none,none,none,none,"1,100,000",none,none,none,none,1200000,1360000,1750000,none
89,פתח תקווה,בורוכוב 14,3,679.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,none,1800000,none
90,פתח תקווה,בורוכוב 16,3,69.0,4.0,1972,none,none,"730,000",none,none,none,none,"1,477,500",none,none,none,none,none,none
91,פתח תקווה,בורוכוב 18,3,670.0,2.0,1975,none,930000,none,none,"1,100,000","1,145,000",none,none,1350000,1400000,1380000,1465000,1880000,none
92,פתח תקווה,בורוכוב 2,3,668.0,6.0,1983,none,none,none,none,none,1180570,none,none,none,1200000,none,1265000,none,none
93,פתח תקווה,בורוכוב 4,3,669.0,100.0,0,none,none,none,none,none,none,none,none,none,none,1312000,1550000,none,none
