,city,streets,rooms,size,floor,date_builded,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,ראשון לציון,4313 109,3,75.0,,2018,none,none,none,none,none,none,none,873024,"918,276",none,none,none,none,none
1,ראשון לציון,אב,3,75.0,7.0,2018,none,none,none,none,none,none,908298,980102,1449415,1412419,none,none,none,none
2,ראשון לציון,אב 1,3,77.0,5.0,2017,none,none,none,none,none,none,none,899492,none,"1,050,745",none,none,none,none
3,ראשון לציון,אב 4,3,112.0,3.0,1970,none,none,none,none,none,none,none,none,none,none,"1,510,000",none,none,none
4,ראשון לציון,אב 41,3,83.0,7.0,1985,none,"1,016,015",none,none,none,none,none,none,none,none,none,none,none,none
5,ראשון לציון,אב 6,3,80.0,1.0,2019,none,none,none,none,none,none,none,"1,900,000",none,none,none,none,none,none
6,ראשון לציון,אב 62,3,75.0,4.0,2022,none,none,none,none,none,none,none,none,none,"966,562",none,none,none,none
7,ראשון לציון,אב 71,3,75.0,17.0,2019,none,none,none,none,none,none,none,none,none,"969,612",none,none,none,none
8,ראשון לציון,אב 81,3,75.0,8.0,2022,none,none,none,none,none,none,none,none,none,"1,038,694",none,none,none,none
9,ראשון לציון,אב 99,3,70.0,1.0,1970,none,none,none,none,none,none,none,none,none,"1,500,000",none,none,none,none
10,ראשון לציון,אבוחצירה,3,75.0,,2018,none,none,none,none,none,none,none,none,"967,574",none,none,none,none,none
11,ראשון לציון,אבוחצירה 3,3,77.0,1.0,2022,none,none,none,none,none,none,none,none,none,"1,057,066",none,none,none,none
12,ראשון לציון,אבוחצירה 41,3,75.0,7.0,2022,none,none,none,none,none,none,none,none,none,"1,011,395",none,none,none,none
13,ראשון לציון,אבוחצירה 82,3,75.0,7.0,2022,none,none,none,none,none,none,none,none,none,"988,637",none,none,none,none
14,ראשון לציון,אביעזר 10,3,670.0,100.0,0,none,none,none,none,none,none,none,none,none,none,1490000,none,none,none
15,ראשון לציון,אביעזר 3,3,676.0,100.0,0,none,none,none,none,none,none,none,none,none,1445000,none,none,1787500,none
16,ראשון לציון,אביעזר 5,3,674.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,1590000,1735000,none
17,ראשון לציון,אבנר,3,85.0,23.0,2020,none,none,none,none,none,none,none,none,none,"961,987","1,053,657",none,none,none
18,ראשון לציון,אבנר 10,3,74.0,2.0,1960,none,none,none,none,none,none,none,none,none,none,"1,535,000",none,none,none
19,ראשון לציון,אבנר 91,3,75.0,9.0,2022,none,none,none,none,none,none,none,none,none,none,"1,983,000",none,none,none
20,ראשון לציון,אברבנאל,3,80.0,6.0,2014,none,none,none,none,1240000,none,none,none,none,"2,107,000",none,none,none,none
21,ראשון לציון,אברבנאל 10,3,90.0,4.0,1980,"1,090,000",none,none,none,none,none,none,none,none,none,none,none,none,none
22,ראשון לציון,אברבנאל 11,3,73.0,3.0,2000,none,none,"1,080,000",none,none,none,none,none,"1,500,000",none,none,none,none,none
23,ראשון לציון,אברבנאל 14,3,75.0,2.0,1990,none,"1,000,000","1,047,500",none,none,none,none,none,none,none,none,none,none,none
24,ראשון לציון,אברבנאל 19,3,71.0,1.0,1981,"980,000",none,none,none,none,"1,180,000",none,none,none,none,none,none,none,none
25,ראשון לציון,אברבנאל 2,3,78.0,1.0,2022,none,none,none,none,none,none,none,none,none,"1,045,539",none,none,none,none
26,ראשון לציון,אברבנאל 23,3,662.0,100.0,0,none,none,none,none,none,none,"925,000",none,"1,120,000",1250000,none,1375000,1580000,none
27,ראשון לציון,אברבנאל 27,3,664.0,100.0,0,none,none,none,none,none,none,none,none,none,none,1200000,none,none,none
28,ראשון לציון,אברבנאל 3,3,75.0,5.0,2014,none,none,none,none,1162500,none,none,none,none,none,none,none,none,none
29,ראשון לציון,אברבנאל 33,3,69.0,4.0,1994,none,none,none,"960,000",none,none,none,none,none,none,none,none,none,none
30,ראשון לציון,אברבנאל 37,3,679.0,1.0,1979,"930,000","970,000","1,070,000",695000,"1,250,000","1,150,000","1,250,000","1,430,000",none,1505000,1415000,1542500,none,none
31,ראשון לציון,אברבנאל 41,3,95.0,1.0,1978,"840,000","1,016,015",none,none,none,none,"442,909",none,none,none,none,none,none,none
32,ראשון לציון,אברבנאל 5,3,676.0,100.0,0,none,"935,000",none,"1,105,000","1,220,000","1,340,000",none,none,none,1525000,1585000,1740000,2100000,none
33,ראשון לציון,אברבנאל 7,3,75.0,,1970,none,none,none,none,none,none,none,none,none,"1,525,000",none,none,none,none
34,ראשון לציון,אברבנאל 9,3,658.0,100.0,0,none,none,none,none,none,none,none,none,"1,500,000",none,none,1710000,none,none
35,ראשון לציון,אברמוביץ 3,3,676.0,2.0,1970,"960,000",none,"1,055,000","1,060,000",none,none,none,none,none,1507250,none,none,none,none
