,city,streets,rooms,size,floor,date_builded,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,תל אביב יפו,3018 16,3,75.0,,2007,none,none,none,none,none,none,none,"2,850,000",none,none,none,none,none,none
1,תל אביב יפו,69 1096,3,253.0,,2006,none,none,none,none,none,none,none,none,none,"16,500,000",none,none,none,none
2,תל אביב יפו,76 3895,3,50.0,,1920,none,none,none,none,none,none,none,none,"1,550,000",none,none,none,none,none
3,תל אביב יפו,אב,3,70.0,,2010,"3,583,192",none,none,"2,100,000",none,none,3003761,none,none,none,none,none,none,none
4,תל אביב יפו,אב 1,3,79.0,9.0,2016,"780,000",2273285,2221476,2418981,1712264,none,1846047,none,none,2570372,none,none,none,none
5,תל אביב יפו,אב 11,3,52.0,4.0,1960,none,"780,000",none,none,"2,605,000","800,000",none,none,none,none,none,none,none,none
6,תל אביב יפו,אב 12,3,69.0,9.0,2016,none,none,none,none,none,none,"3,670,000",none,none,"2,950,000",none,none,none,none
7,תל אביב יפו,אב 16,3,80.0,4.0,1970,none,"720,000",none,none,"940,000",none,none,none,none,none,none,none,none,none
8,תל אביב יפו,אב 22,3,76.0,9.0,2013,none,none,none,none,none,none,none,none,none,none,"2,165,000",none,none,none
9,תל אביב יפו,אב 28,3,53.0,5.0,1965,none,none,"950,000",none,none,none,none,none,none,none,none,none,none,none
10,תל אביב יפו,אב 3,3,80.0,13.0,2017,none,none,none,none,none,none,none,"2,049,292",none,none,none,none,none,none
11,תל אביב יפו,אב 33,3,60.0,8.0,1980,none,none,"950,000",none,none,none,none,none,none,none,none,none,none,none
12,תל אביב יפו,אב 4,3,91.0,1.0,1960,none,"730,050",none,none,none,none,"1,220,000",none,none,none,none,none,none,none
13,תל אביב יפו,אב 42,3,67.0,1.0,1960,none,none,"1,180,000",none,none,none,none,none,none,none,none,none,none,none
14,תל אביב יפו,אב 5,3,84.0,1.0,1977,none,none,none,none,none,none,2126497,none,none,none,none,none,none,none
15,תל אביב יפו,אב 6,3,75.0,4.0,2014,none,none,none,none,none,none,"2,540,000",none,none,none,none,none,none,none
16,תל אביב יפו,אב 63,3,79.0,16.0,2016,none,none,none,none,none,none,"1,937,906",none,none,none,none,none,none,none
17,תל אביב יפו,אב 64,3,55.0,1.0,1930,none,none,none,none,none,none,none,"2,500,000",none,none,none,none,none,none
18,תל אביב יפו,אב 8,3,75.0,3.0,1950,none,none,"2,631,578",none,none,none,none,none,none,none,none,none,none,none
19,תל אביב יפו,אבודרהם 1,3,83.0,,1960,none,none,"1,301,300",none,none,none,none,none,none,none,none,none,none,none
20,תל אביב,אבודרהם 6,3,678.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,2350000,2750000,none
21,תל אביב יפו,אבולעפיה 11,3,85.0,2.0,1950,none,none,none,none,none,"835,000",none,none,none,none,none,none,none,none
22,תל אביב,אבולעפיה 17,3,693.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,none,8051000,none
23,תל אביב יפו,אביאסף 11,3,60.0,,1950,none,none,none,"980,000",none,none,none,none,none,none,none,none,none,none
24,תל אביב יפו,אביטל 19,3,75.0,2.0,1950,none,none,none,none,,"830,000",none,none,none,none,none,none,none,none
25,תל אביב יפו,אביטל 79,3,50.0,,1950,"620,000",none,none,none,none,none,none,none,none,none,none,none,none,none
26,תל אביב יפו,אבימלך 3,3,70.0,,1960,"1,300,000",none,none,none,none,none,none,none,none,none,none,none,none,none
27,תל אביב יפו,אברבנאל 1,3,67.0,3.0,2014,"1,597,893",none,none,none,none,none,none,"2,500,000",none,none,none,none,none,none
28,תל אביב,אברבנאל 74,3,667.0,100.0,0,none,none,none,none,none,none,none,none,"3,100,000",none,none,3120000,3390000,none
29,תל אביב,אגריפס 2,3,699.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,7000000,none,none
30,תל אביב,אדירים 1,3,645.0,100.0,0,none,1082500,none,"1,329,067",none,none,none,none,none,none,none,910000,none,none
31,תל אביב יפו,אדירים 10,3,65.0,3.0,1970,"1,180,000",none,none,none,none,none,none,none,none,none,none,none,none,none
32,תל אביב יפו,אדירים 12,3,78.0,2.0,1969,none,"1,565,000",none,none,none,none,none,none,none,none,none,none,none,none
33,תל אביב,אדירים 2,3,665.0,100.0,0,"1,400,000",none,none,none,none,none,"2,000,000",none,none,none,none,2200000,2005000,none
34,תל אביב יפו,אדירים 3,3,644.0,3.0,1950,none,none,975000,"1,470,000",none,"1,570,000",none,none,none,none,none,none,2350000,none
35,תל אביב יפו,אדירים 4,3,73.0,2.0,1968,none,none,none,none,none,none,none,"2,162,985",none,none,none,none,none,none
36,תל אביב,אדירים 5,3,678.0,100.0,0,none,"1,450,000","1,104,421","1,701,801",none,none,none,none,"2,092,556",none,none,2600000,3000000,none
37,תל אביב,אדירים 6,3,665.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,2400000,none,none
38,תל אביב יפו,אדירים 7,3,78.0,5.0,1993,none,"1,450,000",none,none,none,none,none,none,none,none,none,none,none,none
39,תל אביב יפו,אדר 1,3,70.0,,1950,none,none,"55,750",none,none,none,none,none,none,none,none,none,none,none
40,תל אביב יפו,אדר 13,3,70.0,,1960,"1,100,000","754,528",none,none,none,none,none,none,none,none,none,none,none,none
41,תל אביב יפו,אהרונוביץ 5,3,70.0,,1970,none,none,"2,580,000",none,none,none,none,none,none,none,none,none,none,none
42,תל אביב יפו,אהרונוביץ 6,3,74.0,2.0,1960,none,none,none,"2,440,000",none,none,none,none,none,none,none,none,none,none
43,תל אביב יפו,אהרונוביץ 9,3,57.0,,1935,"1,760,000",none,none,"2,150,000",none,none,none,none,none,none,none,none,none,none
44,תל אביב יפו,אהרונסון 12,3,51.0,1.0,1960,none,none,none,none,"2,555,000",none,none,none,none,none,none,none,none,none
45,תל אביב,אהרונסון 20,3,649.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,none,4500000,none
46,תל אביב יפו,אהרונסון 3,3,100.0,15.0,2000,none,"5,644,660",none,none,none,none,none,none,none,none,none,none,none,none
47,תל אביב יפו,אהרונסון 42,3,70.0,12.0,1999,none,"5,400,000",none,none,none,none,none,none,none,none,none,none,none,none
48,תל אביב,אוארבך 2,3,690.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,none,2625000,none
49,תל אביב,אוארבך 3,3,648.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,none,1875000,none
50,תל אביב יפו,אוזשקובה 8,3,88.0,,1970,none,none,none,none,none,none,"827,640",none,none,none,none,none,none,none
51,תל אביב,אוליפנט 1,3,663.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,3930000,none,none
52,תל אביב יפו,אוליפנט 3,3,86.0,3.0,1970,"1,950,000",none,none,none,none,none,none,none,none,none,none,none,none,none
53,תל אביב,אוליפנט 8,3,671.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,3300000,none,none
54,תל אביב יפו,אונקלוס 11,3,75.0,1.0,1960,none,none,none,"2,080,000",none,none,none,none,none,none,none,none,none,none
55,תל אביב יפו,אונקלוס 15,3,67.0,2.0,1999,"1,870,000","2,020,000",none,"2,130,000",none,none,none,none,none,none,none,none,none,none
56,תל אביב יפו,אונקלוס 32,3,49.0,1.0,1970,none,none,"1,600,000",none,none,none,none,none,none,none,none,none,none,none
57,תל אביב יפו,אונקלוס 4,3,70.0,3.0,1970,none,none,none,none,none,"2,500,000",none,none,none,none,none,none,none,none
58,תל אביב יפו,אונקלוס 5,3,67.0,1.0,1970,"1,900,000",none,none,none,"2,230,000",none,none,none,none,none,none,none,none,none
59,תל אביב יפו,אונקלוס 9,3,64.0,1.0,1970,none,"2,050,000",none,none,none,none,none,none,none,none,none,none,none,none
60,תל אביב יפו,אוסישקין 100,3,62.0,2.0,1970,none,"2,378,000","2,650,000",none,none,none,none,none,3983333,none,none,none,none,none
61,תל אביב יפו,אוסישקין 16,3,75.0,5.0,2017,none,none,none,none,"1,700,000","3,728,000",none,none,none,none,none,none,none,none
62,תל אביב יפו,אוסישקין 28,3,657.0,,1970,none,"1,996,000",none,none,none,none,none,none,none,none,none,4150000,none,none
63,תל אביב,אוסישקין 32,3,676.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,5700000,none,none
64,תל אביב,אוסישקין 4,3,662.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,none,1400000,none
