,Unnamed: 0,prices,streets,cities,floors,sizes,terraces,floors_in_building,parkings,aircondition,bars,elevators,water_headers,accessibility,shelters,renovated,storages,tadiran,furnitures,status,time_enter,sea_view,sukka,construction_evacuation,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,0,"2,250,000 ₪",אדר,"דירה, רובע י""ב, אשדוד",4,95,"מרפסות
1","קומות בבנין
6","חניות
1",1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0,0,1065833,"1,020,000",1126666,none,1196666,1350000,1535000,none,1465000,1899466,1590000,2333000,1890000,none
1,1,"1,970,000 ₪",אדר,"דירה, רובע י""ב, אשדוד",1,90,"מרפסות
1","קומות בבנין
8","חניות
1",1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0,0,1065833,"1,020,000",1126666,none,1196666,1350000,1535000,none,1465000,1899466,1590000,2333000,1890000,none
2,2,לא צוין מחיר,איר,"דירה, רובע י""ב, אשדוד",7,100,"מרפסות
1","קומות בבנין
11","חניות
1",1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0,0,980000,1071000,1103125,1169000,none,1355000,none,1542500,1563333,1564666,1730000,1646666,1562500,none
3,3,"2,199,000 ₪",איר,"דירה, רובע י""ב, אשדוד",8,105,"מרפסות
1","קומות בבנין
11","חניות
1",1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,"מצב הנכס
במצב שמור","תאריך כניסה
לא צוין תאריך כניסה",0,0,0,980000,1071000,1103125,1169000,none,1355000,none,1542500,1563333,1564666,1730000,1646666,1562500,none
4,4,"2,250,000 ₪",איר 16,"דירה, רובע י""ב, אשדוד",7,75,,,,,,,,,,,,,,,,0,0,0,1015000,"1,135,000",1220000,1147000,none,1355000,none,1542500,none,none,none,1800000,860000,none
5,5,"1,850,000 ₪",ארלוזורוב,"דירה, אשדוד",10,90,"מרפסות
1","קומות בבנין
12","חניות
1",0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",1,0,0,841250,878541,968307,1031166,1067025,1244617,1226477,1300000,1264000,1326666,1451666,1443750,1900000,none
6,6,"1,720,000 ₪",אשדוד,"דירה, אשדוד",1,82,none,"קומות בבנין
3","חניות
ללא",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"מצב הנכס
משופץ","תאריך כניסה
כניסה מיידית",0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
7,7,"1,650,000 ₪",אשדוד,"דירה, אשדוד",3,105,none,"קומות בבנין
3","חניות
ללא",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
8,8,"1,750,000 ₪",אשדוד,"דירה, אשדוד",5,78,"מרפסות
1","קומות בבנין
8","חניות
ללא",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
9,9,"2,190,000 ₪",אשדוד,"דירה, אשדוד",7,102,"מרפסות
1","קומות בבנין
15","חניות
1",1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
10,10,"1,700,000 ₪",אשדוד,"דירה, אשדוד",2,67,"מרפסות
2","קומות בבנין
4","חניות
ללא",1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
11,11,"1,430,000 ₪",אשדוד,"דירה, אשדוד",3,75,none,"קומות בבנין
3","חניות
ללא",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
12,12,"1,680,000 ₪",אשדוד,"דירה, אשדוד",4,80,none,"קומות בבנין
4","חניות
ללא",1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
13,13,"1,580,000 ₪",אשדוד,"דירה, אשדוד",5,90,"מרפסות
1","קומות בבנין
7","חניות
ללא",0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,"מצב הנכס
חדש מקבלן","תאריך כניסה
כניסה גמישה",0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
14,14,לא צוין מחיר,אשדוד,"דירה, אשדוד",קרקע,140,"מרפסות
1","קומות בבנין
3","חניות
1",1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"מצב הנכס
משופץ","תאריך כניסה
01/01/2024",0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
15,15,"1,720,000 ₪",אשדוד,"דירה, אשדוד",3,110,"מרפסות
1","קומות בבנין
7","חניות
1",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"מצב הנכס
משופץ","תאריך כניסה
לא צוין תאריך כניסה",0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
16,16,"3,120,000 ₪",אשדוד,"דירה, אשדוד",21,132,"מרפסות
1","קומות בבנין
29","חניות
1",1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,"מצב הנכס
חדש","תאריך כניסה
כניסה גמישה",1,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
17,17,"1,920,000 ₪",אשדוד,"דירה, אשדוד",4,112,"מרפסות
1","קומות בבנין
9","חניות
1",1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
18,18,"1,650,000 ₪",אשדוד,"דירה, אשדוד",7,84,"מרפסות
1","קומות בבנין
8","חניות
1",0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
19,19,"1,750,000 ₪",אשדוד,"דירה, אשדוד",4,112,"מרפסות
1","קומות בבנין
6","חניות
1",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"מצב הנכס
משופץ","תאריך כניסה
לא צוין תאריך כניסה",0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
20,20,"1,750,000 ₪",אשדוד,"דירה, אשדוד",3,80,"מרפסות
1","קומות בבנין
7","חניות
1",1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
21,21,"2,090,000 ₪",אשדוד,"דירה, אשדוד",5,106,"מרפסות
1","קומות בבנין
7","חניות
1",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
22,22,"1,670,000 ₪",אשדוד,"דירה, אשדוד",2,85,"מרפסות
2","קומות בבנין
13","חניות
1",1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,"מצב הנכס
במצב שמור","תאריך כניסה
לא צוין תאריך כניסה",0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
23,23,"1,750,000 ₪",אשדוד,"דירה, אשדוד",1,82,none,"קומות בבנין
3","חניות
1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"מצב הנכס
משופץ","תאריך כניסה
לא צוין תאריך כניסה",1,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
24,24,"1,950,000 ₪",אשדוד,"דירה, אשדוד",5,106,"מרפסות
1","קומות בבנין
9","חניות
1",1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
25,25,לא צוין מחיר,אשדוד,"דירה, אשדוד",7,70,"מרפסות
2","קומות בבנין
7","חניות
1",1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,"מצב הנכס
חדש מקבלן","תאריך כניסה
כניסה מיידית",0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
26,26,"1,760,000 ₪",אשדוד,"דירה, אשדוד",3,90,"מרפסות
1","קומות בבנין
14","חניות
1",1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,"מצב הנכס
משופץ","תאריך כניסה
לא צוין תאריך כניסה",0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
27,27,"1,500,000 ₪",אשדוד,"דירה, אשדוד",קרקע,56,none,"קומות בבנין
7","חניות
ללא",0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,"מצב הנכס
חדש מקבלן","תאריך כניסה
כניסה גמישה",0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
28,28,"1,820,000 ₪",ביאליק,"דירה, רובע ה', אשדוד",5,93,"מרפסות
1","קומות בבנין
9","חניות
1",1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,"מצב הנכס
משופץ","תאריך כניסה
לא צוין תאריך כניסה",0,0,0,"885,000",1020000,850077,none,927194,1088000,1288625,1317857,none,812227,1375000,1475000,1760000,none
29,29,"1,690,000 ₪",בן אריה אליעזר 22,"דירה, רובע ד', אשדוד",1,67,"מרפסות
1","קומות בבנין
7","חניות
1",1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,"מצב הנכס
משופץ","תאריך כניסה
כניסה מיידית",0,0,0,none,750000,none,none,none,none,1830000,none,none,none,1200000,none,none,none
30,30,"11,111 ₪",ברק בן אבינועם,"דירה, אשדוד",1,93,"מרפסות
1","קומות בבנין
2","חניות
ללא",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0,0,752833,none,900000,"847,000",1070000,"1,080,000","1,200,000",1183333,1260000,1305000,none,none,none,none
31,31,"1,880,000 ₪",ברק בן אבינועם,"דירה, רובע י""ג, אשדוד",2,87,"מרפסות
1","קומות בבנין
4","חניות
1",1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,1,0,752833,none,900000,"847,000",1070000,"1,080,000","1,200,000",1183333,1260000,1305000,none,none,none,none
32,32,"1,890,000 ₪",דב גור,"דירה, רובע ו', אשדוד",5,98,"מרפסות
1","קומות בבנין
7","חניות
ללא",1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,"מצב הנכס
חדש מקבלן","תאריך כניסה
כניסה גמישה",0,0,0,546851,606490,685216,722166,631834,851166,1085888,1097192,1084392,1108407,1065463,1365833,1696027,none
33,33,"1,950,000 ₪",דב גור 3,"דירה, רובע ו', אשדוד",5,90,"מרפסות
2","קומות בבנין
5","חניות
1",1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,"מצב הנכס
חדש","תאריך כניסה
כניסה גמישה",0,0,1,none,none,none,none,none,none,1160000,1270000,1084000,none,1182250,none,none,none
34,34,"2,270,000 ₪",האצל,"דירה, רובע א', אשדוד",5,138,"מרפסות
1","קומות בבנין
7","חניות
1",1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,"מצב הנכס
חדש","תאריך כניסה
כניסה גמישה",0,0,0,642392,824166,889500,915000,991000,983495,1103424,1040431,1282500,1281666,"1,450,000",1349083,1746083,none
35,35,"2,350,000 ₪",הדקל 5,"דירה, אשדוד",12,90,"מרפסות
1","קומות בבנין
27","חניות
1",1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"מצב הנכס
חדש מקבלן","תאריך כניסה
כניסה גמישה",1,0,0,none,none,none,none,none,none,none,none,"1,708,000","1,690,000","1,680,000",none,2333857,none
36,36,"1,600,000 ₪",ההגנה 28,"דירה, רובע א', אשדוד",3,44,none,"קומות בבנין
3","חניות
ללא",1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0,0,none,none,605000,none,none,none,1015000,none,none,none,none,none,none,none
37,37,"1,650,000 ₪",החרצית 16,"דירה, רובע ח', אשדוד",3,64,none,"קומות בבנין
4","חניות
ללא",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,1,0,"545,000","500,000",674000,none,812500,921000,964000,1015000,none,none,1235000,1215000,1550000,none
38,38,"1,580,000 ₪",הכלנית,"דירה, רובע ח', אשדוד",5,80,"מרפסות
1","קומות בבנין
6","חניות
1",1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0,0,620618,767449,799916,851112,988783,1094031,1203787,1200404,1191129,1302950,1328345,1321153,1468750,1838000
39,39,"1,900,000 ₪",הכלנית,"דירה, רובע ח', אשדוד",3,106,"מרפסות
1","קומות בבנין
8","חניות
1",1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0,0,620618,767449,799916,851112,988783,1094031,1203787,1200404,1191129,1302950,1328345,1321153,1468750,1838000
40,40,"1,450,000 ₪",הכלנית,"דירה, רובע ח', אשדוד",5,65,,,,,,,,,,,,,,,,0,0,0,620618,767449,799916,851112,988783,1094031,1203787,1200404,1191129,1302950,1328345,1321153,1468750,1838000
41,41,"1,550,000 ₪",הכלנית,"דירה, רובע ח', אשדוד",3,78,none,"קומות בבנין
4","חניות
ללא",1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,"מצב הנכס
משופץ","תאריך כניסה
לא צוין תאריך כניסה",0,0,0,620618,767449,799916,851112,988783,1094031,1203787,1200404,1191129,1302950,1328345,1321153,1468750,1838000
42,42,לא צוין מחיר,הכלנית 1,"דירה, רובע ח', אשדוד",קרקע,80,none,"קומות בבנין
7","חניות
ללא",1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,"מצב הנכס
חדש מקבלן","תאריך כניסה
כניסה גמישה",0,0,0,none,"1,030,000",none,none,none,"1,140,000",none,none,"1,150,000","1,515,000","1,530,000",none,none,none
