,Unnamed: 0,prices,streets,cities,floors,sizes,terraces,floors_in_building,parkings,aircondition,bars,elevators,water_headers,accessibility,shelters,renovated,storages,tadiran,furnitures,status,time_enter,sea_view,sukka,construction_evacuation,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,0,"885,000 ₪",אברבנאל 38,"דירה, שכונה י""א, באר שבע",2,76,none,"קומות בבנין
4","חניות
ללא",1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0,0,297000,383000,388000,430802,493333,none,545000,none,615000,550000,615000,606600,643750,none
1,1,"630,000 ₪",אברהם אבינו,"דירה, שכונה ד', באר שבע",2,50,none,"קומות בבנין
2","חניות
ללא",1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,"מצב הנכס
משופץ","תאריך כניסה
כניסה מיידית",0,0,0,337185,405391,418124,468264,532066,584541,624583,665840,672999,645511,716635,690111,712973,692500
2,2,"735,000 ₪",אברהם אבינו,"דירה, שכונה ד', באר שבע",2,65,none,"קומות בבנין
3","חניות
1",1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"מצב הנכס
משופץ","תאריך כניסה
לא צוין תאריך כניסה",0,0,0,337185,405391,418124,468264,532066,584541,624583,665840,672999,645511,716635,690111,712973,692500
3,3,לא צוין מחיר,אברהם אבינו,"דירה, שכונה ד', באר שבע",3,57,none,"קומות בבנין
3","חניות
1",1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה מיידית",0,0,0,337185,405391,418124,468264,532066,584541,624583,665840,672999,645511,716635,690111,712973,692500
4,4,"650,000 ₪",אברהם אבינו,"דירה, שכונה ד', באר שבע",3,65,none,"קומות בבנין
3","חניות
1",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"מצב הנכס
משופץ","תאריך כניסה
לא צוין תאריך כניסה",0,0,0,337185,405391,418124,468264,532066,584541,624583,665840,672999,645511,716635,690111,712973,692500
5,5,"665,000 ₪",אברהם אבינו,"דירה, שכונה ד', באר שבע",3,58,none,"קומות בבנין
3","חניות
1",1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0,0,337185,405391,418124,468264,532066,584541,624583,665840,672999,645511,716635,690111,712973,692500
6,6,"895,000 ₪",אברהם אבינו,"דירה, שכונה ד', באר שבע",2,67,none,"קומות בבנין
2","חניות
ללא",1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,"מצב הנכס
משופץ","תאריך כניסה
כניסה מיידית",0,0,0,337185,405391,418124,468264,532066,584541,624583,665840,672999,645511,716635,690111,712973,692500
7,7,"670,000 ₪",אברהם אבינו,"דירה, שכונה ד', באר שבע",3,50,none,"קומות בבנין
3","חניות
ללא",1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,"מצב הנכס
משופץ","תאריך כניסה
כניסה מיידית",0,0,0,337185,405391,418124,468264,532066,584541,624583,665840,672999,645511,716635,690111,712973,692500
8,8,"770,000 ₪",אברהם אבינו,"דירה, שכונה ד', באר שבע",3,50,none,"קומות בבנין
3","חניות
1",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה מיידית",0,0,0,337185,405391,418124,468264,532066,584541,624583,665840,672999,645511,716635,690111,712973,692500
9,9,"665,000 ₪",אברהם אבינו,"דירה, שכונה ד', באר שבע",3,58,,,,,,,,,,,,,,,,0,0,0,337185,405391,418124,468264,532066,584541,624583,665840,672999,645511,716635,690111,712973,692500
10,10,"715,000 ₪",אברהם אבינו,"דירה, שכונה ד', באר שבע",2,80,none,"קומות בבנין
3","חניות
ללא",1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,"מצב הנכס
במצב שמור","תאריך כניסה
לא צוין תאריך כניסה",0,0,0,337185,405391,418124,468264,532066,584541,624583,665840,672999,645511,716635,690111,712973,692500
11,11,"749,000 ₪",אברהם אבינו,"דירה, שכונה ד', באר שבע",1,64,none,"קומות בבנין
4","חניות
ללא",1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0,0,337185,405391,418124,468264,532066,584541,624583,665840,672999,645511,716635,690111,712973,692500
12,12,"690,000 ₪",אברהם אבינו 40,"דירה, שכונה ד', באר שבע",1,44,none,"קומות בבנין
3","חניות
ללא",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה מיידית",0,0,0,"260,000",358500,415000,457500,425000,none,none,none,563493,595000,"650,000",565500,630000,530000
13,13,"699,000 ₪",אברהם אבינו 40,"דירה, באר שבע",1,44,none,"קומות בבנין
3","חניות
ללא",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה מיידית",0,0,0,"260,000",358500,415000,457500,425000,none,none,none,563493,595000,"650,000",565500,630000,530000
14,14,"635,000 ₪",אברהם אבינו 40,"דירה, שכונה ד', באר שבע",2,44,none,"קומות בבנין
2","חניות
ללא",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה מיידית",0,0,0,"260,000",358500,415000,457500,425000,none,none,none,563493,595000,"650,000",565500,630000,530000
15,15,"629,999 ₪",אברהם אבינו 49,"דירה, שכונה ד', באר שבע",2,40,none,"קומות בבנין
2","חניות
ללא",1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,"מצב הנכס
משופץ","תאריך כניסה
כניסה מיידית",0,0,0,none,none,302500,none,526250,none,"570,000","637,000",none,647500,none,none,670800,580000
16,16,"840,000 ₪",אברהם אבינו 49,"דירה, שכונה ד', באר שבע",1,40,,,,,,,,,,,,,,,,0,0,0,none,none,302500,none,526250,none,"570,000","637,000",none,647500,none,none,670800,580000
17,17,"690,000 ₪",אברהם אבינו 65,"דירה, שכונה ד', באר שבע",1,39,none,"קומות בבנין
4","חניות
ללא",1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה מיידית",0,0,0,none,"340,000","245,000",none,none,none,none,none,none,268274,none,none,570000,none
18,18,"740,000 ₪",אברהם אבינו 67,"דירה, שכונה ד', באר שבע",1,65,none,"קומות בבנין
3","חניות
ללא",1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"מצב הנכס
משופץ","תאריך כניסה
כניסה מיידית",0,0,0,none,265000,437500,"325,000",467500,none,none,none,none,none,"548,000",none,none,none
19,19,"860,000 ₪",אברהם אבינו 9,"דירה, שכונה ד', באר שבע",3,65,none,"קומות בבנין
3","חניות
ללא",1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,"מצב הנכס
משופץ","תאריך כניסה
לא צוין תאריך כניסה",0,0,0,none,none,465000,none,none,none,none,"825,000","817,500",none,none,none,none,none
20,20,לא צוין מחיר,אוסישקין,"דירה, שכונה א', באר שבע",3,70,none,"קומות בבנין
4","חניות
ללא",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה מיידית",0,0,0,none,565666,458166,"435,000",504375,"530,000",none,"1,048,000",653000,685000,672500,1130000,808333,none
21,21,"830,000 ₪",אוסישקין,"דירה, שכונה א', באר שבע",3,74,none,"קומות בבנין
4","חניות
1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"מצב הנכס
משופץ","תאריך כניסה
כניסה מיידית",0,0,0,none,565666,458166,"435,000",504375,"530,000",none,"1,048,000",653000,685000,672500,1130000,808333,none
22,22,"890,000 ₪",אילה,"דירה, שכונה ה', באר שבע",1,76,none,"קומות בבנין
4","חניות
ללא",1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0,0,423392,405000,"330,000",465000,531000,"550,000",567500,"655,000",none,"740,000",none,none,none,none
