,prices,streets,cities,floors,sizes,terraces,floors_in_building,parkings,aircondition,bars,elevators,water_headers,accessibility,shelters,renovated,storages,tadiran,furnitures,status,time_enter,sea_view,sukka,construction_evacuation,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,"1,900,000 ₪",אברבנאל,"דירה, פרדס כץ, בני ברק",1,75,"מרפסות
1","קומות בבנין
6","חניות
2",1,1,1,1,0,1,1,0,1,0,"מצב הנכס
חדש","תאריך כניסה
כניסה גמישה",0,0,0,696250,none,865000,1000500,1017777,1416321,1231125,1481950,"1,290,000",none,none,none,none,none
1,"2,100,000 ₪",אברבנאל 58,"דירה, קרית הרצוג, בני ברק",2,85,"מרפסות
1","קומות בבנין
4","חניות
ללא",1,0,0,0,0,0,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
לא צוין תאריך כניסה",0,0,0,none,none,none,none,none,none,none,none,"1,290,000",none,none,none,none,none
2,"1,950,000 ₪",אברבנאל 97,"דירה, פרדס כץ, בני ברק",1,75,"מרפסות
2","קומות בבנין
5","חניות
2",1,1,1,1,1,1,0,0,1,0,none,"תאריך כניסה
כניסה גמישה",0,0,2,696250,none,865000,1000500,1017777,1416321,1231125,1481950,"1,290,000",none,none,none,none,none
3,"2,130,000 ₪",אלישע,"דירה, מרכז העיר, בני ברק",2,75,"מרפסות
1","קומות בבנין
4","חניות
2",1,1,1,1,1,1,1,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
לא צוין תאריך כניסה",0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
4,"1,800,000 ₪",בורוכוב 10,"דירה, פרדס כץ, בני ברק",2,70,none,"קומות בבנין
3","חניות
ללא",1,1,0,1,0,0,0,0,1,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה מיידית",0,0,0,none,none,none,none,"1,090,000",none,none,none,none,none,none,none,none,none
5,"2,050,000 ₪",בורוכוב 24,"דירה, פרדס כץ, בני ברק",1,80,none,"קומות בבנין
3","חניות
ללא",1,0,0,1,0,0,1,0,1,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0,0,none,none,"925,000",none,none,none,none,none,none,none,none,none,none,none
6,"2,580,000 ₪",ביאליק 15,"דירה, פרדס כץ, בני ברק",2,168,"מרפסות
1","קומות בבנין
2","חניות
ללא",1,0,0,0,0,0,0,0,0,0,none,"תאריך כניסה
כניסה מיידית",0,1,0,none,none,"880,000",none,none,none,none,none,none,none,none,none,none,none
7,"1,750,000 ₪",ביאליק 5,"דירה, פרדס כץ, בני ברק",2,75,"מרפסות
1","קומות בבנין
4","חניות
ללא",1,0,0,0,0,0,0,0,1,0,"מצב הנכס
במצב שמור","תאריך כניסה
01/09/2023",0,1,0,797500,"950,000",942125,1038333,1015000,1048750,none,none,none,none,none,none,none,none
8,"1,920,000 ₪",בנימין אברהם 10,"דירה, פרדס כץ, בני ברק",1,80,none,"קומות בבנין
2","חניות
ללא",1,0,0,1,0,0,1,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0,0,none,"830,000",848624,none,976957,916250,none,none,none,none,none,none,none,none
9,"2,600,000 ₪",ברק בני,"דירה, בני ברק",1,100,"מרפסות
1","קומות בבנין
4","חניות
ללא",0,0,0,1,0,0,0,0,0,0,"מצב הנכס
דרוש שיפוץ","תאריך כניסה
כניסה מיידית",0,0,0,969500,1110355,1071798,1214994,"1,450,000",1204000,none,1557500,none,none,"1,420,000",none,none,none
10,"1,790,000 ₪",ברק בני,"דירה, בני ברק",קרקע,65,none,"קומות בבנין
4","חניות
ללא",0,0,0,0,1,0,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0,0,969500,1110355,1071798,1214994,"1,450,000",1204000,none,1557500,none,none,"1,420,000",none,none,none
11,"2,200,000 ₪",ברק בני,"דירה, בני ברק",2,70,none,"קומות בבנין
2","חניות
ללא",1,0,0,0,0,0,0,0,0,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה מיידית",0,0,0,969500,1110355,1071798,1214994,"1,450,000",1204000,none,1557500,none,none,"1,420,000",none,none,none
12,לא צוין מחיר,ברק בני,"דירה, בני ברק",2,68,"מרפסות
1","קומות בבנין
6","חניות
ללא",0,0,1,0,0,1,1,0,0,0,"מצב הנכס
חדש מקבלן","תאריך כניסה
כניסה גמישה",0,1,0,969500,1110355,1071798,1214994,"1,450,000",1204000,none,1557500,none,none,"1,420,000",none,none,none
