,Unnamed: 0,prices,streets,cities,floors,sizes,terraces,floors_in_building,parkings,aircondition,bars,elevators,water_headers,accessibility,shelters,renovated,storages,tadiran,furnitures,status,time_enter,sea_view,sukka,construction_evacuation,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,0,"1,900,000 ₪",אברבנאל,"דירה, פרדס כץ, בני ברק",1,75,"מרפסות
1","קומות בבנין
6","חניות
2",1,1,1,1,0,1,1,0,1,0,"מצב הנכס
חדש","תאריך כניסה
כניסה גמישה",0,0,0,863625,952996,922727,1004300,1056933,1284214,1343500,1449984,1482400,1309154,1556701,1849698,1796165,1800000
1,1,"2,100,000 ₪",אברבנאל 58,"דירה, קרית הרצוג, בני ברק",2,85,"מרפסות
1","קומות בבנין
4","חניות
ללא",1,0,0,0,0,0,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
לא צוין תאריך כניסה",0,0,0,none,none,"910,909",none,none,none,none,none,"1,290,000",none,none,none,none,none
2,2,"1,950,000 ₪",אברבנאל 97,"דירה, פרדס כץ, בני ברק",1,75,"מרפסות
2","קומות בבנין
5","חניות
2",1,1,1,1,1,1,0,0,1,0,none,"תאריך כניסה
כניסה גמישה",0,0,2,863625,952996,922727,1004300,1056933,1284214,1343500,1449984,1482400,1309154,1556701,1849698,1796165,1800000
3,3,"2,130,000 ₪",אלישע,"דירה, מרכז העיר, בני ברק",2,75,"מרפסות
1","קומות בבנין
4","חניות
2",1,1,1,1,1,1,1,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
לא צוין תאריך כניסה",0,0,0,none,1280000,1192500,none,none,1377500,1450000,1638500,1852500,1625000,1575000,1800000,2206000,none
4,4,"1,800,000 ₪",בורוכוב 10,"דירה, פרדס כץ, בני ברק",2,64,none,"קומות בבנין
3","חניות
ללא",1,1,0,1,0,0,0,0,1,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה מיידית",0,0,0,"880,000",none,none,none,"1,090,000",none,none,none,1375000,none,1405000,none,none,none
5,5,"2,050,000 ₪",בורוכוב 24,"דירה, פרדס כץ, בני ברק",1,52,none,"קומות בבנין
3","חניות
ללא",1,0,0,1,0,0,1,0,1,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0,0,none,none,"925,000","1,090,000",none,none,none,none,none,1450000,none,1560000,1805000,none
6,6,"2,580,000 ₪",ביאליק 15,"דירה, פרדס כץ, בני ברק",2,44,"מרפסות
1","קומות בבנין
2","חניות
ללא",1,0,0,0,0,0,0,0,0,0,none,"תאריך כניסה
כניסה מיידית",0,1,0,none,none,"880,000",none,none,1080000,none,none,none,none,none,none,1650000,none
7,7,"1,750,000 ₪",ביאליק 5,"דירה, פרדס כץ, בני ברק",2,75,"מרפסות
1","קומות בבנין
4","חניות
ללא",1,0,0,0,0,0,0,0,1,0,"מצב הנכס
במצב שמור","תאריך כניסה
01/09/2023",0,1,0,869166,929000,899700,1015600,1046666,1075277,1280000,967500,1379000,1520000,1467500,1433750,1641071,none
8,8,"1,920,000 ₪",בנימין אברהם 10,"דירה, פרדס כץ, בני ברק",1,80,none,"קומות בבנין
2","חניות
ללא",1,0,0,1,0,0,1,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0,0,863000,865000,848624,"906,000",962876,995333,1213333,1295000,1407500,1407500,1400000,1315833,1600000,none
9,9,"2,600,000 ₪",ברק בני,"דירה, בני ברק",1,100,"מרפסות
1","קומות בבנין
4","חניות
ללא",0,0,0,1,0,0,0,0,0,0,"מצב הנכס
דרוש שיפוץ","תאריך כניסה
כניסה מיידית",0,0,0,1016000,1160213,1045899,1307497,"1,450,000",1304674,1975000,1657222,none,none,1493333,none,none,none
10,10,"1,790,000 ₪",ברק בני,"דירה, בני ברק",קרקע,65,none,"קומות בבנין
4","חניות
ללא",0,0,0,0,1,0,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0,0,1016000,1160213,1045899,1307497,"1,450,000",1304674,1975000,1657222,none,none,1493333,none,none,none
11,11,"2,200,000 ₪",ברק בני,"דירה, בני ברק",2,70,none,"קומות בבנין
2","חניות
ללא",1,0,0,0,0,0,0,0,0,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה מיידית",0,0,0,1016000,1160213,1045899,1307497,"1,450,000",1304674,1975000,1657222,none,none,1493333,none,none,none
12,12,לא צוין מחיר,ברק בני,"דירה, בני ברק",2,68,"מרפסות
1","קומות בבנין
6","חניות
ללא",0,0,1,0,0,1,1,0,0,0,"מצב הנכס
חדש מקבלן","תאריך כניסה
כניסה גמישה",0,1,0,1016000,1160213,1045899,1307497,"1,450,000",1304674,1975000,1657222,none,none,1493333,none,none,none
13,13,"2,350,000 ₪",ברק בני,"דירה, בני ברק",4,82,none,"קומות בבנין
6","חניות
ללא",1,1,1,1,0,1,1,0,0,0,"מצב הנכס
חדש","תאריך כניסה
כניסה מיידית",0,0,0,1016000,1160213,1045899,1307497,"1,450,000",1304674,1975000,1657222,none,none,1493333,none,none,none
14,14,"2,050,000 ₪",גבירול אבן 13,"דירה, גבעת סוקולוב, בני ברק",1,75,none,"קומות בבנין
3","חניות
ללא",1,1,0,1,0,0,1,1,1,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
15,15,"2,550,000 ₪",דוד בן אברהם,"דירה, קרית ויז'ניץ, בני ברק",2,1,none,"קומות בבנין
4","חניות
3",1,1,1,0,0,1,1,1,0,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0,0,none,none,1267500,none,1475433,1472500,1561250,1469999,1720000,"1,200,000",945000,2040000,2400000,none
16,16,"1,919,999 ₪",דרך גוריון בן,"דירה, אזור תעשיה צפון, בני ברק",4,90,"מרפסות
1","קומות בבנין
4","חניות
ללא",1,1,0,0,0,0,1,0,1,0,"מצב הנכס
דרוש שיפוץ","תאריך כניסה
כניסה מיידית",0,0,0,none,none,none,none,none,none,none,"1,350,000",none,none,none,none,none,none
17,17,"2,280,000 ₪",דרך גוריון בן,"דירה, בני ברק",2,80,"מרפסות
1","קומות בבנין
5","חניות
1",1,0,1,1,0,0,1,0,1,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0,0,none,none,none,none,none,none,none,"1,350,000",none,none,none,none,none,none
18,18,"2,340,000 ₪",דרך גוריון בן,"דירה, הר שלום, בני ברק",1,93,none,"קומות בבנין
3","חניות
ללא",1,0,0,0,0,0,1,0,0,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0,0,none,none,none,none,none,none,none,"1,350,000",none,none,none,none,none,none
19,19,"1,900,000 ₪",הוז דב,"דירה, פרדס כץ, בני ברק",2,70,none,"קומות בבנין
6","חניות
ללא",1,1,1,1,1,1,1,1,1,0,"מצב הנכס
חדש","תאריך כניסה
לא צוין תאריך כניסה",0,0,0,832500,"780,000",825000,985303,960333,1143750,1260000,1270000,1286000,1442666,1330666,1343055,1430000,609999
20,20,"1,870,000 ₪",הוז דב 21,"דירה, פרדס כץ, בני ברק",1,58,"מרפסות
1","קומות בבנין
3","חניות
ללא",1,0,0,1,0,0,0,0,1,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה מיידית",0,0,0,none,none,none,none,none,none,none,none,1410000,none,1450000,none,none,none
21,21,"2,030,000 ₪",הוז דב 30,"דירה, פרדס כץ, בני ברק",1,47,none,"קומות בבנין
3","חניות
ללא",1,1,0,1,0,0,1,1,0,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה מיידית",0,1,0,none,none,"840,000",none,none,none,1260000,none,none,none,none,none,none,none
22,22,"1,500,000 ₪",החים אור,"דירה, אור החיים, בני ברק",3,60,"מרפסות
1","קומות בבנין
4","חניות
ללא",1,0,1,1,1,0,1,0,0,0,"מצב הנכס
חדש","תאריך כניסה
כניסה גמישה",0,1,0,1147034,"1,675,000",1057500,"1,350,000",none,none,1600000,1635000,1949000,2050000,"1,300,000",none,1935000,none
23,23,"2,190,000 ₪",החים אור,"דירה, אור החיים, בני ברק",4,73,"מרפסות
1","קומות בבנין
7","חניות
ללא",1,1,1,1,1,1,1,0,0,0,"מצב הנכס
חדש","תאריך כניסה
לא צוין תאריך כניסה",0,0,0,1147034,"1,675,000",1057500,"1,350,000",none,none,1600000,1635000,1949000,2050000,"1,300,000",none,1935000,none
24,24,"1,750,000 ₪",החלוצים,"דירה, יסודות, בני ברק",4,70,"מרפסות
1","קומות בבנין
5","חניות
ללא",0,0,1,1,1,1,0,0,0,0,"מצב הנכס
חדש מקבלן","תאריך כניסה
לא צוין תאריך כניסה",0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
25,25,"1,790,000 ₪",המכבים,"דירה, פרדס כץ, בני ברק",7,65,none,"קומות בבנין
7","חניות
ללא",1,1,1,1,1,1,1,0,0,0,"מצב הנכס
חדש","תאריך כניסה
כניסה גמישה",1,0,0,715000,897500,1022000,none,920921,908333,602166,1308200,1208955,1254653,1416666,1480357,1650466,2035720
26,26,"1,980,000 ₪",המכבים,"דירה, פרדס כץ, בני ברק",2,67,"מרפסות
1","קומות בבנין
6","חניות
ללא",1,0,1,1,0,1,1,0,0,0,"מצב הנכס
חדש","תאריך כניסה
לא צוין תאריך כניסה",0,0,0,715000,897500,1022000,none,920921,908333,602166,1308200,1208955,1254653,1416666,1480357,1650466,2035720
27,27,"1,750,000 ₪",המכבים,"דירה, בני ברק",3,76,"מרפסות
1","קומות בבנין
7","חניות
ללא",0,0,0,0,0,0,0,0,0,0,"מצב הנכס
חדש מקבלן","תאריך כניסה
12/02/2026",0,0,0,715000,897500,1022000,none,920921,908333,602166,1308200,1208955,1254653,1416666,1480357,1650466,2035720
28,28,"1,850,000 ₪",המלך דוד,"דירה, הר שלום, בני ברק",2,70,"מרפסות
1","קומות בבנין
4","חניות
ללא",1,0,0,1,0,0,0,0,1,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0,0,1127333,1246860,1127787,1184000,1080000,1290000,none,none,none,none,1532500,1191500,1669000,none
29,29,"2,200,000 ₪",הרב בר אילן,"דירה, הפועל המזרחי ה', שיכון ה', בני ברק",2,110,"מרפסות
1","קומות בבנין
3","חניות
ללא",1,1,0,1,0,0,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
לא צוין תאריך כניסה",0,0,0,1079316,none,none,none,none,none,none,none,none,none,none,none,none,none
30,30,"2,250,000 ₪",הרב בר אילן,"דירה, בני ברק",5,75,"מרפסות
1","קומות בבנין
7","חניות
ללא",0,0,1,0,1,1,1,0,0,0,"מצב הנכס
חדש מקבלן","תאריך כניסה
כניסה מיידית",1,0,0,1079316,none,none,none,none,none,none,none,none,none,none,none,none,none
31,31,"1,730,000 ₪",הרב דנגור,"דירה, פרדס כץ, בני ברק",1,85,"מרפסות
1","קומות בבנין
4","חניות
ללא",0,1,0,1,0,0,1,0,0,0,"מצב הנכס
משופץ","תאריך כניסה
לא צוין תאריך כניסה",0,0,0,none,"895,000","805,000",none,none,none,none,none,none,"1,250,000",none,none,none,none
32,32,"1,640,000 ₪",הרב דנגור,"דירה, פרדס כץ, בני ברק",4,55,none,"קומות בבנין
4","חניות
ללא",1,0,0,0,0,0,0,0,1,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0,0,none,"895,000","805,000",none,none,none,none,none,none,"1,250,000",none,none,none,none
33,33,"1,900,000 ₪",הרב דנגור 12,"דירה, פרדס כץ, בני ברק",3,70,none,"קומות בבנין
4","חניות
ללא",1,0,0,1,0,0,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0,0,none,"895,000","805,000",none,none,none,none,none,none,"1,250,000",none,none,none,none
34,34,"1,780,000 ₪",הרב דנגור 7,"דירה, פרדס כץ, בני ברק",2,60,none,"קומות בבנין
4","חניות
ללא",1,1,0,1,0,0,1,0,0,1,"מצב הנכס
משופץ","תאריך כניסה
כניסה מיידית",0,0,0,none,"895,000","805,000",none,none,none,none,none,none,"1,250,000",none,none,none,none
